climate_zone,y_label,x_labels,status,each_curve_4x7_path,summary_2x2_path,error
HW,ET,"P, LAI",failed,,,'tuple' object has no attribute 'get'
HW,T,"P, LAI",failed,,,'tuple' object has no attribute 'get'
HW,E_soil,"P, LAI",failed,,,'tuple' object has no attribute 'get'
HW,E_veg,"P, LAI",failed,,,'tuple' object has no attribute 'get'
HD,ET,"P, LAI",failed,,,'tuple' object has no attribute 'get'
HD,T,"P, LAI",failed,,,'tuple' object has no attribute 'get'
HD,E_soil,"P, LAI",failed,,,'tuple' object has no attribute 'get'
HD,E_veg,"P, LAI",failed,,,'tuple' object has no attribute 'get'
CW,ET,"P, LAI",failed,,,'tuple' object has no attribute 'get'
CW,T,"P, LAI",failed,,,'tuple' object has no attribute 'get'
CW,E_soil,"P, LAI",failed,,,'tuple' object has no attribute 'get'
CW,E_veg,"P, LAI",failed,,,'tuple' object has no attribute 'get'
CD,ET,"P, LAI",failed,,,'tuple' object has no attribute 'get'
CD,T,"P, LAI",failed,,,'tuple' object has no attribute 'get'
CD,E_soil,"P, LAI",failed,,,'tuple' object has no attribute 'get'
CD,E_veg,"P, LAI",failed,,,'tuple' object has no attribute 'get'
