target_output,model,x,y,relationship,binning,bin_id,x_left,x_right,x_center,x_median,n_bin,y_q05,y_q25,y_median,y_q75,y_q95,bin_buffer90,bin_buffer50
T,CLASSIC,P,T,CLASSIC | P→T,Equal-width bins,0,624.7922,786.5141,705.6531,737.5333,535,138.5671,193.2126,225.2746,269.3823,338.8108,200.2437,76.1696
T,CLASSIC,P,T,CLASSIC | P→T,Equal-width bins,1,786.5141,948.2359,867.375,867.4361,1142,140.4167,217.7191,269.3969,313.6556,413.8916,273.475,95.9365
T,CLASSIC,P,T,CLASSIC | P→T,Equal-width bins,2,948.2359,1109.9578,1029.0969,1032.3391,1459,162.4441,256.6566,311.472,361.9196,505.3855,342.9414,105.263
T,CLASSIC,P,T,CLASSIC | P→T,Equal-width bins,3,1109.9578,1271.6797,1190.8188,1188.2138,1493,180.9015,283.5719,335.7074,411.5105,580.2047,399.3032,127.9385
T,CLASSIC,P,T,CLASSIC | P→T,Equal-width bins,4,1271.6797,1433.4016,1352.5406,1353.1427,1414,189.3886,308.8053,373.0841,454.7498,593.0206,403.632,145.9446
T,CLASSIC,P,T,CLASSIC | P→T,Equal-width bins,5,1433.4016,1595.1234,1514.2625,1511.3156,1421,216.169,325.5875,406.4658,521.1597,635.2841,419.1151,195.5722
T,CLASSIC,P,T,CLASSIC | P→T,Equal-width bins,6,1595.1234,1756.8453,1675.9844,1666.5966,954,259.5688,331.99,404.0447,532.7708,644.4443,384.8755,200.7808
T,CLASSIC,P,T,CLASSIC | P→T,Equal-width bins,7,1756.8453,1918.5672,1837.7062,1830.2341,721,281.3128,358.9356,429.6032,525.9527,635.4014,354.0886,167.0172
T,CLASSIC,P,T,CLASSIC | P→T,Equal-width bins,8,1918.5672,2080.2891,1999.4281,1989.487,500,272.5699,408.7229,462.329,551.4422,632.1872,359.6173,142.7193
T,CLASSIC,P,T,CLASSIC | P→T,Equal-width bins,9,2080.2891,2242.0109,2161.15,2159.0031,455,296.1986,417.8634,474.2234,560.185,657.1026,360.9041,142.3215
T,CLASSIC,P,T,CLASSIC | P→T,Equal-width bins,10,2242.0109,2403.7328,2322.8719,2318.1284,473,288.0675,413.9945,459.8233,529.6661,664.4785,376.4111,115.6716
T,CLASSIC,P,T,CLASSIC | P→T,Equal-width bins,11,2403.7328,2565.4547,2484.5938,2479.1102,396,311.3553,429.4052,465.9731,537.5374,683.6728,372.3176,108.1321
T,CLASSIC,P,T,CLASSIC | P→T,Equal-width bins,12,2565.4547,2727.1766,2646.3156,2638.0565,314,333.2199,426.4934,464.1097,507.9238,657.9694,324.7495,81.4304
T,CLASSIC,P,T,CLASSIC | P→T,Equal-width bins,13,2727.1766,2888.8984,2808.0375,2808.2757,218,281.1826,409.5,459.6174,538.0657,682.7943,401.6118,128.5657
T,CLASSIC,P,T,CLASSIC | P→T,Equal-width bins,14,2888.8984,3050.6203,2969.7594,2968.3418,186,261.4127,415.634,464.2945,547.1365,685.2428,423.8302,131.5026
T,CLASSIC,P,T,CLASSIC | P→T,Equal-width bins,15,3050.6203,3212.3422,3131.4813,3120.3138,133,264.5637,394.0555,441.7113,585.9323,700.2577,435.694,191.8768
T,CLASSIC,P,T,CLASSIC | P→T,Equal-width bins,16,3212.3422,3374.0641,3293.2031,3288.2891,103,224.0632,401.0755,461.0151,545.729,674.5085,450.4454,144.6535
T,CLASSIC,P,T,CLASSIC | P→T,Equal-width bins,17,3374.0641,3535.7859,3454.925,3453.9836,67,239.3753,347.2746,425.146,525.5582,677.0942,437.7189,178.2836
T,CLASSIC,P,T,CLASSIC | P→T,Equal-width bins,18,3535.7859,3697.5078,3616.6469,3597.1375,36,248.8075,337.1034,471.683,593.95,661.6697,412.8622,256.8466
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-width bins,0,618.8677,780.1322,699.5,730.7186,496,380.5352,477.3705,539.4302,615.2807,721.6359,341.1006,137.9103
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-width bins,1,780.1322,941.3967,860.7644,860.6253,1074,399.5799,507.6123,582.278,677.1711,809.3541,409.7741,169.5587
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-width bins,2,941.3967,1102.6612,1022.0289,1026.7193,1419,424.4394,575.18,643.3188,759.6721,874.6624,450.223,184.4921
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-width bins,3,1102.6612,1263.9257,1183.2934,1181.3911,1543,421.397,619.5203,693.7091,809.4258,914.637,493.24,189.9056
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-width bins,4,1263.9257,1425.1902,1344.5579,1344.7339,1438,458.8754,646.9091,754.1724,860.6471,968.1213,509.2459,213.738
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-width bins,5,1425.1902,1586.4547,1505.8224,1502.4229,1461,497.4691,691.2653,832.4509,924.3373,1021.2725,523.8034,233.072
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-width bins,6,1586.4547,1747.7192,1667.0869,1657.3589,981,509.6586,720.0873,863.5778,942.9293,1060.9884,551.3298,222.8419
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-width bins,7,1747.7192,1908.9836,1828.3514,1819.819,736,560.886,771.3959,904.0291,986.9765,1102.222,541.336,215.5806
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-width bins,8,1908.9836,2070.2481,1989.6159,1981.7986,508,614.8142,844.9559,935.1158,1039.8485,1188.0333,573.2191,194.8926
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-width bins,9,2070.2481,2231.5126,2150.8804,2150.762,469,596.0353,872.196,985.7489,1090.898,1211.2018,615.1665,218.702
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-width bins,10,2231.5126,2392.7771,2312.1449,2308.6247,478,625.2257,898.3721,1007.3224,1090.6307,1204.5009,579.2753,192.2586
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-width bins,11,2392.7771,2554.0416,2473.4094,2465.6214,418,680.9479,924.6955,1024.1496,1121.0276,1225.2277,544.2798,196.3321
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-width bins,12,2554.0416,2715.3061,2634.6739,2624.5452,332,716.585,906.2033,1033.326,1115.5367,1219.6786,503.0936,209.3334
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-width bins,13,2715.3061,2876.5706,2795.9384,2790.3294,230,692.676,914.741,1036.2373,1124.2684,1252.4076,559.7316,209.5274
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-width bins,14,2876.5706,3037.8351,2957.2028,2948.4396,197,694.2938,942.8538,1048.4332,1155.2792,1250.6768,556.383,212.4254
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-width bins,15,3037.8351,3199.0996,3118.4673,3107.6069,126,621.6008,846.271,994.6659,1114.742,1206.3479,584.7471,268.4711
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-width bins,16,3199.0996,3360.3641,3279.7318,3281.9413,110,572.9199,887.507,1026.4164,1112.8454,1196.8765,623.9565,225.3385
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-width bins,17,3360.3641,3521.6286,3440.9963,3445.7353,64,590.5903,935.1805,1030.2294,1087.3551,1156.6734,566.0832,152.1745
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-width bins,18,3521.6286,3682.8931,3602.2608,3560.9883,43,623.9724,845.7681,1026.4725,1099.7663,1200.1845,576.212,253.9982
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-width bins,0,0.6513,0.9618,0.8066,0.8497,207,107.3437,119.9557,133.9048,161.5198,189.8063,82.4627,41.5641
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-width bins,1,0.9618,1.2723,1.117,1.1498,403,138.6963,165.776,191.4551,219.5387,253.8958,115.1995,53.7627
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-width bins,2,1.2723,1.5827,1.4275,1.4313,600,145.9846,194.5803,234.5966,260.5394,298.5261,152.5415,65.9591
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-width bins,3,1.5827,1.8932,1.738,1.7382,688,177.4619,229.8878,264.0971,290.7307,331.0034,153.5415,60.8429
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-width bins,4,1.8932,2.2037,2.0484,2.0389,720,187.4291,251.7895,285.4295,309.2325,351.785,164.3559,57.443
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-width bins,5,2.2037,2.5141,2.3589,2.347,649,208.4168,279.5944,309.2552,334.7928,379.9739,171.5571,55.1984
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-width bins,6,2.5141,2.8246,2.6693,2.6578,602,197.8969,283.533,324.8066,364.4424,418.058,220.1611,80.9094
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-width bins,7,2.8246,3.135,2.9798,2.9904,539,216.4872,295.1775,335.4649,388.4047,462.1108,245.6235,93.2272
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-width bins,8,3.135,3.4455,3.2903,3.2956,493,232.5837,313.0604,355.0348,404.8409,496.175,263.5913,91.7806
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-width bins,9,3.4455,3.756,3.6007,3.606,547,254.0448,318.511,359.1315,421.7397,530.8094,276.7647,103.2287
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-width bins,10,3.756,4.0664,3.9112,3.9212,634,258.7641,324.9107,377.9366,437.4636,555.5942,296.8301,112.5529
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-width bins,11,4.0664,4.3769,4.2217,4.2243,686,288.0529,339.2183,397.2076,471.165,596.2369,308.184,131.9467
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-width bins,12,4.3769,4.6874,4.5321,4.5325,777,275.1631,355.7618,416.0514,502.3807,619.9134,344.7503,146.6189
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-width bins,13,4.6874,4.9978,4.8426,4.8434,723,289.4836,386.1366,449.3729,527.8798,614.5763,325.0926,141.7432
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-width bins,14,4.9978,5.3083,5.1531,5.1618,786,328.2196,416.6094,464.9587,545.8946,638.9177,310.6981,129.2853
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-width bins,15,5.3083,5.6188,5.4635,5.4634,709,352.3251,422.9983,476.5763,549.0615,647.7146,295.3895,126.0631
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-width bins,16,5.6188,5.9292,5.774,5.7731,715,338.8857,432.3492,499.0601,579.9598,659.8852,320.9995,147.6106
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-width bins,17,5.9292,6.2397,6.0844,6.0997,961,374.4142,445.4754,483.8299,581.3602,673.0139,298.5997,135.8848
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-width bins,18,6.2397,6.5501,6.3949,6.3152,467,373.2996,434.1353,478.0816,634.4722,702.7288,329.4293,200.3369
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-width bins,19,6.5501,6.8606,6.7054,6.6629,141,416.002,486.8726,616.9642,662.6623,704.1658,288.1639,175.7897
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Equal-width bins,0,0.9758,1.296,1.1359,1.1874,226,322.9501,353.974,401.5784,439.4692,482.7628,159.8128,85.4952
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Equal-width bins,1,1.296,1.6162,1.4561,1.4694,475,351.9295,415.7142,467.1174,506.0258,560.6489,208.7194,90.3116
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Equal-width bins,2,1.6162,1.9364,1.7763,1.7969,642,386.022,463.2496,536.6076,578.188,620.6317,234.6097,114.9384
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Equal-width bins,3,1.9364,2.2566,2.0965,2.1084,867,444.749,532.6299,598.496,634.2829,678.2029,233.4538,101.653
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Equal-width bins,4,2.2566,2.5769,2.4167,2.4184,986,488.1177,582.7923,642.7096,683.0662,731.0346,242.9169,100.274
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Equal-width bins,5,2.5769,2.8971,2.737,2.7491,1146,529.7635,626.821,692.7654,754.509,827.4017,297.6382,127.688
