climate_zone,y_label,x_labels,status,each_curve_4x7_path,summary_2x2_path,error
HW,ET,"P, LAI",success,curve_output/all_zone_curve_outputs/HW/ET/HW_ET_each_curve_4x7.png,curve_output/all_zone_curve_outputs/HW/ET/HW_ET_summary_2x2.png,
HW,T,"P, LAI",success,curve_output/all_zone_curve_outputs/HW/T/HW_T_each_curve_4x7.png,curve_output/all_zone_curve_outputs/HW/T/HW_T_summary_2x2.png,
HW,E_soil,"P, LAI",success,curve_output/all_zone_curve_outputs/HW/E_soil/HW_E_soil_each_curve_4x7.png,curve_output/all_zone_curve_outputs/HW/E_soil/HW_E_soil_summary_2x2.png,
HW,E_veg,"P, LAI",success,curve_output/all_zone_curve_outputs/HW/E_veg/HW_E_veg_each_curve_4x7.png,curve_output/all_zone_curve_outputs/HW/E_veg/HW_E_veg_summary_2x2.png,
HD,ET,"P, LAI",success,curve_output/all_zone_curve_outputs/HD/ET/HD_ET_each_curve_4x7.png,curve_output/all_zone_curve_outputs/HD/ET/HD_ET_summary_2x2.png,
HD,T,"P, LAI",success,curve_output/all_zone_curve_outputs/HD/T/HD_T_each_curve_4x7.png,curve_output/all_zone_curve_outputs/HD/T/HD_T_summary_2x2.png,
HD,E_soil,"P, LAI",success,curve_output/all_zone_curve_outputs/HD/E_soil/HD_E_soil_each_curve_4x7.png,curve_output/all_zone_curve_outputs/HD/E_soil/HD_E_soil_summary_2x2.png,
HD,E_veg,"P, LAI",success,curve_output/all_zone_curve_outputs/HD/E_veg/HD_E_veg_each_curve_4x7.png,curve_output/all_zone_curve_outputs/HD/E_veg/HD_E_veg_summary_2x2.png,
CW,ET,"P, LAI",success,curve_output/all_zone_curve_outputs/CW/ET/CW_ET_each_curve_4x7.png,curve_output/all_zone_curve_outputs/CW/ET/CW_ET_summary_2x2.png,
CW,T,"P, LAI",success,curve_output/all_zone_curve_outputs/CW/T/CW_T_each_curve_4x7.png,curve_output/all_zone_curve_outputs/CW/T/CW_T_summary_2x2.png,
CW,E_soil,"P, LAI",success,curve_output/all_zone_curve_outputs/CW/E_soil/CW_E_soil_each_curve_4x7.png,curve_output/all_zone_curve_outputs/CW/E_soil/CW_E_soil_summary_2x2.png,
CW,E_veg,"P, LAI",success,curve_output/all_zone_curve_outputs/CW/E_veg/CW_E_veg_each_curve_4x7.png,curve_output/all_zone_curve_outputs/CW/E_veg/CW_E_veg_summary_2x2.png,
CD,ET,"P, LAI",success,curve_output/all_zone_curve_outputs/CD/ET/CD_ET_each_curve_4x7.png,curve_output/all_zone_curve_outputs/CD/ET/CD_ET_summary_2x2.png,
CD,T,"P, LAI",success,curve_output/all_zone_curve_outputs/CD/T/CD_T_each_curve_4x7.png,curve_output/all_zone_curve_outputs/CD/T/CD_T_summary_2x2.png,
CD,E_soil,"P, LAI",success,curve_output/all_zone_curve_outputs/CD/E_soil/CD_E_soil_each_curve_4x7.png,curve_output/all_zone_curve_outputs/CD/E_soil/CD_E_soil_summary_2x2.png,
CD,E_veg,"P, LAI",success,curve_output/all_zone_curve_outputs/CD/E_veg/CD_E_veg_each_curve_4x7.png,curve_output/all_zone_curve_outputs/CD/E_veg/CD_E_veg_summary_2x2.png,
