property,case_a,case_b,metric,case_a_value,case_b_value,observed_difference,baseline_source_property,baseline_case,baseline_side,baseline_mean,baseline_sd,baseline_min,baseline_max,baseline_q025,baseline_q975,baseline_95_width,baseline_range,baseline_n_valid,ratio_to_baseline_95_width,ratio_to_baseline_sd,larger_than_baseline_95_width,larger_than_baseline_range
Clustering,Single cloud,Separated clusters,raw overall slope,0.6824,0.1623,0.5201,Clustering,Separated clusters,1,0.1527,0.0189,0.0773,0.2006,0.1154,0.1898,0.0744,0.1233,1000,6.9909,27.5161,True,True
Clustering,Single cloud,Separated clusters,spearman rho,0.9826,0.2901,0.6924,Clustering,Separated clusters,1,0.2943,0.0282,0.1902,0.3753,0.2358,0.3439,0.108,0.1851,1000,6.4087,24.539,True,True
Clustering,Single cloud,Separated clusters,standardized overall slope,0.8514,0.2266,0.6248,Clustering,Separated clusters,1,0.2103,0.0288,0.1064,0.3296,0.1549,0.2643,0.1094,0.2231,1000,5.7111,21.7143,True,True
Clustering,Single cloud,Separated clusters,pearson r,0.9831,0.2842,0.6988,Clustering,Separated clusters,1,0.2704,0.0326,0.1486,0.3706,0.2047,0.3339,0.1292,0.222,1000,5.4084,21.4071,True,True
Clustering,Single cloud,Separated clusters,MIC-r2,0.0225,0.6679,0.6454,Clustering,Separated clusters,1,0.6743,0.0332,0.562,0.7803,0.6136,0.7416,0.128,0.2182,1000,5.0432,19.4272,True,True
Clustering,Single cloud,Separated clusters,distance correlation,0.9804,0.5898,0.3906,Clustering,Separated clusters,1,0.5725,0.0217,0.503,0.6388,0.5296,0.6145,0.0848,0.1358,1000,4.6045,17.9608,True,True
Clustering,Single cloud,Separated clusters,curve amplitude,0.6778,0.3332,0.3447,Clustering,Separated clusters,1,0.3326,0.0206,0.284,0.4058,0.2973,0.3812,0.0839,0.1218,1000,4.107,16.74,True,True
Clustering,Single cloud,Separated clusters,amplitude,0.5914,0.3375,0.2539,Clustering,Separated clusters,1,0.3288,0.0212,0.2837,0.4214,0.2955,0.3759,0.0805,0.1377,1000,3.1554,11.9842,True,True
Clustering,Single cloud,Separated clusters,raw middle slope,0.6422,-0.8313,1.4736,Clustering,Separated clusters,1,-0.651,0.1294,-1.0791,-0.2664,-0.9162,-0.4104,0.5058,0.8126,1000,2.9133,11.3889,True,True
Clustering,Single cloud,Separated clusters,standardized middle slope,0.8014,-1.1608,1.9621,Clustering,Separated clusters,1,-0.897,0.1867,-1.6223,-0.3532,-1.2709,-0.5422,0.7288,1.2691,1000,2.6924,10.5073,True,True
Clustering,Single cloud,Separated clusters,r2,0.9679,0.8066,0.1613,Clustering,Separated clusters,1,0.8158,0.0204,0.7372,0.8708,0.7735,0.8524,0.079,0.1336,1000,2.043,7.9186,True,True
Clustering,Single cloud,Separated clusters,x bin count coefficient of variation,0.2553,0.7751,0.5199,Clustering,Separated clusters,1,0.7311,0.0667,0.5329,0.9278,0.6068,0.8631,0.2562,0.3949,1000,2.0289,7.7926,True,True
Clustering,Single cloud,Separated clusters,residual sd,0.0342,0.061,0.0268,Clustering,Separated clusters,1,0.0583,0.0034,0.0484,0.0705,0.0518,0.0653,0.0135,0.0221,1000,1.9855,7.9266,True,True
Clustering,Single cloud,Separated clusters,MIC,0.9889,0.7487,0.2402,Clustering,Separated clusters,1,0.7484,0.0327,0.6483,0.8659,0.6893,0.8133,0.124,0.2175,1000,1.9371,7.3477,True,True
Clustering,Single cloud,Separated clusters,MEV,0.9889,0.7487,0.2402,Clustering,Separated clusters,1,0.748,0.0328,0.6483,0.8659,0.6893,0.8133,0.124,0.2175,1000,1.9371,7.3273,True,True
Clustering,Single cloud,Separated clusters,buffer width mean,0.7573,1.7454,0.9881,Clustering,Separated clusters,1,1.5158,0.1362,1.1559,2.0331,1.2726,1.8004,0.5278,0.8772,1000,1.872,7.2545,True,True
Clustering,Single cloud,Separated clusters,eta squared,0.9582,0.7996,0.1586,Clustering,Separated clusters,1,0.8123,0.0223,0.7329,0.8675,0.766,0.8519,0.0858,0.1347,1000,1.8481,7.1106,True,True
Clustering,Single cloud,Separated clusters,late buffer width,0.6403,1.8282,1.1878,Clustering,Separated clusters,1,1.5113,0.2232,0.9694,2.3963,1.1168,2.0169,0.9001,1.4269,1000,1.3197,5.3207,True,False
Clustering,Single cloud,Separated clusters,early buffer width,0.8669,2.0655,1.1986,Clustering,Separated clusters,1,1.465,0.2362,0.9381,2.5105,1.0554,1.9959,0.9405,1.5724,1000,1.2744,5.0753,True,False
Clustering,Single cloud,Separated clusters,raw late slope,0.6986,-0.2576,0.9562,Clustering,Separated clusters,1,-0.0135,0.198,-0.6636,0.6431,-0.4092,0.3659,0.775,1.3067,1000,1.2337,4.8302,True,False
Clustering,Single cloud,Separated clusters,standardized late slope,0.8717,-0.3597,1.2313,Clustering,Separated clusters,1,-0.0183,0.2731,-0.9363,0.8872,-0.5586,0.4844,1.043,1.8236,1000,1.1806,4.5093,True,False
Clustering,Single cloud,Separated clusters,first derivative sign changes,0.0,15.0,15.0,Clustering,Separated clusters,1,10.637,3.297,2.0,27.0,5.0,18.0,13.0,25.0,1000,1.1538,4.5496,True,False
Clustering,Single cloud,Separated clusters,MAS,0.0602,0.2466,0.1864,Clustering,Separated clusters,1,0.2605,0.0459,0.1263,0.4349,0.1741,0.3493,0.1752,0.3085,1000,1.064,4.0663,True,False
Clustering,Single cloud,Separated clusters,standardized early slope,0.8555,1.5747,0.7192,Clustering,Separated clusters,1,1.2682,0.1823,0.7751,1.861,0.9167,1.629,0.7122,1.0859,1000,1.0098,3.9445,True,False
Concavity,Positive direction,Concave,raw early slope,0.6377,1.7817,1.144,Convexity / Concavity,Concave,1,1.7529,0.047,1.5998,1.878,1.6646,1.8444,0.1798,0.2782,1000,6.363,24.3438,True,True
Concavity,Positive direction,Concave,standardized early slope,0.8316,1.9057,1.0741,Convexity / Concavity,Concave,1,1.8658,0.0585,1.6948,2.0705,1.7505,1.9817,0.2313,0.3756,1000,4.6439,18.3632,True,True
Concavity,Positive direction,Concave,pearson r,0.9845,0.9141,0.0704,Convexity / Concavity,Concave,1,0.9173,0.0041,0.9047,0.9304,0.9091,0.9249,0.0158,0.0257,1000,4.4486,17.3497,True,True
Concavity,Positive direction,Concave,standardized late slope,0.8908,0.0464,0.8444,Convexity / Concavity,Concave,1,0.1136,0.0504,-0.0373,0.2741,0.0118,0.2145,0.2027,0.3114,1000,4.1661,16.7428,True,True
Concavity,Positive direction,Concave,amplitude,0.609,0.7604,0.1514,Convexity / Concavity,Concave,1,0.7543,0.0105,0.7267,0.7926,0.7334,0.7739,0.0405,0.0659,1000,3.7353,14.4813,True,True
Concavity,Positive direction,Concave,raw overall slope,0.6741,0.798,0.1239,Convexity / Concavity,Concave,1,0.7926,0.0089,0.7654,0.8219,0.7754,0.8093,0.0339,0.0564,1000,3.6576,13.8731,True,True
Concavity,Positive direction,Concave,raw late slope,0.6831,0.0434,0.6397,Convexity / Concavity,Concave,1,0.1067,0.0473,-0.0335,0.2621,0.0111,0.1996,0.1885,0.2957,1000,3.3933,13.5353,True,True
Concavity,Positive direction,Concave,curve amplitude,0.6674,0.8561,0.1888,Convexity / Concavity,Concave,1,0.8544,0.0149,0.8094,0.9091,0.8267,0.8844,0.0577,0.0997,1000,3.2731,12.6544,True,True
Concavity,Positive direction,Concave,distance correlation,0.9823,0.939,0.0433,Convexity / Concavity,Concave,1,0.9403,0.0036,0.9282,0.9508,0.9332,0.9471,0.0139,0.0226,1000,3.1231,11.9728,True,True
Concavity,Positive direction,Concave,MIC-r2,0.0043,0.1644,0.1602,Convexity / Concavity,Concave,1,0.1499,0.0146,0.0943,0.1797,0.1143,0.1721,0.0578,0.0855,1000,2.7701,10.994,True,True
Concavity,Positive direction,Concave,spearman rho,0.9853,0.9429,0.0424,Convexity / Concavity,Concave,1,0.9529,0.0071,0.9303,0.9712,0.9376,0.9653,0.0277,0.0409,1000,1.5288,5.9835,True,True
Concavity,Positive direction,Concave,r2,0.9706,0.98,0.0094,Convexity / Concavity,Concave,1,0.9815,0.002,0.9736,0.9873,0.9774,0.9852,0.0078,0.0137,1000,1.2032,4.6749,True,False
Concavity,Positive direction,Concave,raw middle slope,0.6203,0.8156,0.1954,Convexity / Concavity,Concave,1,0.7048,0.0473,0.5575,0.8478,0.6116,0.7985,0.1869,0.2903,1000,1.0453,4.1273,True,False
Concavity,Positive direction,Concave,late buffer width,0.7018,0.5053,0.1964,Convexity / Concavity,Concave,1,0.4945,0.048,0.3607,0.6652,0.4024,0.5944,0.1919,0.3044,1000,1.0234,4.0921,True,False
Convexity,Positive direction,Convex,raw late slope,0.6831,1.7545,1.0714,Convexity / Concavity,Convex,0,1.7516,0.0461,1.6078,1.9341,1.6635,1.8449,0.1814,0.3263,1000,5.9066,23.2555,True,True
Convexity,Positive direction,Convex,standardized late slope,0.8908,1.9037,1.0129,Convexity / Concavity,Convex,0,1.8419,0.0585,1.6649,2.0472,1.7293,1.96,0.2307,0.3822,1000,4.3913,17.306,True,True
Convexity,Positive direction,Convex,pearson r,0.9845,0.9175,0.0671,Convexity / Concavity,Convex,0,0.9176,0.0039,0.9039,0.928,0.9097,0.9251,0.0154,0.024,1000,4.3692,17.0602,True,True
Convexity,Positive direction,Convex,standardized early slope,0.8316,0.0712,0.7604,Convexity / Concavity,Convex,0,0.1146,0.0487,-0.1064,0.2789,0.0257,0.2081,0.1824,0.3853,1000,4.1701,15.6035,True,True
Convexity,Positive direction,Convex,amplitude,0.609,0.7454,0.1365,Convexity / Concavity,Convex,0,0.7548,0.0104,0.7189,0.7859,0.735,0.7746,0.0396,0.067,1000,3.4469,13.1454,True,True
Convexity,Positive direction,Convex,raw overall slope,0.6741,0.7873,0.1132,Convexity / Concavity,Convex,0,0.793,0.0085,0.7669,0.8183,0.7762,0.81,0.0338,0.0513,1000,3.3474,13.3107,True,True
Convexity,Positive direction,Convex,raw early slope,0.6377,0.0656,0.5721,Convexity / Concavity,Convex,0,0.1089,0.0463,-0.1007,0.2669,0.0241,0.1973,0.1732,0.3676,1000,3.3025,12.348,True,True
Convexity,Positive direction,Convex,distance correlation,0.9823,0.941,0.0414,Convexity / Concavity,Convex,0,0.9404,0.0034,0.9298,0.9496,0.9333,0.9469,0.0136,0.0199,1000,3.0473,12.2311,True,True
Convexity,Positive direction,Convex,curve amplitude,0.6674,0.8373,0.1699,Convexity / Concavity,Convex,0,0.8541,0.015,0.8043,0.9013,0.8277,0.8858,0.0581,0.097,1000,2.9251,11.354,True,True
Convexity,Positive direction,Convex,MIC-r2,0.0043,0.1319,0.1276,Convexity / Concavity,Convex,0,0.1487,0.0143,0.0915,0.1775,0.1155,0.1692,0.0537,0.086,1000,2.3763,8.9463,True,True
Convexity,Positive direction,Convex,r2,0.9706,0.9814,0.0108,Convexity / Concavity,Convex,0,0.9813,0.002,0.9751,0.9878,0.9775,0.9851,0.0076,0.0128,1000,1.4216,5.5068,True,False
Convexity,Positive direction,Convex,spearman rho,0.9853,0.9524,0.0329,Convexity / Concavity,Convex,0,0.953,0.0071,0.9295,0.9752,0.9388,0.9657,0.0269,0.0456,1000,1.2257,4.6518,True,False
Density,Even coverage,Uneven coverage,x bin count coefficient of variation,0.0,0.6269,0.6269,Density,Uneven coverage,1,0.6268,0.0354,0.5098,0.7499,0.5598,0.7013,0.1414,0.2401,1000,4.433,17.7042,True,True
Direction,Positive direction,Negative direction,pearson r,0.9845,-0.9827,1.9673,Direction,Negative direction,1,-0.9847,0.0016,-0.989,-0.9801,-0.9877,-0.9815,0.0062,0.0089,1000,316.9003,1239.2067,True,True
Direction,Positive direction,Negative direction,spearman rho,0.9853,-0.9844,1.9698,Direction,Negative direction,1,-0.9854,0.0016,-0.9897,-0.98,-0.9884,-0.9821,0.0062,0.0098,1000,315.8822,1246.707,True,True
Direction,Positive direction,Negative direction,raw overall slope,0.6741,-0.6746,1.3486,Direction,Negative direction,1,-0.6803,0.0086,-0.7084,-0.6513,-0.6977,-0.6638,0.0339,0.0571,1000,39.7723,155.9186,True,True
Direction,Positive direction,Negative direction,standardized overall slope,0.879,-0.8873,1.7663,Direction,Negative direction,1,-0.8924,0.0331,-0.9828,-0.7795,-0.9526,-0.8263,0.1264,0.2033,1000,13.9795,53.4005,True,True
Direction,Positive direction,Negative direction,raw late slope,0.6831,-0.7421,1.4251,Direction,Negative direction,1,-0.6779,0.0466,-0.8485,-0.5166,-0.7748,-0.5885,0.1863,0.3319,1000,7.6486,30.5607,True,True
Direction,Positive direction,Negative direction,standardized late slope,0.8908,-0.976,1.8668,Direction,Negative direction,1,-0.889,0.0649,-1.0888,-0.6973,-1.0245,-0.7702,0.2543,0.3915,1000,7.3405,28.7852,True,True
Direction,Positive direction,Negative direction,raw early slope,0.6377,-0.6497,1.2874,Direction,Negative direction,1,-0.6829,0.0458,-0.8109,-0.5473,-0.7729,-0.5947,0.1782,0.2637,1000,7.2234,28.1312,True,True
Direction,Positive direction,Negative direction,standardized early slope,0.8316,-0.8545,1.6862,Direction,Negative direction,1,-0.8954,0.0619,-1.0911,-0.7005,-1.0141,-0.776,0.2381,0.3906,1000,7.0832,27.2607,True,True
Direction,Positive direction,Negative direction,raw middle slope,0.6203,-0.5671,1.1874,Direction,Negative direction,1,-0.6807,0.0471,-0.8211,-0.5011,-0.7758,-0.589,0.1868,0.32,1000,6.357,25.2028,True,True
Direction,Positive direction,Negative direction,standardized middle slope,0.8089,-0.7459,1.5548,Direction,Negative direction,1,-0.8931,0.0706,-1.1137,-0.6428,-1.0326,-0.7541,0.2785,0.4709,1000,5.5824,22.0072,True,True
Heteroscedasticity,Constant spread,Changing spread,residual sd,0.0732,0.1209,0.0477,Heteroscedasticity,Changing spread,1,0.1172,0.0075,0.0948,0.1432,0.102,0.1324,0.0304,0.0484,1000,1.5688,6.3519,True,False
Heteroscedasticity,Constant spread,Changing spread,late buffer width,1.3292,2.2982,0.969,Heteroscedasticity,Changing spread,1,2.3904,0.2281,1.6786,3.1142,1.9815,2.8383,0.8568,1.4356,1000,1.1309,4.2474,True,False
Heteroscedasticity,Constant spread,Changing spread,pearson r,0.9332,0.8482,0.0849,Heteroscedasticity,Changing spread,1,0.852,0.0205,0.77,0.909,0.8094,0.8896,0.0802,0.1391,1000,1.0587,4.1379,True,False
Heteroscedasticity,Constant spread,Changing spread,spearman rho,0.9388,0.8597,0.0792,Heteroscedasticity,Changing spread,1,0.8674,0.0197,0.7832,0.9185,0.8273,0.9027,0.0754,0.1352,1000,1.0504,4.0284,True,False
Heteroscedasticity,Constant spread,Changing spread,r2,0.8763,0.733,0.1433,Heteroscedasticity,Changing spread,1,0.7304,0.0347,0.6081,0.8298,0.6593,0.7979,0.1386,0.2217,1000,1.0342,4.1337,True,False
Monotonicity,Monotonic,Non-monotonic,pearson r,0.9845,0.0172,0.9673,Monotonicity,Monotonic,0,0.9848,0.0017,0.9786,0.9899,0.9813,0.9877,0.0064,0.0113,1000,151.2712,581.4556,True,True
Monotonicity,Monotonic,Non-monotonic,spearman rho,0.9853,0.0251,0.9602,Monotonicity,Monotonic,0,0.9855,0.0017,0.9789,0.9903,0.9819,0.9885,0.0066,0.0114,1000,145.8834,572.4692,True,True
