property,case_a,case_b,metric,case_a_value,case_b_value,observed_difference,baseline_mean,baseline_sd,baseline_min,baseline_max,baseline_q025,baseline_q975,baseline_95_width,baseline_range,ratio_to_baseline_95_width,ratio_to_baseline_sd,larger_than_baseline_95_width,larger_than_baseline_range,observed_minus_baseline95
Certainty,High certainty,Low certainty,buffer width mean,0.7259713929640897,2.067560657484649,1.3415892645205592,2.1526503982236926,0.13436236475471142,1.7851090411763333,2.5299348104256216,1.8921079490413604,2.399649417351687,0.5075414683103268,0.7448257692492883,2.6433096570155907,9.984858981677876,True,True,0.8340477962102324
Certainty,High certainty,Low certainty,middle buffer width,0.6759433272204599,2.1571568197547974,1.4812134925343377,2.145620860769148,0.2460661437126447,1.5211179106577397,3.149204210701202,1.707943955269407,2.6304089042938434,0.9224649490244365,1.6280863000434622,1.6057124924917874,6.019574534658837,True,False,0.5587485435099011
Certainty,High certainty,Low certainty,late buffer width,0.7643878576034798,2.0620636175037865,1.2976757599003066,2.158349571438105,0.21274684676902542,1.3803395122050914,2.8598115390716394,1.7578063561015373,2.5866047291300545,0.8287983730285171,1.479472026866548,1.5657315483842733,6.099623940885783,True,False,0.4688773868717895
Certainty,High certainty,Low certainty,MCN,4.0,4.459431618637297,0.4594316186372973,4.4586971799711606,0.015767087593714167,4.0,4.459431618637297,4.459431618637297,4.459431618637297,0.0,0.4594316186372973,,29.13864820668961,True,False,0.4594316186372973
Certainty,High certainty,Low certainty,early buffer width,0.7247775058551992,1.9852938818556494,1.2605163760004503,2.1520810380590203,0.24944929897090296,1.4780868499836946,2.8824702247125984,1.7063048206783105,2.64016652497082,0.9338617042925095,1.4043833747289038,1.3497891285256347,5.053196706507816,True,False,0.3266546717079408
Certainty,High certainty,Low certainty,standardized overall slope,0.9172341403198011,0.5774425435129533,0.3397915968068478,0.576799755966106,0.046731384201176,0.4144936964813572,0.7161238019418412,0.4836426155975786,0.66520917045931,0.18156655486173146,0.301630105460484,1.8714437637791255,7.27116482028574,True,True,0.15822504194511633
Certainty,High certainty,Low certainty,MIC,1.0000000000000002,0.6647716098225058,0.3352283901774944,0.6801835767925907,0.052944617360795886,0.5278852670131449,0.8633811654900045,0.5791816670890132,0.7867850487792645,0.20760338169025128,0.3354958984768597,1.6147539960483996,6.331680289481557,True,False,0.12762500848724312
Certainty,High certainty,Low certainty,MEV,1.0000000000000002,0.6647716098225058,0.3352283901774944,0.6801835767925907,0.052944617360795886,0.5278852670131449,0.8633811654900045,0.5791816670890132,0.7867850487792645,0.20760338169025128,0.3354958984768597,1.6147539960483996,6.331680289481557,True,False,0.12762500848724312
Certainty,High certainty,Low certainty,r2,0.9700263953098166,0.718624234526803,0.2514021607830136,0.6712697266423434,0.03495071620020794,0.5617193740118417,0.778431317944899,0.6009697533176218,0.7366358447292883,0.13566609141166652,0.21671194393305726,1.8530950377287454,7.193047471270928,True,True,0.11573606937134706
Certainty,High certainty,Low certainty,eta squared,0.9575818364240949,0.7150257601493883,0.24255607627470654,0.6680735995402329,0.035288410548999075,0.5661429509801281,0.7788655429185419,0.594889989431764,0.7359793437445535,0.14108935431278957,0.2127225919384138,1.719166392504492,6.873533619144159,True,True,0.10146672196191697
Certainty,High certainty,Low certainty,distance correlation,0.9827607508094028,0.8170466745537672,0.1657140762556356,0.7983478350361058,0.02458984060395585,0.7221190413882569,0.8796005163522933,0.7475049060103364,0.8433008383673287,0.09579593235699235,0.15748147496403642,1.7298654773575026,6.739127712319397,True,True,0.06991814389864326
Certainty,High certainty,Low certainty,pearson r,0.9846523746667344,0.8362526614349035,0.14839971323183088,0.8119398326701923,0.02192093708211166,0.7467729247484558,0.877443974667399,0.7686135422653736,0.8515386024501364,0.08292506018476276,0.13067104991894318,1.7895641305678414,6.769770501870143,True,True,0.06547465304706812
Certainty,High certainty,Low certainty,residual sd,0.031424586032655306,0.11753572108881645,0.08611113505616114,0.12677338473641947,0.007136719001534489,0.10704927045014866,0.1495644999534129,0.11235989860043548,0.1408846126781241,0.028524714077688626,0.04251522950326424,3.0188255286848005,12.065927639528207,True,True,0.05758642097847251
Certainty,High certainty,Low certainty,spearman rho,0.9862464890891693,0.8418634319989301,0.14438305709023924,0.8210406946716462,0.022465949276731987,0.7524944185520129,0.890039816043705,0.7739205428151074,0.861027912384127,0.08710736956901965,0.13754539749169203,1.6575297567198044,6.4267507823396075,True,True,0.05727568752121959
Certainty,High certainty,Low certainty,x bin count coefficient of variation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,0.0
Certainty,High certainty,Low certainty,MAS,0.03356579988870212,0.06224305529810159,0.02867725540939947,0.061704236662971604,0.029132401319883972,0.006599806080183512,0.18610964395070184,0.019900551604855456,0.1340953273737414,0.11419477576888595,0.17950983787051833,0.25112580865729073,0.9843766428490793,False,False,-0.08551752035948648
Certainty,High certainty,Low certainty,MIC-r2,0.030459701063161204,-0.03454690393445348,0.06500660499761468,0.02045723796101545,0.041249334630399155,-0.09303929489416085,0.15535818625043207,-0.056113916672910165,0.10521868043029657,0.16133259710320674,0.24839748114459292,0.40293534081044413,1.5759431171456362,False,False,-0.09632599210559206
Certainty,High certainty,Low certainty,amplitude,0.5611106030614711,0.6155713432829595,0.05446074022148839,0.5634014351540297,0.04126536273505387,0.43924693923132024,0.726182027433435,0.48232841120926884,0.645263940507756,0.1629355292984872,0.2869350882021147,0.3342471740569234,1.3197688475721403,False,False,-0.10847478907699881
