property,case_a,case_b,metric,case_a_value,case_b_value,observed_difference,baseline_mean,baseline_sd,baseline_min,baseline_max,baseline_q025,baseline_q975,baseline_95_width,baseline_range,ratio_to_baseline_95_width,ratio_to_baseline_sd,larger_than_baseline_95_width,larger_than_baseline_range,observed_minus_baseline95
Clustering,Single cloud,Separated clusters,x bin count coefficient of variation,0.0,1.6101529717988265,1.6101529717988265,1.0790443810464068,0.09004572075801219,0.8674102539726198,1.3440923934536337,0.9180216331277955,1.2638871923429382,0.3458655592151427,0.4766821394810139,4.655430206617493,17.881504620590828,True,True,1.2642874125836838
Clustering,Single cloud,Separated clusters,amplitude,0.5611106030614711,0.384457092927415,0.1766535101340561,0.39882145401096236,0.009208911340234032,0.375020092583335,0.4330202601494869,0.382400225125875,0.4183753076182991,0.03597508249242409,0.058000167566151895,4.910440724389087,19.18288748880133,True,True,0.14067842764163202
Clustering,Single cloud,Separated clusters,curve amplitude,0.628201463407033,0.4087221815957673,0.2194792818112657,0.4560212775040101,0.02609216015094307,0.38976476261921683,0.5441064563818159,0.4096028355882349,0.5126957952976258,0.10309295970939086,0.15434169376259904,2.1289453948160637,8.411694568084002,True,True,0.11638632210187483
Clustering,Single cloud,Separated clusters,standardized overall slope,0.9172341403198011,0.7061614178867525,0.21107272243304864,0.8115433804424301,0.03602776860958865,0.6745800671073949,0.9184803727432782,0.7359341255701973,0.8800427125812764,0.1441085870110791,0.24390030563588327,1.4646783152264296,5.85861213666373,True,False,0.06696413542196955
Clustering,Single cloud,Separated clusters,r2,0.9700263953098166,0.8963095285609841,0.07371686674883249,0.9559772660726252,0.004980427453571727,0.9378224782552851,0.9692648269023314,0.945253887000418,0.9654206573450796,0.020166770344661633,0.031442348647046314,3.655363029824265,14.801313227836747,True,True,0.053550096404170855
Clustering,Single cloud,Separated clusters,MEV,1.0000000000000002,0.9182958340544901,0.08170416594551011,0.9173372027337333,0.0070271412389445,0.8663080215181129,0.96302765537748,0.8919295931780058,0.9217860698530798,0.029856476675073962,0.0967196338593671,2.7365642247305697,11.626942332211092,True,False,0.05184768927043615
Clustering,Single cloud,Separated clusters,spearman rho,0.9862464890891693,0.9428235914411132,0.04342289764805618,0.9314843791475046,0.007426905747206606,0.9087152895665503,0.9531775672088644,0.9166984063294136,0.9453395680936654,0.0286411617642518,0.04446227764231403,1.516101127652373,5.846701052371416,True,False,0.014781735883804381
Clustering,Single cloud,Separated clusters,residual sd,0.031424586032655306,0.05130317632439137,0.01987859029173606,0.033890490986324455,0.0018754572504315534,0.027796065012978436,0.03984844720106355,0.030156957533993438,0.037638410597686814,0.007481453063693376,0.012052382188085114,2.6570493890023252,10.599329996544514,True,True,0.012397137228042684
Clustering,Single cloud,Separated clusters,MIC,1.0000000000000002,1.0000000000000002,0.0,0.9997674061591325,0.0017713000308296372,0.9789690082142848,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,0.021030991785715436,,0.0,False,False,0.0
Clustering,Single cloud,Separated clusters,pearson r,0.9846523746667344,0.9790248898817041,0.005627484785030279,0.976483634109749,0.0026198160090902508,0.967503983981611,0.9833154251640602,0.9709691537700216,0.9813009903100497,0.010331836540028116,0.01581144118244926,0.5446741983603783,2.148045803790802,False,False,-0.0047043517549978375
Clustering,Single cloud,Separated clusters,MIC-r2,0.030459701063161204,0.04151026499211741,0.011050563928956203,0.04624026190246485,0.005023445249565005,0.03165004003212535,0.06393604097971084,0.036942226622333776,0.05661808953142987,0.019675862909096092,0.03228600094758549,0.5616304596149407,2.1997978239960125,False,False,-0.00862529898013989
Clustering,Single cloud,Separated clusters,distance correlation,0.9827607508094028,0.9816377185637073,0.0011230322456955433,0.9789494133484291,0.0028311857338494577,0.9695637597328993,0.9858297705674274,0.9727770588337249,0.9840346523173013,0.011257593483576356,0.016266010834528055,0.09975775438453424,0.3966649846630154,False,False,-0.010134561237880813
Clustering,Single cloud,Separated clusters,buffer width mean,0.7259713929640897,0.9963920995355519,0.2704207065714621,0.877835052277793,0.0727509385801654,0.6440753186304423,1.1078036267650493,0.7432701171700759,1.0256998449424366,0.28242972777236075,0.46372830813460697,0.9574796134400627,3.717075158741509,False,False,-0.01200902120089864
Clustering,Single cloud,Separated clusters,eta squared,0.9575818364240949,0.9592018058973972,0.0016199694733023406,0.9502248558920662,0.005718927033073613,0.930828873770391,0.9654967815605386,0.9383017119300479,0.9602351872356598,0.02193347530561196,0.03466790779014761,0.07385831249860576,0.28326458161360646,False,False,-0.02031350583230962
Clustering,Single cloud,Separated clusters,MAS,0.03356579988870212,1.1102230246251565e-16,0.03356579988870201,0.040103955674492965,0.01574783226834637,0.004537576267428789,0.11315909212533315,0.012747525294928494,0.07465955564031962,0.061912030345391125,0.10862151585790436,0.5421531114622979,2.1314552578877985,False,False,-0.028346230456689117
Clustering,Single cloud,Separated clusters,raw overall slope,0.6147086296415408,0.6197774689752882,0.005068839333747355,0.6200036914935192,0.01028397280046756,0.590382997606545,0.6558128822370279,0.60037716230627,0.6403861154550303,0.040008953148760296,0.06542988463048294,0.126692625895522,0.4928872753841687,False,False,-0.03494011381501294
Clustering,Single cloud,Separated clusters,middle buffer width,0.6759433272204599,1.003246937053027,0.3273036098325671,0.8876146617964393,0.11193241453243899,0.5755454262310935,1.2360345686971324,0.6786808137311953,1.1176679552024453,0.43898714147125006,0.6604891424660388,0.7455881480619695,2.9241181939992162,False,False,-0.11168353163868294
Clustering,Single cloud,Separated clusters,late buffer width,0.7643878576034798,1.0695775136802914,0.3051896560768116,0.8694742528483743,0.12548492679498446,0.5102803467697478,1.2648826864500928,0.625536042927683,1.1270462041139138,0.5015101611862308,0.7546023396803451,0.6085413211866757,2.432082194026588,False,False,-0.19632050510941923
