property,case_a,case_b,metric,case_a_value,case_b_value,observed_difference,baseline_mean,baseline_sd,baseline_min,baseline_max,baseline_q025,baseline_q975,baseline_95_width,baseline_range,ratio_to_baseline_95_width,ratio_to_baseline_sd,larger_than_baseline_95_width,larger_than_baseline_range,observed_minus_baseline95
Direction,Positive direction,Negative direction,spearman rho,0.9879831682047799,-0.9866806588680721,1.974663827072852,-0.9856197228309515,0.0016800180683059708,-0.9901560747759705,-0.9805693591365989,-0.9887820097328106,-0.9820894163400106,0.006692593392800039,0.009586715639371524,295.05211375865383,1175.3824939894748,True,True,1.9679712336800521
Direction,Positive direction,Negative direction,pearson r,0.9872108479566687,-0.9864392812740554,1.973650129230724,-0.9849186649088089,0.001659656915299504,-0.9890253179379171,-0.979198423031358,-0.9881056365038481,-0.9814979610644687,0.006607675439379346,0.009826894906559192,298.69053759337,1189.1916401737503,True,True,1.9670424537913447
Direction,Positive direction,Negative direction,standardized overall slope,0.9254974862548283,-0.9485871987167878,1.8740846849716162,-0.8936615023137555,0.03246283194505643,-0.9907037741028948,-0.7930518866420159,-0.9559672400408611,-0.8214983733502614,0.13446886669059965,0.19765188746087892,13.936941175266321,57.730166245000355,True,True,1.7396158182810164
Direction,Positive direction,Negative direction,standardized late slope,0.9582440753629673,-0.9101633718071022,1.8684074471700693,-0.8911581539988823,0.06283130020283746,-1.1132612965508215,-0.6891214082219511,-1.007487215220107,-0.7619617873409605,0.24552542787914655,0.4241398883288704,7.609832770924826,29.736889753010267,True,True,1.6228820192909228
Direction,Positive direction,Negative direction,standardized middle slope,0.8897718204130116,-0.9537885889852463,1.843560409398258,-0.893508236155928,0.0680793903483403,-1.064168591034606,-0.7173232513806125,-1.0239732349065067,-0.7589686102263431,0.2650046246801636,0.34684533965399345,6.956710327690572,27.079566958008193,True,True,1.5785557847180944
Direction,Positive direction,Negative direction,standardized early slope,0.9553189835449498,-0.8335229893736369,1.7888419729185867,-0.8901701600057067,0.0613454518153046,-1.086011957517429,-0.696137329277978,-1.001790867490184,-0.7680824353045893,0.23370843218559478,0.38987462823945096,7.654161025298455,29.160140156833965,True,True,1.5551335407329918
Direction,Positive direction,Negative direction,raw overall slope,0.674708629641541,-0.6755160934013397,1.3502247230428805,-0.6804246495934321,0.009124433180000812,-0.7112083825692449,-0.6540853096623385,-0.6987736949635563,-0.6627783910967494,0.03599530386680694,0.057123072906906436,37.51113556476988,147.97902471381354,True,True,1.3142294191760735
Direction,Positive direction,Negative direction,raw late slope,0.6985816347990113,-0.6481533865435287,1.34673502134254,-0.6788783523319392,0.047518665888009314,-0.8425803601998875,-0.536799199084124,-0.7701065838812642,-0.5873716068910311,0.1827349769902331,0.3057811611157635,7.369880925502953,28.34117911720182,True,True,1.1640000443523069
Direction,Positive direction,Negative direction,raw middle slope,0.6486638100702786,-0.6792201522787508,1.3278839623490293,-0.6802522794904894,0.04560322167410857,-0.8197028419354249,-0.5417117143204173,-0.7651732884438642,-0.5916858149038655,0.17348747353999872,0.27799112761500755,7.654062482170372,29.118205109244318,True,True,1.1543964888090306
Direction,Positive direction,Negative direction,raw early slope,0.6964491766114729,-0.5935755767140511,1.290024753325524,-0.6781780332598546,0.04701160929438427,-0.8297844431499497,-0.521209746804295,-0.7682129052760992,-0.5856535208433454,0.18255938443275377,0.3085746963456547,7.066329443067924,27.440557187639666,True,True,1.1074653688927703
Direction,Positive direction,Negative direction,first derivative sign changes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,0.0
Direction,Positive direction,Negative direction,x bin count coefficient of variation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,0.0
Direction,Positive direction,Negative direction,distance correlation,0.9855829112819402,0.983671649086705,0.001911262195235186,0.9827778194173634,0.0020452378305845067,0.9761573625658355,0.9881770560624412,0.9787073731284108,0.9864430895727178,0.007735716444306928,0.012019693496605699,0.24706983625825277,0.9344938601536469,False,False,-0.005824454249071742
Direction,Positive direction,Negative direction,residual sd,0.0314245860326553,0.031644232600835175,0.0002196465681798751,0.03413129589057448,0.0019214243465669784,0.028820957428886216,0.04026736537207273,0.030250741930886452,0.03793047264411029,0.00767973071322384,0.011446407943186517,0.028600816406448012,0.11431445040879132,False,False,-0.007460084145043965
Direction,Positive direction,Negative direction,r2,0.9749908438451121,0.9747920224193549,0.00019882142575722295,0.9710826895226905,0.003211676821784847,0.9593800584719451,0.9796005523762709,0.9643178333371712,0.9773361315317123,0.013018298194541034,0.020220493904325787,0.015272459025450408,0.06190580086035262,False,False,-0.01281947676878381
Direction,Positive direction,Negative direction,eta squared,0.9626985512437704,0.9640341333344852,0.0013355820907148264,0.9617567981106827,0.004056390569593917,0.9472924371400051,0.9734341591438727,0.9540343534211988,0.9696480427680372,0.015613689346838378,0.02614172200386755,0.08553917405723645,0.3292538200650956,False,False,-0.014278107256123551
Direction,Positive direction,Negative direction,amplitude,0.6154122790391247,0.6007582954160835,0.014653983623041156,0.6154987100064943,0.011528796025157257,0.5709784958371091,0.6498851511740789,0.5927641346247919,0.6379269854887692,0.04516285086397731,0.07890665533696972,0.3244698539331899,1.2710766667277618,False,False,-0.030508867240936155
Direction,Positive direction,Negative direction,MIC,1.0000000000000002,0.988888888888889,0.011111111111111183,0.992038972304159,0.012319505386610804,0.9392537092986305,1.0000000000000002,0.9577242195864623,1.0000000000000002,0.04227578041353797,0.06074629070136972,0.262824506192985,0.9019121111134105,False,False,-0.031164669302426784
Direction,Positive direction,Negative direction,MEV,1.0000000000000002,0.988888888888889,0.011111111111111183,0.992038972304159,0.012319505386610804,0.9392537092986305,1.0000000000000002,0.9577242195864623,1.0000000000000002,0.04227578041353797,0.06074629070136972,0.262824506192985,0.9019121111134105,False,False,-0.031164669302426784
Direction,Positive direction,Negative direction,MIC-r2,0.025414741676675345,0.01582643324841393,0.009588308428261416,0.02197144411179329,0.012044621447437582,-0.027977638347681855,0.038419327004269754,-0.010698332962248938,0.035028452626848505,0.04572678558909744,0.06639696535195161,0.20968691117766955,0.7960655691924023,False,False,-0.03613847716083603
Direction,Positive direction,Negative direction,curve amplitude,0.6882014634070389,0.6632921775166101,0.024909285890428845,0.6799346445639847,0.016765534170967124,0.6091760487982563,0.7269407063242062,0.6467350331911542,0.7134795652762481,0.0667445320850939,0.11776465752594989,0.3732033937802053,1.48574364743858,False,False,-0.041835246194665054
Direction,Positive direction,Negative direction,MAS,0.033165728336232214,0.021953694973102733,0.011212033363129481,0.04606712930925403,0.019251003980249447,0.008304587597216528,0.11212153898169774,0.016794278195280093,0.0917343724230484,0.0749400942277683,0.10381695138448122,0.14961328083004963,0.5824129159514204,False,False,-0.06372806086463882
Direction,Positive direction,Negative direction,buffer width mean,0.6796880252879995,0.7302462136932837,0.050558188405284143,0.7275428889239808,0.04474732185336954,0.5952835309749185,0.8697866229930138,0.6420555809857822,0.8204047192294983,0.17834913824371612,0.2745030920180953,0.2834787367247932,1.1298595382078054,False,False,-0.12779094983843198
Direction,Positive direction,Negative direction,middle buffer width,0.6254470414082856,0.8187641991389505,0.19331715773066493,0.7266838649777485,0.08546137135771037,0.49510758435495644,1.0342505303450522,0.5680612227342497,0.8996527976805301,0.33159157494628033,0.5391429459900958,0.5829977971001928,2.2620413721365327,False,False,-0.1382744172156154
Direction,Positive direction,Negative direction,late buffer width,0.7180193843190091,0.6878101517800714,0.030209232538937703,0.7280187635598802,0.06827714520183707,0.4855252434533964,0.9849108913467326,0.6067680659525027,0.8624518788426498,0.2556838128901472,0.49938564789333617,0.11815074328509366,0.4424501412534877,False,False,-0.22547458035120949
Direction,Positive direction,Negative direction,early buffer width,0.6828205304597003,0.6983096441318999,0.015489113672199628,0.7277674133556802,0.08253112327013822,0.5193725115856738,0.9741243863342722,0.5764121951095519,0.8890367407484036,0.31262454563885167,0.45475187474859846,0.04954541762083158,0.18767603127732987,False,False,-0.29713543196665204
Direction,Positive direction,Negative direction,MCN,4.0,4.459431618637297,0.4594316186372973,4.222725808828094,0.3251666255648772,2.0,4.459431618637297,3.5849625007211565,4.459431618637297,0.8744691179161408,2.4594316186372973,0.5253834689235481,1.4129113584125552,False,False,-0.4150374992788435
