property,case_a,case_b,metric,case_a_value,case_b_value,observed_difference,baseline_mean,baseline_sd,baseline_min,baseline_max,baseline_q025,baseline_q975,baseline_95_width,baseline_range,ratio_to_baseline_95_width,ratio_to_baseline_sd,larger_than_baseline_95_width,larger_than_baseline_range,observed_minus_baseline95
Non-linearity,Linear,Non-linear,standardized late slope,0.9634375606275788,1.5598188713617702,0.5963813107341914,1.4852913098574485,0.06402763624887059,1.2581756807473954,1.696588445155499,1.3579898374588466,1.610857095498334,0.2528672580394873,0.4384127644081035,2.3584758080504895,9.31443585416932,True,True,0.34351405269470414
Non-linearity,Linear,Non-linear,standardized early slope,0.9607988003197111,0.40384825482575765,0.5569505454939534,0.29486204901417706,0.05478854158605343,0.112826496616924,0.4656372468407941,0.1875812962036671,0.40112242559596,0.21354112939229292,0.3528107502238701,2.608165214256166,10.1654566697889,True,True,0.3434094161016605
Non-linearity,Linear,Non-linear,raw late slope,0.7785816347990111,1.3013438201603815,0.5227621853613704,1.2706188543719708,0.04751866588800929,1.1069168465040227,1.4126980076197861,1.179390622822646,1.362125599812879,0.1827349769902329,0.3057811611157635,2.860766964111703,11.001196594900248,True,True,0.34002720837113753
Non-linearity,Linear,Non-linear,raw early slope,0.7764491766114726,0.33692721658203645,0.43952196002943617,0.2523247600362336,0.04701160929438425,0.1007183501461384,0.409293046491792,0.16228988801998773,0.34484927245274355,0.18255938443275582,0.3085746963456536,2.407556102334089,9.349221748125501,True,True,0.25696257559668034
Non-linearity,Linear,Non-linear,pearson r,0.9897391087114306,0.9576225601828052,0.03211654852862533,0.95676548976499,0.0030799715551044636,0.9453821493903992,0.9648916954113562,0.9506674161309283,0.9630396488137966,0.012372232682868245,0.019509546020957003,2.5958571384691886,10.427547123088944,True,True,0.019744315845757088
Non-linearity,Linear,Non-linear,MIC-r2,0.020416496687103214,0.08295903222892975,0.06254253554182654,0.07972982488434437,0.010726018101654043,0.02414019929584621,0.10265308579511712,0.05239650696440834,0.09560813912749186,0.04321163216308352,0.0785128864992709,1.44735415931032,5.830918328599683,True,False,0.01933090337874302
Non-linearity,Linear,Non-linear,distance correlation,0.9883603524983051,0.9660331772954773,0.022327175202827787,0.9671861708014607,0.0026912446570607753,0.9568553411386421,0.974524702284318,0.961706404784596,0.9723217867822637,0.01061538199766765,0.017669361145675855,2.103285139219049,8.29622648548507,True,True,0.011711793205160137
Non-linearity,Linear,Non-linear,x bin count coefficient of variation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,0.0
Non-linearity,Linear,Non-linear,spearman rho,0.9899194419580852,0.9821599432081237,0.007759498749961513,0.9747886786629216,0.003851908394359909,0.957669475395331,0.9848287498585347,0.9669538154469789,0.9818663641881951,0.01491254874121617,0.027159274463203764,0.5203335046621078,2.014455681584543,False,False,-0.007153049991254656
Non-linearity,Linear,Non-linear,residual sd,0.031424586032655355,0.03167106452579945,0.00024647849314409637,0.03415308290005901,0.001920843596931868,0.028888837875516448,0.04021053337312741,0.030318964196372523,0.03795994030906887,0.0076409761126963495,0.011321695497610963,0.03225746154794861,0.12831783573519073,False,False,-0.007394497619552253
Non-linearity,Linear,Non-linear,r2,0.9799093234832227,0.9813951697202367,0.0014858462370139769,0.9780121005853205,0.002467322277179147,0.9699055954584401,0.9848952268513573,0.9730893790970915,0.9827118024164861,0.009622423319394668,0.014989631392917202,0.1544149729953316,0.6022100358582758,False,False,-0.008136577082380692
Non-linearity,Linear,Non-linear,eta squared,0.9677978547290603,0.9689574932165018,0.0011596384874414944,0.9660933752136243,0.0034498203502787263,0.9532589440000055,0.9761100581636478,0.9593102565265177,0.9724385416359622,0.013128285109444526,0.022851114163642272,0.08833129976795272,0.3361446016595624,False,False,-0.011968646622003032
Non-linearity,Linear,Non-linear,raw overall slope,0.7547086296415411,0.7644839065986608,0.009775276957119772,0.7595753504065689,0.009124433180000838,0.7287916174307565,0.785914690337663,0.7412263050364446,0.7772216089032515,0.03599530386680694,0.05712307290690655,0.27157089695064474,1.0713297762479612,False,False,-0.026220026909687166
Non-linearity,Linear,Non-linear,amplitude,0.6878145136759963,0.7024819280476039,0.014667414371607568,0.6882236950188121,0.011330496066101753,0.6533550722896083,0.7322617276265783,0.6656804284805692,0.7105025942811568,0.04482216580058762,0.07890665533696994,0.32723573503481346,1.2945076972833616,False,False,-0.030154751428980053
Non-linearity,Linear,Non-linear,MIC,1.0000000000000002,1.0000000000000002,0.0,0.9951395040281411,0.009274527559680506,0.9418644808516103,1.0000000000000002,0.9693901388648505,1.0000000000000002,0.03060986113514974,0.05813551914838988,0.0,0.0,False,False,-0.03060986113514974
Non-linearity,Linear,Non-linear,MEV,1.0000000000000002,1.0000000000000002,0.0,0.9951395040281411,0.009274527559680506,0.9418644808516103,1.0000000000000002,0.9693901388648505,1.0000000000000002,0.03060986113514974,0.05813551914838988,0.0,0.0,False,False,-0.03060986113514974
Non-linearity,Linear,Non-linear,curve amplitude,0.7682014634070332,0.7772148564690655,0.009013393062032304,0.7604126703806936,0.016391265895444495,0.7147725719949639,0.8306200168004367,0.7270785002044852,0.7929118381850448,0.06583333798055968,0.11584744480547282,0.13691229001169472,0.5498899913848223,False,False,-0.056819944918527376
Non-linearity,Linear,Non-linear,MAS,0.02743770497007103,0.03056177417263639,0.0031240692025653605,0.043560143270445606,0.01690731244395909,0.007561057771943935,0.12287506561021677,0.01797267562546104,0.08263870201824318,0.06466602639278214,0.11531400783827284,0.0483108268256616,0.18477621519803267,False,False,-0.06154195719021678
Non-linearity,Linear,Non-linear,standardized overall slope,0.933896471002854,0.9163269582499719,0.0175695127528821,0.8881063657054203,0.028848686042623188,0.7954809646316404,0.968719814752649,0.8295344259965854,0.9392754622132677,0.1097410362166823,0.1732388501210086,0.1600997526412209,0.6090229803507723,False,False,-0.0921715234638002
Non-linearity,Linear,Non-linear,early buffer width,0.6368369728599427,0.5127083595814598,0.1241286132784829,0.5624505537500443,0.06650991059788154,0.3886714740699268,0.755435608130313,0.4407855987888669,0.6960172862745125,0.2552316874856456,0.36676413406038616,0.48633700032040095,1.8663175482066672,False,False,-0.13110307420716272
Non-linearity,Linear,Non-linear,raw middle slope,0.7286638100702786,0.7607798477212496,0.03211603765097104,0.7597477205095106,0.045603221674108615,0.6202971580645753,0.8982882856795826,0.6748267115561364,0.848314185096134,0.1734874735399976,0.2779911276150073,0.1851202106736927,0.7042493155523052,False,False,-0.14137143588902656
Non-linearity,Linear,Non-linear,buffer width mean,0.629148286041125,0.6302899466582754,0.0011416606171503751,0.6710049447879599,0.04134706263092206,0.5389872367801631,0.7819016881167775,0.5914593782475134,0.7525998495609824,0.16114047131346898,0.24291445133661438,0.007084878229811588,0.027611649885294777,False,False,-0.1599988106963186
Non-linearity,Linear,Non-linear,late buffer width,0.6672107684857058,0.7588113851666748,0.09160061668096897,0.779125908441594,0.06829103364800995,0.5837682864488127,0.9788866266725156,0.6510782849675668,0.914131937349341,0.26305365238177414,0.39511834022370285,0.34822028073583816,1.3413271375141689,False,False,-0.17145303570080517
Non-linearity,Linear,Non-linear,standardized middle slope,0.9016679206322816,0.9118871931025032,0.010219272470221585,0.888414847242675,0.06130035163435639,0.701950222266652,1.0798330185618752,0.77394703282316,1.0116004918267711,0.23765345900361112,0.37788279629522314,0.04300073103529414,0.16670821941083439,False,False,-0.22743418653338954
Non-linearity,Linear,Non-linear,middle buffer width,0.5707096226295332,0.5765096157238918,0.005799993094358635,0.6353980509543633,0.07198810461255192,0.454000676880623,0.8834649596864841,0.5037133384269449,0.7833600252462077,0.27964668681926286,0.4294642828058611,0.020740432008433562,0.08056877070975615,False,False,-0.2738466937249042
Non-linearity,Linear,Non-linear,MCN,4.0,3.5849625007211565,0.4150374992788435,4.132119029523707,0.3520797869576812,2.0,4.459431618637297,3.0,4.459431618637297,1.4594316186372973,2.4594316186372973,0.2843829707255301,1.1788166053643108,False,False,-1.0443941193584538
Non-linearity,Linear,Non-linear,first derivative sign changes,0.0,0.0,0.0,0.176,0.5170022159442755,0.0,4.0,0.0,2.0,2.0,4.0,0.0,0.0,False,False,-2.0
