property,case_a,case_b,metric,case_a_value,case_b_value,observed_difference,baseline_mean,baseline_sd,baseline_min,baseline_max,baseline_q025,baseline_q975,baseline_95_width,baseline_range,ratio_to_baseline_95_width,ratio_to_baseline_sd,larger_than_baseline_95_width,larger_than_baseline_range,observed_minus_baseline95
Threshold,No threshold,Threshold-like,standardized early slope,0.9496741793048991,0.36321397689350143,0.5864602024113976,0.22905625730775436,0.07066220721105833,0.00030987653760725835,0.45234506969816296,0.09179283040447983,0.36725785935897626,0.2754650289544964,0.4520351931605557,2.1289824143458658,8.299488871890476,True,True,0.3109951734569012
Threshold,No threshold,Threshold-like,standardized late slope,0.9528561151979335,1.5083907500606293,0.5555346348626958,1.4358041111689144,0.07919708646760643,1.1626240948689668,1.687671378165295,1.2761240433893766,1.5829028998120642,0.30677885642268765,0.5250472832963282,1.8108635038956733,7.014584243448442,True,True,0.24875577844000818
Threshold,No threshold,Threshold-like,raw early slope,0.6364491766114726,0.23642442328594734,0.40002475332552523,0.15182196674014442,0.047011609294384256,0.00021555685004891233,0.30879025319570325,0.06178709472389871,0.24434647915665433,0.18255938443275563,0.3085746963456543,2.1912034517889785,8.509063172472803,True,True,0.2174653688927696
Threshold,No threshold,Threshold-like,raw late slope,0.6385816347990112,0.981846613456471,0.34326497865745975,0.9511216476680601,0.047518665888009265,0.7874196398001119,1.0932008009158756,0.8598934161187354,1.0426283931089684,0.182734976990233,0.3057811611157637,1.8784853579279839,7.223792424359252,True,True,0.16053000166722675
Threshold,No threshold,Threshold-like,pearson r,0.9846523746667344,0.9259662152395285,0.0586861594272059,0.925757488709274,0.005212720834547214,0.9065251382904681,0.9399012768641517,0.9149974396595749,0.9360157139490041,0.02101827428942915,0.0333761385736836,2.792149280149098,11.258258650312602,True,True,0.037667885137776747
Threshold,No threshold,Threshold-like,MIC-r2,0.030459701063161204,0.1425865682349834,0.11212686717182219,0.11914797220379242,0.02135955764560668,0.04676389624174271,0.16177145516567326,0.07276444433923479,0.15247683450029667,0.07971239016106188,0.11500755892393055,1.4066428938495714,5.24949388148424,True,False,0.032414477010760306
Threshold,No threshold,Threshold-like,distance correlation,0.9827607508094028,0.9336617914884584,0.049098959320944435,0.9359745999425491,0.004648932927154826,0.9195424567831836,0.9510423750527421,0.9265495156493025,0.9449293335593245,0.018379817910021967,0.03149991826955856,2.671351781682899,10.561339578412307,True,True,0.030719141410922468
Threshold,No threshold,Threshold-like,spearman rho,0.9862464890891693,0.9377326460693232,0.04851384301984618,0.9331237034064838,0.010191339645561489,0.8974309906684362,0.9604987808265686,0.9116597220078808,0.9522072697717007,0.04054754776381986,0.06306779015813235,1.1964679911699756,4.760300873788936,True,False,0.007966295256026323
Threshold,No threshold,Threshold-like,raw overall slope,0.6147086296415408,0.5753612011653657,0.03934742847617512,0.5704526449732735,0.009124433180000812,0.5396689119974614,0.5967919849043677,0.5521035996031493,0.5880989034699563,0.03599530386680705,0.057123072906906325,1.0931267206903403,4.312314825475177,True,False,0.003352124609368068
Threshold,No threshold,Threshold-like,first derivative sign changes,0.0,2.0,2.0,0.613,0.9498068925487607,0.0,4.0,0.0,2.0,2.0,4.0,1.0,2.105691183850116,False,False,0.0
Threshold,No threshold,Threshold-like,x bin count coefficient of variation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,0.0
Threshold,No threshold,Threshold-like,residual sd,0.03142458603265533,0.031956264434355425,0.0005316784017000975,0.034272540273476634,0.0019297286778163965,0.028980155597103447,0.0404048180361123,0.03037215479003307,0.0381013044144487,0.0077291496244156314,0.011424662439008856,0.06878873194802404,0.2755197701169697,False,False,-0.007197471222715534
Threshold,No threshold,Threshold-like,amplitude,0.5611106030614711,0.5264260621258161,0.034684540935654984,0.512162270389034,0.011325389822885232,0.47729920636782064,0.5562058617047904,0.4896245625587816,0.5344467283593691,0.04482216580058751,0.07890665533696972,0.773825635511802,3.0625472039441752,False,False,-0.010137624864932526
Threshold,No threshold,Threshold-like,r2,0.9700263953098165,0.968766773854241,0.0012596214555754548,0.9633025579483883,0.004120676342226186,0.9495400013932452,0.974745644708417,0.9551313303805277,0.9709163622134497,0.015785031832922014,0.025205643315171722,0.07979847420695904,0.30568318182809456,False,False,-0.01452541037734656
Threshold,No threshold,Threshold-like,eta squared,0.9575818364240949,0.9552996776513127,0.00228215877278215,0.9517687574845398,0.005177077280940834,0.9314964251151872,0.967129020872447,0.941498309950642,0.9611865829902998,0.01968827303965781,0.035632595757259855,0.11591462431393702,0.44081991612986154,False,False,-0.01740611426687566
Threshold,No threshold,Threshold-like,curve amplitude,0.6282014634070394,0.5807060504561821,0.04749541295085735,0.5644030278596248,0.016432738912116086,0.5177137830454368,0.6348343979577736,0.531528350978466,0.5973582143507444,0.06582986337227847,0.11712061491233683,0.7214873389948138,2.8902919473660185,False,False,-0.018334450421421122
Threshold,No threshold,Threshold-like,MAS,0.03356579988870212,0.03728296582131385,0.0037171659326117323,0.04739661854208829,0.01820669776879292,0.012156275203584532,0.12995411409238333,0.020541884288105487,0.09323315065349552,0.07269126636539003,0.1177978388887988,0.051136348539135644,0.2041647518850518,False,False,-0.0689741004327783
Threshold,No threshold,Threshold-like,MEV,1.0000000000000002,1.0000000000000002,0.0,0.9762020453911343,0.021426809924883217,0.9089099422706252,1.0000000000000002,0.9280863506827556,1.0000000000000002,0.07191364931724464,0.09109005772937506,0.0,0.0,False,False,-0.07191364931724464
Threshold,No threshold,Threshold-like,MIC,1.0000000000000002,1.0000000000000002,0.0,0.9762020453911343,0.021426809924883217,0.9089099422706252,1.0000000000000002,0.9280863506827556,1.0000000000000002,0.07191364931724464,0.09109005772937506,0.0,0.0,False,False,-0.07191364931724464
Threshold,No threshold,Threshold-like,standardized overall slope,0.9172341403198011,0.8839155748843314,0.03331856543546974,0.8614806745840808,0.034199539655118724,0.7465138641604141,0.9680390022279922,0.7919032010431237,0.9239104937227165,0.13200729267959277,0.22152513806757812,0.2523994300552799,0.9742401731563328,False,False,-0.09868872724412303
Threshold,No threshold,Threshold-like,raw middle slope,0.5886638100702787,0.6132667607526473,0.02460295068236862,0.6122346335409082,0.04560322167410857,0.472784071095973,0.7507751987109803,0.5273136245875342,0.7008010981275316,0.17348747353999738,0.2779911276150073,0.14181398910450113,0.5395002760591595,False,False,-0.14888452285762876
Threshold,No threshold,Threshold-like,buffer width mean,0.7259713929640897,0.7752273396414113,0.04925594667732158,0.8092738945386293,0.051275113158756845,0.6639508629981813,0.9536742949675837,0.7098263488644789,0.9116806285955743,0.20185427973109538,0.2897234319694024,0.24401735124436785,0.9606209258830192,False,False,-0.1525983330537738
Threshold,No threshold,Threshold-like,late buffer width,0.7643878576034798,0.8801986119309515,0.11581075432747168,0.9032477234240882,0.08396194772215106,0.6498451283673257,1.1487570677213697,0.74208647671274,1.0726216081130648,0.33053513140032487,0.498911939354044,0.3503735104853603,1.3793242947473714,False,False,-0.2147243770728532
Threshold,No threshold,Threshold-like,early buffer width,0.7247775058551992,0.6534991807261211,0.07127832512907806,0.7142623938490755,0.08412973650906695,0.5037525199284438,0.9676591898385488,0.5631837040874074,0.8765806358979354,0.3133969318105281,0.463906669910105,0.22743785242980982,0.8472429379521015,False,False,-0.24211860668145002
Threshold,No threshold,Threshold-like,standardized middle slope,0.8783715043695595,0.9421491061444182,0.0637776017748587,0.9247606067233923,0.07891396786713524,0.6903300937049037,1.1675692214432594,0.7785503299068397,1.0875844998336641,0.3090341699268244,0.47723912773835564,0.20637718408278433,0.8081915470558884,False,False,-0.24525656815196573
Threshold,No threshold,Threshold-like,middle buffer width,0.6759433272204599,0.756993802170648,0.08105047495018813,0.7789869567142378,0.090047156162596,0.5425922078272264,1.1052403975432645,0.6118182153729056,0.9616781080695078,0.3498598926966022,0.5626481897160381,0.2316655228053675,0.9000892244041248,False,False,-0.2688094177464141
Threshold,No threshold,Threshold-like,MCN,4.0,4.321928094887363,0.3219280948873626,4.358947405963379,0.19993282556701383,3.0,4.459431618637297,3.8073549220576037,4.459431618637297,0.6520766965796936,1.4594316186372973,0.4936966718423715,1.6101812895124528,False,False,-0.33014860169233096
