property,case_a_source_property,case_b_source_property,case_a,case_b,metric,case_a_value,case_b_value,observed_difference,baseline_source_property,baseline_case,baseline_side,baseline_mean,baseline_sd,baseline_min,baseline_max,baseline_q025,baseline_q975,baseline_95_width,baseline_range,baseline_n_valid,ratio_to_baseline_95_width,ratio_to_baseline_sd,larger_than_baseline_95_width,larger_than_baseline_range,observed_minus_baseline95
Clustering,Clustering,Clustering,Single cloud,Separated clusters,lowess_first_derivative_sign_changes,0.0,20.0,20.0,Clustering,Separated clusters,1,12.941,4.1495,1.0,29.0,6.0,22.0,16.0,28.0,1000,1.25,4.8198,True,False,4.0
Clustering,Clustering,Clustering,Single cloud,Separated clusters,equal_width_distribution_wasserstein_distance_div_y_sd,2.1754,0.684,1.4914,Clustering,Separated clusters,1,0.8304,0.1086,0.5015,1.174,0.6169,1.0446,0.4277,0.6724,1000,3.4869,13.7357,True,True,1.0637
Clustering,Clustering,Clustering,Single cloud,Separated clusters,equal_count_distribution_wasserstein_distance_div_y_sd,2.1974,0.9241,1.2733,Clustering,Separated clusters,1,0.9929,0.071,0.7519,1.2149,0.8564,1.1278,0.2714,0.463,1000,4.6914,17.9385,True,True,1.0019
Clustering,Clustering,Clustering,Single cloud,Separated clusters,gam_curve_amplitude_div_y_sd,3.3855,2.3523,1.0332,Clustering,Separated clusters,1,2.3157,0.0792,2.1397,2.7072,2.2065,2.5299,0.3234,0.5674,1000,3.1947,13.0409,True,True,0.7098
Clustering,Clustering,Clustering,Single cloud,Separated clusters,lowess_curve_amplitude_div_y_sd,3.3861,2.2289,1.1572,Clustering,Separated clusters,1,2.4158,0.1365,2.1673,3.2678,2.2267,2.7467,0.52,1.1005,1000,2.2255,8.479,True,True,0.6372
Clustering,Clustering,Clustering,Single cloud,Separated clusters,MIC_minus_r2,0.0292,0.7642,0.735,Clustering,Separated clusters,1,0.6902,0.0355,0.5885,0.8003,0.6199,0.7595,0.1396,0.2118,1000,5.2657,20.7042,True,True,0.5954
Clustering,Clustering,Clustering,Single cloud,Separated clusters,pearson_r,0.9853,0.275,0.7103,Clustering,Separated clusters,1,0.3015,0.0334,0.1948,0.4004,0.2361,0.3655,0.1294,0.2056,1000,5.4904,21.2394,True,True,0.5809
Clustering,Clustering,Clustering,Single cloud,Separated clusters,spearman_rho,0.9826,0.3416,0.641,Clustering,Separated clusters,1,0.3369,0.029,0.2301,0.4062,0.2809,0.3909,0.1101,0.1761,1000,5.8244,22.1083,True,True,0.5309
Clustering,Clustering,Clustering,Single cloud,Separated clusters,MI,1.6157,0.8294,0.7863,Clustering,Separated clusters,1,0.7681,0.0646,0.6009,0.9627,0.6395,0.8966,0.2571,0.3618,1000,3.0581,12.1701,True,True,0.5292
Clustering,Clustering,Clustering,Single cloud,Separated clusters,equal_count_bin_buffer_width_mean_div_y_sd,0.6044,1.3872,0.7828,Clustering,Separated clusters,1,1.4498,0.0709,1.2392,1.722,1.3116,1.5896,0.278,0.4827,1000,2.8156,11.0404,True,True,0.5048
Clustering,Clustering,Clustering,Single cloud,Separated clusters,equal_count_bin_middle_buffer_width_div_y_sd,0.6513,1.6567,1.0054,Clustering,Separated clusters,1,1.7904,0.1403,1.4124,2.2517,1.5323,2.0726,0.5404,0.8393,1000,1.8606,7.1656,True,True,0.465
Clustering,Clustering,Clustering,Single cloud,Separated clusters,equal_width_bin_amplitude_div_y_sd,3.0758,2.2565,0.8193,Clustering,Separated clusters,1,2.3164,0.1037,2.0704,2.8423,2.1661,2.5708,0.4047,0.7719,1000,2.0244,7.8977,True,True,0.4146
Clustering,Clustering,Clustering,Single cloud,Separated clusters,distance_correlation,0.9824,0.5765,0.4059,Clustering,Separated clusters,1,0.5912,0.0223,0.5208,0.66,0.5499,0.6352,0.0853,0.1392,1000,4.7603,18.2233,True,True,0.3206
Clustering,Clustering,Clustering,Single cloud,Separated clusters,equal_count_bin_amplitude_div_y_sd,3.0642,2.3779,0.6863,Clustering,Separated clusters,1,2.2998,0.0889,2.0377,2.588,2.1359,2.5019,0.3659,0.5503,1000,1.8755,7.7188,True,True,0.3204
Clustering,Clustering,Clustering,Single cloud,Separated clusters,equal_width_bin_x_bin_count_cv,0.2353,0.7609,0.5256,Clustering,Separated clusters,1,0.722,0.0653,0.5348,1.0029,0.6043,0.8584,0.2541,0.468,1000,2.0688,8.0504,True,True,0.2715
Clustering,Clustering,Clustering,Single cloud,Separated clusters,equal_width_distribution_wasserstein_distance,0.413,0.0943,0.3187,Clustering,Separated clusters,1,0.1157,0.0156,0.0706,0.1635,0.0866,0.1467,0.0601,0.0929,1000,5.304,20.4259,True,True,0.2586
