property,case_a_source_property,case_b_source_property,case_a,case_b,metric,case_a_value,case_b_value,observed_difference,baseline_source_property,baseline_case,baseline_side,baseline_mean,baseline_sd,baseline_min,baseline_max,baseline_q025,baseline_q975,baseline_95_width,baseline_range,baseline_n_valid,ratio_to_baseline_95_width,ratio_to_baseline_sd,larger_than_baseline_95_width,larger_than_baseline_range,observed_minus_baseline95
Clustering,Clustering,Clustering,Single cloud,Separated clusters,lowess_first_derivative_sign_changes,0.0,15.0,15.0,Clustering,Separated clusters,1,10.637,3.297,2.0,27.0,5.0,18.0,13.0,25.0,1000,1.1538,4.5496,True,False,2.0
Clustering,Clustering,Clustering,Single cloud,Separated clusters,standardized_late_slope,0.9797,-1.0877,2.0674,Clustering,Separated clusters,1,-0.0183,0.2731,-0.9363,0.8872,-0.5586,0.4844,1.043,1.8236,1000,1.9822,7.571,True,True,1.0244
Clustering,Clustering,Clustering,Single cloud,Separated clusters,raw_late_slope,0.7626,-0.7778,1.5404,Clustering,Separated clusters,1,-0.0135,0.198,-0.6636,0.6431,-0.4092,0.3659,0.775,1.3067,1000,1.9875,7.7813,True,True,0.7654
Clustering,Clustering,Clustering,Single cloud,Separated clusters,standardized_overall_slope,0.8952,0.1579,0.7373,Clustering,Separated clusters,1,0.2103,0.0288,0.1064,0.3296,0.1549,0.2643,0.1094,0.2231,1000,6.739,25.6226,True,True,0.6279
Clustering,Clustering,Clustering,Single cloud,Separated clusters,pearson_r,0.9853,0.2905,0.6948,Clustering,Separated clusters,1,0.2704,0.0326,0.1486,0.3706,0.2047,0.3339,0.1292,0.222,1000,5.3772,21.2838,True,True,0.5656
Clustering,Clustering,Clustering,Single cloud,Separated clusters,spearman_rho,0.9843,0.3631,0.6212,Clustering,Separated clusters,1,0.2943,0.0282,0.1902,0.3753,0.2358,0.3439,0.108,0.1851,1000,5.7495,22.015,True,True,0.5132
Clustering,Clustering,Clustering,Single cloud,Separated clusters,raw_overall_slope,0.6969,0.1129,0.584,Clustering,Separated clusters,1,0.1527,0.0189,0.0773,0.2006,0.1154,0.1898,0.0744,0.1233,1000,7.8499,30.8972,True,True,0.5096
Clustering,Clustering,Clustering,Single cloud,Separated clusters,MIC_minus_r2,0.0293,0.641,0.6117,Clustering,Separated clusters,1,0.6743,0.0332,0.562,0.7803,0.6136,0.7416,0.128,0.2182,1000,4.7799,18.4127,True,True,0.4837
Clustering,Clustering,Clustering,Single cloud,Separated clusters,standardized_middle_slope,0.8442,-0.3326,1.1768,Clustering,Separated clusters,1,-0.897,0.1867,-1.6223,-0.3532,-1.2709,-0.5422,0.7288,1.2691,1000,1.6148,6.3018,True,False,0.448
Clustering,Clustering,Clustering,Single cloud,Separated clusters,raw_middle_slope,0.6572,-0.2378,0.895,Clustering,Separated clusters,1,-0.651,0.1294,-1.0791,-0.2664,-0.9162,-0.4104,0.5058,0.8126,1000,1.7695,6.9173,True,True,0.3892
Clustering,Clustering,Clustering,Single cloud,Separated clusters,standardized_early_slope,0.7756,1.8017,1.0261,Clustering,Separated clusters,1,1.2682,0.1823,0.7751,1.861,0.9167,1.629,0.7122,1.0859,1000,1.4407,5.6273,True,False,0.3139
Clustering,Clustering,Clustering,Single cloud,Separated clusters,distance_correlation,0.9817,0.6044,0.3773,Clustering,Separated clusters,1,0.5725,0.0217,0.503,0.6388,0.5296,0.6145,0.0848,0.1358,1000,4.4478,17.3496,True,True,0.2925
Clustering,Clustering,Clustering,Single cloud,Separated clusters,lowess_curve_amplitude,0.6651,0.3283,0.3368,Clustering,Separated clusters,1,0.3326,0.0206,0.284,0.4058,0.2973,0.3812,0.0839,0.1218,1000,4.0134,16.3583,True,True,0.2529
Clustering,Clustering,Clustering,Single cloud,Separated clusters,raw_early_slope,0.6038,1.2884,0.6846,Clustering,Separated clusters,1,0.9208,0.1215,0.6072,1.3482,0.681,1.1559,0.4749,0.7411,1000,1.4417,5.6361,True,False,0.2097
Clustering,Clustering,Clustering,Single cloud,Separated clusters,equal_width_bin_amplitude,0.6042,0.3385,0.2657,Clustering,Separated clusters,1,0.3288,0.0212,0.2837,0.4214,0.2955,0.3759,0.0805,0.1377,1000,3.3024,12.5424,True,True,0.1852
Clustering,Clustering,Clustering,Single cloud,Separated clusters,equal_width_bin_x_bin_count_cv,0.2,0.6287,0.4287,Clustering,Separated clusters,1,0.7311,0.0667,0.5329,0.9278,0.6068,0.8631,0.2562,0.3949,1000,1.6731,6.426,True,True,0.1725
Clustering,Clustering,Clustering,Single cloud,Separated clusters,MEV,1.0,0.7171,0.2829,Clustering,Separated clusters,1,0.748,0.0328,0.6483,0.8659,0.6893,0.8133,0.124,0.2175,1000,2.2813,8.6291,True,True,0.1589
Clustering,Clustering,Clustering,Single cloud,Separated clusters,MIC,1.0,0.7254,0.2746,Clustering,Separated clusters,1,0.7484,0.0327,0.6483,0.8659,0.6893,0.8133,0.124,0.2175,1000,2.2143,8.3993,True,True,0.1506
Clustering,Clustering,Clustering,Single cloud,Separated clusters,lowess_r2,0.9714,0.8259,0.1455,Clustering,Separated clusters,1,0.8158,0.0204,0.7372,0.8708,0.7735,0.8524,0.079,0.1336,1000,1.8425,7.1415,True,True,0.0665
Clustering,Clustering,Clustering,Single cloud,Separated clusters,equal_width_bin_eta_squared,0.9635,0.8335,0.13,Clustering,Separated clusters,1,0.8123,0.0223,0.7329,0.8675,0.766,0.8519,0.0858,0.1347,1000,1.5147,5.8281,True,False,0.0442
Clustering,Clustering,Clustering,Single cloud,Separated clusters,lowess_residual_sd,0.032,0.056,0.024,Clustering,Separated clusters,1,0.0583,0.0034,0.0484,0.0705,0.0518,0.0653,0.0135,0.0221,1000,1.7765,7.0924,True,True,0.0105
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,raw_early_slope,0.5799,1.5063,0.9264,Convexity / Concavity,Concave,1,1.7529,0.047,1.5998,1.878,1.6646,1.8444,0.1798,0.2782,1000,5.1527,19.7132,True,True,0.7466
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,standardized_late_slope,1.1209,0.2413,0.8796,Convexity / Concavity,Concave,1,0.1136,0.0504,-0.0373,0.2741,0.0118,0.2145,0.2027,0.3114,1000,4.3397,17.4404,True,True,0.6769
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,standardized_early_slope,0.7887,1.6581,0.8694,Convexity / Concavity,Concave,1,1.8658,0.0585,1.6948,2.0705,1.7505,1.9817,0.2313,0.3756,1000,3.759,14.8641,True,True,0.6381
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,equal_width_bin_late_div_early_buffer_width,1.3006,0.5519,0.7487,Convexity / Concavity,Concave,1,0.5568,0.0706,0.3676,0.8807,0.4273,0.7047,0.2774,0.5131,1000,2.6987,10.6109,True,True,0.4713
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,raw_late_slope,0.8242,0.2192,0.605,Convexity / Concavity,Concave,1,0.1067,0.0473,-0.0335,0.2621,0.0111,0.1996,0.1885,0.2957,1000,3.2091,12.8007,True,True,0.4165
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,standardized_middle_slope,1.2009,0.7463,0.4546,Convexity / Concavity,Concave,1,0.7503,0.0537,0.5962,0.9273,0.6464,0.8559,0.2095,0.3311,1000,2.17,8.4708,True,True,0.2451
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,raw_overall_slope,0.6814,0.9085,0.2271,Convexity / Concavity,Concave,1,0.7926,0.0089,0.7654,0.8219,0.7754,0.8093,0.0339,0.0564,1000,6.7031,25.4246,True,True,0.1932
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,lowess_curve_amplitude,0.6817,0.8343,0.1526,Convexity / Concavity,Concave,1,0.8544,0.0149,0.8094,0.9091,0.8267,0.8844,0.0577,0.0997,1000,2.6461,10.23,True,True,0.0949
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,equal_width_bin_amplitude,0.6154,0.7358,0.1204,Convexity / Concavity,Concave,1,0.7543,0.0105,0.7267,0.7926,0.7334,0.7739,0.0405,0.0659,1000,2.97,11.5144,True,True,0.0799
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,pearson_r,0.9816,0.9204,0.0612,Convexity / Concavity,Concave,1,0.9173,0.0041,0.9047,0.9304,0.9091,0.9249,0.0158,0.0257,1000,3.8648,15.0728,True,True,0.0454
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,MIC_minus_r2,0.0365,0.1367,0.1002,Convexity / Concavity,Concave,1,0.1499,0.0146,0.0943,0.1797,0.1143,0.1721,0.0578,0.0855,1000,1.733,6.8779,True,True,0.0424
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,distance_correlation,0.9809,0.9409,0.04,Convexity / Concavity,Concave,1,0.9403,0.0036,0.9282,0.9508,0.9332,0.9471,0.0139,0.0226,1000,2.884,11.0564,True,True,0.0261
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,raw_middle_slope,0.883,0.678,0.205,Convexity / Concavity,Concave,1,0.7048,0.0473,0.5575,0.8478,0.6116,0.7985,0.1869,0.2903,1000,1.0969,4.3312,True,False,0.0181
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,lowess_r2,0.965,0.977,0.012,Convexity / Concavity,Concave,1,0.9815,0.002,0.9736,0.9873,0.9774,0.9852,0.0078,0.0137,1000,1.5442,5.9996,True,False,0.0042
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,spearman_rho,0.9825,0.953,0.0295,Convexity / Concavity,Concave,1,0.9529,0.0071,0.9303,0.9712,0.9376,0.9653,0.0277,0.0409,1000,1.0637,4.1634,True,False,0.0018
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,raw_late_slope,0.8242,1.6929,0.8687,Convexity / Concavity,Convex,0,1.7516,0.0461,1.6078,1.9341,1.6635,1.8449,0.1814,0.3263,1000,4.7891,18.8558,True,True,0.6873
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,standardized_early_slope,0.7887,-0.0602,0.8489,Convexity / Concavity,Convex,0,0.1146,0.0487,-0.1064,0.2789,0.0257,0.2081,0.1824,0.3853,1000,4.6553,17.4188,True,True,0.6665
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,raw_early_slope,0.5799,-0.0602,0.6401,Convexity / Concavity,Convex,0,0.1089,0.0463,-0.1007,0.2669,0.0241,0.1973,0.1732,0.3676,1000,3.6951,13.8159,True,True,0.4669
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,standardized_late_slope,1.1209,1.6929,0.572,Convexity / Concavity,Convex,0,1.8419,0.0585,1.6649,2.0472,1.7293,1.96,0.2307,0.3822,1000,2.4798,9.7729,True,True,0.3413
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,standardized_middle_slope,1.2009,0.7696,0.4313,Convexity / Concavity,Convex,0,0.7367,0.052,0.5892,0.9211,0.6381,0.8424,0.2044,0.3319,1000,2.1104,8.287,True,True,0.2269
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,raw_overall_slope,0.6814,0.8622,0.1808,Convexity / Concavity,Convex,0,0.793,0.0085,0.7669,0.8183,0.7762,0.81,0.0338,0.0513,1000,5.3446,21.2521,True,True,0.147
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,equal_width_bin_amplitude,0.6154,0.7462,0.1308,Convexity / Concavity,Convex,0,0.7548,0.0104,0.7189,0.7859,0.735,0.7746,0.0396,0.067,1000,3.3034,12.598,True,True,0.0912
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,lowess_curve_amplitude,0.6817,0.8309,0.1492,Convexity / Concavity,Convex,0,0.8541,0.015,0.8043,0.9013,0.8277,0.8858,0.0581,0.097,1000,2.5687,9.9707,True,True,0.0911
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,MIC_minus_r2,0.0365,0.1471,0.1106,Convexity / Concavity,Convex,0,0.1487,0.0143,0.0915,0.1775,0.1155,0.1692,0.0537,0.086,1000,2.06,7.7553,True,True,0.0569
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,pearson_r,0.9816,0.9147,0.0669,Convexity / Concavity,Convex,0,0.9176,0.0039,0.9039,0.928,0.9097,0.9251,0.0154,0.024,1000,4.3575,17.0143,True,True,0.0515
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,distance_correlation,0.9809,0.9368,0.0441,Convexity / Concavity,Convex,0,0.9404,0.0034,0.9298,0.9496,0.9333,0.9469,0.0136,0.0199,1000,3.2497,13.0435,True,True,0.0305
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,spearman_rho,0.9825,0.9438,0.0387,Convexity / Concavity,Convex,0,0.953,0.0071,0.9295,0.9752,0.9388,0.9657,0.0269,0.0456,1000,1.4401,5.4657,True,False,0.0118
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,lowess_r2,0.965,0.9753,0.0103,Convexity / Concavity,Convex,0,0.9813,0.002,0.9751,0.9878,0.9775,0.9851,0.0076,0.0128,1000,1.3578,5.2596,True,False,0.0027
Density,Density,Density,Even coverage,Uneven coverage,equal_width_bin_x_bin_count_cv,0.0,0.701,0.701,Density,Uneven coverage,1,0.6268,0.0354,0.5098,0.7499,0.5598,0.7013,0.1414,0.2401,1000,4.9569,19.7968,True,True,0.5596
