property,case_a_source_property,case_b_source_property,case_a,case_b,metric,case_a_value,case_b_value,observed_difference,baseline_source_property,baseline_case,baseline_side,baseline_mean,baseline_sd,baseline_min,baseline_max,baseline_q025,baseline_q975,baseline_95_width,baseline_range,baseline_n_valid,ratio_to_baseline_95_width,ratio_to_baseline_sd,larger_than_baseline_95_width,larger_than_baseline_range,observed_minus_baseline95
Clustering,Clustering,Clustering,Single cloud,Separated clusters,lowess_first_derivative_sign_changes,0.0,20.0,20.0,Clustering,Separated clusters,1,12.941,4.1495,1.0,29.0,6.0,22.0,16.0,28.0,1000,1.25,4.8198,True,False,4.0
Clustering,Clustering,Clustering,Single cloud,Separated clusters,MIC_minus_r2,0.0292,0.7642,0.735,Clustering,Separated clusters,1,0.6902,0.0355,0.5885,0.8003,0.6199,0.7595,0.1396,0.2118,1000,5.2657,20.7042,True,True,0.5954
Clustering,Clustering,Clustering,Single cloud,Separated clusters,pearson_r,0.9853,0.275,0.7103,Clustering,Separated clusters,1,0.3015,0.0334,0.1948,0.4004,0.2361,0.3655,0.1294,0.2056,1000,5.4904,21.2394,True,True,0.5809
Clustering,Clustering,Clustering,Single cloud,Separated clusters,spearman_rho,0.9826,0.3416,0.641,Clustering,Separated clusters,1,0.3369,0.029,0.2301,0.4062,0.2809,0.3909,0.1101,0.1761,1000,5.8244,22.1083,True,True,0.5309
Clustering,Clustering,Clustering,Single cloud,Separated clusters,distance_correlation,0.9824,0.5765,0.4059,Clustering,Separated clusters,1,0.5912,0.0223,0.5208,0.66,0.5499,0.6352,0.0853,0.1392,1000,4.7603,18.2233,True,True,0.3206
Clustering,Clustering,Clustering,Single cloud,Separated clusters,equal_width_bin_x_bin_count_cv,0.2353,0.7609,0.5256,Clustering,Separated clusters,1,0.722,0.0653,0.5348,1.0029,0.6043,0.8584,0.2541,0.468,1000,2.0688,8.0504,True,True,0.2715
Clustering,Clustering,Clustering,Single cloud,Separated clusters,lowess_curve_amplitude,0.6429,0.3072,0.3357,Clustering,Separated clusters,1,0.3365,0.0217,0.2847,0.4441,0.3022,0.3864,0.0842,0.1594,1000,3.9882,15.4948,True,True,0.2515
Clustering,Clustering,Clustering,Single cloud,Separated clusters,equal_width_bin_amplitude,0.584,0.311,0.273,Clustering,Separated clusters,1,0.3227,0.0178,0.272,0.4017,0.2939,0.3636,0.0697,0.1297,1000,3.9162,15.3662,True,True,0.2033
Clustering,Clustering,Clustering,Single cloud,Separated clusters,MAS,0.0598,0.3726,0.3128,Clustering,Separated clusters,1,0.2871,0.053,0.0478,0.4597,0.1829,0.393,0.2101,0.4119,1000,1.489,5.9034,True,False,0.1027
Clustering,Clustering,Clustering,Single cloud,Separated clusters,lowess_r2,0.9717,0.8368,0.1349,Clustering,Separated clusters,1,0.8255,0.0196,0.7393,0.8799,0.7814,0.8603,0.0789,0.1406,1000,1.7088,6.8788,True,False,0.056
