property,case_a,case_b,metric,case_a_value,case_b_value,observed_difference,baseline_mean,baseline_sd,baseline_min,baseline_max,baseline_q025,baseline_q975,baseline_95_width,baseline_range,ratio_to_baseline_95_width,ratio_to_baseline_sd,larger_than_baseline_95_width,larger_than_baseline_range,observed_minus_baseline95
Certainty,High certainty,Low certainty,residual sd,0.031424586032655306,0.11753572108881645,0.08611113505616114,0.12677338473641947,0.007136719001534489,0.10704927045014866,0.1495644999534129,0.11235989860043548,0.1408846126781241,0.028524714077688626,0.04251522950326424,3.0188255286848005,12.065927639528207,True,True,0.05758642097847251
Certainty,High certainty,Low certainty,buffer width mean,0.7259713929640897,2.067560657484649,1.3415892645205592,2.1526503982236926,0.13436236475471142,1.7851090411763333,2.5299348104256216,1.8921079490413604,2.399649417351687,0.5075414683103268,0.7448257692492883,2.6433096570155907,9.984858981677876,True,True,0.8340477962102324
Certainty,High certainty,Low certainty,standardized overall slope,0.9172341403198011,0.5774425435129533,0.3397915968068478,0.576799755966106,0.046731384201176,0.4144936964813572,0.7161238019418412,0.4836426155975786,0.66520917045931,0.18156655486173146,0.301630105460484,1.8714437637791255,7.27116482028574,True,True,0.15822504194511633
Certainty,High certainty,Low certainty,r2,0.9700263953098166,0.718624234526803,0.2514021607830136,0.6712697266423434,0.03495071620020794,0.5617193740118417,0.778431317944899,0.6009697533176218,0.7366358447292883,0.13566609141166652,0.21671194393305726,1.8530950377287454,7.193047471270928,True,True,0.11573606937134706
Certainty,High certainty,Low certainty,pearson r,0.9846523746667344,0.8362526614349035,0.14839971323183088,0.8119398326701923,0.02192093708211166,0.7467729247484558,0.877443974667399,0.7686135422653736,0.8515386024501364,0.08292506018476276,0.13067104991894318,1.7895641305678414,6.769770501870143,True,True,0.06547465304706812
Certainty,High certainty,Low certainty,distance correlation,0.9827607508094028,0.8170466745537672,0.1657140762556356,0.7983478350361058,0.02458984060395585,0.7221190413882569,0.8796005163522933,0.7475049060103364,0.8433008383673287,0.09579593235699235,0.15748147496403642,1.7298654773575026,6.739127712319397,True,True,0.06991814389864326
Certainty,High certainty,Low certainty,eta squared,0.9575818364240949,0.7150257601493883,0.24255607627470654,0.6680735995402329,0.035288410548999075,0.5661429509801281,0.7788655429185419,0.594889989431764,0.7359793437445535,0.14108935431278957,0.2127225919384138,1.719166392504492,6.873533619144159,True,True,0.10146672196191697
Certainty,High certainty,Low certainty,spearman rho,0.9862464890891693,0.8418634319989301,0.14438305709023924,0.8210406946716462,0.022465949276731987,0.7524944185520129,0.890039816043705,0.7739205428151074,0.861027912384127,0.08710736956901965,0.13754539749169203,1.6575297567198044,6.4267507823396075,True,True,0.05727568752121959
Certainty,High certainty,Low certainty,MIC,1.0000000000000002,0.6647716098225058,0.3352283901774944,0.6801835767925907,0.052944617360795886,0.5278852670131449,0.8633811654900045,0.5791816670890132,0.7867850487792645,0.20760338169025128,0.3354958984768597,1.6147539960483996,6.331680289481557,True,False,0.12762500848724312
Certainty,High certainty,Low certainty,MEV,1.0000000000000002,0.6647716098225058,0.3352283901774944,0.6801835767925907,0.052944617360795886,0.5278852670131449,0.8633811654900045,0.5791816670890132,0.7867850487792645,0.20760338169025128,0.3354958984768597,1.6147539960483996,6.331680289481557,True,False,0.12762500848724312
Certainty,High certainty,Low certainty,middle buffer width,0.6759433272204599,2.1571568197547974,1.4812134925343377,2.145620860769148,0.2460661437126447,1.5211179106577397,3.149204210701202,1.707943955269407,2.6304089042938434,0.9224649490244365,1.6280863000434622,1.6057124924917874,6.019574534658837,True,False,0.5587485435099011
Certainty,High certainty,Low certainty,late buffer width,0.7643878576034798,2.0620636175037865,1.2976757599003066,2.158349571438105,0.21274684676902542,1.3803395122050914,2.8598115390716394,1.7578063561015373,2.5866047291300545,0.8287983730285171,1.479472026866548,1.5657315483842733,6.099623940885783,True,False,0.4688773868717895
Certainty,High certainty,Low certainty,early buffer width,0.7247775058551992,1.9852938818556494,1.2605163760004503,2.1520810380590203,0.24944929897090296,1.4780868499836946,2.8824702247125984,1.7063048206783105,2.64016652497082,0.9338617042925095,1.4043833747289038,1.3497891285256347,5.053196706507816,True,False,0.3266546717079408
Clustering,Single cloud,Separated clusters,amplitude,0.5611106030614711,0.384457092927415,0.1766535101340561,0.39882145401096236,0.009208911340234032,0.375020092583335,0.4330202601494869,0.382400225125875,0.4183753076182991,0.03597508249242409,0.058000167566151895,4.910440724389087,19.18288748880133,True,True,0.14067842764163202
Clustering,Single cloud,Separated clusters,x bin count coefficient of variation,0.0,1.6101529717988265,1.6101529717988265,1.0790443810464068,0.09004572075801219,0.8674102539726198,1.3440923934536337,0.9180216331277955,1.2638871923429382,0.3458655592151427,0.4766821394810139,4.655430206617493,17.881504620590828,True,True,1.2642874125836838
Clustering,Single cloud,Separated clusters,r2,0.9700263953098166,0.8963095285609841,0.07371686674883249,0.9559772660726252,0.004980427453571727,0.9378224782552851,0.9692648269023314,0.945253887000418,0.9654206573450796,0.020166770344661633,0.031442348647046314,3.655363029824265,14.801313227836747,True,True,0.053550096404170855
Clustering,Single cloud,Separated clusters,MEV,1.0000000000000002,0.9182958340544901,0.08170416594551011,0.9173372027337333,0.0070271412389445,0.8663080215181129,0.96302765537748,0.8919295931780058,0.9217860698530798,0.029856476675073962,0.0967196338593671,2.7365642247305697,11.626942332211092,True,False,0.05184768927043615
Clustering,Single cloud,Separated clusters,residual sd,0.031424586032655306,0.05130317632439137,0.01987859029173606,0.033890490986324455,0.0018754572504315534,0.027796065012978436,0.03984844720106355,0.030156957533993438,0.037638410597686814,0.007481453063693376,0.012052382188085114,2.6570493890023252,10.599329996544514,True,True,0.012397137228042684
Clustering,Single cloud,Separated clusters,curve amplitude,0.628201463407033,0.4087221815957673,0.2194792818112657,0.4560212775040101,0.02609216015094307,0.38976476261921683,0.5441064563818159,0.4096028355882349,0.5126957952976258,0.10309295970939086,0.15434169376259904,2.1289453948160637,8.411694568084002,True,True,0.11638632210187483
Clustering,Single cloud,Separated clusters,spearman rho,0.9862464890891693,0.9428235914411132,0.04342289764805618,0.9314843791475046,0.007426905747206606,0.9087152895665503,0.9531775672088644,0.9166984063294136,0.9453395680936654,0.0286411617642518,0.04446227764231403,1.516101127652373,5.846701052371416,True,False,0.014781735883804381
Clustering,Single cloud,Separated clusters,standardized overall slope,0.9172341403198011,0.7061614178867525,0.21107272243304864,0.8115433804424301,0.03602776860958865,0.6745800671073949,0.9184803727432782,0.7359341255701973,0.8800427125812764,0.1441085870110791,0.24390030563588327,1.4646783152264296,5.85861213666373,True,False,0.06696413542196955
Convexity / Concavity,Convex,Concave,raw early slope,0.26695196990756204,1.1615722396913872,0.8946202697838253,1.0769697831455844,0.047011609294384256,0.925363373255489,1.2339380696011433,0.9869349111293388,1.1694942955620946,0.18255938443275577,0.30857469634565426,4.900434302862974,19.029773351976946,True,True,0.7120608853510695
Convexity / Concavity,Convex,Concave,raw late slope,1.2880788415029214,0.44892246181839524,0.8391563796845262,0.41819749602998446,0.047518665888009286,0.25449548816203627,0.5602766492778,0.32696926448065977,0.5097042414708927,0.1827349769902329,0.3057811611157637,4.592204478343403,17.659510510295625,True,True,0.6564214026942933
Convexity / Concavity,Convex,Concave,standardized late slope,1.5521136215097553,0.561764164289866,0.9903494572198893,0.5147083754327414,0.059987494511990466,0.34270287621379997,0.6989812701286203,0.3986895275554003,0.6309288138623212,0.23223928630692092,0.35627839391482036,4.264349382778723,16.509265227303928,True,True,0.7581101709129684
Convexity / Concavity,Convex,Concave,raw overall slope,0.754708629641541,0.6153698330639085,0.13933879657763248,0.6104612768718165,0.009124433180000807,0.579677543896004,0.6368006168029102,0.5921122315016922,0.6281075353684993,0.03599530386680705,0.057123072906906214,3.8710270954573964,15.270953694201983,True,True,0.10334349271082544
Convexity / Concavity,Convex,Concave,standardized early slope,0.3216726922545678,1.4535464673552274,1.1318737751006596,1.325916103705465,0.07427771818757467,1.0908611127842744,1.5236005166010373,1.1751884335717613,1.4679358516486194,0.2927474180768581,0.4327394038167629,3.866383459626266,15.238402615469706,True,True,0.8391263570238015
Convexity / Concavity,Convex,Concave,amplitude,0.6878145136759962,0.6029612652058323,0.08485324847016396,0.5882208506154213,0.011528796025157257,0.5538344094478365,0.6327410647848064,0.5657925751331464,0.6109554259971234,0.04516285086397698,0.07890665533696994,1.8788284363564178,7.360113604664675,True,True,0.03969039760618698
Convexity / Concavity,Convex,Concave,early buffer width,0.4905701344385054,0.9465052221840841,0.45593508774557867,1.0495383266757659,0.10174358119468026,0.7844345919368588,1.4015137816829943,0.8697836443181058,1.2646544292415518,0.39487078492344596,0.6170791897461355,1.1546437598161923,4.481217216771387,True,False,0.06106430282213271
Convexity / Concavity,Convex,Concave,standardized overall slope,0.9094113703248345,0.7700499516109889,0.13936141871384566,0.7517324194181954,0.032711810960455286,0.6368864498244006,0.8487149898377542,0.685431952413016,0.8118678618710445,0.12643590945802852,0.2118285400133536,1.1022297329233661,4.260278309944905,True,False,0.012925509255817147
Convexity / Concavity,Convex,Concave,raw middle slope,0.7286638100702786,0.5428740319947636,0.185789778075515,0.5418419047830245,0.04560322167410857,0.4023913423380892,0.6803824699530965,0.45692089582965023,0.6304083693696476,0.17348747353999738,0.27799112761500727,1.0709117741153877,4.074049403860385,True,False,0.012302304535517616
Density,Even coverage,Uneven coverage,MCN,4.0,4.459431618637297,0.4594316186372973,4.4376865802466945,0.12632307562079584,2.584962500721156,4.459431618637297,4.169925001442312,4.459431618637297,0.28950661719498516,1.8744691179161412,1.5869468652865584,3.6369571939211376,True,False,0.16992500144231215
Density,Even coverage,Uneven coverage,spearman rho,0.9862464890891693,0.9595290798735181,0.026717409215651244,0.9586427856019384,0.005971532887886679,0.9362876098479639,0.9764370178283635,0.9456229593625333,0.9692459228402996,0.02362296347776638,0.040149407980399565,1.1309931220440363,4.47412912517786,True,False,0.0030944457378848655
Direction,Positive direction,Negative direction,pearson r,0.9872108479566687,-0.9864392812740554,1.973650129230724,-0.9849186649088089,0.001659656915299504,-0.9890253179379171,-0.979198423031358,-0.9881056365038481,-0.9814979610644687,0.006607675439379346,0.009826894906559192,298.69053759337,1189.1916401737503,True,True,1.9670424537913447
Direction,Positive direction,Negative direction,spearman rho,0.9879831682047799,-0.9866806588680721,1.974663827072852,-0.9856197228309515,0.0016800180683059708,-0.9901560747759705,-0.9805693591365989,-0.9887820097328106,-0.9820894163400106,0.006692593392800039,0.009586715639371524,295.05211375865383,1175.3824939894748,True,True,1.9679712336800521
Direction,Positive direction,Negative direction,raw overall slope,0.674708629641541,-0.6755160934013397,1.3502247230428805,-0.6804246495934321,0.009124433180000812,-0.7112083825692449,-0.6540853096623385,-0.6987736949635563,-0.6627783910967494,0.03599530386680694,0.057123072906906436,37.51113556476988,147.97902471381354,True,True,1.3142294191760735
Direction,Positive direction,Negative direction,standardized overall slope,0.9254974862548283,-0.9485871987167878,1.8740846849716162,-0.8936615023137555,0.03246283194505643,-0.9907037741028948,-0.7930518866420159,-0.9559672400408611,-0.8214983733502614,0.13446886669059965,0.19765188746087892,13.936941175266321,57.730166245000355,True,True,1.7396158182810164
Direction,Positive direction,Negative direction,standardized early slope,0.9553189835449498,-0.8335229893736369,1.7888419729185867,-0.8901701600057067,0.0613454518153046,-1.086011957517429,-0.696137329277978,-1.001790867490184,-0.7680824353045893,0.23370843218559478,0.38987462823945096,7.654161025298455,29.160140156833965,True,True,1.5551335407329918
Direction,Positive direction,Negative direction,raw middle slope,0.6486638100702786,-0.6792201522787508,1.3278839623490293,-0.6802522794904894,0.04560322167410857,-0.8197028419354249,-0.5417117143204173,-0.7651732884438642,-0.5916858149038655,0.17348747353999872,0.27799112761500755,7.654062482170372,29.118205109244318,True,True,1.1543964888090306
Direction,Positive direction,Negative direction,standardized late slope,0.9582440753629673,-0.9101633718071022,1.8684074471700693,-0.8911581539988823,0.06283130020283746,-1.1132612965508215,-0.6891214082219511,-1.007487215220107,-0.7619617873409605,0.24552542787914655,0.4241398883288704,7.609832770924826,29.736889753010267,True,True,1.6228820192909228
Direction,Positive direction,Negative direction,raw late slope,0.6985816347990113,-0.6481533865435287,1.34673502134254,-0.6788783523319392,0.047518665888009314,-0.8425803601998875,-0.536799199084124,-0.7701065838812642,-0.5873716068910311,0.1827349769902331,0.3057811611157635,7.369880925502953,28.34117911720182,True,True,1.1640000443523069
Direction,Positive direction,Negative direction,raw early slope,0.6964491766114729,-0.5935755767140511,1.290024753325524,-0.6781780332598546,0.04701160929438427,-0.8297844431499497,-0.521209746804295,-0.7682129052760992,-0.5856535208433454,0.18255938443275377,0.3085746963456547,7.066329443067924,27.440557187639666,True,True,1.1074653688927703
Direction,Positive direction,Negative direction,standardized middle slope,0.8897718204130116,-0.9537885889852463,1.843560409398258,-0.893508236155928,0.0680793903483403,-1.064168591034606,-0.7173232513806125,-1.0239732349065067,-0.7589686102263431,0.2650046246801636,0.34684533965399345,6.956710327690572,27.079566958008193,True,True,1.5785557847180944
Heteroscedasticity,Constant variance,Changing variance,residual sd,0.031424586032655306,0.11708008031060849,0.08565549427795319,0.1241134247403516,0.008686218299853483,0.09772400602957088,0.14837292017058787,0.10645786971207356,0.14124933741725215,0.03479146770517859,0.05064891414101699,2.46196840569631,9.86108008353854,True,True,0.0508640265727746
Heteroscedasticity,Constant variance,Changing variance,buffer width mean,0.7259713929640897,1.8876064496402538,1.1616350566761642,1.9395598595522856,0.12909439894328378,1.5602552043825537,2.3274518955043253,1.6982879357526734,2.197525692172686,0.49923775642001256,0.7671966911217716,2.3268173164749015,8.998338163273186,True,True,0.6623973002561516
Heteroscedasticity,Constant variance,Changing variance,late buffer width,0.7643878576034798,2.773305116183274,2.008917258579794,2.8255734639927415,0.2629604740217281,1.8096520949039676,3.5860008850342355,2.3221043708468385,3.3578767859998417,1.0357724151530032,1.776348790130268,1.9395353932871815,7.639616813338264,True,True,0.9731448434267906
Heteroscedasticity,Constant variance,Changing variance,r2,0.9700263953098166,0.7043764558136523,0.26564993949616433,0.67849974959105,0.03996369314453358,0.5559552501083116,0.8019591899046548,0.5967639957020427,0.7531262315860271,0.15636223588398435,0.24600393979634316,1.698939248305888,6.647282035106437,True,True,0.10928770361217999
Heteroscedasticity,Constant variance,Changing variance,eta squared,0.9575818364240949,0.7096902969264561,0.24789153949763876,0.6802810964102362,0.03848526980609381,0.5737713070952152,0.8082892240263141,0.6046490338699091,0.7538305434518353,0.14918150958192622,0.2345179169310989,1.6616773767227755,6.441205706667211,True,True,0.09871002991571254
Heteroscedasticity,Constant variance,Changing variance,distance correlation,0.9827607508094028,0.8351138815163432,0.1476468692930596,0.8182295922433086,0.023742866254132897,0.7350172186816887,0.8949204753868192,0.7687366873843982,0.8619663449632388,0.09322965757884061,0.1599032567051305,1.5836899236511783,6.218578149441365,True,False,0.05441721171421898
Heteroscedasticity,Constant variance,Changing variance,pearson r,0.9846523746667344,0.8360441517125918,0.14860822295414255,0.819879526271949,0.023666349207636987,0.7397523902956923,0.8910869789180478,0.7695592273796833,0.8647842890293869,0.09522506164970357,0.1513345886223555,1.5605999132960935,6.2793049173037465,True,False,0.053383161304438986
Heteroscedasticity,Constant variance,Changing variance,standardized overall slope,0.9172341403198011,0.5861952148369912,0.3310389254828099,0.6112996612449926,0.05550959439228927,0.39676961403266586,0.7971303351696245,0.49825918324548274,0.7133915884128745,0.2151324051673918,0.40036072113695864,1.5387683005042068,5.963634379010952,True,False,0.1159065203154181
Heteroscedasticity,Constant variance,Changing variance,spearman rho,0.9862464890891693,0.8592240501250038,0.12702243896416554,0.8451345535356029,0.02334641600232761,0.7662726215829706,0.9203596818831856,0.7947389322715721,0.886773151434715,0.09203421916314292,0.15408706030021502,1.380165335449865,5.440768251174037,True,False,0.034988219801022624
Heteroscedasticity,Constant variance,Changing variance,middle buffer width,0.6759433272204599,1.750735206708119,1.074791879487659,1.7797203492977614,0.21797985265647798,1.2376614377858415,2.664242687367561,1.395367477159564,2.2117470159927026,0.8163795388331385,1.4265812495817194,1.3165345631075864,4.930693669113818,True,False,0.25841234065452046
Heteroscedasticity,Constant variance,Changing variance,MEV,1.0000000000000002,0.7352068976275208,0.26479310237247944,0.7135207119790009,0.051875223538561756,0.5755657129187856,0.8985296527417201,0.6187410018028805,0.8262201951018076,0.20747919329892706,0.3229639398229346,1.2762393094086162,5.104423351075179,True,False,0.05731390907355238
Heteroscedasticity,Constant variance,Changing variance,MIC,1.0000000000000002,0.7352068976275208,0.26479310237247944,0.7135207119790009,0.051875223538561756,0.5755657129187856,0.8985296527417201,0.6187410018028805,0.8262201951018076,0.20747919329892706,0.3229639398229346,1.2762393094086162,5.104423351075179,True,False,0.05731390907355238
Monotonicity,Monotonic,Non-monotonic,pearson r,0.9879235304918488,-0.21285121610459953,1.2007747465964482,-0.22418853060929436,0.012255268966089696,-0.2678103304045736,-0.18716994148483043,-0.24823258399612202,-0.20046074008375342,0.047771843912368606,0.08064038891974315,25.13561646896271,97.98028504466035,True,True,1.1530029026840796
Monotonicity,Monotonic,Non-monotonic,distance correlation,0.9863672898446196,0.49443996085469477,0.49192732898992486,0.5022834679788278,0.005253153154572326,0.4856969326945263,0.5209226131303287,0.49270643434162953,0.5130780053128332,0.02037157097120368,0.03522568043580243,24.147736553321824,93.64420082855437,True,True,0.4715557580187212
Monotonicity,Monotonic,Non-monotonic,raw overall slope,0.6947086296415408,-0.158522025372435,0.8532306550139758,-0.16343058156452722,0.009124433180000818,-0.1942143145403397,-0.13709124163343323,-0.18177962693465155,-0.14578432306784445,0.035995303866807105,0.057123072906906464,23.70394366362825,93.51053793501498,True,True,0.8172353511471686
Monotonicity,Monotonic,Non-monotonic,standardized overall slope,0.9277636016399945,-0.208314902262868,1.1360785039028625,-0.22621237900545457,0.014722856335087284,-0.27538669566898316,-0.17830809185472135,-0.2559675146387144,-0.19851429972308873,0.05745321491562569,0.09707860381426181,19.77397619212916,77.16427288605524,True,True,1.0786252889872368
Monotonicity,Monotonic,Non-monotonic,spearman rho,0.9885675483811227,-0.20173050608557877,1.1902980544667014,-0.2063862608928259,0.016721971191620284,-0.25655935882794734,-0.1566900212969536,-0.2404958486373036,-0.17346553905984752,0.0670303095774561,0.09986933753099372,17.75760938551636,71.1816831177884,True,True,1.1232677448892454
Monotonicity,Monotonic,Non-monotonic,MIC-r2,0.024007097900521357,0.9546943598027933,0.9306872619022719,0.9387590658585573,0.01627756366127853,0.8693631528148955,0.9636336017270435,0.8968586712383199,0.958815764332205,0.061957093093885085,0.09427044891214797,15.021480437953713,57.17607875902299,True,True,0.8687301688083868
Monotonicity,Monotonic,Non-monotonic,raw middle slope,0.6686638100702786,-1.39408480494612,2.0627486150163987,-1.3951169321578596,0.04560322167410857,-1.5345674946027945,-1.2565763669877883,-1.4800379411112337,-1.3065504675712372,0.1734874735399965,0.2779911276150062,11.889899443032954,45.232519530249185,True,True,1.8892611414764022
Monotonicity,Monotonic,Non-monotonic,standardized middle slope,0.892981486407071,-1.831976592566289,2.72495807897336,-1.9307266630521485,0.08337211637021254,-2.1892583326406574,-1.6501057338933607,-2.078771360493499,-1.7765351483808347,0.3022362121126645,0.5391525987472967,9.015988057571269,32.68428579734293,True,True,2.4227218668606953
Monotonicity,Monotonic,Non-monotonic,raw late slope,0.7185816347990112,1.9295964203103115,1.2110147855113005,1.898871454521901,0.047518665888009244,1.7351694466539527,2.040950607769716,1.8076432229725765,1.990378199962809,0.18273497699023245,0.30578116111576326,6.6271646811000595,25.485033362792393,True,True,1.028279808521068
Monotonicity,Monotonic,Non-monotonic,MAS,0.03586843865969658,0.6266878015037347,0.5908193628440381,0.6077535472724391,0.0277904714051545,0.5140072237344602,0.6908078953174179,0.5495926479395732,0.6555848122474748,0.10599216430790159,0.17680067158295776,5.574179626408414,21.259781967370824,True,True,0.48482719853613654
Monotonicity,Monotonic,Non-monotonic,standardized late slope,0.9596453205388839,2.535696151745098,1.576050831206214,2.628268916352965,0.10868608907667045,2.2852147707746515,2.9784785716060944,2.401453498992441,2.823797712227301,0.4223442132348598,0.6932638008314429,3.731673790756531,14.50094344727429,True,True,1.1537066179713542
Monotonicity,Monotonic,Non-monotonic,amplitude,0.6335128376983427,0.5555962947227653,0.07791654297557737,0.552910473678367,0.009237476163419895,0.5281409748890358,0.5839153363174492,0.535267849400503,0.572268121707081,0.037000272306577986,0.05577436142841341,2.105837014656922,8.434830206558404,True,True,0.04091627066899939
Monotonicity,Monotonic,Non-monotonic,eta squared,0.964131250181406,0.9177128185511463,0.046418431630259716,0.9232115667988487,0.006147612480102123,0.9040374246672126,0.9423707490470419,0.9105534147180024,0.9346832791648509,0.024129864446848504,0.03833332437982928,1.9236921837048373,7.550643730472845,True,True,0.022288567183411212
Monotonicity,Monotonic,Non-monotonic,curve amplitude,0.7082014634070333,0.6114867611479328,0.0967147022591005,0.6157244327762914,0.013799983401011136,0.5736279912925444,0.6615750885635155,0.5905473911361686,0.6426730342134341,0.05212564307726553,0.08794709727097116,1.8554150423763767,7.008320187690526,True,True,0.04458905918183498
