property,MAS,MCN,MEV,MIC,MIC-r2,amplitude,buffer width mean,curve amplitude,distance correlation,early buffer width,eta squared,first derivative sign changes,late buffer width,middle buffer width,pearson r,r2,raw early slope,raw late slope,raw middle slope,raw overall slope,residual sd,spearman rho,standardized early slope,standardized late slope,standardized middle slope,standardized overall slope,x bin count coefficient of variation
Certainty,-0.08551752035948648,0.4594316186372973,0.12762500848724312,0.12762500848724312,-0.09632599210559206,-0.10847478907699881,0.8340477962102324,-0.18425280900960705,0.06991814389864326,0.3266546717079408,0.10146672196191697,-2.0,0.4688773868717895,0.5587485435099011,0.06547465304706812,0.11573606937134706,-0.3735218894424782,-0.5790241279244127,-0.6101492773970567,-0.1117509623517986,0.05758642097847251,0.05727568752121959,-0.5442442393943895,-0.34993565529489223,-0.32131924712540505,0.15822504194511633,0.0
Clustering,-0.028346230456689117,-0.3923174227787607,0.05184768927043615,0.0,-0.00862529898013989,0.14067842764163202,-0.01200902120089864,0.11638632210187483,-0.010134561237880813,-0.29697199923796236,-0.02031350583230962,-10.0,-0.19632050510941923,-0.11168353163868294,-0.0047043517549978375,0.053550096404170855,-0.5418886154658323,-0.5288382656923636,,-0.03494011381501294,0.012397137228042684,0.014781735883804381,,,-0.5340748880240827,0.06696413542196955,1.2642874125836838
Convexity / Concavity,-0.0571974899122992,0.0,-0.04647484089416942,-0.04647484089416942,-0.04765973636177527,0.03969039760618698,-0.04946557115063821,-0.005711928641565556,-0.012094044355223765,0.06106430282213271,-0.0084677704814492,0.0,-0.21008429441991006,-0.20042007053577826,-0.011309345039406948,-0.004743511106048648,0.7120608853510695,0.6564214026942933,0.012302304535517616,0.10334349271082544,-0.006878956533343666,-0.007871847896540052,0.8391263570238015,0.7581101709129684,-0.04434196698888482,0.012925509255817147,0.0
Density,-0.029128759546175303,0.16992500144231215,-0.024011491093006043,-0.0234128840686757,-0.024525574569273262,-0.02965248633737161,-0.163688173089113,-0.050403317810695514,-0.004959548453527751,-0.07283848712792562,-0.017109084632259908,0.0,-0.23571469768392928,-0.32954080511839523,-0.006025847119736416,-0.013255021454209648,-0.21113589960431173,-0.09755016170671238,-0.3164723487978763,-0.026610031020314784,-0.007473777414251478,0.0030944457378848655,-0.32051397577184615,-0.13412499051397497,-0.49942271305935015,-0.12683204479758292,0.6728111897994427
Direction,-0.06372806086463882,-0.4150374992788435,-0.031164669302426784,-0.031164669302426784,-0.03613847716083603,-0.030508867240936155,-0.12779094983843198,-0.041835246194665054,-0.005824454249071742,-0.29713543196665204,-0.014278107256123551,0.0,-0.22547458035120949,-0.1382744172156154,1.9670424537913447,-0.01281947676878381,1.1074653688927703,1.1640000443523069,1.1543964888090306,1.3142294191760735,-0.007460084145043965,1.9679712336800521,1.5551335407329918,1.6228820192909228,1.5785557847180944,1.7396158182810164,0.0
Heteroscedasticity,-0.05594920128329531,0.4594316186372973,0.05731390907355238,0.05731390907355238,-0.15190776009388549,-0.15225441943280277,0.6623973002561516,-0.21784398165514585,0.05441721171421898,-0.3487378450722576,0.09871002991571254,-4.0,0.9731448434267906,0.25841234065452046,0.053383161304438986,0.10928770361217999,-0.24562308896073198,-0.7950757347272084,-0.5576348327489673,-0.13367249681914017,0.0508640265727746,0.034988219801022624,-0.11962087834531215,-0.665383649206239,-0.2958754720353174,0.1159065203154181,0.0
Monotonicity,0.48482719853613654,-0.8744691179161408,-0.05227727519009484,-0.04959900131959072,0.8687301688083868,0.04091627066899939,0.12123313576074934,0.04458905918183498,0.4715557580187212,-0.15461054281524866,0.022288567183411212,2.0,-0.031316553552687476,0.15174658155996523,1.1530029026840796,-0.006780606773361009,-0.09090297072977288,1.028279808521068,1.8892611414764022,0.8172353511471686,-0.002164755560706645,1.1232677448892454,-0.129565374661901,1.1537066179713542,2.4227218668606953,1.0786252889872368,0.0
Non-linearity,-0.06154195719021678,-1.0443941193584538,-0.03060986113514974,-0.03060986113514974,0.01933090337874302,-0.030154751428980053,-0.1599988106963186,-0.056819944918527376,0.011711793205160137,-0.13110307420716272,-0.011968646622003032,-2.0,-0.17145303570080517,-0.2738466937249042,0.019744315845757088,-0.008136577082380692,0.25696257559668034,0.34002720837113753,-0.14137143588902656,-0.026220026909687166,-0.007394497619552253,-0.007153049991254656,0.3434094161016605,0.34351405269470414,-0.22743418653338954,-0.0921715234638002,0.0
Saturation,-0.0674964183058933,0.0,-0.05121185173768539,-0.05121185173768539,0.014864771732870097,0.015225959513545662,-0.04427483904484042,-0.03851499519047907,0.06427741519936814,0.03632394052747334,-0.0014290819708174807,-3.0,-0.216125384479664,-0.23878792138006932,0.1003224728765354,-0.006460760702925561,0.8510060357926448,0.4796137560044882,0.17302085065324124,0.1321251031616989,-0.006943407363354505,0.014929370248053186,0.8688823547073579,0.6053855883257135,0.22922707873191528,0.13795904784966206,0.0
Spread,-0.0677894008741975,0.4594316186372973,0.07876635833485723,0.07876635833485723,-0.12434886273259085,-0.10133381922216961,0.7467032069869515,-0.1740814475748903,0.060437585950431694,0.26309887672021626,0.0867360897414895,-2.0,0.40200890457938465,0.4862266237759876,0.056055675389967696,0.0971722384232101,-0.3460547576862466,-0.5359131669147659,-0.5608042414488436,-0.10274770598947103,0.050739420439154984,0.05044420095270419,-0.5321403267532798,-0.342462389176566,-0.3230192233887865,0.13653509570545397,0.0
