property,rank_within_property,top_k,metric,case_a,case_b,baseline_case,observed_difference,baseline_95_width,observed_ratio,ratio_to_baseline_95_width,observed_minus_baseline95,case_a_value,case_b_value,baseline_mean,baseline_sd,baseline_q025,baseline_q975,baseline_min,baseline_max,baseline_range
Clustering,1,3,covariance,Single cloud,Separated clusters,Separated clusters,0.0427,0.0044,9.6131,9.6131,0.0383,0.0518,0.0091,0.01,0.0012,0.0078,0.0122,0.0062,0.0141,0.0079
Clustering,2,3,equal_count_distribution_wasserstein_distance,Single cloud,Separated clusters,Separated clusters,0.2898,0.041,7.0598,7.0598,0.2488,0.4172,0.1274,0.1383,0.0107,0.1181,0.1592,0.1043,0.1709,0.0666
Clustering,3,3,distance_covariance,Single cloud,Separated clusters,Separated clusters,0.0848,0.0133,6.383,6.383,0.0715,0.1643,0.0795,0.0804,0.0034,0.0739,0.0872,0.0686,0.0919,0.0234
Concavity,1,3,y_sd,Positive direction,Concave,Concave,0.0477,0.0115,4.1316,4.1316,0.0362,0.2006,0.2483,0.2523,0.003,0.2466,0.2581,0.2429,0.2637,0.0208
Concavity,2,3,equal_width_distribution_wasserstein_distance,Positive direction,Concave,Concave,0.0946,0.029,3.2674,3.2674,0.0656,0.4427,0.5373,0.5459,0.0075,0.5319,0.5608,0.5229,0.5696,0.0467
Concavity,3,3,equal_count_distribution_wasserstein_distance,Positive direction,Concave,Concave,0.0946,0.029,3.2674,3.2674,0.0656,0.4427,0.5373,0.5459,0.0075,0.5319,0.5608,0.5229,0.5696,0.0467
Convexity,1,3,y_sd,Positive direction,Convex,Convex,0.0519,0.0116,4.4706,4.4706,0.0403,0.2006,0.2525,0.2524,0.0029,0.2466,0.2582,0.243,0.2623,0.0194
Convexity,2,3,equal_width_distribution_wasserstein_distance_div_y_sd,Positive direction,Convex,Convex,0.3024,0.0689,4.3917,4.3917,0.2335,2.2073,1.9049,1.9006,0.0177,1.8656,1.9345,1.8462,1.9534,0.1071
Convexity,3,3,equal_count_distribution_wasserstein_distance_div_y_sd,Positive direction,Convex,Convex,0.3024,0.0689,4.3917,4.3917,0.2335,2.2073,1.9049,1.9006,0.0177,1.8656,1.9345,1.8462,1.9534,0.1071
Density,1,3,x_uniform_ks_distance,Even coverage,Uneven coverage,Uneven coverage,0.3085,0.0263,11.7331,11.7331,0.2822,0.0059,0.3144,0.3176,0.0064,0.3057,0.332,0.2911,0.3479,0.0568
Density,2,3,equal_width_bin_x_bin_count_cv,Even coverage,Uneven coverage,Uneven coverage,0.701,0.148,4.7356,4.7356,0.553,0.0,0.701,0.6991,0.0369,0.6274,0.7755,0.583,0.8379,0.2549
Density,3,3,equal_count_distribution_wasserstein_distance_div_y_sd,Even coverage,Uneven coverage,Uneven coverage,0.2841,0.1318,2.1558,2.1558,0.1523,2.1815,1.8974,1.9341,0.034,1.8654,1.9972,1.805,2.0445,0.2395
