property,rank_within_property,top_k,metric,case_a,case_b,baseline_case,observed_difference,baseline_95_width,observed_ratio,ratio_to_baseline_95_width,observed_minus_baseline95,case_a_value,case_b_value,baseline_mean,baseline_sd,baseline_q025,baseline_q975,baseline_min,baseline_max,baseline_range
Clustering,1,5,raw_overall_slope,Single cloud,Separated clusters,Separated clusters,0.584,0.0744,7.8499,7.8499,0.5096,0.6969,0.1129,0.1527,0.0189,0.1154,0.1898,0.0773,0.2006,0.1233
Clustering,2,5,spearman_rho,Single cloud,Separated clusters,Separated clusters,0.6212,0.108,5.7495,5.7495,0.5132,0.9843,0.3631,0.2943,0.0282,0.2358,0.3439,0.1902,0.3753,0.1851
Clustering,3,5,pearson_r,Single cloud,Separated clusters,Separated clusters,0.6948,0.1292,5.3772,5.3772,0.5656,0.9853,0.2905,0.2704,0.0326,0.2047,0.3339,0.1486,0.3706,0.222
Clustering,4,5,MIC_minus_r2,Single cloud,Separated clusters,Separated clusters,0.6117,0.128,4.7799,4.7799,0.4837,0.0293,0.641,0.6743,0.0332,0.6136,0.7416,0.562,0.7803,0.2182
Clustering,5,5,distance_correlation,Single cloud,Separated clusters,Separated clusters,0.3773,0.0848,4.4478,4.4478,0.2925,0.9817,0.6044,0.5725,0.0217,0.5296,0.6145,0.503,0.6388,0.1358
Concavity,1,5,raw_overall_slope,Positive direction,Concave,Concave,0.2271,0.0339,6.7031,6.7031,0.1932,0.6814,0.9085,0.7926,0.0089,0.7754,0.8093,0.7654,0.8219,0.0564
Concavity,2,5,raw_early_slope,Positive direction,Concave,Concave,0.9264,0.1798,5.1527,5.1527,0.7466,0.5799,1.5063,1.7529,0.047,1.6646,1.8444,1.5998,1.878,0.2782
Concavity,3,5,pearson_r,Positive direction,Concave,Concave,0.0612,0.0158,3.8648,3.8648,0.0454,0.9816,0.9204,0.9173,0.0041,0.9091,0.9249,0.9047,0.9304,0.0257
Concavity,4,5,raw_late_slope,Positive direction,Concave,Concave,0.605,0.1885,3.2091,3.2091,0.4165,0.8242,0.2192,0.1067,0.0473,0.0111,0.1996,-0.0335,0.2621,0.2957
Concavity,5,5,equal_width_bin_amplitude,Positive direction,Concave,Concave,0.1204,0.0405,2.97,2.97,0.0799,0.6154,0.7358,0.7543,0.0105,0.7334,0.7739,0.7267,0.7926,0.0659
