property,rank_within_property,top_k,metric,case_a,case_b,baseline_case,observed_difference,baseline_95_width,observed_ratio,ratio_to_baseline_95_width,observed_minus_baseline95,case_a_value,case_b_value,baseline_mean,baseline_sd,baseline_q025,baseline_q975,baseline_min,baseline_max,baseline_range
Clustering,1,5,spearman_rho,Single cloud,Separated clusters,Separated clusters,0.641,0.1101,5.8244,5.8244,0.5309,0.9826,0.3416,0.3369,0.029,0.2809,0.3909,0.2301,0.4062,0.1761
Clustering,2,5,pearson_r,Single cloud,Separated clusters,Separated clusters,0.7103,0.1294,5.4904,5.4904,0.5809,0.9853,0.275,0.3015,0.0334,0.2361,0.3655,0.1948,0.4004,0.2056
Clustering,3,5,MIC_minus_r2,Single cloud,Separated clusters,Separated clusters,0.735,0.1396,5.2657,5.2657,0.5954,0.0292,0.7642,0.6902,0.0355,0.6199,0.7595,0.5885,0.8003,0.2118
Clustering,4,5,distance_correlation,Single cloud,Separated clusters,Separated clusters,0.4059,0.0853,4.7603,4.7603,0.3206,0.9824,0.5765,0.5912,0.0223,0.5499,0.6352,0.5208,0.66,0.1392
Clustering,5,5,lowess_curve_amplitude,Single cloud,Separated clusters,Separated clusters,0.3357,0.0842,3.9882,3.9882,0.2515,0.6429,0.3072,0.3365,0.0217,0.3022,0.3864,0.2847,0.4441,0.1594
Concavity,1,5,pearson_r,Positive direction,Concave,Concave,0.0612,0.019,3.2255,3.2255,0.0422,0.9816,0.9204,0.9145,0.0049,0.9051,0.9241,0.8979,0.9294,0.0316
Concavity,2,5,equal_width_bin_amplitude,Positive direction,Concave,Concave,0.1204,0.0464,2.5923,2.5923,0.074,0.6154,0.7358,0.7547,0.0119,0.7307,0.7771,0.7156,0.7956,0.08
Concavity,3,5,lowess_curve_amplitude,Positive direction,Concave,Concave,0.1526,0.0658,2.3202,2.3202,0.0868,0.6817,0.8343,0.8556,0.0169,0.825,0.8907,0.8046,0.9075,0.103
Concavity,4,5,distance_correlation,Positive direction,Concave,Concave,0.04,0.0176,2.2694,2.2694,0.0224,0.9809,0.9409,0.9364,0.0044,0.9276,0.9452,0.9212,0.9491,0.0279
Concavity,5,5,equal_width_bin_early_buffer_width,Positive direction,Concave,Concave,0.0927,0.0623,1.489,1.489,0.0304,0.1048,0.1975,0.1921,0.016,0.1605,0.2228,0.1416,0.2672,0.1256
Convexity,1,5,pearson_r,Positive direction,Convex,Convex,0.0669,0.018,3.715,3.715,0.0489,0.9816,0.9147,0.9149,0.0046,0.9058,0.9238,0.8996,0.9271,0.0275
