case_index,case_id,base_seed,experiment,function_type,function_name,config_index,function_formula,shape_params,snr,snr_label,sigma_epsilon,noise_structure,x_distribution,n,R,direction,monotonicity,linearity,linearity_error,convexity,saturation,late_slope_early_slope_ratio,tp_count,tp_types,tp_pattern,tp_trend,s_curve,threshold,strength,high_spread,high_spread_ratio,changing_spread,density,clusters
1,main_F00_cfg01_snr0p05_constant_uniform,1000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",0.05,0p05,4.47213595499958,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Very Weak,True,4.47213595499958,False,Even,False
2,main_F00_cfg01_snr0p08_constant_uniform,2000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",0.08,0p08,3.5355339059327378,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Very Weak,True,3.5355339059327378,False,Even,False
3,main_F00_cfg01_snr0p1_constant_uniform,3000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",0.1,0p1,3.1622776601683795,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Very Weak,True,3.1622776601683795,False,Even,False
4,main_F00_cfg01_snr0p13_constant_uniform,4000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",0.13,0p13,2.7735009811261455,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Very Weak,True,2.7735009811261455,False,Even,False
5,main_F00_cfg01_snr0p17_constant_uniform,5000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",0.17,0p17,2.4253562503633295,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Very Weak,True,2.4253562503633295,False,Even,False
6,main_F00_cfg01_snr0p2_constant_uniform,6000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",0.2,0p2,2.23606797749979,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Very Weak,True,2.23606797749979,False,Even,False
7,main_F00_cfg01_snr0p25_constant_uniform,7000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",0.25,0p25,2.0,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Very Weak,True,2.0,False,Even,False
8,main_F00_cfg01_snr0p3_constant_uniform,8000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",0.3,0p3,1.8257418583505538,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Weak,True,1.8257418583505538,False,Even,False
9,main_F00_cfg01_snr0p4_constant_uniform,9000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",0.4,0p4,1.5811388300841898,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Weak,True,1.5811388300841898,False,Even,False
10,main_F00_cfg01_snr0p5_constant_uniform,10000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",0.5,0p5,1.4142135623730951,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Weak,True,1.4142135623730951,False,Even,False
11,main_F00_cfg01_snr0p6_constant_uniform,11000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",0.6,0p6,1.2909944487358056,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Weak,True,1.2909944487358056,False,Even,False
12,main_F00_cfg01_snr0p7_constant_uniform,12000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",0.7,0p7,1.1952286093343936,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Weak,True,1.1952286093343936,False,Even,False
13,main_F00_cfg01_snr0p8_constant_uniform,13000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",0.8,0p8,1.118033988749895,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Weak,True,1.118033988749895,False,Even,False
14,main_F00_cfg01_snr1_constant_uniform,14000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",1.0,1,1.0,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Weak,True,1.0,False,Even,False
