model,x,y,method,Pearson r,Pearson p,Spearman rho,Spearman p,Kendall tau,Kendall p,MIC,net_change_raw,shape_net_change,shape_positive_fraction,shape_negative_fraction,shape_flat_fraction,shape_early_slope,shape_middle_slope,shape_late_slope,shape_n_turning_points,shape_first_turning_x_norm,shape_first_turning_y_value,shape_first_turning_type,shape_first_turning_left_slope,shape_first_turning_right_slope,shape_main_turning_x_norm,shape_main_turning_y_value,shape_main_turning_type,shape_main_turning_left_slope,shape_main_turning_right_slope,strength_net_change_sd,strength_positive_fraction,strength_negative_fraction,strength_flat_fraction,strength_early_slope,strength_middle_slope,strength_late_slope,strength_n_turning_points,strength_first_turning_x_norm,strength_first_turning_y_value,strength_first_turning_type,strength_first_turning_left_slope,strength_first_turning_right_slope,strength_main_turning_x_norm,strength_main_turning_y_value,strength_main_turning_type,strength_main_turning_left_slope,strength_main_turning_right_slope,y_raw_sd,n_curve_points
CLASSIC,P,E_soil,Equal-width bins,0.4951,0.0,0.5792,0.0,0.4137,0.0,0.2954,85.6931,0.5717,0.5556,0.3333,0.1111,2.9091,0.0122,-0.6665,2,0.4845,0.998,peak,2.3953,-0.7064,0.4845,0.998,peak,2.3953,-0.7064,1.0371,0.5556,0.3333,0.1111,5.2774,0.0221,-1.2091,2,0.4845,2.8459,peak,4.3453,-1.2815,0.4845,2.8459,peak,4.3453,-1.2815,82.6254,9
CLASSIC,P,E_soil,Equal-count bins,0.4951,0.0,0.5792,0.0,0.4137,0.0,0.2954,147.6417,0.9069,0.8,0.1,0.1,1.3861,1.7143,-0.1434,1,0.7016,1.0,peak,1.7682,-0.3121,0.7016,1.0,peak,1.7682,-0.3121,1.7869,0.9,0.1,0.0,2.731,3.3777,-0.2825,1,0.7016,2.8963,peak,3.4839,-0.6149,0.7016,2.8963,peak,3.4839,-0.6149,82.6254,10
CLASSIC,P,E_soil,LOWESS,0.4951,0.0,0.5792,0.0,0.4137,0.0,0.2954,104.3791,0.5471,0.8918,0.0986,0.0097,2.8531,0.0803,-0.8039,19,0.3783,1.0,peak,0.0577,0.082,0.3787,1.0,peak,0.1945,-0.0252,1.2633,0.8945,0.1006,0.0049,6.5878,0.1854,-1.8562,33,0.3779,2.8704,peak,0.214,0.1043,0.3787,2.8706,peak,0.4492,-0.0583,82.6254,10248
CLASSIC,P,E_soil,Polynomial degree 3,0.4951,0.0,0.5792,0.0,0.4137,0.0,0.2954,61.6732,0.3026,0.5267,0.4633,0.01,2.6068,0.2199,-1.9172,1,0.5318,1.0,peak,0.063,-0.0713,0.5318,1.0,peak,0.063,-0.0713,0.7464,0.53,0.4667,0.0033,6.431,0.5425,-4.7297,1,0.5318,2.8832,peak,0.1555,-0.1759,0.5318,2.8832,peak,0.1555,-0.1759,82.6254,300
CLASSIC,P,E_soil,GAM,0.4951,0.0,0.5792,0.0,0.4137,0.0,0.2954,129.3465,0.7164,0.4533,0.5133,0.0333,2.937,-0.4096,-0.3622,4,0.3746,1.0,peak,0.2449,-0.1839,0.3746,1.0,peak,0.2449,-0.1839,1.5655,0.4633,0.52,0.0167,6.4177,-0.8951,-0.7915,4,0.3746,2.7692,peak,0.5352,-0.4017,0.3746,2.7692,peak,0.5352,-0.4017,82.6254,300
CLASSIC,P,E_soil,Piecewise linear,0.4951,0.0,0.5792,0.0,0.4137,0.0,0.2954,131.5983,0.7255,0.3433,0.6567,0.0,2.9335,-0.335,-0.4166,1,0.3411,1.0,peak,2.9116,-0.4166,0.3411,1.0,peak,2.9116,-0.4166,1.5927,0.3433,0.6567,0.0,6.4398,-0.7355,-0.9145,1,0.3411,2.7998,peak,6.3916,-0.9145,0.3411,2.7998,peak,6.3916,-0.9145,82.6254,300
CLASSIC,P,E_soil,Symbolic regression,0.4951,0.0,0.5792,0.0,0.4137,0.0,0.2954,300.8469,1.0,1.0,0.0,0.0,1.5886,0.804,0.6205,0,,,,,,,,,,,3.6411,1.0,0.0,0.0,5.7844,2.9274,2.2593,0,,,,,,,,,,,82.6254,300
LPJ-GUESS,P,E_soil,Equal-width bins,0.5526,0.0,0.5689,0.0,0.4039,0.0,0.2448,77.938,0.9982,0.8889,0.0,0.1111,2.203,0.9737,0.1618,0,,,,,,,,,,,2.2164,0.8889,0.1111,0.0,4.8915,2.162,0.3593,1,1.0,2.5867,peak,1.5206,,1.0,2.5867,peak,1.5206,,35.1642,9
LPJ-GUESS,P,E_soil,Equal-count bins,0.5526,0.0,0.5689,0.0,0.4039,0.0,0.2448,73.7537,1.0,1.0,0.0,0.0,1.5503,0.4278,1.0496,0,,,,,,,,,,,2.0974,1.0,0.0,0.0,3.2516,0.8974,2.2014,0,,,,,,,,,,,35.1642,10
LPJ-GUESS,P,E_soil,LOWESS,0.5526,0.0,0.5689,0.0,0.4039,0.0,0.2448,91.7747,1.0,0.9539,0.0321,0.014,1.5415,1.4573,0.4736,138,0.2378,0.4933,peak,0.4383,0.1719,0.2389,0.4936,peak,0.3815,0.0029,2.6099,0.9577,0.0361,0.0061,4.0232,3.8033,1.236,154,0.2378,1.5,peak,1.144,0.4487,0.2389,1.5009,peak,0.9956,0.0075,35.1642,9628
LPJ-GUESS,P,E_soil,Polynomial degree 3,0.5526,0.0,0.5689,0.0,0.4039,0.0,0.2448,79.8332,0.8404,0.7533,0.2367,0.01,1.8672,1.0707,-0.422,1,0.7592,1.0,peak,0.0536,-0.0474,0.7592,1.0,peak,0.0536,-0.0474,2.2703,0.7567,0.24,0.0033,5.0446,2.8925,-1.1401,1,0.7592,3.0488,peak,0.1449,-0.1282,0.7592,3.0488,peak,0.1449,-0.1282,35.1642,300
LPJ-GUESS,P,E_soil,GAM,0.5526,0.0,0.5689,0.0,0.4039,0.0,0.2448,92.7356,0.9842,0.7133,0.2667,0.02,1.7552,1.105,0.0786,4,0.0067,0.0,valley,-0.2637,0.8792,0.0067,0.0,valley,-0.2637,0.8792,2.6372,0.72,0.2767,0.0033,4.7032,2.961,0.2106,4,0.0067,0.2858,valley,-0.7066,2.356,0.0067,0.2858,valley,-0.7066,2.356,35.1642,300
LPJ-GUESS,P,E_soil,Piecewise linear,0.5526,0.0,0.5689,0.0,0.4039,0.0,0.2448,147.1531,1.0,1.0,0.0,0.0,1.3201,0.842,0.842,0,,,,,,,,,,,4.1847,1.0,0.0,0.0,5.5243,3.5236,3.5236,0,,,,,,,,,,,35.1642,300
LPJ-GUESS,P,E_soil,Symbolic regression,0.5526,0.0,0.5689,0.0,0.4039,0.0,0.2448,101.5549,1.0,1.0,0.0,0.0,1.4863,0.8472,0.6753,0,,,,,,,,,,,2.888,1.0,0.0,0.0,4.2923,2.4467,1.9502,0,,,,,,,,,,,35.1642,300
CLASSIC,LAI,E_soil,Equal-width bins,0.4068,0.0,0.7213,0.0,0.5242,0.0,0.4523,72.8464,0.6268,0.4444,0.5556,0.0,3.4144,-0.69,-0.2863,2,0.2728,1.0,peak,5.0978,-0.5965,0.2728,1.0,peak,5.0978,-0.5965,0.8816,0.4444,0.5556,0.0,4.8023,-0.9704,-0.4027,2,0.2728,2.937,peak,7.17,-0.8389,0.2728,2.937,peak,7.17,-0.8389,82.6254,9
CLASSIC,LAI,E_soil,Equal-count bins,0.4068,0.0,0.7213,0.0,0.5242,0.0,0.4523,178.5591,0.9004,0.8,0.1,0.1,15.337,-0.0265,-0.162,1,0.3851,1.0,peak,3.3515,-0.162,0.3851,1.0,peak,3.3515,-0.162,2.1611,0.8,0.2,0.0,36.8107,-0.0637,-0.3888,1,0.3851,2.9252,peak,8.0439,-0.3888,0.3851,2.9252,peak,8.0439,-0.3888,82.6254,10
CLASSIC,LAI,E_soil,LOWESS,0.4068,0.0,0.7213,0.0,0.5242,0.0,0.4523,120.6474,0.5933,0.8763,0.1162,0.0075,31.6889,-0.4994,-0.6187,1,0.2425,1.0,peak,0.0118,-0.0173,0.2425,1.0,peak,0.0118,-0.0173,1.4602,0.8813,0.1171,0.0016,77.9835,-1.229,-1.5225,3,0.241,2.9457,peak,0.0228,-0.0289,0.2425,2.9457,peak,0.029,-0.0427,82.6254,9865
CLASSIC,LAI,E_soil,Polynomial degree 3,0.4068,0.0,0.7213,0.0,0.5242,0.0,0.4523,244.8971,1.0,0.5433,0.45,0.0067,2.0939,-1.34,2.2982,2,0.2676,0.7177,peak,0.1509,-0.1379,0.2676,0.7177,peak,0.1509,-0.1379,2.9639,0.5433,0.45,0.0067,6.2063,-3.9717,6.8119,2,0.2676,3.3696,peak,0.4472,-0.4089,0.2676,3.3696,peak,0.4472,-0.4089,82.6254,300
CLASSIC,LAI,E_soil,GAM,0.4068,0.0,0.7213,0.0,0.5242,0.0,0.4523,61.0295,0.3648,0.2467,0.75,0.0033,3.0055,-0.6688,-1.1469,1,0.2475,1.0,peak,0.1382,-0.1306,0.2475,1.0,peak,0.1382,-0.1306,0.7386,0.2467,0.75,0.0033,6.0857,-1.3543,-2.3224,1,0.2475,2.9837,peak,0.2799,-0.2645,0.2475,2.9837,peak,0.2799,-0.2645,82.6254,300
CLASSIC,LAI,E_soil,Piecewise linear,0.4068,0.0,0.7213,0.0,0.5242,0.0,0.4523,135.8515,0.9452,0.0567,0.9433,0.0,3.0385,-0.0579,-0.0579,1,0.0535,1.0,peak,18.2764,-0.0579,0.0535,1.0,peak,18.2764,-0.0579,1.6442,0.0567,0.9433,0.0,5.2855,-0.1007,-0.1007,1,0.0535,2.7328,peak,31.7916,-0.1007,0.0535,2.7328,peak,31.7916,-0.1007,82.6254,300
CLASSIC,LAI,E_soil,Symbolic regression,0.4068,0.0,0.7213,0.0,0.5242,0.0,0.4523,248.1866,1.0,0.66,0.32,0.02,2.7306,-0.57,1.0424,4,0.0803,0.754,peak,7.0438,-0.1488,0.0803,0.754,peak,7.0438,-0.1488,3.0038,0.6633,0.3267,0.01,8.2021,-1.712,3.131,4,0.0803,2.9406,peak,21.1579,-0.4468,0.0803,2.9406,peak,21.1579,-0.4468,82.6254,300
LPJ-GUESS,LAI,E_soil,Equal-width bins,-0.0079,0.436,-0.0598,0.0,0.0014,0.838,0.2781,5.819,0.1381,0.5556,0.3333,0.1111,-1.2538,1.0418,-0.0308,2,0.2978,0.1304,valley,-2.4546,1.1161,0.892,1.0,peak,1.3405,-2.5476,0.1655,0.6667,0.3333,0.0,-1.502,1.248,-0.0369,2,0.2978,1.1318,valley,-2.9406,1.3371,0.2978,1.1318,valley,-2.9406,1.3371,35.1642,9
LPJ-GUESS,LAI,E_soil,Equal-count bins,-0.0079,0.436,-0.0598,0.0,0.0014,0.838,0.2781,2.8771,0.0572,0.8,0.2,0.0,369.3323,0.5762,0.5359,2,0.0335,1.0,peak,927.8842,-0.173,0.0335,1.0,peak,927.8842,-0.173,0.0818,0.8,0.2,0.0,527.9989,0.8238,0.7662,2,0.0335,2.0867,peak,1326.5068,-0.2474,0.0335,2.0867,peak,1326.5068,-0.2474,35.1642,10
LPJ-GUESS,LAI,E_soil,LOWESS,-0.0079,0.436,-0.0598,0.0,0.0014,0.838,0.2781,38.5363,0.5694,0.8391,0.1542,0.0066,614.6463,0.6789,0.9644,78,0.0013,1.0,peak,21.2318,-13.7308,0.0013,1.0,peak,21.2318,-13.7308,1.0959,0.8404,0.1566,0.003,1182.9469,1.3067,1.8561,102,0.0013,2.5879,peak,40.8627,-26.4262,0.0013,2.5879,peak,40.8627,-26.4262,35.1642,9636
LPJ-GUESS,LAI,E_soil,Polynomial degree 3,-0.0079,0.436,-0.0598,0.0,0.0014,0.838,0.2781,-68.9606,-0.8853,0.46,0.5267,0.0133,-0.8212,1.1445,-3.0244,2,0.2074,0.5327,valley,-0.116,0.14,0.6756,1.0,peak,0.1025,-0.1569,-1.9611,0.4667,0.5333,0.0,-1.819,2.5352,-6.6997,2,0.2074,1.12,valley,-0.2571,0.3101,0.6756,2.1551,peak,0.227,-0.3476,35.1642,300
LPJ-GUESS,LAI,E_soil,GAM,-0.0079,0.436,-0.0598,0.0,0.0014,0.838,0.2781,-35.7667,-0.7675,0.55,0.44,0.01,-1.3107,1.5973,-2.698,4,0.1137,0.0001,valley,-0.6171,0.7929,0.1137,0.0001,valley,-0.6171,0.7929,-1.0171,0.5533,0.44,0.0067,-1.737,2.117,-3.5756,4,0.1137,0.9757,valley,-0.8179,1.0508,0.1137,0.9757,valley,-0.8179,1.0508,35.1642,300
LPJ-GUESS,LAI,E_soil,Piecewise linear,-0.0079,0.436,-0.0598,0.0,0.0014,0.838,0.2781,16.6106,0.3001,0.94,0.06,0.0,-1.2821,1.0603,1.0603,1,0.0602,0.0035,valley,-9.7149,1.0603,0.0602,0.0035,valley,-9.7149,1.0603,0.4724,0.94,0.06,0.0,-2.0181,1.669,1.669,1,0.0602,0.9793,valley,-15.2921,1.669,0.0602,0.9793,valley,-15.2921,1.669,35.1642,300
LPJ-GUESS,LAI,E_soil,Symbolic regression,-0.0079,0.436,-0.0598,0.0,0.0014,0.838,0.2781,30.1387,0.5069,0.89,0.1067,0.0033,-1.0734,1.1897,1.3298,1,0.107,0.0,valley,-0.1837,0.1168,0.107,0.0,valley,-0.1837,0.1168,0.8571,0.89,0.1067,0.0033,-1.8149,2.0114,2.2483,1,0.107,0.9896,valley,-0.3106,0.1975,0.107,0.9896,valley,-0.3106,0.1975,35.1642,300
