model,x,y,method,MIC,net_change_raw,shape_net_change,shape_positive_fraction,shape_negative_fraction,shape_flat_fraction,shape_early_slope,shape_middle_slope,shape_late_slope,strength_net_change_sd,strength_positive_fraction,strength_negative_fraction,strength_flat_fraction,strength_early_slope,strength_middle_slope,strength_late_slope,curve_mic,y_raw_sd,n_curve_points
CLASSIC,P,E_soil,Equal-width bins,0.2631,-146.1651,-0.8358,0.2,0.8,0.0,-1.6782,-0.9398,0.637,-1.5972,0.2,0.8,0.0,-3.2069,-1.7959,1.2172,1.0,91.5135,10
CLASSIC,P,E_soil,Equal-count bins,0.2631,-170.3062,-1.0,0.0,1.0,0.0,-1.2441,-1.2765,-0.5786,-1.861,0.0,1.0,0.0,-2.3153,-2.3756,-1.0768,1.0,91.5135,10
CLASSIC,P,E_soil,LOWESS,0.2631,-155.0644,-0.9458,0.0658,0.9332,0.001,-1.9887,-1.2121,-0.1942,-1.6944,0.066,0.9335,0.0005,-3.5629,-2.1715,-0.3479,1.0,91.5135,12035
CLASSIC,P,E_soil,Polynomial degree 3,0.2631,-140.3879,-0.7623,0.26,0.73,0.01,-1.8496,-1.109,0.6794,-1.5341,0.2633,0.7333,0.0033,-3.7221,-2.2317,1.3672,1.0,91.5135,300
CLASSIC,P,E_soil,GAM,0.2631,-156.2802,-0.9496,0.2,0.7933,0.0067,-1.5616,-1.057,-0.2214,-1.7077,0.2033,0.7933,0.0033,-2.8084,-1.9009,-0.3982,1.0,91.5135,300
CLASSIC,P,E_soil,Piecewise linear,0.2631,-197.6881,-1.0,0.0,1.0,0.0,-1.7837,-0.8205,-0.3967,-2.1602,0.0,1.0,0.0,-3.8531,-1.7725,-0.857,1.0,91.5135,300
CLASSIC,P,E_soil,Symbolic regression,0.2631,-265.7553,-1.0,0.0,1.0,0.0,-1.5446,-0.8185,-0.6435,-2.904,0.0,1.0,0.0,-4.4855,-2.3768,-1.8687,1.0,91.5135,300
LPJ-GUESS,P,E_soil,Equal-width bins,0.2212,182.7207,1.0,1.0,0.0,0.0,1.4112,0.9774,0.6161,1.9738,1.0,0.0,0.0,2.7853,1.9291,1.2161,1.0,92.5754,10
LPJ-GUESS,P,E_soil,Equal-count bins,0.2212,158.8598,1.0,1.0,0.0,0.0,1.3836,0.7839,0.953,1.716,1.0,0.0,0.0,2.3743,1.3452,1.6353,1.0,92.5754,10
LPJ-GUESS,P,E_soil,LOWESS,0.2212,179.0599,1.0,0.998,0.0,0.002,1.4981,0.9392,0.7011,1.9342,0.9992,0.0,0.0008,2.8977,1.8165,1.356,1.0,92.5754,12139
LPJ-GUESS,P,E_soil,Polynomial degree 3,0.2212,217.4142,1.0,1.0,0.0,0.0,1.4111,0.9057,0.6853,2.3485,1.0,0.0,0.0,3.314,2.127,1.6095,1.0,92.5754,300
LPJ-GUESS,P,E_soil,GAM,0.2212,170.4989,0.8996,0.8767,0.12,0.0033,1.4314,0.9841,0.2627,1.8417,0.88,0.12,0.0,2.9303,2.0146,0.5377,1.0,92.5754,300
LPJ-GUESS,P,E_soil,Piecewise linear,0.2212,223.7741,1.0,1.0,0.0,0.0,1.371,0.815,0.815,2.4172,1.0,0.0,0.0,3.3141,1.9701,1.9701,1.0,92.5754,300
LPJ-GUESS,P,E_soil,Symbolic regression,0.2212,235.7745,1.0,1.0,0.0,0.0,1.0688,0.9867,0.9448,2.5468,1.0,0.0,0.0,2.7221,2.5131,2.4063,1.0,92.5754,300
CLASSIC,LAI,E_soil,Equal-width bins,0.5504,-267.6081,-1.0,0.0,1.0,0.0,-1.2009,-0.8134,-0.9304,-2.9242,0.0,1.0,0.0,-3.5118,-2.3785,-2.7208,1.0,91.5135,10
CLASSIC,LAI,E_soil,Equal-count bins,0.5504,-251.2535,-1.0,0.0,1.0,0.0,-1.2259,-0.8258,-1.0804,-2.7455,0.0,1.0,0.0,-3.3656,-2.2673,-2.9664,1.0,91.5135,10
CLASSIC,LAI,E_soil,LOWESS,0.5504,-278.2778,-0.9717,0.0482,0.9479,0.0039,-1.1812,-0.9809,-0.8792,-3.0408,0.0493,0.9492,0.0015,-3.6964,-3.0695,-2.7514,1.0,91.5135,12040
CLASSIC,LAI,E_soil,Polynomial degree 3,0.5504,-302.8547,-1.0,0.0,1.0,0.0,-1.0357,-0.8887,-1.0781,-3.3094,0.0,1.0,0.0,-3.4274,-2.9411,-3.5679,1.0,91.5135,300
CLASSIC,LAI,E_soil,GAM,0.5504,-263.4897,-0.946,0.0833,0.9133,0.0033,-1.2069,-0.996,-0.622,-2.8792,0.0867,0.9133,0.0,-3.6736,-3.0315,-1.8933,1.0,91.5135,300
CLASSIC,LAI,E_soil,Piecewise linear,0.5504,-285.7458,-1.0,0.0,1.0,0.0,-0.9522,-0.9789,-1.069,-3.1224,0.0,1.0,0.0,-2.9732,-3.0566,-3.3379,1.0,91.5135,300
CLASSIC,LAI,E_soil,Symbolic regression,0.5504,-275.9357,-0.6955,0.07,0.93,0.0,-0.5986,-0.7391,-0.7218,-3.0152,0.07,0.93,0.0,-2.5951,-3.2043,-3.1292,1.0,91.5135,300
LPJ-GUESS,LAI,E_soil,Equal-width bins,0.1581,64.93,0.609,0.6,0.4,0.0,-1.1808,2.1353,1.0974,0.7014,0.6,0.4,0.0,-1.3599,2.4593,1.2639,1.0,92.5754,10
LPJ-GUESS,LAI,E_soil,Equal-count bins,0.1581,71.5006,0.6559,0.6,0.4,0.0,-0.8619,0.8034,1.5533,0.7723,0.6,0.4,0.0,-1.0149,0.9461,1.8291,0.61,92.5754,10
LPJ-GUESS,LAI,E_soil,LOWESS,0.1581,48.4323,0.4089,0.6251,0.3665,0.0084,-0.8999,1.2296,1.4324,0.5232,0.626,0.3676,0.0063,-1.1512,1.5731,1.8325,1.0,92.5754,12146
LPJ-GUESS,LAI,E_soil,Polynomial degree 3,0.1581,15.5455,0.1533,0.6367,0.3567,0.0067,-2.4397,1.821,1.0414,0.1679,0.6367,0.3567,0.0067,-2.6725,1.9948,1.1408,1.0,92.5754,300
LPJ-GUESS,LAI,E_soil,GAM,0.1581,18.7821,0.176,0.6033,0.3933,0.0033,-2.3869,1.7872,1.0938,0.2029,0.6033,0.3933,0.0033,-2.7521,2.0606,1.2612,1.0,92.5754,300
LPJ-GUESS,LAI,E_soil,Piecewise linear,0.1581,85.3467,0.6113,0.6433,0.3567,0.0,-1.0963,1.3742,1.5523,0.9219,0.6433,0.3567,0.0,-1.6533,2.0723,2.341,1.0,92.5754,300
LPJ-GUESS,LAI,E_soil,Symbolic regression,0.1581,8.0111,0.0693,0.7533,0.2433,0.0033,-2.6742,1.2802,1.6008,0.0865,0.7533,0.2433,0.0033,-3.3409,1.5993,1.9998,1.0,92.5754,300
