model,x,y,method,Pearson r,Pearson p,Spearman rho,Spearman p,Kendall tau,Kendall p,MIC,net_change_raw,shape_net_change,shape_positive_fraction,shape_negative_fraction,shape_flat_fraction,shape_early_slope,shape_middle_slope,shape_late_slope,shape_n_turning_points,shape_first_turning_x_norm,shape_first_turning_y_value,shape_first_turning_type,shape_first_turning_left_slope,shape_first_turning_right_slope,shape_main_turning_x_norm,shape_main_turning_y_value,shape_main_turning_type,shape_main_turning_left_slope,shape_main_turning_right_slope,strength_net_change_sd,strength_positive_fraction,strength_negative_fraction,strength_flat_fraction,strength_early_slope,strength_middle_slope,strength_late_slope,strength_n_turning_points,strength_first_turning_x_norm,strength_first_turning_y_value,strength_first_turning_type,strength_first_turning_left_slope,strength_first_turning_right_slope,strength_main_turning_x_norm,strength_main_turning_y_value,strength_main_turning_type,strength_main_turning_left_slope,strength_main_turning_right_slope,y_raw_sd,n_curve_points
CLASSIC,P,T,Equal-width bins,0.495,0.0,0.5715,0.0,0.3962,0.0,0.2873,242.0275,1.0,0.7,0.3,0.0,2.1947,0.1959,0.7137,2,0.437,0.8826,peak,2.1947,0.3885,0.437,0.8826,peak,2.1947,0.3885,1.8452,0.7,0.3,0.0,4.0498,0.3615,1.3169,2,0.437,3.5683,peak,4.0498,0.7168,0.437,3.5683,peak,4.0498,0.7168,131.1633,10
CLASSIC,P,T,Equal-count bins,0.495,0.0,0.5715,0.0,0.3962,0.0,0.2873,215.5354,0.985,0.9,0.1,0.0,2.2085,0.8774,0.0756,1,0.7242,1.0,peak,1.3729,-0.0545,0.7242,1.0,peak,1.3729,-0.0545,1.6433,0.9,0.1,0.0,3.6846,1.4639,0.1262,1,0.7242,3.5464,peak,2.2906,-0.091,0.7242,3.5464,peak,2.2906,-0.091,131.1633,10
CLASSIC,P,T,LOWESS,0.495,0.0,0.5715,0.0,0.3962,0.0,0.2873,268.6667,0.9787,0.8468,0.0884,0.0648,2.4164,0.6493,-0.0684,5,0.2964,0.8001,peak,0.2639,0.2734,0.2965,0.8001,valley,0.1774,0.4164,2.0483,0.8516,0.1136,0.0348,5.0575,1.359,-0.1431,7,0.2964,3.1957,peak,0.5524,0.5723,0.2965,3.1957,valley,0.3713,0.8715,131.1633,12035
CLASSIC,P,T,Polynomial degree 3,0.495,0.0,0.5715,0.0,0.3962,0.0,0.2873,279.8327,0.9754,0.6767,0.2667,0.0567,2.5514,0.455,-0.0687,2,0.6288,1.0,peak,0.0236,-0.0186,0.6288,1.0,peak,0.0236,-0.0186,2.1335,0.69,0.2833,0.0267,5.5808,0.9952,-0.1502,2,0.6288,3.6566,peak,0.0517,-0.0408,0.9298,3.5888,valley,-0.0346,0.0588,131.1633,300
CLASSIC,P,T,GAM,0.495,0.0,0.5715,0.0,0.3962,0.0,0.2873,341.3451,1.0,0.7,0.2233,0.0767,2.1028,0.3594,0.5604,2,0.5753,0.8224,peak,0.0408,-0.0238,0.8662,0.7573,valley,-0.207,0.2785,2.6024,0.73,0.24,0.03,5.4725,0.9353,1.4583,4,0.5753,3.6523,peak,0.1063,-0.062,0.8662,3.483,valley,-0.5386,0.7249,131.1633,300
CLASSIC,P,T,Piecewise linear,0.495,0.0,0.5715,0.0,0.3962,0.0,0.2873,286.4804,1.0,1.0,0.0,0.0,2.3785,0.3129,0.3129,0,,,,,,,,,,,2.1842,1.0,0.0,0.0,5.1951,0.6834,0.6834,0,,,,,,,,,,,131.1633,300
CLASSIC,P,T,Symbolic regression,0.495,0.0,0.5715,0.0,0.3962,0.0,0.2873,364.1988,1.0,1.0,0.0,0.0,1.3168,0.927,0.7583,0,,,,,,,,,,,2.7767,1.0,0.0,0.0,3.6565,2.5739,2.1057,0,,,,,,,,,,,131.1633,300
LPJ-GUESS,P,T,Equal-width bins,0.6357,0.0,0.6715,0.0,0.4865,0.0,0.357,473.2004,1.0,0.8,0.1,0.1,1.9569,0.7542,0.0817,2,0.6647,0.9817,peak,1.5386,0.0817,0.6647,0.9817,peak,1.5386,0.0817,2.3085,0.9,0.1,0.0,4.5174,1.741,0.1885,2,0.6647,5.0485,peak,3.5519,0.1885,0.6647,5.0485,peak,3.5519,0.1885,204.9859,10
LPJ-GUESS,P,T,Equal-count bins,0.6357,0.0,0.6715,0.0,0.4865,0.0,0.357,473.0129,1.0,1.0,0.0,0.0,1.6069,1.1249,0.3816,0,,,,,,,,,,,2.3075,1.0,0.0,0.0,3.708,2.5959,0.8804,0,,,,,,,,,,,204.9859,10
LPJ-GUESS,P,T,LOWESS,0.6357,0.0,0.6715,0.0,0.4865,0.0,0.357,515.6817,0.9769,0.9378,0.0542,0.008,1.9762,1.1395,-0.0648,3,0.6723,0.9999,peak,-0.0036,-0.0314,0.6808,0.9997,valley,-0.0359,-0.0037,2.5157,0.9404,0.0566,0.003,5.0891,2.9346,-0.1668,13,0.6621,5.0154,peak,0.0505,-0.0167,0.664,5.0154,valley,-0.0167,0.1097,204.9859,12139
