model,x,y,method,n_points,n_raw_points,amplitude_raw_old,amplitude_raw_current,fit_r2_old,fit_r2_current,fit_rmse_old,fit_rmse_current,fit_nrmse_old,fit_nrmse_current,net_change_norm_old,net_change_norm_current,total_variation_current,pos_fraction_old,positive_slope_fraction,neg_fraction_old,negative_slope_fraction,flat_fraction_old,flat_slope_fraction
CLASSIC,P,T,Equal-width bins,11178,12340,242.0275,250.48602,0.2402,0.308008,111.7464,109.426353,0.1807,0.17645,1.0,0.459631,1.540369,0.5556,0.444444,0.3333,0.333333,0.1111,0.222222
CLASSIC,P,T,Equal-count bins,10843,12340,218.8262,219.14147,0.2527,0.27185,110.228,109.476688,0.1782,0.177006,0.985,0.983576,1.016424,0.8889,0.888889,0.1111,0.111111,0.0,0.0
CLASSIC,P,T,LOWESS,12047,12340,274.5227,294.385476,0.3135,0.318793,108.6724,108.740969,0.1757,0.175345,0.9787,0.455472,1.544555,0.8437,0.846312,0.0855,0.1392,0.0708,0.014488
CLASSIC,P,T,Polynomial degree 3,12047,12340,286.9012,260.315242,0.3152,0.282719,108.545,111.583082,0.1755,0.179928,0.9754,0.220387,1.779613,0.6756,0.665552,0.2676,0.327759,0.0569,0.006689
CLASSIC,P,T,GAM,12047,12340,341.3451,311.264947,0.3158,0.320635,108.4896,108.593925,0.1754,0.175108,1.0,0.5313,1.577205,0.7023,0.688963,0.2174,0.284281,0.0803,0.026756
CLASSIC,P,T,Piecewise linear,12047,12340,286.4804,307.418882,0.3118,0.277504,108.8077,111.988018,0.1759,0.180581,1.0,0.98431,1.01569,1.0,0.528428,0.0,0.471572,0.0,0.0
CLASSIC,P,T,Symbolic regression,12047,12340,364.1988,600.485389,0.2587,0.164772,112.9315,120.408236,0.1826,0.194159,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LPJ-GUESS,P,T,Equal-width bins,11330,12538,473.2004,547.45583,0.3973,0.456867,155.704,153.910572,0.1565,0.15297,1.0,0.975872,1.081386,0.8889,0.888889,0.1111,0.111111,0.0,0.0
LPJ-GUESS,P,T,Equal-count bins,10935,12538,473.0129,493.107775,0.3933,0.406214,153.4492,153.129323,0.1543,0.152338,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LPJ-GUESS,P,T,LOWESS,12149,12538,527.8884,581.664413,0.4476,0.461778,152.3505,153.440532,0.1532,0.152503,0.9769,0.893611,1.165888,0.9376,0.937088,0.0549,0.054366,0.0076,0.008546
LPJ-GUESS,P,T,Polynomial degree 3,12149,12538,509.3598,554.505642,0.4502,0.459272,151.995,153.797318,0.1528,0.152858,0.7342,0.56412,1.43588,0.7057,0.735786,0.2843,0.257525,0.01,0.006689
LPJ-GUESS,P,T,GAM,12149,12538,526.4558,560.137398,0.4516,0.46582,151.7947,152.863338,0.1526,0.151929,0.9919,0.884353,1.313681,0.7826,0.722408,0.2074,0.267559,0.01,0.010033
LPJ-GUESS,P,T,Piecewise linear,12149,12538,463.1859,614.958206,0.4494,0.453621,152.1091,154.598945,0.1529,0.153654,0.9998,0.928032,1.071968,0.495,0.618729,0.0,0.381271,0.505,0.0
LPJ-GUESS,P,T,Symbolic regression,12149,12538,861.2075,1187.600529,0.3827,0.394617,161.0593,162.732518,0.1619,0.161738,1.0,0.684049,1.315951,1.0,0.993311,0.0,0.006689,0.0,0.0
CLASSIC,LAI,T,Equal-width bins,11438,12340,315.582,318.94726,0.5619,0.567518,82.2711,81.995734,0.1347,0.132219,0.9956,0.999082,1.000918,0.8889,0.888889,0.1111,0.0,0.0,0.111111
CLASSIC,LAI,T,Equal-count bins,10843,12340,301.1254,306.542895,0.5386,0.543899,82.2586,82.023107,0.1347,0.13241,0.9304,0.934906,1.065094,0.8889,0.888889,0.1111,0.111111,0.0,0.0
CLASSIC,LAI,T,LOWESS,12047,12340,463.9449,463.739562,0.6124,0.617655,81.6588,81.466913,0.132,0.131366,1.0,1.0,1.025576,0.9439,0.946724,0.0517,0.049546,0.0043,0.00373
CLASSIC,LAI,T,Polynomial degree 3,12047,12340,419.6097,422.90656,0.6088,0.614084,82.0422,81.846467,0.1326,0.131978,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
CLASSIC,LAI,T,GAM,12047,12340,497.1005,498.133472,0.613,0.618258,81.6001,81.402701,0.1319,0.131262,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
CLASSIC,LAI,T,Piecewise linear,12047,12340,381.4545,445.110443,0.6059,0.615015,82.3357,81.747753,0.1331,0.131818,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
CLASSIC,LAI,T,Symbolic regression,12047,12340,786.2177,556.367954,0.582,0.59011,84.7997,84.350501,0.1371,0.136015,1.0,0.979786,1.020214,0.9933,0.996656,0.0067,0.003344,0.0,0.0
LPJ-GUESS,LAI,T,Equal-width bins,11701,12538,724.8631,737.948,0.7902,0.7943,89.3742,90.446645,0.0899,0.090638,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LPJ-GUESS,LAI,T,Equal-count bins,10935,12538,623.8072,636.50094,0.753,0.757767,89.8733,91.089465,0.0918,0.092511,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LPJ-GUESS,LAI,T,LOWESS,12149,12538,849.1271,863.422518,0.814,0.816834,88.395,89.512146,0.0889,0.088965,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LPJ-GUESS,LAI,T,Polynomial degree 3,12149,12538,903.5221,920.868382,0.8114,0.814367,89.0176,90.112962,0.0895,0.089562,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LPJ-GUESS,LAI,T,GAM,12149,12538,805.5009,822.878535,0.8147,0.817465,88.2463,89.357723,0.0887,0.088812,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
