analysis_group,zone,model,x_label,y_label,method,status,reason,n_points
HW_T,HW,CLASSIC,P,T,Equal-width bins,success,,12340
HW_T,HW,CLASSIC,P,T,Equal-count bins,success,,12340
HW_T,HW,CLASSIC,P,T,LOWESS,success,,12340
HW_T,HW,CLASSIC,P,T,Polynomial degree 3,success,,12340
HW_T,HW,CLASSIC,P,T,GAM,success,,12340
HW_T,HW,CLASSIC,P,T,Piecewise linear,success,,12340
HW_T,HW,CLASSIC,P,T,Symbolic regression,success,,12340
HW_T,HW,LPJ-GUESS,P,T,Equal-width bins,success,,12538
HW_T,HW,LPJ-GUESS,P,T,Equal-count bins,success,,12538
HW_T,HW,LPJ-GUESS,P,T,LOWESS,success,,12538
HW_T,HW,LPJ-GUESS,P,T,Polynomial degree 3,success,,12538
HW_T,HW,LPJ-GUESS,P,T,GAM,success,,12538
HW_T,HW,LPJ-GUESS,P,T,Piecewise linear,success,,12538
HW_T,HW,LPJ-GUESS,P,T,Symbolic regression,success,,12538
HW_T,HW,CLASSIC,LAI,T,Equal-width bins,success,,12340
HW_T,HW,CLASSIC,LAI,T,Equal-count bins,success,,12340
HW_T,HW,CLASSIC,LAI,T,LOWESS,success,,12340
HW_T,HW,CLASSIC,LAI,T,Polynomial degree 3,success,,12340
HW_T,HW,CLASSIC,LAI,T,GAM,success,,12340
HW_T,HW,CLASSIC,LAI,T,Piecewise linear,success,,12340
HW_T,HW,CLASSIC,LAI,T,Symbolic regression,success,,12340
HW_T,HW,LPJ-GUESS,LAI,T,Equal-width bins,success,,12538
HW_T,HW,LPJ-GUESS,LAI,T,Equal-count bins,success,,12538
HW_T,HW,LPJ-GUESS,LAI,T,LOWESS,success,,12538
HW_T,HW,LPJ-GUESS,LAI,T,Polynomial degree 3,success,,12538
HW_T,HW,LPJ-GUESS,LAI,T,GAM,success,,12538
HW_T,HW,LPJ-GUESS,LAI,T,Piecewise linear,success,,12538
HW_T,HW,LPJ-GUESS,LAI,T,Symbolic regression,success,,12538
all_zones_E_soil,HW,CLASSIC,P,E_soil,Equal-width bins,success,,12340
all_zones_E_soil,HW,CLASSIC,P,E_soil,Equal-count bins,success,,12340
all_zones_E_soil,HW,CLASSIC,P,E_soil,LOWESS,success,,12340
all_zones_E_soil,HW,CLASSIC,P,E_soil,Polynomial degree 3,success,,12340
all_zones_E_soil,HW,CLASSIC,P,E_soil,GAM,success,,12340
all_zones_E_soil,HW,CLASSIC,P,E_soil,Piecewise linear,success,,12340
all_zones_E_soil,HW,CLASSIC,P,E_soil,Symbolic regression,success,,12340
all_zones_E_soil,HW,LPJ-GUESS,P,E_soil,Equal-width bins,success,,12538
all_zones_E_soil,HW,LPJ-GUESS,P,E_soil,Equal-count bins,success,,12538
all_zones_E_soil,HW,LPJ-GUESS,P,E_soil,LOWESS,success,,12538
all_zones_E_soil,HW,LPJ-GUESS,P,E_soil,Polynomial degree 3,success,,12538
all_zones_E_soil,HW,LPJ-GUESS,P,E_soil,GAM,success,,12538
all_zones_E_soil,HW,LPJ-GUESS,P,E_soil,Piecewise linear,success,,12538
all_zones_E_soil,HW,LPJ-GUESS,P,E_soil,Symbolic regression,success,,12538
all_zones_E_soil,HW,CLASSIC,LAI,E_soil,Equal-width bins,success,,12340
all_zones_E_soil,HW,CLASSIC,LAI,E_soil,Equal-count bins,success,,12340
