analysis_group,zone,model,x_label,y_label,method,shape_label,amplitude_norm_by_y_sd,normalized_total_variation,mean_standardized_absolute_slope,late_to_early_absolute_slope_ratio,r_squared,nrmse_by_sd,nrmse_by_raw_y_range,mean_buffer_width_by_sd,buffer_width95_by_sd
HW_T,HW,CLASSIC,P,T,Equal-width bins,Non-monotonic: U-shaped / inverted-U,1.901131276711829,1.540368500405731,1.5308130605060342,0.1316267202679843,0.3080078348796964,0.8305208484999445,0.176450231169905,0.641097794003771,3.319728255685088
HW_T,HW,CLASSIC,P,T,Equal-count bins,Non-monotonic: U-shaped / inverted-U,1.663233351871721,1.0164238653687958,1.367842381392287,0.0305873259961304,0.2718499945584433,0.8309028839999121,0.17653139740722,0.6441147334569725,3.3053697399991164
HW_T,HW,CLASSIC,P,T,LOWESS,Non-monotonic: U-shaped / inverted-U,2.234318052192968,1.5445551831376734,2.0422763104890485,0.0337568889238783,0.3187934454327386,0.8253189392246516,0.1753450474820925,0.6408199301765918,3.305962489891726
HW_T,HW,CLASSIC,P,T,Polynomial degree 3,Non-monotonic: U-shaped / inverted-U,1.9757328114873984,1.779613043070703,1.779613043070703,1.814448948224051,0.2827193256541264,0.8468899266569854,0.1799279615966184,0.6662057204241058,3.3661945028587485
HW_T,HW,CLASSIC,P,T,GAM,Non-monotonic: U-shaped / inverted-U,2.3624293546006743,1.5772052674893071,1.5772052674893071,1.3036155613944187,0.3206345080286821,0.8242029107214197,0.1751079390606204,0.6444843547910829,3.3089227338268916
HW_T,HW,CLASSIC,P,T,Piecewise linear,Non-monotonic: U-shaped / inverted-U,2.333238600255258,1.0156901654999309,1.0156901654999309,0.0175106158598161,0.2775038444417177,0.8499632971117553,0.1805809216375306,0.6660101904271041,3.3619166317470017
HW_T,HW,CLASSIC,P,T,Symbolic regression,Monotonic nonlinear,4.557545985771817,1.0,1.0,0.325542233443518,0.1647724479235933,0.9138708155476832,0.1941585415394049,0.6902217553500751,3.53721087375178
HW_T,HW,LPJ-GUESS,P,T,Equal-width bins,Non-monotonic: U-shaped / inverted-U,2.617413846755194,1.0813863101978478,1.2068995161943246,0.0388969951273801,0.456866919710752,0.735854181260782,0.1529701677198566,0.5736162622511245,2.8903484285663645
HW_T,HW,LPJ-GUESS,P,T,Equal-count bins,Monotonic nonlinear,2.3575730634335277,1.0,1.2632575083700548,0.1131689477834097,0.4062138978424653,0.7321189911388496,0.1521936923338792,0.5726441493836346,2.891283474522496
HW_T,HW,LPJ-GUESS,P,T,LOWESS,Non-monotonic: U-shaped / inverted-U,2.7809668030361814,1.1658877116469697,1.7931695435545372,0.0028396274624961,0.4617779909509522,0.7336068986774864,0.1525030001716725,0.5737922886506536,2.872175690369116
HW_T,HW,LPJ-GUESS,P,T,Polynomial degree 3,Non-monotonic: U-shaped / inverted-U,2.6511193535051296,1.4358803600296794,1.4358803600296797,0.91250689371501,0.4592720949975956,0.7353127075445297,0.1528576055746649,0.5829535383215229,2.852411986601133
HW_T,HW,LPJ-GUESS,P,T,GAM,Non-monotonic: U-shaped / inverted-U,2.678045061736628,1.3136811617262,1.3136811617261996,0.0467276266188871,0.4658196120002056,0.7308473049055371,0.1519293328162591,0.5783795607992144,2.862606758911624
HW_T,HW,LPJ-GUESS,P,T,Piecewise linear,Non-monotonic: U-shaped / inverted-U,2.940146097933426,1.071968442475708,1.071968442475708,0.1164274858003134,0.4536206018850566,0.7391453309328516,0.1536543354940548,0.5866664504718756,2.854765507677423
HW_T,HW,LPJ-GUESS,P,T,Symbolic regression,Monotonic nonlinear,5.67797783432775,1.3159509874933215,1.3159509874933215,1.3893769071249586,0.3946173766482451,0.7780323512070181,0.1617382115729713,0.5993708294144309,3.0153837841024083
HW_T,HW,CLASSIC,LAI,T,Equal-width bins,Monotonic nonlinear,2.4207363413237184,1.0009179260546086,0.9896857651752224,0.3255935985674701,0.5675178014075309,0.6223287582170562,0.1322182982515301,0.4757638235524495,2.532402109416357
HW_T,HW,CLASSIC,LAI,T,Equal-count bins,Non-monotonic: U-shaped / inverted-U,2.3265900641412647,1.0650940874033306,1.0730512539950148,0.2523172158276361,0.5438990524838998,0.6225365135229284,0.1322624373864044,0.4775565766308435,2.5443326607358228
HW_T,HW,CLASSIC,LAI,T,LOWESS,Non-monotonic: U-shaped / inverted-U,3.5196766095236622,1.0255764227396478,0.9296188423296966,0.5390175992163058,0.617655413828638,0.6183151316336731,0.1313655739162569,0.4768896295182757,2.5157286791072946
HW_T,HW,CLASSIC,LAI,T,Polynomial degree 3,Monotonic nonlinear,3.209763514107695,1.0,1.0,0.6317014172287404,0.6140844281947365,0.6211958614302864,0.1319776060397954,0.4857185605326665,2.5097446591656896
HW_T,HW,CLASSIC,LAI,T,GAM,Monotonic nonlinear,3.78071847303968,1.0,0.9999999999999996,0.7089498929528949,0.6182579032244384,0.6178277765166166,0.1312620317556696,0.4796592326324285,2.515090073896165
HW_T,HW,CLASSIC,LAI,T,Piecewise linear,Linear,3.378285880590757,1.0,1.0,0.5944297437902362,0.6150147699276455,0.6204466390573548,0.1318184282646195,0.4825864604232368,2.518417767846561
HW_T,HW,CLASSIC,LAI,T,Symbolic regression,Monotonic nonlinear,4.222704798659108,1.0202140149259813,1.0202140149259813,0.699082027471625,0.5901095873535961,0.6402009030323482,0.1360153661877006,0.4938381916164747,2.5597181785870196
HW_T,HW,LPJ-GUESS,LAI,T,Equal-width bins,Monotonic nonlinear,3.5281664885828357,1.0,1.0146108421374054,0.679013782002827,0.7943000121799326,0.4324299551609024,0.0898940095097599,0.3454855254367937,1.661826176080365
HW_T,HW,LPJ-GUESS,LAI,T,Equal-count bins,Monotonic nonlinear,3.04314299443792,1.0,1.0486006272431811,0.706483377383068,0.7577669776514135,0.4355033105886207,0.0905329019795088,0.3472261767074138,1.673425187749782
HW_T,HW,LPJ-GUESS,LAI,T,LOWESS,Monotonic nonlinear,4.128066467907276,1.0,1.0544576213494326,0.7114354811969164,0.8168338575280094,0.4279620702721086,0.088965220738565,0.3415281557863034,1.6529379386454608
HW_T,HW,LPJ-GUESS,LAI,T,Polynomial degree 3,Monotonic nonlinear,4.4027180296937365,1.0,1.0,0.7088257452879693,0.8143667393181291,0.4308346028700544,0.0895623659399902,0.3436778377695078,1.681831226398441
HW_T,HW,LPJ-GUESS,LAI,T,GAM,Monotonic nonlinear,3.9342236448216106,1.0,1.0,0.5212942998273756,0.8174652957008463,0.4272237654680576,0.0888117411327135,0.3431953956167333,1.6454198111561336
HW_T,HW,LPJ-GUESS,LAI,T,Piecewise linear,Monotonic nonlinear,4.0067503915522265,1.0,1.0,0.6164720426095353,0.8148645549978937,0.4302565270335656,0.0894421949062251,0.3445393119451294,1.672879497229731
HW_T,HW,LPJ-GUESS,LAI,T,Symbolic regression,Linear,3.9119443304716985,1.3343480754537096,1.334348075453709,0.7196942092966205,0.8011368901444759,0.4459229182534404,0.0926989413561305,0.3529368017819631,1.7209792917729836
all_zones_E_soil,HW,CLASSIC,P,E_soil,Equal-width bins,Non-monotonic: U-shaped / inverted-U,1.841624418127634,1.4425747992773883,1.4137874042337086,0.3299572644630477,0.2845743720562603,0.8454864658106085,0.1868766065288926,0.6526758748694428,3.375701938197487
all_zones_E_soil,HW,CLASSIC,P,E_soil,Equal-count bins,Non-monotonic: U-shaped / inverted-U,1.8305813046807204,1.0767811652221917,1.293445121450531,0.522508295600399,0.2628399870610931,0.8468079985837209,0.1871687029373421,0.6577905541341362,3.3869260152080543
all_zones_E_soil,HW,CLASSIC,P,E_soil,LOWESS,Non-monotonic: U-shaped / inverted-U,1.806518465832608,1.4641010718495262,2.197305073787581,0.2965222364045284,0.2972688805569267,0.838256626592708,0.1852786060008825,0.6526373811658751,3.3584795226264688
all_zones_E_soil,HW,CLASSIC,P,E_soil,Polynomial degree 3,Non-monotonic: U-shaped / inverted-U,1.8009498798505954,1.7955110463201254,1.7955110463201254,8.139438873044476,0.2902328497553644,0.8424426583734771,0.1862038383323808,0.6647176674804496,3.3448868371141707
all_zones_E_soil,HW,CLASSIC,P,E_soil,GAM,Non-monotonic: U-shaped / inverted-U,1.7579927960227713,1.4963904453631904,1.4963904453631902,1.3704707917677472,0.303873803508295,0.8343079673119453,0.1844058397573445,0.6590153709155371,3.342024541230147
all_zones_E_soil,HW,CLASSIC,P,E_soil,Piecewise linear,Non-monotonic: U-shaped / inverted-U,2.6214494179343415,1.2313245849555363,1.2313245849555368,7.092760278678881,0.2769623255691862,0.850281765902576,0.1879365045221921,0.6740180627106374,3.336623329920875
all_zones_E_soil,HW,CLASSIC,P,E_soil,Symbolic regression,Monotonic nonlinear,20.281682742109716,1.8957157342514508,1.8957157342514517,0.5253651739420353,0.1079027957538552,0.944470704213615,0.2087549444096368,0.6948691637194714,3.341908458515246
all_zones_E_soil,HW,LPJ-GUESS,P,E_soil,Equal-width bins,Non-monotonic: U-shaped / inverted-U,3.147842691749859,1.565636847708237,1.1898346649050184,0.4390279615110948,0.2862703830797722,0.8422521715667786,0.1397192230901297,0.5987888172426217,3.269864224504881
all_zones_E_soil,HW,LPJ-GUESS,P,E_soil,Equal-count bins,Non-monotonic: U-shaped / inverted-U,1.4475151206265915,1.058401025522545,1.1756558708271618,1.0037166384998126,0.1709590974553595,0.8219443731752234,0.1363504103880373,0.5868707602026969,3.2124010925337183
all_zones_E_soil,HW,LPJ-GUESS,P,E_soil,LOWESS,Non-monotonic: U-shaped / inverted-U,2.9898677317881353,1.5806153770316456,0.922857489770882,0.671131652831788,0.2906626575938401,0.842188083154093,0.1397085916147453,0.6004035414796367,3.2726892903456815
all_zones_E_soil,HW,LPJ-GUESS,P,E_soil,Polynomial degree 3,Non-monotonic: U-shaped / inverted-U,1.9658588841153823,2.392217061984299,2.392217061984299,0.5459826523487837,0.2599455316155261,0.8602298782667137,0.1427015023858715,0.6435375158745261,3.428802536341762
all_zones_E_soil,HW,LPJ-GUESS,P,E_soil,GAM,Non-monotonic: U-shaped / inverted-U,2.929206222258712,1.7278862572280802,1.7278862572280802,0.0943429242182036,0.3123154308771161,0.8292344186629964,0.1375597388127401,0.6117894449384849,3.2953454807322244
all_zones_E_soil,HW,LPJ-GUESS,P,E_soil,Piecewise linear,Non-monotonic: U-shaped / inverted-U,2.964654437941629,1.7948555184938948,1.7948555184938944,0.3791028504967443,0.3075424568259693,0.8321071532355971,0.1380362899647321,0.6150190108271164,3.289448262965608
