zone,model,x_label,y_label,method,amplitude_norm_by_y_sd,normalized_total_variation,mean_standardized_absolute_slope,late_to_early_absolute_slope_ratio
HW,CLASSIC,P,T,Equal-width bins,1.901131276711829,1.540368500405731,1.5308130605060342,0.1316267202679843
HW,CLASSIC,P,T,Equal-count bins,1.663233351871721,1.0164238653687958,1.367842381392287,0.0305873259961304
HW,CLASSIC,P,T,LOWESS,2.234318052192968,1.5445551831376734,2.0422763104890485,0.0337568889238783
HW,CLASSIC,P,T,Polynomial degree 3,1.9757328114873984,1.779613043070703,1.779613043070703,1.814448948224051
HW,CLASSIC,P,T,GAM,2.3624293546006743,1.5772052674893071,1.5772052674893071,1.3036155613944187
HW,CLASSIC,P,T,Piecewise linear,2.333238600255258,1.0156901654999309,1.0156901654999309,0.0175106158598161
HW,CLASSIC,P,T,Symbolic regression,4.557545985771817,1.0,1.0,0.325542233443518
HW,LPJ-GUESS,P,T,Equal-width bins,2.617413846755194,1.0813863101978478,1.2068995161943246,0.0388969951273801
HW,LPJ-GUESS,P,T,Equal-count bins,2.3575730634335277,1.0,1.2632575083700548,0.1131689477834097
HW,LPJ-GUESS,P,T,LOWESS,2.7809668030361814,1.1658877116469697,1.7931695435545372,0.0028396274624961
HW,LPJ-GUESS,P,T,Polynomial degree 3,2.6511193535051296,1.4358803600296794,1.4358803600296797,0.91250689371501
HW,LPJ-GUESS,P,T,GAM,2.678045061736628,1.3136811617262,1.3136811617261996,0.0467276266188871
HW,LPJ-GUESS,P,T,Piecewise linear,2.940146097933426,1.071968442475708,1.071968442475708,0.1164274858003134
HW,LPJ-GUESS,P,T,Symbolic regression,5.67797783432775,1.3159509874933215,1.3159509874933215,1.3893769071249586
HW,CLASSIC,LAI,T,Equal-width bins,2.4207363413237184,1.0009179260546086,0.9896857651752224,0.3255935985674701
HW,CLASSIC,LAI,T,Equal-count bins,2.3265900641412647,1.0650940874033306,1.0730512539950148,0.2523172158276361
HW,CLASSIC,LAI,T,LOWESS,3.5196766095236622,1.0255764227396478,0.9296188423296966,0.5390175992163058
HW,CLASSIC,LAI,T,Polynomial degree 3,3.209763514107695,1.0,1.0,0.6317014172287404
HW,CLASSIC,LAI,T,GAM,3.78071847303968,1.0,0.9999999999999996,0.7089498929528949
HW,CLASSIC,LAI,T,Piecewise linear,3.378285880590757,1.0,1.0,0.5944297437902362
HW,CLASSIC,LAI,T,Symbolic regression,4.222704798659108,1.0202140149259813,1.0202140149259813,0.699082027471625
HW,LPJ-GUESS,LAI,T,Equal-width bins,3.5281664885828357,1.0,1.0146108421374054,0.679013782002827
HW,LPJ-GUESS,LAI,T,Equal-count bins,3.04314299443792,1.0,1.0486006272431811,0.706483377383068
HW,LPJ-GUESS,LAI,T,LOWESS,4.128066467907276,1.0,1.0544576213494326,0.7114354811969164
