zone,model,x_label,y_label,method,r_squared,nrmse_by_sd,nrmse_by_raw_y_range,mean_buffer_width_by_sd,buffer_width95_by_sd
HW,CLASSIC,P,T,Equal-width bins,0.3080078348796964,0.8305208484999445,0.17645023116990502,0.641097794003771,3.3197282556850882
HW,CLASSIC,P,T,Equal-count bins,0.2718499945584433,0.8309028839999121,0.17653139740722001,0.6441147334569725,3.3053697399991164
HW,CLASSIC,P,T,LOWESS,0.3187934454327386,0.8253189392246516,0.17534504748209256,0.6408199301765918,3.305962489891726
HW,CLASSIC,P,T,Polynomial degree 3,0.2827193256541264,0.8468899266569854,0.17992796159661845,0.6662057204241058,3.3661945028587485
HW,CLASSIC,P,T,GAM,0.3206345080286821,0.8242029107214197,0.17510793906062047,0.6444843547910829,3.3089227338268916
HW,CLASSIC,P,T,Piecewise linear,0.2775038444417177,0.8499632971117553,0.1805809216375306,0.6660101904271041,3.3619166317470017
HW,CLASSIC,P,T,Symbolic regression,0.16477244792359336,0.9138708155476832,0.19415854153940496,0.6902217553500751,3.5372108737517802
HW,LPJ-GUESS,P,T,Equal-width bins,0.456866919710752,0.735854181260782,0.1529701677198566,0.5736162622511245,2.8903484285663645
HW,LPJ-GUESS,P,T,Equal-count bins,0.4062138978424653,0.7321189911388496,0.15219369233387922,0.5726441493836346,2.891283474522496
HW,LPJ-GUESS,P,T,LOWESS,0.4617779909509522,0.7336068986774864,0.1525030001716725,0.5737922886506536,2.872175690369116
HW,LPJ-GUESS,P,T,Polynomial degree 3,0.4592720949975956,0.7353127075445297,0.1528576055746649,0.5829535383215229,2.852411986601133
HW,LPJ-GUESS,P,T,GAM,0.4658196120002056,0.7308473049055371,0.15192933281625912,0.5783795607992144,2.862606758911624
HW,LPJ-GUESS,P,T,Piecewise linear,0.4536206018850566,0.7391453309328516,0.15365433549405483,0.5866664504718756,2.854765507677423
HW,LPJ-GUESS,P,T,Symbolic regression,0.39461737664824514,0.7780323512070181,0.16173821157297133,0.5993708294144309,3.0153837841024083
HW,CLASSIC,LAI,T,Equal-width bins,0.5675178014075309,0.6223287582170562,0.1322182982515301,0.47576382355244956,2.532402109416357
HW,CLASSIC,LAI,T,Equal-count bins,0.5438990524838998,0.6225365135229284,0.13226243738640445,0.47755657663084355,2.5443326607358228
HW,CLASSIC,LAI,T,LOWESS,0.617655413828638,0.6183151316336731,0.13136557391625694,0.4768896295182757,2.5157286791072946
HW,CLASSIC,LAI,T,Polynomial degree 3,0.6140844281947365,0.6211958614302864,0.13197760603979547,0.4857185605326665,2.5097446591656896
HW,CLASSIC,LAI,T,GAM,0.6182579032244384,0.6178277765166166,0.13126203175566964,0.4796592326324285,2.515090073896165
HW,CLASSIC,LAI,T,Piecewise linear,0.6150147699276455,0.6204466390573548,0.1318184282646195,0.48258646042323683,2.518417767846561
HW,CLASSIC,LAI,T,Symbolic regression,0.5901095873535961,0.6402009030323482,0.13601536618770063,0.4938381916164747,2.5597181785870196
HW,LPJ-GUESS,LAI,T,Equal-width bins,0.7943000121799326,0.43242995516090244,0.08989400950975991,0.34548552543679373,1.661826176080365
HW,LPJ-GUESS,LAI,T,Equal-count bins,0.7577669776514135,0.4355033105886207,0.09053290197950885,0.3472261767074138,1.6734251877497819
HW,LPJ-GUESS,LAI,T,LOWESS,0.8168338575280094,0.42796207027210864,0.08896522073856504,0.34152815578630347,1.6529379386454608
HW,LPJ-GUESS,LAI,T,Polynomial degree 3,0.8143667393181291,0.4308346028700544,0.0895623659399902,0.3436778377695078,1.681831226398441
HW,LPJ-GUESS,LAI,T,GAM,0.8174652957008463,0.4272237654680576,0.08881174113271358,0.34319539561673335,1.6454198111561336
HW,LPJ-GUESS,LAI,T,Piecewise linear,0.8148645549978937,0.43025652703356565,0.0894421949062251,0.3445393119451294,1.672879497229731
HW,LPJ-GUESS,LAI,T,Symbolic regression,0.8011368901444759,0.4459229182534404,0.09269894135613055,0.3529368017819631,1.7209792917729836
HW,CLASSIC,P,E_soil,Equal-width bins,0.28457437205626035,0.8454864658106085,0.18687660652889262,0.6526758748694428,3.375701938197487
HW,CLASSIC,P,E_soil,Equal-count bins,0.2628399870610931,0.8468079985837209,0.18716870293734214,0.6577905541341362,3.3869260152080543
HW,CLASSIC,P,E_soil,LOWESS,0.2972688805569267,0.838256626592708,0.18527860600088253,0.6526373811658751,3.3584795226264688
HW,CLASSIC,P,E_soil,Polynomial degree 3,0.29023284975536445,0.8424426583734771,0.18620383833238083,0.6647176674804496,3.3448868371141707
HW,CLASSIC,P,E_soil,GAM,0.30387380350829507,0.8343079673119453,0.18440583975734454,0.6590153709155371,3.342024541230147
HW,CLASSIC,P,E_soil,Piecewise linear,0.2769623255691862,0.850281765902576,0.18793650452219213,0.6740180627106374,3.336623329920875
HW,CLASSIC,P,E_soil,Symbolic regression,0.1079027957538552,0.944470704213615,0.2087549444096368,0.6948691637194714,3.341908458515246
HW,LPJ-GUESS,P,E_soil,Equal-width bins,0.28627038307977226,0.8422521715667786,0.13971922309012977,0.5987888172426217,3.269864224504881
HW,LPJ-GUESS,P,E_soil,Equal-count bins,0.17095909745535953,0.8219443731752234,0.13635041038803736,0.5868707602026969,3.2124010925337183
HW,LPJ-GUESS,P,E_soil,LOWESS,0.29066265759384013,0.842188083154093,0.13970859161474533,0.6004035414796367,3.2726892903456815
HW,LPJ-GUESS,P,E_soil,Polynomial degree 3,0.25994553161552614,0.8602298782667137,0.14270150238587156,0.6435375158745261,3.4288025363417614
