model,zone,x,y,curve_type,form_label,curvature_label,net_change,fitted_range,mean_abs_slope,max_abs_slope,saturation_index,n_points
CLASSIC,HW,P,T,LOWESS,monotonic saturating increase,mixed curvature,268.67,274.52,0.15,0.32,0.79,12047
CLASSIC,HW,P,T,binned_equal_count,complex nonlinear,mixed curvature,220.25,228.78,0.17,0.35,0.65,15
CLASSIC,HW,P,T,binned_equal_width,complex nonlinear,concave,259.82,259.82,0.12,0.29,0.45,15
CLASSIC,HW,P,E_soil,LOWESS,inverted-U-shaped,mixed curvature,-155.06,163.95,0.09,0.22,0.35,12047
CLASSIC,HW,P,E_soil,binned_equal_count,monotonic decrease,convex,-171.35,172.01,0.1,0.24,-0.26,15
CLASSIC,HW,P,E_soil,binned_equal_width,U-shaped,convex,-150.4,173.02,0.07,0.16,0.76,15
CLASSIC,HW,LAI,T,LOWESS,complex nonlinear,mixed curvature,463.94,463.94,69.17,150.21,0.35,12047
CLASSIC,HW,LAI,T,binned_equal_count,inverted-U-shaped,mixed curvature,299.35,309.73,61.2,156.12,0.48,15
CLASSIC,HW,LAI,T,binned_equal_width,complex nonlinear,concave,467.89,467.89,93.75,353.03,-0.35,15
CLASSIC,HW,LAI,E_soil,LOWESS,U-shaped,mixed curvature,-278.28,286.38,47.37,99.04,0.2,12047
CLASSIC,HW,LAI,E_soil,binned_equal_count,monotonic decrease,mixed curvature,-260.81,260.81,50.05,102.76,-0.04,15
CLASSIC,HW,LAI,E_soil,binned_equal_width,U-shaped,concave,-254.18,269.97,50.53,110.57,-0.07,15
LPJ-GUESS,HW,P,T,LOWESS,monotonic increase,mixed curvature,515.68,527.89,0.27,0.48,0.54,12149
LPJ-GUESS,HW,P,T,binned_equal_count,monotonic increase,mixed curvature,481.93,481.93,0.29,0.63,0.52,15
LPJ-GUESS,HW,P,T,binned_equal_width,complex nonlinear,mixed curvature,492.65,492.65,0.2,0.44,0.68,15
LPJ-GUESS,HW,P,E_soil,LOWESS,monotonic increase,mixed curvature,179.06,179.06,0.07,0.15,0.4,12149
LPJ-GUESS,HW,P,E_soil,binned_equal_count,monotonic increase,mixed curvature,165.3,165.3,0.09,0.21,0.5,15
LPJ-GUESS,HW,P,E_soil,binned_equal_width,inverted-U-shaped,mixed curvature,176.91,188.06,0.07,0.14,0.55,15
LPJ-GUESS,HW,LAI,T,LOWESS,monotonic increase,mixed curvature,849.13,849.13,138.99,202.51,0.31,12149
LPJ-GUESS,HW,LAI,T,binned_equal_count,monotonic increase,mixed curvature,669.55,669.55,138.79,213.78,0.26,15
LPJ-GUESS,HW,LAI,T,binned_equal_width,monotonic increase,mixed curvature,754.57,754.57,130.77,216.48,0.38,15
LPJ-GUESS,HW,LAI,E_soil,LOWESS,complex nonlinear,mixed curvature,48.43,118.43,29.75,76.41,-0.31,12149
LPJ-GUESS,HW,LAI,E_soil,binned_equal_count,complex nonlinear,mixed curvature,65.7,110.1,33.78,60.26,-0.24,15
LPJ-GUESS,HW,LAI,E_soil,binned_equal_width,complex nonlinear,mixed curvature,53.7,110.45,31.68,60.8,0.31,15
