Curve,,,,LOWESS,LOWESS,LOWESS,LOWESS,LOWESS,LOWESS,LOWESS,binned_equal_count,binned_equal_count,binned_equal_count,binned_equal_count,binned_equal_count,binned_equal_count,binned_equal_count,binned_equal_width,binned_equal_width,binned_equal_width,binned_equal_width,binned_equal_width,binned_equal_width,binned_equal_width
Category,,,,Form,Form,Form,Strength,Strength,Strength,Strength,Form,Form,Form,Strength,Strength,Strength,Strength,Form,Form,Form,Strength,Strength,Strength,Strength
Metric,,,,form_label,curvature_label,net_change,fitted_range,mean_abs_slope,max_abs_slope,saturation_index,form_label,curvature_label,net_change,fitted_range,mean_abs_slope,max_abs_slope,saturation_index,form_label,curvature_label,net_change,fitted_range,mean_abs_slope,max_abs_slope,saturation_index
model,zone,x,y,,,,,,,,,,,,,,,,,,,,,
CLASSIC,HW,LAI,E_soil,U-shaped,mixed curvature,-278.277841353757,286.3820757380587,47.36882457706757,99.03677904541266,0.20005745142199838,monotonic decrease,mixed curvature,-260.80697,260.80697,50.05415132304473,102.76348341526217,-0.03774924077153985,U-shaped,concave,-254.17618499999998,269.96568299999996,50.52734624420652,110.5709653976734,-0.07352226765563064
CLASSIC,HW,LAI,T,complex nonlinear,mixed curvature,463.9448742646106,463.9448742646106,69.17182001968538,150.20509753965854,0.3538540248337432,inverted-U-shaped,mixed curvature,299.34911999999997,309.72760000000005,61.2034645645748,156.12444719162977,0.4832187304884986,complex nonlinear,concave,467.88577999999995,467.88577999999995,93.74619647914476,353.03251359618906,-0.3482095635378337
CLASSIC,HW,P,E_soil,inverted-U-shaped,mixed curvature,-155.06444371284348,163.95386637675065,0.0903499632636709,0.2207213526981688,0.3464089783574915,monotonic decrease,convex,-171.34915500000002,172.01075,0.09617733768081449,0.2365945438305187,-0.26382488895500944,U-shaped,convex,-150.39668999999998,173.0237,0.0661228784189058,0.15900227440857798,0.7552613215211152
CLASSIC,HW,P,T,monotonic saturating increase,mixed curvature,268.66665121101295,274.52267280471045,0.15421474639324184,0.3165101308618381,0.7878869122075061,complex nonlinear,mixed curvature,220.25041,228.77997,0.17090786563483817,0.34821554330428567,0.652771375493661,complex nonlinear,concave,259.81637,259.81637,0.11655210640434677,0.2895021896702425,0.447377005402408
LPJ-GUESS,HW,LAI,E_soil,complex nonlinear,mixed curvature,48.43233141491356,118.43274367195593,29.746652363588307,76.40929390488625,-0.3093775996047088,complex nonlinear,mixed curvature,65.696065,110.097453,33.77841923422626,60.25642767942068,-0.23932991627730638,complex nonlinear,mixed curvature,53.69698500000001,110.44627,31.677326597006612,60.7971320543341,0.3078498008976991
LPJ-GUESS,HW,LAI,T,monotonic increase,mixed curvature,849.1270514652955,849.1270514652955,138.9886103080794,202.51272297167924,0.30535602352423485,monotonic increase,mixed curvature,669.5488300000001,669.5488300000001,138.78983653421605,213.77533003630464,0.2618944035928883,monotonic increase,mixed curvature,754.56756,754.56756,130.77174362880675,216.4822080291971,0.3780385452959981
LPJ-GUESS,HW,P,E_soil,monotonic increase,mixed curvature,179.05990876188656,179.05990876188656,0.0720513869590185,0.14542337437194294,0.40065149971369673,monotonic increase,mixed curvature,165.295969,165.295969,0.0882192473805575,0.2063355583196247,0.5036337396010298,inverted-U-shaped,mixed curvature,176.911458,188.06053799999998,0.0689891767756964,0.14025273805749108,0.5470122813380334
LPJ-GUESS,HW,P,T,monotonic increase,mixed curvature,515.6817410108065,527.888447432218,0.26797828716443656,0.4848419161130452,0.5448794133582946,monotonic increase,mixed curvature,481.930525,481.930525,0.285758498819467,0.6266638205537561,0.5228675929126838,complex nonlinear,mixed curvature,492.65257499999996,492.65257499999996,0.20262502678293104,0.44087664768028745,0.6787061289311951
