model,x,y,method,n_curve_points,mean_slope,median_slope,min_slope,max_slope,slope_std,slope_iqr,slope_skew,slope_cv,pos_fraction,neg_fraction,flat_fraction,mean_slope_sign,n_slope_sign_changes,slope_trend,slope_trend_p,early_slope,middle_slope,late_slope,terminal_slope,first_quartile_slope,last_quartile_slope,middle_to_early_ratio,late_to_early_ratio,terminal_to_early_ratio,last_to_first_quartile_ratio,early_y_value,middle_y_value,late_y_value,terminal_y_value,early_y_range,late_y_range,terminal_y_range,net_change,total_variation,roughness_ratio,internal_min_idx,internal_max_idx,internal_min,internal_max,valley_depth_left,valley_depth_right,valley_depth_min,peak_height_left,peak_height_right,peak_height_min
CLASSIC,P,T,Equal-width bins,10,1.01,1.211,-0.404,2.905,1.174,1.931,0.171,0.985,0.556,0.333,0.111,1,2,-0.617,0.077,2.627,0.751,0.371,0.668,2.627,-0.224,0.286,0.141,0.254,-0.085,0.143,0.861,0.837,1.0,0.285,0.207,0.207,1.0,1.18,1.18,0,9,False,False,0.0,1.0,0.0,1.0,0.0,0.0
CLASSIC,P,T,Equal-count bins,10,1.372,1.374,-0.055,2.926,0.946,1.383,0.044,0.683,0.889,0.111,0.0,1,1,-0.75,0.02,2.14,2.001,0.633,0.262,2.14,0.579,0.935,0.296,0.123,0.27,0.118,0.611,0.985,0.985,0.237,0.111,0.015,0.985,1.015,1.031,0,8,False,True,0.0,0.985,0.0,1.0,0.015,0.015
CLASSIC,P,T,LOWESS,12035,1.801,2.192,-0.17,3.729,1.177,2.043,-0.377,0.648,0.844,0.086,0.071,1,15,-0.868,0.0,2.77,2.125,0.469,-0.053,2.937,-0.006,0.767,0.169,-0.019,-0.002,0.303,0.711,0.993,0.979,0.44,0.086,0.021,0.979,1.022,1.044,0,10297,False,True,0.0,0.979,0.0,1.0,0.021,0.021
CLASSIC,P,T,Polynomial degree 3,300,0.975,0.389,-0.156,4.088,1.246,1.848,0.976,1.201,0.676,0.268,0.057,1,2,-0.913,0.0,2.684,0.449,-0.068,0.007,2.859,-0.091,0.167,-0.025,0.003,-0.032,0.429,0.977,0.973,0.975,0.716,0.02,0.006,0.975,1.037,1.064,0,188,False,True,0.0,0.975,0.0,1.0,0.025,0.025
CLASSIC,P,T,GAM,300,1.0,0.765,-0.702,3.367,1.125,2.026,0.365,0.994,0.702,0.217,0.08,1,2,-0.551,0.0,2.208,0.35,0.604,1.593,2.337,0.227,0.159,0.273,0.722,0.097,0.338,0.81,0.795,1.0,0.586,0.243,0.243,1.0,1.131,1.131,0,299,False,False,0.0,1.0,0.0,1.0,0.0,0.0
CLASSIC,P,T,Piecewise linear,300,1.0,0.313,0.313,2.542,1.028,2.229,0.832,1.028,1.0,0.0,0.0,1,0,-0.65,0.0,2.542,0.313,0.313,0.313,2.542,0.313,0.123,0.123,0.123,0.123,0.315,0.844,0.961,1.0,0.629,0.077,0.046,1.0,1.0,1.0,0,299,False,False,0.0,1.0,0.0,1.0,0.0,0.0
CLASSIC,P,T,Symbolic regression,300,1.0,0.92,0.702,1.734,0.261,0.36,0.983,0.261,1.0,0.0,0.0,1,0,-1.0,0.0,1.343,0.927,0.752,0.725,1.36,0.741,0.69,0.56,0.54,0.545,0.189,0.602,0.911,1.0,0.343,0.184,0.107,1.0,1.0,1.0,0,299,False,False,0.0,1.0,0.0,1.0,0.0,0.0
LPJ-GUESS,P,T,Equal-width bins,10,1.011,1.126,-0.251,2.255,0.866,1.325,0.062,0.812,0.889,0.111,0.0,1,2,-0.933,0.0,2.207,1.278,0.053,0.019,2.207,0.123,0.579,0.024,0.008,0.056,0.108,0.816,0.995,1.0,0.216,0.033,0.033,1.0,1.056,1.056,0,9,False,False,0.0,1.0,0.0,1.0,0.0,0.0
LPJ-GUESS,P,T,Equal-count bins,10,1.266,1.14,0.235,2.23,0.576,0.689,-0.007,0.455,1.0,0.0,0.0,1,0,-0.667,0.05,1.555,2.074,0.724,0.585,1.555,0.934,1.334,0.466,0.376,0.601,0.063,0.428,0.937,1.0,0.126,0.244,0.063,1.0,1.0,1.0,0,9,False,False,0.0,1.0,0.0,1.0,0.0,0.0
LPJ-GUESS,P,T,LOWESS,12139,1.63,1.79,-0.084,2.962,0.769,0.938,-0.727,0.47,0.938,0.055,0.008,1,13,-0.727,0.0,2.157,1.9,0.861,0.213,2.329,0.525,0.881,0.399,0.099,0.226,0.227,0.541,0.969,0.977,0.348,0.217,0.051,0.977,1.023,1.048,0,11438,False,True,0.0,0.977,0.0,1.0,0.023,0.023
LPJ-GUESS,P,T,Polynomial degree 3,300,0.734,1.025,-1.916,2.232,1.229,2.074,-0.549,0.971,0.706,0.284,0.01,1,1,-1.0,0.0,2.03,1.006,-0.882,-1.379,2.096,-1.023,0.495,-0.434,-0.679,-0.488,0.269,0.887,0.916,0.734,0.514,0.261,0.205,0.734,1.266,1.724,0,212,False,True,0.0,0.734,0.0,1.0,0.266,0.266
LPJ-GUESS,P,T,GAM,300,0.992,1.133,-0.781,3.223,0.992,1.449,-0.274,0.819,0.783,0.207,0.01,1,2,-0.856,0.0,2.038,1.025,0.008,0.654,1.956,0.036,0.503,0.004,0.321,0.018,0.296,0.903,0.914,0.992,0.522,0.102,0.102,0.992,1.211,1.221,0,197,False,True,0.0,0.992,0.0,1.0,0.008,0.008
LPJ-GUESS,P,T,Piecewise linear,300,1.0,-0.0,-0.0,2.021,1.01,2.021,0.02,1.01,0.495,0.0,0.505,1,0,-0.75,0.0,2.021,0.987,-0.0,-0.0,2.021,-0.0,0.488,-0.0,-0.0,-0.0,0.25,1.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,0,148,False,True,0.0,1.0,0.0,1.0,0.0,0.0
LPJ-GUESS,P,T,Symbolic regression,300,1.0,0.932,0.734,1.631,0.228,0.321,0.937,0.228,1.0,0.0,0.0,1,0,-1.0,0.0,1.301,0.938,0.78,0.755,1.316,0.77,0.721,0.6,0.581,0.585,0.18,0.59,0.907,1.0,0.331,0.191,0.111,1.0,1.0,1.0,0,299,False,False,0.0,1.0,0.0,1.0,0.0,0.0
CLASSIC,LAI,T,Equal-width bins,10,0.982,0.936,-0.062,2.335,0.632,0.584,0.527,0.635,0.889,0.111,0.0,1,1,-0.733,0.025,1.832,0.742,0.484,0.174,1.832,0.411,0.405,0.264,0.095,0.224,0.119,0.582,0.996,0.996,0.238,0.054,0.004,0.996,1.004,1.009,0,8,False,True,0.0,0.996,0.0,1.0,0.004,0.004
CLASSIC,LAI,T,Equal-count bins,10,0.896,0.973,-0.824,1.959,0.722,0.384,-1.089,0.669,0.889,0.111,0.0,1,1,-0.567,0.112,1.57,0.839,0.315,0.074,1.57,0.797,0.534,0.201,0.047,0.508,0.116,0.544,0.93,0.93,0.233,0.102,0.07,0.93,1.07,1.15,0,8,False,True,0.0,0.93,0.0,1.0,0.07,0.07
CLASSIC,LAI,T,LOWESS,12040,0.885,0.87,-0.719,2.01,0.5,0.505,-0.335,0.54,0.944,0.052,0.004,1,140,-0.375,0.0,1.216,0.853,0.599,0.548,1.152,0.617,0.702,0.493,0.451,0.535,0.293,0.573,0.82,1.0,0.399,0.23,0.182,1.0,1.027,1.027,0,12039,False,False,0.0,1.0,0.0,1.0,0.0,0.0
CLASSIC,LAI,T,Polynomial degree 3,300,1.0,0.897,0.774,1.672,0.249,0.327,1.162,0.249,1.0,0.0,0.0,1,0,-0.733,0.0,1.338,0.852,0.847,0.898,1.377,0.85,0.637,0.633,0.671,0.618,0.188,0.587,0.887,1.0,0.343,0.213,0.132,1.0,1.0,1.0,0,299,False,False,0.0,1.0,0.0,1.0,0.0,0.0
CLASSIC,LAI,T,GAM,300,1.0,0.888,0.154,2.769,0.566,0.429,1.138,0.566,1.0,0.0,0.0,1,0,-0.29,0.0,1.377,0.743,0.935,1.423,1.377,0.584,0.539,0.679,1.034,0.424,0.24,0.542,0.797,1.0,0.365,0.241,0.213,1.0,1.0,1.0,0,299,False,False,0.0,1.0,0.0,1.0,0.0,0.0
