model,year,climate_zone,input_var,output_var,hsic,n_samples
CLASSIC,1991,HW,precipitation,evapotrans,0.35062821550676443,13251
CLASSIC,1991,HW,lai,evapotrans,0.5293137295209559,13251
CLASSIC,1991,HW,precipitation,tran,0.234147200617025,13251
CLASSIC,1991,HW,lai,tran,0.5821441246667005,13251
CLASSIC,1991,HW,precipitation,evspsblveg,0.4651880740238559,13251
CLASSIC,1991,HW,lai,evspsblveg,0.6899101443933323,13251
CLASSIC,1991,HW,precipitation,evspsblsoi,0.17138624724186705,13251
CLASSIC,1991,HW,lai,evspsblsoi,0.5229998290928128,13251
CLASSIC,1991,HD,precipitation,evapotrans,0.6787809626423479,11829
CLASSIC,1991,HD,lai,evapotrans,0.6154586873390602,11829
CLASSIC,1991,HD,precipitation,tran,0.5480645013689772,11829
CLASSIC,1991,HD,lai,tran,0.8700455209921762,11829
CLASSIC,1991,HD,precipitation,evspsblveg,0.5995432162892306,11829
CLASSIC,1991,HD,lai,evspsblveg,0.8502191028946404,11829
CLASSIC,1991,HD,precipitation,evspsblsoi,0.5256066826408006,11829
CLASSIC,1991,HD,lai,evspsblsoi,0.33584864837543416,11829
CLASSIC,1991,CW,precipitation,evapotrans,0.3488670516296094,22462
CLASSIC,1991,CW,lai,evapotrans,0.27306110986926463,22462
CLASSIC,1991,CW,precipitation,tran,0.2839745583509809,22462
CLASSIC,1991,CW,lai,tran,0.5015092282093059,22462
CLASSIC,1991,CW,precipitation,evspsblveg,0.40329154166606573,22462
CLASSIC,1991,CW,lai,evspsblveg,0.7973113108983915,22462
CLASSIC,1991,CW,precipitation,evspsblsoi,0.04696218181240321,22462
CLASSIC,1991,CW,lai,evspsblsoi,0.16406576697989791,22462
CLASSIC,1991,CD,precipitation,evapotrans,0.4062980815940196,13122
CLASSIC,1991,CD,lai,evapotrans,0.5291461171046686,13122
CLASSIC,1991,CD,precipitation,tran,0.28466398310557683,13122
CLASSIC,1991,CD,lai,tran,0.7840478176373273,13122
CLASSIC,1991,CD,precipitation,evspsblveg,0.3747708165097929,13122
CLASSIC,1991,CD,lai,evspsblveg,0.7997837884325772,13122
CLASSIC,1991,CD,precipitation,evspsblsoi,0.3725562245855265,13122
CLASSIC,1991,CD,lai,evspsblsoi,0.38984662359334515,13122
CLASSIC,1992,HW,precipitation,evapotrans,0.3535078094536686,13257
CLASSIC,1992,HW,lai,evapotrans,0.5092038596625099,13257
CLASSIC,1992,HW,precipitation,tran,0.2649626250577485,13257
CLASSIC,1992,HW,lai,tran,0.6182421201101405,13257
CLASSIC,1992,HW,precipitation,evspsblveg,0.4423914073653459,13257
CLASSIC,1992,HW,lai,evspsblveg,0.6701786952085731,13257
CLASSIC,1992,HW,precipitation,evspsblsoi,0.16025394697421888,13257
CLASSIC,1992,HW,lai,evspsblsoi,0.5383677753195879,13257
CLASSIC,1992,HD,precipitation,evapotrans,0.5844749893213065,11822
CLASSIC,1992,HD,lai,evapotrans,0.5973341309800382,11822
CLASSIC,1992,HD,precipitation,tran,0.34227860739104415,11822
CLASSIC,1992,HD,lai,tran,0.870481596740729,11822
CLASSIC,1992,HD,precipitation,evspsblveg,0.45484451262217296,11822
CLASSIC,1992,HD,lai,evspsblveg,0.815509986966654,11822
CLASSIC,1992,HD,precipitation,evspsblsoi,0.5373384979468867,11822
CLASSIC,1992,HD,lai,evspsblsoi,0.3249377222216073,11822
CLASSIC,1992,CW,precipitation,evapotrans,0.3306085068396084,22431
CLASSIC,1992,CW,lai,evapotrans,0.22697471170513214,22431
CLASSIC,1992,CW,precipitation,tran,0.22184275224349176,22431
CLASSIC,1992,CW,lai,tran,0.43053070259508097,22431
CLASSIC,1992,CW,precipitation,evspsblveg,0.3559890270119977,22431
CLASSIC,1992,CW,lai,evspsblveg,0.7437178734852102,22431
CLASSIC,1992,CW,precipitation,evspsblsoi,0.06088205431097524,22431
CLASSIC,1992,CW,lai,evspsblsoi,0.12579741331415414,22431
CLASSIC,1992,CD,precipitation,evapotrans,0.4935837715330334,13396
CLASSIC,1992,CD,lai,evapotrans,0.5634662457470822,13396
