model,year,climate_zone,input_var,output_var,hsic,n_samples
LPJ-GUESS,1991,HW,precipitation,evapotrans,0.4273459148999972,13298
LPJ-GUESS,1991,HW,lai,evapotrans,0.6943238173996255,13298
LPJ-GUESS,1991,HW,precipitation,tran,0.27770842984290856,13298
LPJ-GUESS,1991,HW,lai,tran,0.7425859479099871,13298
LPJ-GUESS,1991,HW,precipitation,evspsblveg,0.4812578718512084,13298
LPJ-GUESS,1991,HW,lai,evspsblveg,0.7127192158145179,13298
LPJ-GUESS,1991,HW,precipitation,evspsblsoi,0.05749930786289366,13298
LPJ-GUESS,1991,HW,lai,evspsblsoi,0.045758693561872954,13298
LPJ-GUESS,1991,HD,precipitation,evapotrans,0.674691390632377,11879
LPJ-GUESS,1991,HD,lai,evapotrans,0.7923033813348771,11879
LPJ-GUESS,1991,HD,precipitation,tran,0.6387348804474933,11879
LPJ-GUESS,1991,HD,lai,tran,0.846175260612371,11879
LPJ-GUESS,1991,HD,precipitation,evspsblveg,0.5516777962246593,11879
LPJ-GUESS,1991,HD,lai,evspsblveg,0.8029235465015782,11879
LPJ-GUESS,1991,HD,precipitation,evspsblsoi,0.2362207563312684,11879
LPJ-GUESS,1991,HD,lai,evspsblsoi,0.18037488767623053,11879
LPJ-GUESS,1991,CW,precipitation,evapotrans,0.35167507551950494,22403
LPJ-GUESS,1991,CW,lai,evapotrans,0.5053253560342894,22403
LPJ-GUESS,1991,CW,precipitation,tran,0.2952887182506156,22403
LPJ-GUESS,1991,CW,lai,tran,0.5506500809278759,22403
LPJ-GUESS,1991,CW,precipitation,evspsblveg,0.28699635437130244,22403
LPJ-GUESS,1991,CW,lai,evspsblveg,0.7909772125825673,22403
LPJ-GUESS,1991,CW,precipitation,evspsblsoi,0.11778116027307851,22403
LPJ-GUESS,1991,CW,lai,evspsblsoi,0.029230277248548195,22403
LPJ-GUESS,1991,CD,precipitation,evapotrans,0.23678915834715109,10713
LPJ-GUESS,1991,CD,lai,evapotrans,0.7451401895148585,10713
LPJ-GUESS,1991,CD,precipitation,tran,0.15823048005182166,10713
LPJ-GUESS,1991,CD,lai,tran,0.8724408041638838,10713
LPJ-GUESS,1991,CD,precipitation,evspsblveg,0.16650224465612007,10713
LPJ-GUESS,1991,CD,lai,evspsblveg,0.7746823520722921,10713
LPJ-GUESS,1991,CD,precipitation,evspsblsoi,0.16923467270275303,10713
LPJ-GUESS,1991,CD,lai,evspsblsoi,0.029433048471019803,10713
LPJ-GUESS,1992,HW,precipitation,evapotrans,0.4155282723010406,13294
LPJ-GUESS,1992,HW,lai,evapotrans,0.7073611830169277,13294
LPJ-GUESS,1992,HW,precipitation,tran,0.2890928064327842,13294
LPJ-GUESS,1992,HW,lai,tran,0.7599444031079143,13294
LPJ-GUESS,1992,HW,precipitation,evspsblveg,0.44992566310200843,13294
LPJ-GUESS,1992,HW,lai,evspsblveg,0.7321169021370608,13294
LPJ-GUESS,1992,HW,precipitation,evspsblsoi,0.0462408672301198,13294
LPJ-GUESS,1992,HW,lai,evspsblsoi,0.03384698755567778,13294
LPJ-GUESS,1992,HD,precipitation,evapotrans,0.577616117122524,11876
LPJ-GUESS,1992,HD,lai,evapotrans,0.7890105394489696,11876
LPJ-GUESS,1992,HD,precipitation,tran,0.5391489090422036,11876
LPJ-GUESS,1992,HD,lai,tran,0.857403396732113,11876
LPJ-GUESS,1992,HD,precipitation,evspsblveg,0.42892084085307425,11876
LPJ-GUESS,1992,HD,lai,evspsblveg,0.7712323837351514,11876
LPJ-GUESS,1992,HD,precipitation,evspsblsoi,0.2246761113239828,11876
LPJ-GUESS,1992,HD,lai,evspsblsoi,0.18839101641460432,11876
LPJ-GUESS,1992,CW,precipitation,evapotrans,0.3081341830764572,22396
LPJ-GUESS,1992,CW,lai,evapotrans,0.4550389683990404,22396
LPJ-GUESS,1992,CW,precipitation,tran,0.24477037878784955,22396
LPJ-GUESS,1992,CW,lai,tran,0.4989079313587847,22396
LPJ-GUESS,1992,CW,precipitation,evspsblveg,0.2143557990081273,22396
LPJ-GUESS,1992,CW,lai,evspsblveg,0.7932638406474879,22396
LPJ-GUESS,1992,CW,precipitation,evspsblsoi,0.11912914834432502,22396
LPJ-GUESS,1992,CW,lai,evspsblsoi,0.023865318275441662,22396
LPJ-GUESS,1992,CD,precipitation,evapotrans,0.30412127116132864,10716
LPJ-GUESS,1992,CD,lai,evapotrans,0.7851378080133974,10716
LPJ-GUESS,1992,CD,precipitation,tran,0.2241639594049745,10716
LPJ-GUESS,1992,CD,lai,tran,0.8914946539637195,10716
LPJ-GUESS,1992,CD,precipitation,evspsblveg,0.22929116325739538,10716
LPJ-GUESS,1992,CD,lai,evspsblveg,0.7773952213425874,10716
LPJ-GUESS,1992,CD,precipitation,evspsblsoi,0.081919260220065,10716
LPJ-GUESS,1992,CD,lai,evspsblsoi,0.0406808850049229,10716
LPJ-GUESS,1993,HW,precipitation,evapotrans,0.37438448436731675,13276
LPJ-GUESS,1993,HW,lai,evapotrans,0.6457388270682078,13276
LPJ-GUESS,1993,HW,precipitation,tran,0.23555084453283512,13276
LPJ-GUESS,1993,HW,lai,tran,0.7136078456931461,13276
LPJ-GUESS,1993,HW,precipitation,evspsblveg,0.4724326469113185,13276
LPJ-GUESS,1993,HW,lai,evspsblveg,0.6899224497293381,13276
LPJ-GUESS,1993,HW,precipitation,evspsblsoi,0.06075115490223498,13276
LPJ-GUESS,1993,HW,lai,evspsblsoi,0.04317541537045148,13276
LPJ-GUESS,1993,HD,precipitation,evapotrans,0.6530157275196188,11874
LPJ-GUESS,1993,HD,lai,evapotrans,0.7341802133593359,11874
LPJ-GUESS,1993,HD,precipitation,tran,0.5788658076407931,11874
LPJ-GUESS,1993,HD,lai,tran,0.8353815264123229,11874
