model,climate_zone,input_var,output_var,pawn_median_mean,pawn_median_std,pawn_median_min,pawn_median_max,pawn_max_mean,pawn_max_std,pawn_max_min,pawn_max_max,hsic_mean,hsic_std,hsic_min,hsic_max,n_samples_mean
CLASSIC,CD,lai,evapotrans,0.3767,0.0159,0.3477,0.4228,0.6978,0.0311,0.6511,0.7449,0.0049,0.0009,0.0033,0.0064,13326.7333
CLASSIC,CD,lai,evspsblsoi,0.3469,0.0203,0.3114,0.4037,0.6339,0.0969,0.5105,0.7443,0.0049,0.001,0.0034,0.007,13326.7333
CLASSIC,CD,lai,evspsblveg,0.5303,0.021,0.4988,0.5781,0.8387,0.0081,0.8265,0.85,0.0111,0.0013,0.0087,0.0136,13326.7333
CLASSIC,CD,lai,tran,0.5014,0.0256,0.4639,0.5664,0.7828,0.0118,0.7585,0.8023,0.0153,0.0014,0.0127,0.0184,13326.7333
CLASSIC,CD,precipitation,evapotrans,0.2733,0.0325,0.2109,0.3299,0.4907,0.0533,0.4338,0.6234,0.0233,0.0028,0.0178,0.0294,13326.7333
CLASSIC,CD,precipitation,evspsblsoi,0.2581,0.0313,0.2036,0.327,0.4675,0.0601,0.3972,0.6216,0.0164,0.0022,0.0126,0.0221,13326.7333
CLASSIC,CD,precipitation,evspsblveg,0.301,0.0275,0.2349,0.3559,0.5265,0.0315,0.4826,0.5942,0.0006,0.0001,0.0005,0.0008,13326.7333
CLASSIC,CD,precipitation,tran,0.2746,0.0276,0.214,0.3275,0.4834,0.0434,0.4393,0.5846,0.0015,0.0004,0.0008,0.0024,13326.7333
CLASSIC,CW,lai,evapotrans,0.2837,0.0169,0.2453,0.3147,0.5787,0.0204,0.5349,0.6176,0.0008,0.0001,0.0005,0.0009,22389.6
CLASSIC,CW,lai,evspsblsoi,0.1732,0.0193,0.1288,0.2166,0.4142,0.0178,0.3771,0.4504,0.0008,0.0001,0.0006,0.0009,22389.6
CLASSIC,CW,lai,evspsblveg,0.5408,0.0137,0.5002,0.5601,0.7779,0.0185,0.7346,0.8111,0.0049,0.0003,0.004,0.0056,22389.6
CLASSIC,CW,lai,tran,0.4165,0.0188,0.3892,0.4544,0.7851,0.0076,0.7696,0.7961,0.0038,0.0005,0.0032,0.005,22389.6
CLASSIC,CW,precipitation,evapotrans,0.2593,0.0387,0.1909,0.3343,0.5209,0.0223,0.4844,0.5587,0.0134,0.0022,0.0099,0.0175,22389.6
CLASSIC,CW,precipitation,evspsblsoi,0.117,0.019,0.0765,0.163,0.2397,0.033,0.1804,0.3092,0.0007,0.0003,0.0002,0.0014,22389.6
CLASSIC,CW,precipitation,evspsblveg,0.3074,0.0268,0.2553,0.3684,0.5548,0.0247,0.4702,0.5947,0.0042,0.0005,0.0032,0.005,22389.6
CLASSIC,CW,precipitation,tran,0.2579,0.0364,0.1977,0.3255,0.4154,0.0269,0.3575,0.4905,0.0047,0.0006,0.0035,0.006,22389.6
CLASSIC,HD,lai,evapotrans,0.4806,0.017,0.4534,0.5134,0.6964,0.0157,0.6717,0.7479,0.0004,0.0,0.0004,0.0004,11827.3333
