model,year,climate_zone,n_samples
CLASSIC,1991,CD,13122
CLASSIC,1991,CW,22462
CLASSIC,1991,HD,11829
CLASSIC,1991,HW,13251
CLASSIC,1992,CD,13396
CLASSIC,1992,CW,22431
CLASSIC,1992,HD,11822
CLASSIC,1992,HW,13257
CLASSIC,1993,CD,13313
CLASSIC,1993,CW,22453
CLASSIC,1993,HD,11824
CLASSIC,1993,HW,13246
CLASSIC,1994,CD,13314
CLASSIC,1994,CW,22366
CLASSIC,1994,HD,11822
CLASSIC,1994,HW,13255
CLASSIC,1995,CD,13440
CLASSIC,1995,CW,22400
CLASSIC,1995,HD,11831
CLASSIC,1995,HW,13260
CLASSIC,1996,CD,13045
CLASSIC,1996,CW,22457
CLASSIC,1996,HD,11826
CLASSIC,1996,HW,13255
CLASSIC,1997,CD,13399
CLASSIC,1997,CW,22370
CLASSIC,1997,HD,11823
CLASSIC,1997,HW,13273
CLASSIC,1998,CD,13384
CLASSIC,1998,CW,22463
CLASSIC,1998,HD,11823
CLASSIC,1998,HW,13255
CLASSIC,1999,CD,12999
CLASSIC,1999,CW,22423
CLASSIC,1999,HD,11832
CLASSIC,1999,HW,13252
CLASSIC,2000,CD,13548
CLASSIC,2000,CW,22356
CLASSIC,2000,HD,11830
CLASSIC,2000,HW,13229
CLASSIC,2001,CD,13167
CLASSIC,2001,CW,22313
CLASSIC,2001,HD,11827
CLASSIC,2001,HW,13234
CLASSIC,2002,CD,13613
CLASSIC,2002,CW,22365
CLASSIC,2002,HD,11825
CLASSIC,2002,HW,13266
CLASSIC,2003,CD,13321
CLASSIC,2003,CW,22432
CLASSIC,2003,HD,11832
CLASSIC,2003,HW,13254
CLASSIC,2004,CD,13146
CLASSIC,2004,CW,22319
CLASSIC,2004,HD,11828
CLASSIC,2004,HW,13259
CLASSIC,2005,CD,13277
CLASSIC,2005,CW,22361
CLASSIC,2005,HD,11828
CLASSIC,2005,HW,13259
CLASSIC,2006,CD,13372
CLASSIC,2006,CW,22439
CLASSIC,2006,HD,11829
CLASSIC,2006,HW,13256
CLASSIC,2007,CD,13097
CLASSIC,2007,CW,22403
CLASSIC,2007,HD,11829
CLASSIC,2007,HW,13254
CLASSIC,2008,CD,13131
CLASSIC,2008,CW,22360
CLASSIC,2008,HD,11830
CLASSIC,2008,HW,13243
CLASSIC,2009,CD,13607
CLASSIC,2009,CW,22375
CLASSIC,2009,HD,11832
CLASSIC,2009,HW,13263
CLASSIC,2010,CD,13662
CLASSIC,2010,CW,22422
CLASSIC,2010,HD,11830
CLASSIC,2010,HW,13248
CLASSIC,2011,CD,13361
CLASSIC,2011,CW,22393
CLASSIC,2011,HD,11827
CLASSIC,2011,HW,13244
CLASSIC,2012,CD,12999
CLASSIC,2012,CW,22433
CLASSIC,2012,HD,11827
CLASSIC,2012,HW,13238
CLASSIC,2013,CD,13315
CLASSIC,2013,CW,22435
CLASSIC,2013,HD,11830
CLASSIC,2013,HW,13248
CLASSIC,2014,CD,13357
CLASSIC,2014,CW,22324
CLASSIC,2014,HD,11830
CLASSIC,2014,HW,13234
CLASSIC,2015,CD,13646
CLASSIC,2015,CW,22368
CLASSIC,2015,HD,11827
CLASSIC,2015,HW,13262
CLASSIC,2016,CD,13403
CLASSIC,2016,CW,22364
CLASSIC,2016,HD,11826
CLASSIC,2016,HW,13249
CLASSIC,2017,CD,13474
CLASSIC,2017,CW,22293
CLASSIC,2017,HD,11825
CLASSIC,2017,HW,13231
CLASSIC,2018,CD,13125
CLASSIC,2018,CW,22416
CLASSIC,2018,HD,11826
CLASSIC,2018,HW,13236
CLASSIC,2019,CD,13402
CLASSIC,2019,CW,22359
CLASSIC,2019,HD,11825
CLASSIC,2019,HW,13237
CLASSIC,2020,CD,13367
CLASSIC,2020,CW,22333
CLASSIC,2020,HD,11825
CLASSIC,2020,HW,13225
LPJ-GUESS,1991,CD,10713
LPJ-GUESS,1991,CW,22403
LPJ-GUESS,1991,HD,11879
LPJ-GUESS,1991,HW,13298
LPJ-GUESS,1992,CD,10716
LPJ-GUESS,1992,CW,22396
LPJ-GUESS,1992,HD,11876
LPJ-GUESS,1992,HW,13294
LPJ-GUESS,1993,CD,10760
LPJ-GUESS,1993,CW,22450
LPJ-GUESS,1993,HD,11874
LPJ-GUESS,1993,HW,13276
LPJ-GUESS,1994,CD,10748
LPJ-GUESS,1994,CW,22368
LPJ-GUESS,1994,HD,11875
LPJ-GUESS,1994,HW,13305
LPJ-GUESS,1995,CD,10734
LPJ-GUESS,1995,CW,22386
LPJ-GUESS,1995,HD,11879
LPJ-GUESS,1995,HW,13296
LPJ-GUESS,1996,CD,10685
LPJ-GUESS,1996,CW,22423
LPJ-GUESS,1996,HD,11871
LPJ-GUESS,1996,HW,13295
LPJ-GUESS,1997,CD,10708
LPJ-GUESS,1997,CW,22380
LPJ-GUESS,1997,HD,11875
LPJ-GUESS,1997,HW,13333
LPJ-GUESS,1998,CD,10722
LPJ-GUESS,1998,CW,22424
LPJ-GUESS,1998,HD,11875
LPJ-GUESS,1998,HW,13303
LPJ-GUESS,1999,CD,10698
LPJ-GUESS,1999,CW,22360
LPJ-GUESS,1999,HD,11879
LPJ-GUESS,1999,HW,13289
LPJ-GUESS,2000,CD,10683
LPJ-GUESS,2000,CW,22368
LPJ-GUESS,2000,HD,11881
LPJ-GUESS,2000,HW,13256
LPJ-GUESS,2001,CD,10661
LPJ-GUESS,2001,CW,22323
LPJ-GUESS,2001,HD,11874
LPJ-GUESS,2001,HW,13274
LPJ-GUESS,2002,CD,10697
LPJ-GUESS,2002,CW,22359
LPJ-GUESS,2002,HD,11875
LPJ-GUESS,2002,HW,13301
LPJ-GUESS,2003,CD,10675
LPJ-GUESS,2003,CW,22382
LPJ-GUESS,2003,HD,11878
LPJ-GUESS,2003,HW,13299
LPJ-GUESS,2004,CD,10737
LPJ-GUESS,2004,CW,22331
LPJ-GUESS,2004,HD,11875
LPJ-GUESS,2004,HW,13297
LPJ-GUESS,2005,CD,10673
LPJ-GUESS,2005,CW,22323
LPJ-GUESS,2005,HD,11875
LPJ-GUESS,2005,HW,13281
LPJ-GUESS,2006,CD,10726
LPJ-GUESS,2006,CW,22404
LPJ-GUESS,2006,HD,11878
LPJ-GUESS,2006,HW,13288
LPJ-GUESS,2007,CD,10701
LPJ-GUESS,2007,CW,22401
LPJ-GUESS,2007,HD,11879
LPJ-GUESS,2007,HW,13288
LPJ-GUESS,2008,CD,10675
LPJ-GUESS,2008,CW,22390
LPJ-GUESS,2008,HD,11876
LPJ-GUESS,2008,HW,13278
LPJ-GUESS,2009,CD,10735
LPJ-GUESS,2009,CW,22339
LPJ-GUESS,2009,HD,11879
LPJ-GUESS,2009,HW,13284
LPJ-GUESS,2010,CD,10721
