model,year,climate_zone,input_var,output_var,hsic,n_samples
CLASSIC,1991,HW,precipitation,evapotrans,0.014275527751152895,13251
CLASSIC,1991,HW,lai,evapotrans,0.0009653306907079553,13251
CLASSIC,1991,HW,precipitation,tran,0.004902926083275714,13251
CLASSIC,1991,HW,lai,tran,0.001505011603233996,13251
CLASSIC,1991,HW,precipitation,evspsblveg,0.009623673818191979,13251
CLASSIC,1991,HW,lai,evspsblveg,0.0021289658241224123,13251
CLASSIC,1991,HW,precipitation,evspsblsoi,0.0013261743636599672,13251
CLASSIC,1991,HW,lai,evspsblsoi,0.0022054789858312798,13251
CLASSIC,1991,HD,precipitation,evapotrans,0.05700329152126854,11829
CLASSIC,1991,HD,lai,evapotrans,0.00039215671307291246,11829
CLASSIC,1991,HD,precipitation,tran,0.009829863893939384,11829
CLASSIC,1991,HD,lai,tran,0.011466141658739765,11829
CLASSIC,1991,HD,precipitation,evspsblveg,0.0017734836705863137,11829
CLASSIC,1991,HD,lai,evspsblveg,0.021720867364587382,11829
CLASSIC,1991,HD,precipitation,evspsblsoi,0.028846984191136314,11829
CLASSIC,1991,HD,lai,evspsblsoi,0.000376930205034348,11829
CLASSIC,1991,CW,precipitation,evapotrans,0.015463099584526208,22462
CLASSIC,1991,CW,lai,evapotrans,0.0009265909112784879,22462
CLASSIC,1991,CW,precipitation,tran,0.006001735207069476,22462
CLASSIC,1991,CW,lai,tran,0.0038714456721351,22462
CLASSIC,1991,CW,precipitation,evspsblveg,0.004526358592226661,22462
CLASSIC,1991,CW,lai,evspsblveg,0.005580029517684079,22462
CLASSIC,1991,CW,precipitation,evspsblsoi,0.0005220577369758503,22462
CLASSIC,1991,CW,lai,evspsblsoi,0.000918261750564001,22462
CLASSIC,1991,CD,precipitation,evapotrans,0.02432949386291403,13122
CLASSIC,1991,CD,lai,evapotrans,0.0032642711805498503,13122
CLASSIC,1991,CD,precipitation,tran,0.002227161481440287,13122
CLASSIC,1991,CD,lai,tran,0.015466325379403336,13122
CLASSIC,1991,CD,precipitation,evspsblveg,0.0007813745685999303,13122
CLASSIC,1991,CD,lai,evspsblveg,0.010811724315297132,13122
CLASSIC,1991,CD,precipitation,evspsblsoi,0.017545274214797808,13122
CLASSIC,1991,CD,lai,evspsblsoi,0.003493045404215677,13122
CLASSIC,1992,HW,precipitation,evapotrans,0.011267546132616093,13257
CLASSIC,1992,HW,lai,evapotrans,0.0009270072237654073,13257
CLASSIC,1992,HW,precipitation,tran,0.005001406001717487,13257
CLASSIC,1992,HW,lai,tran,0.001501836258667821,13257
CLASSIC,1992,HW,precipitation,evspsblveg,0.006122120809227543,13257
CLASSIC,1992,HW,lai,evspsblveg,0.002091990460460468,13257
CLASSIC,1992,HW,precipitation,evspsblsoi,0.001080853234831986,13257
CLASSIC,1992,HW,lai,evspsblsoi,0.0023410487959596156,13257
CLASSIC,1992,HD,precipitation,evapotrans,0.03719249250015235,11822
CLASSIC,1992,HD,lai,evapotrans,0.0003980816754782206,11822
CLASSIC,1992,HD,precipitation,tran,0.005614027956321378,11822
CLASSIC,1992,HD,lai,tran,0.011840346056086404,11822
CLASSIC,1992,HD,precipitation,evspsblveg,0.0014735352684424156,11822
CLASSIC,1992,HD,lai,evspsblveg,0.021199746986293237,11822
CLASSIC,1992,HD,precipitation,evspsblsoi,0.02045650812047577,11822
CLASSIC,1992,HD,lai,evspsblsoi,0.00037793616392779256,11822
CLASSIC,1992,CW,precipitation,evapotrans,0.016207173833850615,22431
CLASSIC,1992,CW,lai,evapotrans,0.0007295855389626022,22431
CLASSIC,1992,CW,precipitation,tran,0.004252398066126509,22431
CLASSIC,1992,CW,lai,tran,0.0032792807335748292,22431
CLASSIC,1992,CW,precipitation,evspsblveg,0.0036141253178053555,22431
CLASSIC,1992,CW,lai,evspsblveg,0.0046449115427454465,22431
CLASSIC,1992,CW,precipitation,evspsblsoi,0.0008451106104105895,22431
CLASSIC,1992,CW,lai,evspsblsoi,0.0007334517442187346,22431
CLASSIC,1992,CD,precipitation,evapotrans,0.027489763292081967,13396
CLASSIC,1992,CD,lai,evapotrans,0.005634647418014209,13396
CLASSIC,1992,CD,precipitation,tran,0.00202388095565453,13396
CLASSIC,1992,CD,lai,tran,0.014208247705868175,13396
CLASSIC,1992,CD,precipitation,evspsblveg,0.0005439971156868476,13396
CLASSIC,1992,CD,lai,evspsblveg,0.011349255404868924,13396
CLASSIC,1992,CD,precipitation,evspsblsoi,0.017113536227255685,13396
CLASSIC,1992,CD,lai,evspsblsoi,0.00518005910843418,13396
CLASSIC,1993,HW,precipitation,evapotrans,0.008716904048922135,13246
CLASSIC,1993,HW,lai,evapotrans,0.000839000739775434,13246
CLASSIC,1993,HW,precipitation,tran,0.004796222031961086,13246
CLASSIC,1993,HW,lai,tran,0.001401222123802771,13246
CLASSIC,1993,HW,precipitation,evspsblveg,0.005111389800687746,13246
CLASSIC,1993,HW,lai,evspsblveg,0.002042144530462975,13246
CLASSIC,1993,HW,precipitation,evspsblsoi,0.0012189575790889843,13246
CLASSIC,1993,HW,lai,evspsblsoi,0.002380549485630062,13246
CLASSIC,1993,HD,precipitation,evapotrans,0.0442575266647047,11824
CLASSIC,1993,HD,lai,evapotrans,0.0003849997267988857,11824
CLASSIC,1993,HD,precipitation,tran,0.0063825548701377495,11824
CLASSIC,1993,HD,lai,tran,0.011101981358967856,11824
CLASSIC,1993,HD,precipitation,evspsblveg,0.0012154195155848469,11824
CLASSIC,1993,HD,lai,evspsblveg,0.022449244243804626,11824
CLASSIC,1993,HD,precipitation,evspsblsoi,0.02441450598494205,11824
CLASSIC,1993,HD,lai,evspsblsoi,0.0003790366015948439,11824
CLASSIC,1993,CW,precipitation,evapotrans,0.016368867678090673,22453
CLASSIC,1993,CW,lai,evapotrans,0.0007868023639872929,22453
CLASSIC,1993,CW,precipitation,tran,0.005041932426541128,22453
CLASSIC,1993,CW,lai,tran,0.004084571547374041,22453
CLASSIC,1993,CW,precipitation,evspsblveg,0.003653898528143098,22453
CLASSIC,1993,CW,lai,evspsblveg,0.004948406494393357,22453
CLASSIC,1993,CW,precipitation,evspsblsoi,0.0013245733636942274,22453
CLASSIC,1993,CW,lai,evspsblsoi,0.0008363081326237556,22453
CLASSIC,1993,CD,precipitation,evapotrans,0.023497481572566335,13313
CLASSIC,1993,CD,lai,evapotrans,0.004755147320390436,13313
CLASSIC,1993,CD,precipitation,tran,0.001191875569131103,13313
CLASSIC,1993,CD,lai,tran,0.014064069738161423,13313
CLASSIC,1993,CD,precipitation,evspsblveg,0.0005070211171665972,13313
CLASSIC,1993,CD,lai,evspsblveg,0.0110541309777044,13313
CLASSIC,1993,CD,precipitation,evspsblsoi,0.01709521396934421,13313
CLASSIC,1993,CD,lai,evspsblsoi,0.0043664730318313605,13313
CLASSIC,1994,HW,precipitation,evapotrans,0.011188945964617437,13255
CLASSIC,1994,HW,lai,evapotrans,0.0008487499153376557,13255
CLASSIC,1994,HW,precipitation,tran,0.0030291093939603135,13255
CLASSIC,1994,HW,lai,tran,0.0015016352814996895,13255
CLASSIC,1994,HW,precipitation,evspsblveg,0.007425265443932279,13255
CLASSIC,1994,HW,lai,evspsblveg,0.0021595689570748835,13255
CLASSIC,1994,HW,precipitation,evspsblsoi,0.000692945263747293,13255
CLASSIC,1994,HW,lai,evspsblsoi,0.0022452555739845294,13255
CLASSIC,1994,HD,precipitation,evapotrans,0.056206371291211595,11822
CLASSIC,1994,HD,lai,evapotrans,0.00039373424124746517,11822
CLASSIC,1994,HD,precipitation,tran,0.010778528641182795,11822
CLASSIC,1994,HD,lai,tran,0.011851957378103684,11822
CLASSIC,1994,HD,precipitation,evspsblveg,0.0023389366916937225,11822
CLASSIC,1994,HD,lai,evspsblveg,0.021872430049917457,11822
CLASSIC,1994,HD,precipitation,evspsblsoi,0.027477447501334275,11822
CLASSIC,1994,HD,lai,evspsblsoi,0.0003871231384916465,11822
CLASSIC,1994,CW,precipitation,evapotrans,0.014595834724830541,22366
CLASSIC,1994,CW,lai,evapotrans,0.000750016491259135,22366
CLASSIC,1994,CW,precipitation,tran,0.00419406453450943,22366
CLASSIC,1994,CW,lai,tran,0.003543504570462068,22366
CLASSIC,1994,CW,precipitation,evspsblveg,0.0038567657707578563,22366
CLASSIC,1994,CW,lai,evspsblveg,0.004770440994147701,22366
CLASSIC,1994,CW,precipitation,evspsblsoi,0.0007001360890915988,22366
CLASSIC,1994,CW,lai,evspsblsoi,0.0007918037000584552,22366
CLASSIC,1994,CD,precipitation,evapotrans,0.02638833717762297,13314
CLASSIC,1994,CD,lai,evapotrans,0.004941319094584627,13314
CLASSIC,1994,CD,precipitation,tran,0.0015339163051654226,13314
CLASSIC,1994,CD,lai,tran,0.017894519300294655,13314
CLASSIC,1994,CD,precipitation,evspsblveg,0.0004818105930034689,13314
