model,year,climate_zone,input_var,output_var,pawn_median,pawn_max,n_samples
CLASSIC,1991,HW,precipitation,evapotrans,0.2998676838012248,0.4853677909052198,13251
CLASSIC,1991,HW,lai,evapotrans,0.3767861734892205,0.5995007292201289,13251
CLASSIC,1991,HW,precipitation,tran,0.2585697947096006,0.4646972771797979,13251
CLASSIC,1991,HW,lai,tran,0.42384270037291594,0.7528990384401963,13251
CLASSIC,1991,HW,precipitation,evspsblveg,0.336548145418638,0.5314934437130413,13251
CLASSIC,1991,HW,lai,evspsblveg,0.44007432689309317,0.7737143376185046,13251
CLASSIC,1991,HW,precipitation,evspsblsoi,0.1955637866738405,0.4014652934701973,13251
CLASSIC,1991,HW,lai,evspsblsoi,0.35935953569897894,0.5873454050459701,13251
CLASSIC,1991,HD,precipitation,evapotrans,0.5034718478451842,0.67115654200849,11829
CLASSIC,1991,HD,lai,evapotrans,0.4870280619709988,0.7067411086997891,11829
CLASSIC,1991,HD,precipitation,tran,0.44878810462173335,0.6167953209253273,11829
CLASSIC,1991,HD,lai,tran,0.624485134639449,0.8077622319804181,11829
CLASSIC,1991,HD,precipitation,evspsblveg,0.4912446554310873,0.6570321216529688,11829
CLASSIC,1991,HD,lai,evspsblveg,0.6071542015278726,0.8348992157689167,11829
CLASSIC,1991,HD,precipitation,evspsblsoi,0.4310436285671686,0.673269563240105,11829
CLASSIC,1991,HD,lai,evspsblsoi,0.3807733719163907,0.6603318548830557,11829
CLASSIC,1991,CW,precipitation,evapotrans,0.29940862261014345,0.537130601908609,22462
CLASSIC,1991,CW,lai,evapotrans,0.31290796614414707,0.5688619065965812,22462
CLASSIC,1991,CW,precipitation,tran,0.31769676676112,0.4904983175461999,22462
CLASSIC,1991,CW,lai,tran,0.44450237238504636,0.7765220612712993,22462
CLASSIC,1991,CW,precipitation,evspsblveg,0.3465264572545089,0.5751147851663199,22462
CLASSIC,1991,CW,lai,evspsblveg,0.5578723318051827,0.7788496039615063,22462
CLASSIC,1991,CW,precipitation,evspsblsoi,0.1384724067012917,0.2441490379358811,22462
CLASSIC,1991,CW,lai,evspsblsoi,0.19425813991228963,0.4458649780351978,22462
CLASSIC,1991,CD,precipitation,evapotrans,0.2728596655153519,0.5981994904957868,13122
CLASSIC,1991,CD,lai,evapotrans,0.36541116482838354,0.7178171445990376,13122
CLASSIC,1991,CD,precipitation,tran,0.26486707913099977,0.5834116750495351,13122
CLASSIC,1991,CD,lai,tran,0.4987545352991253,0.7710352073510611,13122
CLASSIC,1991,CD,precipitation,evspsblveg,0.28271629352700256,0.567400614017898,13122
CLASSIC,1991,CD,lai,evspsblveg,0.5402337026628153,0.8316637245659777,13122
CLASSIC,1991,CD,precipitation,evspsblsoi,0.24278081215311464,0.5983517320965881,13122
CLASSIC,1991,CD,lai,evspsblsoi,0.34046051408730826,0.7165978182768307,13122
CLASSIC,1992,HW,precipitation,evapotrans,0.30209908328956864,0.5648067084511316,13257
CLASSIC,1992,HW,lai,evapotrans,0.37747659875539963,0.6743025199356816,13257
CLASSIC,1992,HW,precipitation,tran,0.25592946979950776,0.5613175588615866,13257
CLASSIC,1992,HW,lai,tran,0.43570717846308893,0.8028249056163277,13257
CLASSIC,1992,HW,precipitation,evspsblveg,0.34878097864994073,0.5702331936308216,13257
CLASSIC,1992,HW,lai,evspsblveg,0.4226749165395521,0.7924944970590113,13257
CLASSIC,1992,HW,precipitation,evspsblsoi,0.20336767617250268,0.3943957550642588,13257
CLASSIC,1992,HW,lai,evspsblsoi,0.37176164996839467,0.5784984420422301,13257
CLASSIC,1992,HD,precipitation,evapotrans,0.44931486537045134,0.7102180089540666,11822
CLASSIC,1992,HD,lai,evapotrans,0.4766379525282096,0.6910967583639347,11822
CLASSIC,1992,HD,precipitation,tran,0.3978921187851677,0.6168448268279794,11822
CLASSIC,1992,HD,lai,tran,0.6263712639917376,0.8046250432414429,11822
CLASSIC,1992,HD,precipitation,evspsblveg,0.4523296604742236,0.6405269040871717,11822
CLASSIC,1992,HD,lai,evspsblveg,0.5869477909922164,0.7961639495286021,11822
CLASSIC,1992,HD,precipitation,evspsblsoi,0.4308739534911681,0.7104663526400461,11822
CLASSIC,1992,HD,lai,evspsblsoi,0.3362015572496683,0.6781570390675213,11822
CLASSIC,1992,CW,precipitation,evapotrans,0.24253052845165804,0.5404477828703919,22431
CLASSIC,1992,CW,lai,evapotrans,0.26113623945611697,0.5589927351781352,22431
CLASSIC,1992,CW,precipitation,tran,0.2470919619475332,0.43370912628793656,22431
CLASSIC,1992,CW,lai,tran,0.3951179235863502,0.7900809064613359,22431
CLASSIC,1992,CW,precipitation,evspsblveg,0.29819146410022473,0.5325114817356473,22431
CLASSIC,1992,CW,lai,evspsblveg,0.5209741438613561,0.7707455567245197,22431
CLASSIC,1992,CW,precipitation,evspsblsoi,0.13646632815253598,0.3092377828093735,22431
CLASSIC,1992,CW,lai,evspsblsoi,0.17677314932124605,0.40660709089287606,22431
CLASSIC,1992,CD,precipitation,evapotrans,0.32790283951412486,0.5228008829004054,13396
CLASSIC,1992,CD,lai,evapotrans,0.3779268037239898,0.6860519736343663,13396
CLASSIC,1992,CD,precipitation,tran,0.31297760057563473,0.5346225429056994,13396
CLASSIC,1992,CD,lai,tran,0.4762307082087324,0.792125071863733,13396
CLASSIC,1992,CD,precipitation,evspsblveg,0.32204223809326976,0.5537203485663684,13396
CLASSIC,1992,CD,lai,evspsblveg,0.515460173007759,0.8393614935177799,13396
CLASSIC,1992,CD,precipitation,evspsblsoi,0.3269802243401595,0.44933333353135807,13396
CLASSIC,1992,CD,lai,evspsblsoi,0.3426529639054652,0.5172006758580528,13396
CLASSIC,1993,HW,precipitation,evapotrans,0.2762638204769542,0.43443987878915047,13246
CLASSIC,1993,HW,lai,evapotrans,0.33816385344871935,0.6680760300724462,13246
CLASSIC,1993,HW,precipitation,tran,0.26920223691595047,0.4157175537506516,13246
CLASSIC,1993,HW,lai,tran,0.42673606055994645,0.8010793147949257,13246
CLASSIC,1993,HW,precipitation,evspsblveg,0.2800985416743823,0.5012054029421411,13246
