model,year,climate_zone,input_var,output_var,pawn_median,pawn_max,n_samples
CLASSIC,1991,HW,precipitation,evapotrans,0.29828693772021403,0.4782410343144938,13251
CLASSIC,1991,HW,lai,evapotrans,0.3962261303169714,0.6135256248055726,13251
CLASSIC,1991,HW,precipitation,tran,0.24125504072854353,0.4544610481032594,13251
CLASSIC,1991,HW,lai,tran,0.41226339628337055,0.7333384896077167,13251
CLASSIC,1991,HW,precipitation,evspsblveg,0.33874340349790233,0.5237954558075361,13251
CLASSIC,1991,HW,lai,evspsblveg,0.46044627461366394,0.7684933536989098,13251
CLASSIC,1991,HW,precipitation,evspsblsoi,0.2447020886287346,0.4649290690770223,13251
CLASSIC,1991,HW,lai,evspsblsoi,0.3998086011308509,0.610665026349026,13251
CLASSIC,1991,HD,precipitation,evapotrans,0.5030846265834692,0.6714101560079827,11829
CLASSIC,1991,HD,lai,evapotrans,0.48778633138452876,0.6910160402815351,11829
CLASSIC,1991,HD,precipitation,tran,0.4447132037591227,0.6170495780710572,11829
CLASSIC,1991,HD,lai,tran,0.6247380340320117,0.7939831811542146,11829
CLASSIC,1991,HD,precipitation,evspsblveg,0.4916245054117595,0.6539046444233826,11829
CLASSIC,1991,HD,lai,evspsblveg,0.6084221286039504,0.8227258867146496,11829
CLASSIC,1991,HD,precipitation,evspsblsoi,0.43433853738430195,0.6732697061614911,11829
CLASSIC,1991,HD,lai,evspsblsoi,0.395309262942264,0.6603319620740952,11829
CLASSIC,1991,CW,precipitation,evapotrans,0.29437921288098745,0.537675531724437,22462
CLASSIC,1991,CW,lai,evapotrans,0.30951137185247585,0.5771043788655256,22462
CLASSIC,1991,CW,precipitation,tran,0.30946035459835064,0.47923358233023483,22462
CLASSIC,1991,CW,lai,tran,0.4341078309122925,0.7798128685475706,22462
CLASSIC,1991,CW,precipitation,evspsblveg,0.34872196923921395,0.5734239901265084,22462
CLASSIC,1991,CW,lai,evspsblveg,0.5599428118949166,0.7796050111948947,22462
CLASSIC,1991,CW,precipitation,evspsblsoi,0.13882634260133686,0.23336672833929728,22462
CLASSIC,1991,CW,lai,evspsblsoi,0.18922728275435732,0.4298901963963705,22462
CLASSIC,1991,CD,precipitation,evapotrans,0.2731871676367914,0.5987327715722778,13122
CLASSIC,1991,CD,lai,evapotrans,0.3796429892453931,0.7185028414658043,13122
CLASSIC,1991,CD,precipitation,tran,0.2652894487466156,0.5853921222810111,13122
CLASSIC,1991,CD,lai,tran,0.5095784959907212,0.7684524968271862,13122
CLASSIC,1991,CD,precipitation,evspsblveg,0.28218074559572426,0.5681624316850655,13122
CLASSIC,1991,CD,lai,evspsblveg,0.5483880636131464,0.8347152906701454,13122
CLASSIC,1991,CD,precipitation,evspsblsoi,0.2416376937260456,0.5984281141812007,13122
CLASSIC,1991,CD,lai,evspsblsoi,0.3642434182400809,0.7170548914581836,13122
CLASSIC,1992,HW,precipitation,evapotrans,0.29880066209236555,0.5590032346950999,13257
CLASSIC,1992,HW,lai,evapotrans,0.37866758892774344,0.6793545764433508,13257
CLASSIC,1992,HW,precipitation,tran,0.2579226353894917,0.5568733943000146,13257
CLASSIC,1992,HW,lai,tran,0.42712273046208415,0.7756716591627337,13257
CLASSIC,1992,HW,precipitation,evspsblveg,0.34785148750179684,0.5644302318556542,13257
CLASSIC,1992,HW,lai,evspsblveg,0.4296861540558406,0.7884984864139052,13257
CLASSIC,1992,HW,precipitation,evspsblsoi,0.2424295601754004,0.4530924838819891,13257
CLASSIC,1992,HW,lai,evspsblsoi,0.41022031489708277,0.6052822089721575,13257
CLASSIC,1992,HD,precipitation,evapotrans,0.4487228205407853,0.7101388413804199,11822
CLASSIC,1992,HD,lai,evapotrans,0.4792614704123575,0.6908429941954353,11822
CLASSIC,1992,HD,precipitation,tran,0.3921852185154221,0.6173429007844415,11822
CLASSIC,1992,HD,lai,tran,0.624847677091751,0.7902513659576763,11822
CLASSIC,1992,HD,precipitation,evspsblveg,0.4530943186456332,0.6423032532666675,11822
CLASSIC,1992,HD,lai,evspsblveg,0.5910087333231999,0.792940451009501,11822
CLASSIC,1992,HD,precipitation,evspsblsoi,0.43320177099622975,0.710469062881306,11822
CLASSIC,1992,HD,lai,evspsblsoi,0.33775102739094254,0.6764654925439115,11822
CLASSIC,1992,CW,precipitation,evapotrans,0.23831405792413546,0.5401357346260638,22431
CLASSIC,1992,CW,lai,evapotrans,0.26274281991909854,0.5622876285850584,22431
