model,year,climate_zone,input_var,output_var,hsic,n_samples
LPJ-GUESS,1991,HW,precipitation,evapotrans,0.02385492552193502,13298
LPJ-GUESS,1991,HW,lai,evapotrans,0.0008095009622231985,13298
LPJ-GUESS,1991,HW,precipitation,tran,0.011272596360020736,13298
LPJ-GUESS,1991,HW,lai,tran,0.0011060781621415928,13298
LPJ-GUESS,1991,HW,precipitation,evspsblveg,0.0021280526246933032,13298
LPJ-GUESS,1991,HW,lai,evspsblveg,0.005421020445635075,13298
LPJ-GUESS,1991,HW,precipitation,evspsblsoi,0.0006158226091451215,13298
LPJ-GUESS,1991,HW,lai,evspsblsoi,0.00039204763605870264,13298
LPJ-GUESS,1991,HD,precipitation,evapotrans,0.05656600240502744,11879
LPJ-GUESS,1991,HD,lai,evapotrans,0.0007079640399234142,11879
LPJ-GUESS,1991,HD,precipitation,tran,0.04653520695025062,11879
LPJ-GUESS,1991,HD,lai,tran,0.0009579496409567278,11879
LPJ-GUESS,1991,HD,precipitation,evspsblveg,0.00010608805664133807,11879
LPJ-GUESS,1991,HD,lai,evspsblveg,0.05029235617700012,11879
LPJ-GUESS,1991,HD,precipitation,evspsblsoi,0.0031190237458813097,11879
LPJ-GUESS,1991,HD,lai,evspsblsoi,0.0010550080112679762,11879
LPJ-GUESS,1991,CW,precipitation,evapotrans,0.01955844182891024,22403
LPJ-GUESS,1991,CW,lai,evapotrans,0.0010304651587221061,22403
LPJ-GUESS,1991,CW,precipitation,tran,0.015368897350896808,22403
LPJ-GUESS,1991,CW,lai,tran,0.0013109892618928193,22403
LPJ-GUESS,1991,CW,precipitation,evspsblveg,0.0005780615694195507,22403
LPJ-GUESS,1991,CW,lai,evspsblveg,0.020355148784712025,22403
LPJ-GUESS,1991,CW,precipitation,evspsblsoi,0.0013740889969746878,22403
LPJ-GUESS,1991,CW,lai,evspsblsoi,0.00048465684776816874,22403
LPJ-GUESS,1991,CD,precipitation,evapotrans,0.01540891678132245,10713
LPJ-GUESS,1991,CD,lai,evapotrans,0.000997587179493625,10713
LPJ-GUESS,1991,CD,precipitation,tran,0.01172109760966551,10713
LPJ-GUESS,1991,CD,lai,tran,0.022250564306069014,10713
LPJ-GUESS,1991,CD,precipitation,evspsblveg,5.6192859167689725e-05,10713
LPJ-GUESS,1991,CD,lai,evspsblveg,0.055247405232459225,10713
LPJ-GUESS,1991,CD,precipitation,evspsblsoi,0.0027584248326233698,10713
LPJ-GUESS,1991,CD,lai,evspsblsoi,0.0005138909362507288,10713
LPJ-GUESS,1992,HW,precipitation,evapotrans,0.01964685629014285,13294
LPJ-GUESS,1992,HW,lai,evapotrans,0.0008494654495440207,13294
LPJ-GUESS,1992,HW,precipitation,tran,0.00943806254299904,13294
LPJ-GUESS,1992,HW,lai,tran,0.0011354431118627644,13294
LPJ-GUESS,1992,HW,precipitation,evspsblveg,0.001450169279871526,13294
LPJ-GUESS,1992,HW,lai,evspsblveg,0.0054223930919327385,13294
LPJ-GUESS,1992,HW,precipitation,evspsblsoi,0.00047804770104903013,13294
LPJ-GUESS,1992,HW,lai,evspsblsoi,0.0004102631312972814,13294
LPJ-GUESS,1992,HD,precipitation,evapotrans,0.037339999730634565,11876
LPJ-GUESS,1992,HD,lai,evapotrans,0.0007814492097660522,11876
LPJ-GUESS,1992,HD,precipitation,tran,0.02965625018619665,11876
LPJ-GUESS,1992,HD,lai,tran,0.0010221125546169454,11876
LPJ-GUESS,1992,HD,precipitation,evspsblveg,6.585789873472255e-05,11876
LPJ-GUESS,1992,HD,lai,evspsblveg,0.04891736279061309,11876
LPJ-GUESS,1992,HD,precipitation,evspsblsoi,0.0017076927436661359,11876
LPJ-GUESS,1992,HD,lai,evspsblsoi,0.0011765720182023052,11876
LPJ-GUESS,1992,CW,precipitation,evapotrans,0.019648058154936154,22396
LPJ-GUESS,1992,CW,lai,evapotrans,0.0010540209987108878,22396
LPJ-GUESS,1992,CW,precipitation,tran,0.011396027797205995,22396
LPJ-GUESS,1992,CW,lai,tran,0.001200930892338941,22396
LPJ-GUESS,1992,CW,precipitation,evspsblveg,0.0004442105795726051,22396
LPJ-GUESS,1992,CW,lai,evspsblveg,0.01911418471516799,22396
LPJ-GUESS,1992,CW,precipitation,evspsblsoi,0.0011053361146193118,22396
LPJ-GUESS,1992,CW,lai,evspsblsoi,0.00035984799499701376,22396
LPJ-GUESS,1992,CD,precipitation,evapotrans,0.02059345417772801,10716
LPJ-GUESS,1992,CD,lai,evapotrans,0.0011844248344719055,10716
LPJ-GUESS,1992,CD,precipitation,tran,0.014147701899603883,10716
LPJ-GUESS,1992,CD,lai,tran,0.02442487449460364,10716
LPJ-GUESS,1992,CD,precipitation,evspsblveg,5.128871523477566e-05,10716
LPJ-GUESS,1992,CD,lai,evspsblveg,0.05619686817237115,10716
LPJ-GUESS,1992,CD,precipitation,evspsblsoi,0.001415052969385025,10716
LPJ-GUESS,1992,CD,lai,evspsblsoi,0.0007515546812929608,10716
LPJ-GUESS,1993,HW,precipitation,evapotrans,0.017069029031471037,13276
LPJ-GUESS,1993,HW,lai,evapotrans,0.0008170511654347006,13276
LPJ-GUESS,1993,HW,precipitation,tran,0.008985912998790485,13276
LPJ-GUESS,1993,HW,lai,tran,0.0010807080090554642,13276
LPJ-GUESS,1993,HW,precipitation,evspsblveg,0.001599346494786092,13276
LPJ-GUESS,1993,HW,lai,evspsblveg,0.005965263799880147,13276
LPJ-GUESS,1993,HW,precipitation,evspsblsoi,0.00047910959659026614,13276
LPJ-GUESS,1993,HW,lai,evspsblsoi,0.0003936351217262039,13276
LPJ-GUESS,1993,HD,precipitation,evapotrans,0.04221605918053788,11874
LPJ-GUESS,1993,HD,lai,evapotrans,0.0006406978354647266,11874
LPJ-GUESS,1993,HD,precipitation,tran,0.030036754155000907,11874
LPJ-GUESS,1993,HD,lai,tran,0.0009569202788097088,11874
LPJ-GUESS,1993,HD,precipitation,evspsblveg,5.6660552463898545e-05,11874
LPJ-GUESS,1993,HD,lai,evspsblveg,0.04929732572618945,11874
LPJ-GUESS,1993,HD,precipitation,evspsblsoi,0.003033767653640878,11874
LPJ-GUESS,1993,HD,lai,evspsblsoi,0.0009050500288804778,11874
LPJ-GUESS,1993,CW,precipitation,evapotrans,0.023910122141324795,22450
LPJ-GUESS,1993,CW,lai,evapotrans,0.0010663596071632366,22450
LPJ-GUESS,1993,CW,precipitation,tran,0.016458306456167957,22450
LPJ-GUESS,1993,CW,lai,tran,0.0012480988436911675,22450
LPJ-GUESS,1993,CW,precipitation,evspsblveg,0.0003639549584834206,22450
LPJ-GUESS,1993,CW,lai,evspsblveg,0.020548621876088708,22450
LPJ-GUESS,1993,CW,precipitation,evspsblsoi,0.0012119776015977973,22450
LPJ-GUESS,1993,CW,lai,evspsblsoi,0.0002477333213619879,22450
LPJ-GUESS,1993,CD,precipitation,evapotrans,0.021983152474437325,10760
LPJ-GUESS,1993,CD,lai,evapotrans,0.001214244009646668,10760
LPJ-GUESS,1993,CD,precipitation,tran,0.014542334380933289,10760
LPJ-GUESS,1993,CD,lai,tran,0.0195025869491834,10760
LPJ-GUESS,1993,CD,precipitation,evspsblveg,6.467828375228392e-05,10760
LPJ-GUESS,1993,CD,lai,evspsblveg,0.0557754255788849,10760
LPJ-GUESS,1993,CD,precipitation,evspsblsoi,0.0011220522253338704,10760
LPJ-GUESS,1993,CD,lai,evspsblsoi,0.000630453818380157,10760
LPJ-GUESS,1994,HW,precipitation,evapotrans,0.018344969044463307,13305
LPJ-GUESS,1994,HW,lai,evapotrans,0.0008218252709820827,13305
LPJ-GUESS,1994,HW,precipitation,tran,0.009246528333391837,13305
LPJ-GUESS,1994,HW,lai,tran,0.0010455956603016398,13305
LPJ-GUESS,1994,HW,precipitation,evspsblveg,0.001334468121320205,13305
LPJ-GUESS,1994,HW,lai,evspsblveg,0.005682371820997323,13305
LPJ-GUESS,1994,HW,precipitation,evspsblsoi,0.0003700504182896834,13305
LPJ-GUESS,1994,HW,lai,evspsblsoi,0.0003247002318710842,13305
LPJ-GUESS,1994,HD,precipitation,evapotrans,0.05710682692320965,11875
LPJ-GUESS,1994,HD,lai,evapotrans,0.0006903460846340493,11875
LPJ-GUESS,1994,HD,precipitation,tran,0.04290069342772789,11875
LPJ-GUESS,1994,HD,lai,tran,0.001046734600174287,11875
LPJ-GUESS,1994,HD,precipitation,evspsblveg,0.00013207273203213007,11875
LPJ-GUESS,1994,HD,lai,evspsblveg,0.047832211880234766,11875
LPJ-GUESS,1994,HD,precipitation,evspsblsoi,0.004101685895672563,11875
LPJ-GUESS,1994,HD,lai,evspsblsoi,0.0010136324514739602,11875
LPJ-GUESS,1994,CW,precipitation,evapotrans,0.019455133621951524,22368
LPJ-GUESS,1994,CW,lai,evapotrans,0.0011521835131012563,22368
LPJ-GUESS,1994,CW,precipitation,tran,0.015042111327516799,22368
LPJ-GUESS,1994,CW,lai,tran,0.001377470464324178,22368
LPJ-GUESS,1994,CW,precipitation,evspsblveg,0.0004942271175966104,22368
LPJ-GUESS,1994,CW,lai,evspsblveg,0.022065212670903576,22368
LPJ-GUESS,1994,CW,precipitation,evspsblsoi,0.0014001410319843216,22368
LPJ-GUESS,1994,CW,lai,evspsblsoi,0.0003167831440059867,22368
LPJ-GUESS,1994,CD,precipitation,evapotrans,0.015572142554953329,10748
LPJ-GUESS,1994,CD,lai,evapotrans,0.0011639502726210544,10748
LPJ-GUESS,1994,CD,precipitation,tran,0.012250742694507098,10748
LPJ-GUESS,1994,CD,lai,tran,0.021706588412657192,10748
LPJ-GUESS,1994,CD,precipitation,evspsblveg,6.9009917445255e-05,10748
LPJ-GUESS,1994,CD,lai,evspsblveg,0.056934289419221226,10748
LPJ-GUESS,1994,CD,precipitation,evspsblsoi,0.0023939755041240307,10748
LPJ-GUESS,1994,CD,lai,evspsblsoi,0.00047672666047273663,10748
LPJ-GUESS,1995,HW,precipitation,evapotrans,0.020571177229473884,13296
LPJ-GUESS,1995,HW,lai,evapotrans,0.0008119843448907723,13296
LPJ-GUESS,1995,HW,precipitation,tran,0.009807196311910226,13296
LPJ-GUESS,1995,HW,lai,tran,0.001059338223081636,13296
LPJ-GUESS,1995,HW,precipitation,evspsblveg,0.0016001653807476155,13296
LPJ-GUESS,1995,HW,lai,evspsblveg,0.00534946032656536,13296
