model,year,climate_zone,input_var,output_var,pawn_median,pawn_max,n_samples
LPJ-GUESS,1991,HW,precipitation,evapotrans,0.3054826507254016,0.5106460692263068,13298
LPJ-GUESS,1991,HW,lai,evapotrans,0.4219592634767849,0.7373396643963647,13298
LPJ-GUESS,1991,HW,precipitation,tran,0.2570453460695946,0.45540903152934537,13298
LPJ-GUESS,1991,HW,lai,tran,0.4688387761402303,0.7504212855797187,13298
LPJ-GUESS,1991,HW,precipitation,evspsblveg,0.33738101193812375,0.6062755776491915,13298
LPJ-GUESS,1991,HW,lai,evspsblveg,0.45674249166305747,0.7661423448831132,13298
LPJ-GUESS,1991,HW,precipitation,evspsblsoi,0.10121643962882455,0.2736826273836192,13298
LPJ-GUESS,1991,HW,lai,evspsblsoi,0.12243641137736808,0.2232452842136926,13298
LPJ-GUESS,1991,HD,precipitation,evapotrans,0.49874304257038493,0.6513626979938757,11879
LPJ-GUESS,1991,HD,lai,evapotrans,0.5172634034596322,0.7935038291549782,11879
LPJ-GUESS,1991,HD,precipitation,tran,0.476815890192437,0.6281396235571424,11879
LPJ-GUESS,1991,HD,lai,tran,0.5775765271198389,0.8613527451182136,11879
LPJ-GUESS,1991,HD,precipitation,evspsblveg,0.48123389519971727,0.6413316158373966,11879
LPJ-GUESS,1991,HD,lai,evspsblveg,0.5824171081978978,0.8289443810952356,11879
LPJ-GUESS,1991,HD,precipitation,evspsblsoi,0.28102229114417054,0.4279816581906775,11879
LPJ-GUESS,1991,HD,lai,evspsblsoi,0.2232701768647556,0.5498882814734316,11879
LPJ-GUESS,1991,CW,precipitation,evapotrans,0.2661470064261655,0.5453577317199283,22403
LPJ-GUESS,1991,CW,lai,evapotrans,0.35554722820923224,0.7927205556293528,22403
LPJ-GUESS,1991,CW,precipitation,tran,0.22926782267729406,0.5418721598989367,22403
LPJ-GUESS,1991,CW,lai,tran,0.37434132705441236,0.8582362003176449,22403
LPJ-GUESS,1991,CW,precipitation,evspsblveg,0.24836295171464923,0.5456250821511694,22403
LPJ-GUESS,1991,CW,lai,evspsblveg,0.5420416928376939,0.8510078144814026,22403
LPJ-GUESS,1991,CW,precipitation,evspsblsoi,0.11822865754811168,0.4179547174896872,22403
LPJ-GUESS,1991,CW,lai,evspsblsoi,0.1688409172611087,0.3120893260235614,22403
LPJ-GUESS,1991,CD,precipitation,evapotrans,0.2593298825026127,0.4759087508411457,10713
LPJ-GUESS,1991,CD,lai,evapotrans,0.5031985537610919,0.7169347883935127,10713
LPJ-GUESS,1991,CD,precipitation,tran,0.2321414199747421,0.45280693633484775,10713
LPJ-GUESS,1991,CD,lai,tran,0.5816197290080038,0.872405335406418,10713
LPJ-GUESS,1991,CD,precipitation,evspsblveg,0.2343764765847923,0.4339610927440646,10713
LPJ-GUESS,1991,CD,lai,evspsblveg,0.6047257697067439,0.7815920746310452,10713
LPJ-GUESS,1991,CD,precipitation,evspsblsoi,0.18973818976800602,0.4198964006399722,10713
LPJ-GUESS,1991,CD,lai,evspsblsoi,0.21703126763271288,0.446321532440102,10713
LPJ-GUESS,1992,HW,precipitation,evapotrans,0.3231807611710814,0.5735012388725553,13294
LPJ-GUESS,1992,HW,lai,evapotrans,0.4361422913169471,0.7447209493569941,13294
LPJ-GUESS,1992,HW,precipitation,tran,0.26251758183339713,0.5683689686980801,13294
LPJ-GUESS,1992,HW,lai,tran,0.48497534430859973,0.7837563669969267,13294
LPJ-GUESS,1992,HW,precipitation,evspsblveg,0.3492892737984802,0.6068206472251035,13294
LPJ-GUESS,1992,HW,lai,evspsblveg,0.4743593204920656,0.7576553841350782,13294
LPJ-GUESS,1992,HW,precipitation,evspsblsoi,0.09428639095693664,0.2588420803777157,13294
LPJ-GUESS,1992,HW,lai,evspsblsoi,0.1280046564562118,0.22339417081745555,13294
LPJ-GUESS,1992,HD,precipitation,evapotrans,0.4297423355335882,0.688177781095954,11876
LPJ-GUESS,1992,HD,lai,evapotrans,0.5258374694572752,0.8108887233171503,11876
LPJ-GUESS,1992,HD,precipitation,tran,0.42772847272158887,0.6703675172415549,11876
LPJ-GUESS,1992,HD,lai,tran,0.5959961645114076,0.8623276664704755,11876
LPJ-GUESS,1992,HD,precipitation,evspsblveg,0.4137014486129209,0.6805705556917705,11876
LPJ-GUESS,1992,HD,lai,evspsblveg,0.5676463208854221,0.82570852796518,11876
LPJ-GUESS,1992,HD,precipitation,evspsblsoi,0.25093490942663077,0.5136221346066214,11876
LPJ-GUESS,1992,HD,lai,evspsblsoi,0.237406576544,0.5915787492075806,11876
LPJ-GUESS,1992,CW,precipitation,evapotrans,0.22786668174909502,0.5545160328374965,22396
LPJ-GUESS,1992,CW,lai,evapotrans,0.34528485089625355,0.7873357487306407,22396
LPJ-GUESS,1992,CW,precipitation,tran,0.19754166731156497,0.5186729534079642,22396
LPJ-GUESS,1992,CW,lai,tran,0.3674771106198016,0.857299374250504,22396
