model,year,climate_zone,input_var,output_var,pawn_median,pawn_max,n_samples
LPJ-GUESS,1991,HW,precipitation,evapotrans,0.3122774652715982,0.5161306409353207,13298
LPJ-GUESS,1991,HW,lai,evapotrans,0.45992884904395137,0.7365883501052224,13298
LPJ-GUESS,1991,HW,precipitation,tran,0.25720488619848114,0.4562605743688092,13298
LPJ-GUESS,1991,HW,lai,tran,0.44353715918612896,0.7344798301966377,13298
LPJ-GUESS,1991,HW,precipitation,evspsblveg,0.3432547026108946,0.6037953584517769,13298
LPJ-GUESS,1991,HW,lai,evspsblveg,0.5035457307730147,0.7618513496856897,13298
LPJ-GUESS,1991,HW,precipitation,evspsblsoi,0.15165330703461544,0.31842857255938767,13298
LPJ-GUESS,1991,HW,lai,evspsblsoi,0.11719304276633832,0.2323235898439134,13298
LPJ-GUESS,1991,HD,precipitation,evapotrans,0.49891069830669127,0.6535693062871457,11879
LPJ-GUESS,1991,HD,lai,evapotrans,0.5261449412893137,0.7811269951812085,11879
LPJ-GUESS,1991,HD,precipitation,tran,0.48565540779742317,0.6261989769390373,11879
LPJ-GUESS,1991,HD,lai,tran,0.5684849590270922,0.8431687586077685,11879
LPJ-GUESS,1991,HD,precipitation,evspsblveg,0.4774453432379184,0.6517638221343506,11879
LPJ-GUESS,1991,HD,lai,evspsblveg,0.5761884070664272,0.8246511612746145,11879
LPJ-GUESS,1991,HD,precipitation,evspsblsoi,0.2832098583431887,0.41844579906211155,11879
LPJ-GUESS,1991,HD,lai,evspsblsoi,0.2293908158669502,0.5299390912237111,11879
LPJ-GUESS,1991,CW,precipitation,evapotrans,0.26763587284190066,0.5421447130007032,22403
LPJ-GUESS,1991,CW,lai,evapotrans,0.36664077794109207,0.8004388317104612,22403
LPJ-GUESS,1991,CW,precipitation,tran,0.23732542847227933,0.5422292549308521,22403
LPJ-GUESS,1991,CW,lai,tran,0.39049942888707506,0.8551144073484294,22403
LPJ-GUESS,1991,CW,precipitation,evspsblveg,0.24708739067293264,0.5491544417298195,22403
LPJ-GUESS,1991,CW,lai,evspsblveg,0.5321521730986284,0.8548453312224731,22403
LPJ-GUESS,1991,CW,precipitation,evspsblsoi,0.1305052099990457,0.4246099347271791,22403
LPJ-GUESS,1991,CW,lai,evspsblsoi,0.1502158950136281,0.34764818721786617,22403
LPJ-GUESS,1991,CD,precipitation,evapotrans,0.25973309771941683,0.4741358142081527,10713
LPJ-GUESS,1991,CD,lai,evapotrans,0.5026420163883718,0.717861528955614,10713
LPJ-GUESS,1991,CD,precipitation,tran,0.23359256464556735,0.4560776522038366,10713
LPJ-GUESS,1991,CD,lai,tran,0.5762912464528422,0.8704420525487934,10713
LPJ-GUESS,1991,CD,precipitation,evspsblveg,0.23647190129314222,0.44395383416159195,10713
LPJ-GUESS,1991,CD,lai,evspsblveg,0.6037001564370732,0.7821631133049398,10713
LPJ-GUESS,1991,CD,precipitation,evspsblsoi,0.18215315315327157,0.43053689318535215,10713
LPJ-GUESS,1991,CD,lai,evspsblsoi,0.18838803566875786,0.4617257338854518,10713
LPJ-GUESS,1992,HW,precipitation,evapotrans,0.3273923977224692,0.5692226327621405,13294
LPJ-GUESS,1992,HW,lai,evapotrans,0.46601093428775153,0.7592411523769557,13294
LPJ-GUESS,1992,HW,precipitation,tran,0.26467927515279527,0.5655586308686508,13294
LPJ-GUESS,1992,HW,lai,tran,0.4462716367686481,0.7724710452225041,13294
LPJ-GUESS,1992,HW,precipitation,evspsblveg,0.35824277223641476,0.6119817748071095,13294
LPJ-GUESS,1992,HW,lai,evspsblveg,0.5084054959874293,0.7557782299889939,13294
LPJ-GUESS,1992,HW,precipitation,evspsblsoi,0.11664764966255164,0.3016173275071235,13294
LPJ-GUESS,1992,HW,lai,evspsblsoi,0.10537295518393253,0.22365621440392017,13294
LPJ-GUESS,1992,HD,precipitation,evapotrans,0.4304211416128281,0.6932179682637181,11876
LPJ-GUESS,1992,HD,lai,evapotrans,0.5197320112421129,0.8188871991499139,11876
LPJ-GUESS,1992,HD,precipitation,tran,0.4270617267036954,0.6743924555984185,11876
LPJ-GUESS,1992,HD,lai,tran,0.5818503437094436,0.8611519370192324,11876
LPJ-GUESS,1992,HD,precipitation,evspsblveg,0.4101681785045284,0.683618705916921,11876
LPJ-GUESS,1992,HD,lai,evspsblveg,0.564702605668109,0.8247817231481765,11876
LPJ-GUESS,1992,HD,precipitation,evspsblsoi,0.24248338264347702,0.5040748802046922,11876
LPJ-GUESS,1992,HD,lai,evspsblsoi,0.2579905300574342,0.5950960145975303,11876
LPJ-GUESS,1992,CW,precipitation,evapotrans,0.2305244029590211,0.5522400364861072,22396
LPJ-GUESS,1992,CW,lai,evapotrans,0.35803108786582044,0.7862197171688822,22396
LPJ-GUESS,1992,CW,precipitation,tran,0.20530051419794004,0.5160904577608723,22396
LPJ-GUESS,1992,CW,lai,tran,0.38263550960127035,0.8574321307376318,22396
LPJ-GUESS,1992,CW,precipitation,evspsblveg,0.1920040502006381,0.5158526786393854,22396
LPJ-GUESS,1992,CW,lai,evspsblveg,0.5298709047890966,0.8504238639552981,22396
LPJ-GUESS,1992,CW,precipitation,evspsblsoi,0.12951167133330915,0.4061470638889598,22396
LPJ-GUESS,1992,CW,lai,evspsblsoi,0.21845603291151097,0.3913824694460746,22396
