model,climate_zone,input_var,output_var,pawn_original,pawn_boot_mean,pawn_boot_std,pawn_ci_lower,pawn_ci_upper,pawn_significant,n_samples,significant_years,significant_pct
CLASSIC,CD,lai,evapotrans,0.3767485439436498,0.37926834491194433,0.008313480773228169,0.3645172592626415,0.3947778991692851,30,13326.733333333334,30,100.0
CLASSIC,CD,lai,evspsblsoi,0.34687964372373803,0.3503599895789367,0.010211900186448982,0.33232452699431464,0.3700941768448524,30,13326.733333333334,30,100.0
CLASSIC,CD,lai,evspsblveg,0.5303389492664378,0.5325872511783898,0.00840788873432482,0.5191489547420564,0.548064683388277,30,13326.733333333334,30,100.0
CLASSIC,CD,lai,tran,0.5013676698313578,0.5034114823972508,0.00968463887106531,0.48766980500258955,0.5225669187672015,30,13326.733333333334,30,100.0
CLASSIC,CD,precipitation,evapotrans,0.27327957898254657,0.2776281140383784,0.008520630090226694,0.2628803743177624,0.2945316474532869,30,13326.733333333334,30,100.0
CLASSIC,CD,precipitation,evspsblsoi,0.2581163176805882,0.26217313302255063,0.00811410121726761,0.24789793284044462,0.27805662600161696,30,13326.733333333334,30,100.0
CLASSIC,CD,precipitation,evspsblveg,0.3009955303185258,0.3043269771092606,0.007677866029853555,0.29120356420392846,0.31976751945998194,30,13326.733333333334,30,100.0
CLASSIC,CD,precipitation,tran,0.2745980371595633,0.27828985191211614,0.008925821833392975,0.26310962543816685,0.29568266183835756,30,13326.733333333334,30,100.0
CLASSIC,CW,lai,evapotrans,0.28372063384248464,0.2852370841957904,0.005036141060253816,0.2756521015929005,0.2944983412883831,30,22389.6,30,100.0
CLASSIC,CW,lai,evspsblsoi,0.17319104293535456,0.1753681002740648,0.005043285261981505,0.1661152621906142,0.1852926733559811,30,22389.6,30,100.0
CLASSIC,CW,lai,evspsblveg,0.5407625047562588,0.5420961736338997,0.003067876765998165,0.5363436164746619,0.5479045875228155,30,22389.6,30,100.0
CLASSIC,CW,lai,tran,0.41653838788104297,0.41767007737224565,0.003812810596658672,0.41046267368417483,0.42478080365871307,30,22389.6,30,100.0
CLASSIC,CW,precipitation,evapotrans,0.25934631834902366,0.260659441523776,0.006113108376022222,0.249561286637121,0.2725192862006119,30,22389.6,30,100.0
CLASSIC,CW,precipitation,evspsblsoi,0.11698993991294411,0.11957255126753581,0.005501331313245882,0.10930680273721655,0.13001330502770164,30,22389.6,30,100.0
CLASSIC,CW,precipitation,evspsblveg,0.3073929391933573,0.3088078644677603,0.005816461387628847,0.2980170777905081,0.3196853833915932,30,22389.6,30,100.0
CLASSIC,CW,precipitation,tran,0.2578694233744083,0.2589528049159865,0.00614202717791756,0.24726092165975533,0.27048172492059125,30,22389.6,30,100.0
CLASSIC,HD,lai,evapotrans,0.4806341572833472,0.48250654954683664,0.008062781705185347,0.4675561287943585,0.4980243644975563,30,11827.333333333334,30,100.0
CLASSIC,HD,lai,evspsblsoi,0.3459569948495004,0.3483108525537308,0.008995448672406151,0.3312942092912465,0.365241533124067,30,11827.333333333334,30,100.0
CLASSIC,HD,lai,evspsblveg,0.5957968431824763,0.596447097245149,0.005570597123970676,0.5858831853828007,0.6069094233466035,30,11827.333333333334,30,100.0
CLASSIC,HD,lai,tran,0.619087822967956,0.6203369904858234,0.004370676658969954,0.6118407812425818,0.6284221407845915,30,11827.333333333334,30,100.0
CLASSIC,HD,precipitation,evapotrans,0.4966034273999064,0.498539510176596,0.005276938210461378,0.4881264585067012,0.5084842726914159,30,11827.333333333334,30,100.0
CLASSIC,HD,precipitation,evspsblsoi,0.4196320869206927,0.42249051324991277,0.006442445350168595,0.4102018990746279,0.43457092762945077,30,11827.333333333334,30,100.0
CLASSIC,HD,precipitation,evspsblveg,0.4833376346350515,0.48535982117636717,0.005337727720845282,0.47560570468765756,0.4955777113713413,30,11827.333333333334,30,100.0
CLASSIC,HD,precipitation,tran,0.4496193367061234,0.45137946040409965,0.006000687736745793,0.44011842726345923,0.4624767390368081,30,11827.333333333334,30,100.0
CLASSIC,HW,lai,evapotrans,0.3615181973472069,0.36273689749757676,0.007048437053540972,0.3490461246973103,0.3758396012327096,30,13249.1,30,100.0
CLASSIC,HW,lai,evspsblsoi,0.3649042504830126,0.36798967874437416,0.006384255275571141,0.35605106051817625,0.37983913184395196,30,13249.1,30,100.0
CLASSIC,HW,lai,evspsblveg,0.4220648501789001,0.4243415976894738,0.005427394166735864,0.4140297297802674,0.4346513804884984,30,13249.1,30,100.0
CLASSIC,HW,lai,tran,0.42198834741120145,0.4232341836682409,0.0058697773965778995,0.4121311061064597,0.43394947567593956,30,13249.1,30,100.0
CLASSIC,HW,precipitation,evapotrans,0.2881269312679142,0.29082386897488255,0.007467502099943633,0.2766249939138871,0.30500767796142675,30,13249.1,30,100.0
CLASSIC,HW,precipitation,evspsblsoi,0.18476084015326807,0.1889677330239745,0.007494312705205395,0.174752198291114,0.2030280946003706,30,13249.1,30,100.0
CLASSIC,HW,precipitation,evspsblveg,0.3450844557775917,0.347313961850144,0.007267985765235085,0.3334611432004971,0.3613435048318958,30,13249.1,30,100.0
CLASSIC,HW,precipitation,tran,0.2338445556304567,0.23691830762034988,0.00817405634827497,0.2215830369747124,0.2524190633749816,30,13249.1,30,100.0
LPJ-GUESS,CD,lai,evapotrans,0.4895185150246125,0.4915202619766786,0.0052621259478572045,0.48158046491192047,0.5013393841412929,30,10702.0,30,100.0
LPJ-GUESS,CD,lai,evspsblsoi,0.199028547744131,0.2024386708332316,0.008981029853840472,0.18510119934514985,0.21918623508903975,30,10702.0,30,100.0
LPJ-GUESS,CD,lai,evspsblveg,0.6047579161890203,0.6069049673477898,0.005015367052251205,0.5976356585702869,0.6167349189229997,30,10702.0,30,100.0
LPJ-GUESS,CD,lai,tran,0.5874772792841383,0.5897279941901519,0.0045209438105795925,0.5811719575816713,0.59834087839015,30,10702.0,30,100.0
LPJ-GUESS,CD,precipitation,evapotrans,0.24821730611920897,0.2510383287001461,0.008413108283382256,0.23489007392314307,0.2670149669160821,30,10702.0,30,100.0
LPJ-GUESS,CD,precipitation,evspsblsoi,0.1685131196063521,0.1730097662282673,0.007779323863129015,0.15878150146634376,0.18798218288974577,30,10702.0,30,100.0
LPJ-GUESS,CD,precipitation,evspsblveg,0.24521615499775173,0.24677494263734842,0.0078038823281162805,0.23179094034446676,0.26117344107266255,30,10702.0,30,100.0
LPJ-GUESS,CD,precipitation,tran,0.22242064219330704,0.22430322743910883,0.008091197784401642,0.208915027968826,0.2392317852468616,30,10702.0,30,100.0
LPJ-GUESS,CW,lai,evapotrans,0.35317396138771484,0.35477867521879036,0.003796437381494384,0.3475393675735913,0.3616950857596123,30,22374.933333333334,30,100.0
LPJ-GUESS,CW,lai,evspsblsoi,0.15550054000028138,0.1582583292057794,0.006285196815527472,0.14657109440667843,0.17003895059551322,30,22374.933333333334,30,100.0
LPJ-GUESS,CW,lai,evspsblveg,0.5424976583951785,0.5435296307644063,0.0033920914861974203,0.5371398855395736,0.5498128485048833,30,22374.933333333334,30,100.0
LPJ-GUESS,CW,lai,tran,0.3737776963907091,0.37517725584217343,0.003733470704641808,0.36833001546668476,0.38228943133965654,30,22374.933333333334,30,100.0
LPJ-GUESS,CW,precipitation,evapotrans,0.24923842297382348,0.2511774403114513,0.006250274558745982,0.23944816497915422,0.26313342723093097,30,22374.933333333334,30,100.0
LPJ-GUESS,CW,precipitation,evspsblsoi,0.12627176034742443,0.12935320372024908,0.005254960083485599,0.11938729931976427,0.13926081237611804,30,22374.933333333334,30,100.0
LPJ-GUESS,CW,precipitation,evspsblveg,0.22779352200802114,0.2299280762532456,0.006257228742500787,0.2182806181548833,0.2420582186170434,30,22374.933333333334,30,100.0
LPJ-GUESS,CW,precipitation,tran,0.22017361065820126,0.22244889721618016,0.006242795088445494,0.21100531572314302,0.23447958427480212,30,22374.933333333334,30,100.0
LPJ-GUESS,HD,lai,evapotrans,0.4994338067564362,0.5017510067173094,0.0051838843044911855,0.49172117146830446,0.5115179701313824,30,11876.4,30,100.0
LPJ-GUESS,HD,lai,evspsblsoi,0.21441641038311088,0.21896244130021572,0.0075039561963066385,0.20523527556302848,0.2335896638720119,30,11876.4,30,100.0
LPJ-GUESS,HD,lai,evspsblveg,0.5657871107145057,0.5675569540250933,0.004101623273494959,0.5598812558072509,0.575206804574865,30,11876.4,30,100.0
