model,year,climate_zone,output_var,input_var,n_samples,pawn_original,pawn_boot_mean,pawn_boot_std,pawn_ci_lower,pawn_ci_upper,pawn_significant
LPJ-GUESS,1991,HW,evapotrans,precipitation,13298,0.3054826507254016,0.30924490215272477,0.007377252805245835,0.2935623093516086,0.3221795600817036,True
LPJ-GUESS,1991,HW,evapotrans,lai,13298,0.4219592634767849,0.42392918964771625,0.006105447232093448,0.4125677886055035,0.4368472892451841,True
LPJ-GUESS,1991,HW,tran,precipitation,13298,0.2570453460695946,0.2612249583929513,0.008246636809306384,0.24577482307726667,0.27562293943675875,True
LPJ-GUESS,1991,HW,tran,lai,13298,0.4688387761402303,0.4719682799454389,0.0039124087383023715,0.4653190102005206,0.48067827618966713,True
LPJ-GUESS,1991,HW,evspsblveg,precipitation,13298,0.33738101193812375,0.33988467758761864,0.007303334179844138,0.32403473349192496,0.35192552921138837,True
LPJ-GUESS,1991,HW,evspsblveg,lai,13298,0.45674249166305747,0.45869912037713945,0.005905271289843854,0.4466480043298197,0.46902721754254945,True
LPJ-GUESS,1991,HW,evspsblsoi,precipitation,13298,0.10121643962882455,0.10921820190849768,0.006077890181643588,0.09670979833945383,0.11956023266987001,True
LPJ-GUESS,1991,HW,evspsblsoi,lai,13298,0.12243641137736808,0.13033601278587037,0.008306618190804613,0.11396281358528647,0.1456794523307387,True
LPJ-GUESS,1991,HD,evapotrans,precipitation,11879,0.49874304257038493,0.4998026319772094,0.0045942178546882345,0.49013172492129903,0.5066226373949893,True
LPJ-GUESS,1991,HD,evapotrans,lai,11879,0.5172634034596322,0.5187920866446644,0.0047671756467761875,0.5081110850011087,0.5277942085359588,True
LPJ-GUESS,1991,HD,tran,precipitation,11879,0.476815890192437,0.4774741686597877,0.00605474808918473,0.465112462818425,0.4882384897260821,True
LPJ-GUESS,1991,HD,tran,lai,11879,0.5775765271198389,0.5802153854653974,0.003861932619435079,0.5739283513569938,0.5887004923098028,True
LPJ-GUESS,1991,HD,evspsblveg,precipitation,11879,0.48123389519971727,0.48399697257334956,0.005074688206320769,0.4726489150579266,0.49403683020140543,True
LPJ-GUESS,1991,HD,evspsblveg,lai,11879,0.5824171081978978,0.5836089592200642,0.004355391597740147,0.5745036966371396,0.5911718377621468,True
LPJ-GUESS,1991,HD,evspsblsoi,precipitation,11879,0.28102229114417054,0.2834323953351885,0.007208958606310871,0.270632934040957,0.2974211557446678,True
LPJ-GUESS,1991,HD,evspsblsoi,lai,11879,0.2232701768647556,0.2262961311049619,0.006810073727858462,0.21346990068312865,0.2377256160108252,True
LPJ-GUESS,1991,CW,evapotrans,precipitation,22403,0.2661470064261655,0.2671341922905647,0.005869997384076964,0.2534283593670871,0.2780391300543392,True
LPJ-GUESS,1991,CW,evapotrans,lai,22403,0.35554722820923224,0.3577821984321227,0.0036453401005885253,0.35153397754999377,0.36489244752165884,True
LPJ-GUESS,1991,CW,tran,precipitation,22403,0.22926782267729406,0.23115190964284882,0.005755190980497261,0.22094496005862735,0.24151411559812977,True
LPJ-GUESS,1991,CW,tran,lai,22403,0.37434132705441236,0.3768982911374954,0.0036874994007313824,0.3708067700607272,0.3833135898242656,True
LPJ-GUESS,1991,CW,evspsblveg,precipitation,22403,0.24836295171464923,0.25057233146754787,0.007460583895783406,0.23658302008708298,0.266532447331764,True
LPJ-GUESS,1991,CW,evspsblveg,lai,22403,0.5420416928376939,0.5434799904317764,0.0035826708393011633,0.5369810840006017,0.5496736131073678,True
LPJ-GUESS,1991,CW,evspsblsoi,precipitation,22403,0.11822865754811168,0.12144069480125302,0.004676632421821832,0.11270961312918369,0.13009310849711678,True
LPJ-GUESS,1991,CW,evspsblsoi,lai,22403,0.1688409172611087,0.17231035041836493,0.006356082093250319,0.16087621645781172,0.18515399861393086,True
LPJ-GUESS,1991,CD,evapotrans,precipitation,10713,0.2593298825026127,0.26139877842609294,0.009134108488408465,0.2419481151522245,0.28014597080960435,True
LPJ-GUESS,1991,CD,evapotrans,lai,10713,0.5031985537610919,0.5049149518601501,0.005361185767043448,0.49532709021432136,0.515589698869619,True
LPJ-GUESS,1991,CD,tran,precipitation,10713,0.2321414199747421,0.23238952035258323,0.008426734517359652,0.2147222387748416,0.24946421853689874,True
LPJ-GUESS,1991,CD,tran,lai,10713,0.5816197290080038,0.5853943911286348,0.004390353402508806,0.5771206662446552,0.5940075292695254,True
LPJ-GUESS,1991,CD,evspsblveg,precipitation,10713,0.2343764765847923,0.23554788923408018,0.008327685641250466,0.21980449832845853,0.2519933941473161,True
LPJ-GUESS,1991,CD,evspsblveg,lai,10713,0.6047257697067439,0.6057950041304734,0.0061637451436458305,0.5961555190855589,0.6181636876647407,True
