Zone,Output,Dominant_Factor,Precip_Value,LAI_Value,Dominance_Ratio
HW,evapotrans,LAI,0.3172853996266561,0.3704031786356151,1.1674132467321863
HW,tran,LAI,0.25618218180344043,0.4180974323434764,1.6320316629244132
HW,evspsblveg,LAI,0.41580674335596435,0.4364504377620155,1.0496473292724204
HW,evspsblsoi,LAI,0.27600618507743896,0.40335517906758145,1.4613990581706433
HD,evapotrans,Precipitation,0.5820918902830647,0.4717138473769131,1.2339936455046592
HD,tran,LAI,0.5002076822610712,0.6195765191033413,1.2386385514489253
HD,evspsblveg,LAI,0.5372013552746318,0.6101831291675153,1.1358555280300582
HD,evspsblsoi,Precipitation,0.46638860359007567,0.3504084195864026,1.33098572233929
CW,evapotrans,Precipitation,0.275951056348905,0.26685064669656233,1.0341030072873703
CW,tran,LAI,0.3008081611584258,0.40880148624936335,1.3590106217170084
CW,evspsblveg,LAI,0.3628836688304839,0.5432541978682404,1.4970477990077566
CW,evspsblsoi,LAI,0.14482216362511718,0.1971115568521884,1.3610593280895886
CD,evapotrans,LAI,0.3601068999028183,0.3986394557823129,1.1070031031873953
CD,tran,LAI,0.3174927113702624,0.5248785228377065,1.6531986526779487
CD,evspsblveg,LAI,0.3493197278911565,0.5452380952380952,1.5608568642075051
CD,evspsblsoi,LAI,0.28396501457725953,0.3615646258503401,1.2732717312422321
