Output,Input,SRC,R2,PAWN_median,PAWN_max,Zone
evapotrans,precipitation,0.34844760786520446,0.6635809838099571,0.3172853996266561,0.5687979342320035,HW
evapotrans,lai,0.543679104218766,0.6635809838099571,0.3704031786356151,0.6421763721413399,HW
tran,precipitation,-0.01807463757434028,0.6033940170247956,0.25618218180344043,0.5303795955467641,HW
tran,lai,0.788426073770268,0.6033940170247956,0.4180974323434764,0.7185350461728907,HW
evspsblveg,precipitation,0.46854380927845884,0.8491749142851927,0.41580674335596435,0.6219981421314238,HW
evspsblveg,lai,0.545145256172629,0.8491749142851927,0.4364504377620155,0.77182280879832,HW
evspsblsoi,precipitation,0.008554824663578806,0.67501282519285,0.27600618507743896,0.4815841963375121,HW
evspsblsoi,lai,-0.8271334094176835,0.67501282519285,0.40335517906758145,0.6409304222362827,HW
evapotrans,precipitation,0.7429481588804783,0.8425030992417988,0.5820918902830647,0.7866834216731705,HD
evapotrans,lai,0.20849864740521767,0.8425030992417988,0.4717138473769131,0.6969041495377809,HD
tran,precipitation,0.06672683002622963,0.870872020679445,0.5002076822610712,0.6974662726153462,HD
tran,lai,0.8791242766526799,0.870872020679445,0.6195765191033413,0.7990511075520126,HD
evspsblveg,precipitation,0.10923381094000628,0.9032782780609269,0.5372013552746318,0.7037741804219444,HD
evspsblveg,lai,0.8610117345364651,0.9032782780609269,0.6101831291675153,0.8364388133594876,HD
evspsblsoi,precipitation,1.1081342004689383,0.690389277403811,0.46638860359007567,0.7851525818534671,HD
evspsblsoi,lai,-0.3903956886339903,0.690389277403811,0.3504084195864026,0.6630407250225081,HD
evapotrans,precipitation,0.5065840125756531,0.49207653950493246,0.275951056348905,0.6691635418644389,CW
evapotrans,lai,0.2802123256791238,0.49207653950493246,0.26685064669656233,0.5838131430424838,CW
tran,precipitation,0.24196419783804335,0.5030110323401782,0.3008081611584258,0.5355262136814729,CW
tran,lai,0.546216932561684,0.5030110323401782,0.40880148624936335,0.783487040075824,CW
evspsblveg,precipitation,0.33089434204445345,0.9088047376826607,0.3628836688304839,0.6196262207259335,CW
evspsblveg,lai,0.7296556212974152,0.9088047376826607,0.5432541978682404,0.7780048156611546,CW
evspsblsoi,precipitation,0.5539962077770383,0.3190040169498626,0.14482216362511718,0.29587994637922255,CW
evspsblsoi,lai,-0.6316010550069108,0.3190040169498626,0.1971115568521884,0.45005345502545047,CW
evapotrans,precipitation,0.29582407904620106,0.5475505404935381,0.3601068999028183,0.5156462585034014,CD
evapotrans,lai,0.5360697093593377,0.5475505404935381,0.3986394557823129,0.6503401360544218,CD
tran,precipitation,-0.005925271085873352,0.7982259864876917,0.3174927113702624,0.5189504373177842,CD
tran,lai,0.8966468946177009,0.7982259864876917,0.5248785228377065,0.822351797862002,CD
evspsblveg,precipitation,0.14576755165124722,0.9123019162998713,0.3493197278911565,0.5956268221574345,CD
evspsblveg,lai,0.8679288489139743,0.9123019162998713,0.5452380952380952,0.8357628765792031,CD
evspsblsoi,precipitation,0.3889272489182457,0.27192401946966693,0.28396501457725953,0.49601554907677353,CD
evspsblsoi,lai,0.1950706430691339,0.27192401946966693,0.3615646258503401,0.5945578231292517,CD
