Zone,Output,Dominant_Factor,Precip_Value,LAI_Value,Dominance_Ratio
HW,evapotrans,LAI,0.3800420160239441,0.492516141313939,1.2959518169520325
HW,tran,LAI,0.29473224607895043,0.45251474574784223,1.5353418284373679
HW,evspsblveg,LAI,0.42778243531026106,0.516508632355387,1.2074096306923725
HW,evspsblsoi,Precipitation,0.1888393327432663,0.16811988454739113,1.1232421027371713
HD,evapotrans,Precipitation,0.5769852813065777,0.5529696315032033,1.0434303229885278
HD,tran,LAI,0.5357353536340124,0.6009088194019009,1.1216523516949872
HD,evspsblveg,LAI,0.5604216943299964,0.5839410449609899,1.041967237822431
HD,evspsblsoi,Precipitation,0.3297577792487714,0.2730645138153862,1.2076185752607627
CW,evapotrans,LAI,0.2950608430898483,0.358088556050668,1.2136092074415525
CW,tran,LAI,0.2647196193835295,0.37851852074190745,1.429884651090088
CW,evspsblveg,LAI,0.2459779592249291,0.546995625797686,2.223758694880146
CW,evspsblsoi,LAI,0.15780738990571702,0.18472494496879713,1.1705722080702616
CD,evapotrans,LAI,0.31949804822480204,0.5334396345702407,1.6696178188479742
CD,tran,LAI,0.2846193290691712,0.609144799114554,2.1402088217012567
CD,evspsblveg,LAI,0.3135713706461801,0.5972952044136697,1.9048142149978016
CD,evspsblsoi,LAI,0.1392688571213988,0.22263310175155254,1.5985849686238736
