Zone,Output,Dominant_Factor,Precip_Value,LAI_Value,Dominance_Ratio
HW,evapotrans,LAI,0.27882579142935965,0.7220531844329795,2.5896212128459037
HW,tran,LAI,0.045644424424812896,0.9278460990764742,20.327698480941194
HW,evspsblveg,LAI,0.4299270654868546,0.5967991375941353,1.388140420467594
HW,evspsblsoi,Precipitation,0.6446135571405678,0.21074158526878226,3.058786693725121
HD,evapotrans,Precipitation,0.5733598675226447,0.4068973135405143,1.4091021206131549
HD,tran,LAI,0.36246946309666894,0.5970095282042562,1.647061583999782
HD,evspsblveg,LAI,0.0770360180616556,0.8523253007637067,11.06398436865145
HD,evspsblsoi,Precipitation,1.1455809614586163,0.5655347125076996,2.0256598506151886
CW,evapotrans,LAI,0.3935628405095883,0.5528690826597178,1.404779683476673
CW,tran,LAI,0.2745775196560087,0.6296932212775673,2.2933167356057287
CW,evspsblveg,LAI,0.1887296062444333,0.8028997680536883,4.254233257861984
CW,evspsblsoi,Precipitation,0.6874860018780797,0.406283702364426,1.6921328561986206
CD,evapotrans,LAI,0.15216762077883997,0.8676636154798973,5.7020252434041465
CD,tran,LAI,0.0393043381125987,0.9594907584224818,24.411828364404933
CD,evspsblveg,LAI,0.14004325520101776,0.7908157820314586,5.646939442614566
CD,evspsblsoi,Precipitation,0.67202275961502,0.2873117772901755,2.339001783078314
