Output,Input,SRC,R2,PAWN_median,PAWN_max,Zone
evapotrans,precipitation,0.27882579142935965,0.8947717300548087,0.3800420160239441,0.6422016477841831,HW
evapotrans,lai,0.7220531844329795,0.8947717300548087,0.492516141313939,0.758997319632397,HW
tran,precipitation,-0.045644424424812896,0.80078549532555,0.29473224607895043,0.5033456664793492,HW
tran,lai,0.9278460990764742,0.80078549532555,0.45251474574784223,0.766073720440335,HW
evspsblveg,precipitation,0.4299270654868546,0.9178177364762181,0.42778243531026106,0.6752863874382792,HW
evspsblveg,lai,0.5967991375941353,0.9178177364762181,0.516508632355387,0.7639334911135973,HW
evspsblsoi,precipitation,0.6446135571405678,0.2604351358363476,0.1888393327432663,0.41108079480876514,HW
evspsblsoi,lai,-0.21074158526878226,0.2604351358363476,0.16811988454739113,0.35419995955568156,HW
evapotrans,precipitation,0.5733598675226447,0.9033749150870465,0.5769852813065777,0.7831072285045685,HD
evapotrans,lai,0.4068973135405143,0.9033749150870465,0.5529696315032033,0.8164134682628829,HD
tran,precipitation,0.36246946309666894,0.8672383026898768,0.5357353536340124,0.8037552404147815,HD
tran,lai,0.5970095282042562,0.8672383026898768,0.6009088194019009,0.8599524887326347,HD
evspsblveg,precipitation,0.0770360180616556,0.8475213881971281,0.5604216943299964,0.7845431396279718,HD
evspsblveg,lai,0.8523253007637067,0.8475213881971281,0.5839410449609899,0.8121925278144317,HD
evspsblsoi,precipitation,1.1455809614586163,0.4962112302653877,0.3297577792487714,0.622683688716904,HD
evspsblsoi,lai,-0.5655347125076996,0.4962112302653877,0.2730645138153862,0.6391133389841408,HD
evapotrans,precipitation,0.3935628405095883,0.6776392599841028,0.2950608430898483,0.6266750713658312,CW
evapotrans,lai,0.5528690826597178,0.6776392599841028,0.358088556050668,0.7950630361740063,CW
tran,precipitation,0.2745775196560087,0.6444043719683601,0.2647196193835295,0.6110971518600514,CW
tran,lai,0.6296932212775673,0.6444043719683601,0.37851852074190745,0.8645115764001853,CW
evspsblveg,precipitation,0.1887296062444333,0.8314458942661295,0.2459779592249291,0.6241720810058698,CW
evspsblveg,lai,0.8028997680536883,0.8314458942661295,0.546995625797686,0.8509122063060919,CW
evspsblsoi,precipitation,0.6874860018780797,0.3590378616471881,0.15780738990571702,0.39720296920557174,CW
evspsblsoi,lai,-0.406283702364426,0.3590378616471881,0.18472494496879713,0.3939268296267878,CW
evapotrans,precipitation,0.15216762077883997,0.8857761164057716,0.31949804822480204,0.4773864873753373,CD
evapotrans,lai,0.8676636154798973,0.8857761164057716,0.5334396345702407,0.7571068089922116,CD
tran,precipitation,-0.0393043381125987,0.8908103283040567,0.2846193290691712,0.4209011169546835,CD
tran,lai,0.9594907584224818,0.8908103283040567,0.609144799114554,0.8722355633698091,CD
evspsblveg,precipitation,0.14004325520101776,0.7370871612187095,0.3135713706461801,0.46123118143939323,CD
evspsblveg,lai,0.7908157820314586,0.7370871612187095,0.5972952044136697,0.7885371404924477,CD
evspsblsoi,precipitation,0.67202275961502,0.373619827624487,0.1392688571213988,0.6389928257363682,CD
evspsblsoi,lai,-0.2873117772901755,0.373619827624487,0.22263310175155254,0.4802819550440771,CD
