model,zone,x,y,n,slope,intercept,r,r2,p_value,stderr
CLASSIC,HW,P,ET,12047,0.452,1.5204,0.7285,0.5307,0.0,0.0039
CLASSIC,HD,P,ET,11072,0.7637,0.5577,0.96,0.9216,0.0,0.0021
CLASSIC,CW,P,ET,20608,0.7325,0.4247,0.7151,0.5114,0.0,0.005
CLASSIC,CD,P,ET,10147,0.7026,0.4929,0.5092,0.2593,0.0,0.0118
CLASSIC,HW,P,T,12047,0.5204,0.9146,0.5448,0.2969,0.0,0.0073
CLASSIC,HD,P,T,9871,2.0991,-3.7395,0.8323,0.6927,0.0,0.0141
CLASSIC,CW,P,T,20608,1.7946,-3.2832,0.5464,0.2986,0.0,0.0192
CLASSIC,CD,P,T,9966,2.1984,-4.7139,0.5398,0.2913,0.0,0.0343
CLASSIC,HW,P,E_veg,12047,1.3059,-1.7305,0.8027,0.6443,0.0,0.0088
CLASSIC,HD,P,E_veg,9751,2.5255,-5.3387,0.8862,0.7853,0.0,0.0134
CLASSIC,CW,P,E_veg,20608,1.8326,-3.365,0.7405,0.5483,0.0,0.0116
CLASSIC,CD,P,E_veg,10109,2.1859,-4.6722,0.6712,0.4505,0.0,0.024
CLASSIC,HW,P,E_soil,12047,-0.6216,4.2938,-0.5746,0.3302,0.0,0.0081
CLASSIC,HD,P,E_soil,11072,0.6453,0.7162,0.9269,0.8591,0.0,0.0025
CLASSIC,CW,P,E_soil,20608,0.1374,1.7703,0.1374,0.0189,0.0,0.0069
CLASSIC,CD,P,E_soil,10147,0.5639,0.7679,0.4491,0.2017,0.0,0.0111
CLASSIC,HW,LAI,ET,12047,0.3567,2.7583,0.7809,0.6098,0.0,0.0026
CLASSIC,HD,LAI,ET,9861,0.289,2.6444,0.8559,0.7326,0.0,0.0018
CLASSIC,CW,LAI,ET,20608,0.2296,2.47,0.6665,0.4443,0.0,0.0018
CLASSIC,CD,LAI,ET,9928,0.2441,2.5574,0.78,0.6084,0.0,0.002
CLASSIC,HW,LAI,T,12047,0.5763,2.2508,0.8193,0.6713,0.0,0.0037
CLASSIC,HD,LAI,T,9859,1.0489,2.3056,0.9692,0.9393,0.0,0.0027
CLASSIC,CW,LAI,T,20608,0.9817,1.8059,0.8889,0.7901,0.0,0.0035
CLASSIC,CD,LAI,T,9928,1.0152,2.0346,0.9337,0.8718,0.0,0.0039
CLASSIC,HW,LAI,E_veg,12047,1.0905,1.8137,0.9103,0.8286,0.0,0.0045
CLASSIC,HD,LAI,E_veg,9735,1.2347,1.8702,0.9633,0.928,0.0,0.0035
CLASSIC,CW,LAI,E_veg,20608,0.8007,1.794,0.9621,0.9257,0.0,0.0016
CLASSIC,CD,LAI,E_veg,9928,0.792,1.7529,0.9497,0.902,0.0,0.0026
CLASSIC,HW,LAI,E_soil,12047,-0.6217,2.6621,-0.7806,0.6093,0.0,0.0045
CLASSIC,HD,LAI,E_soil,9861,0.2225,2.4546,0.7596,0.577,0.0,0.0019
CLASSIC,CW,LAI,E_soil,20608,-0.1029,2.1266,-0.306,0.0936,0.0,0.0022
CLASSIC,CD,LAI,E_soil,9928,0.1882,2.4182,0.6834,0.4671,0.0,0.002
LPJ-GUESS,HW,P,ET,12149,0.623,1.0275,0.8214,0.6747,0.0,0.0039
LPJ-GUESS,HD,P,ET,11139,0.7708,0.555,0.9567,0.9152,0.0,0.0022
LPJ-GUESS,CW,P,ET,20732,0.8937,0.0394,0.6827,0.4661,0.0,0.0066
LPJ-GUESS,CD,P,ET,9666,0.6476,0.6371,0.5081,0.2582,0.0,0.0112
LPJ-GUESS,HW,P,T,12149,0.4603,1.4226,0.6323,0.3998,0.0,0.0051
LPJ-GUESS,HD,P,T,11139,0.8342,0.2902,0.9434,0.8901,0.0,0.0028
LPJ-GUESS,CW,P,T,20732,1.0871,-0.6695,0.5012,0.2512,0.0,0.013
LPJ-GUESS,CD,P,T,9647,0.6508,-0.2346,0.0998,0.01,0.0,0.0661
LPJ-GUESS,HW,P,E_veg,12149,1.7959,-3.7854,0.8705,0.7578,0.0,0.0092
LPJ-GUESS,HD,P,E_veg,11139,1.8481,-4.2531,0.9485,0.8996,0.0,0.0059
LPJ-GUESS,CW,P,E_veg,20663,2.3559,-5.3321,0.563,0.317,0.0,0.0241
LPJ-GUESS,CD,P,E_veg,7622,1.7167,-4.0287,0.4753,0.2259,0.0,0.0364
LPJ-GUESS,HW,P,E_soil,12149,0.9162,-0.8125,0.529,0.2799,0.0,0.0133
LPJ-GUESS,HD,P,E_soil,11139,0.5739,0.2613,0.7851,0.6164,0.0,0.0043
LPJ-GUESS,CW,P,E_soil,20732,0.4691,0.4773,0.4069,0.1656,0.0,0.0073
LPJ-GUESS,CD,P,E_soil,9666,0.831,-0.3741,0.6583,0.4333,0.0,0.0097
LPJ-GUESS,HW,LAI,ET,12149,0.6093,2.6749,0.9177,0.8422,0.0,0.0024
LPJ-GUESS,HD,LAI,ET,11139,0.8913,2.6305,0.9694,0.9397,0.0,0.0021
LPJ-GUESS,CW,LAI,ET,20732,0.4236,2.4403,0.8126,0.6603,0.0,0.0021
LPJ-GUESS,CD,LAI,ET,9666,0.1644,2.3772,0.8107,0.6573,0.0,0.0012
LPJ-GUESS,HW,LAI,T,12149,0.5729,2.5746,0.8989,0.808,0.0,0.0025
LPJ-GUESS,HD,LAI,T,11139,0.9851,2.5464,0.9763,0.9531,0.0,0.0021
LPJ-GUESS,CW,LAI,T,20732,0.8098,2.2231,0.9376,0.8791,0.0,0.0021
LPJ-GUESS,CD,LAI,T,9647,1.0392,2.4329,0.9939,0.9879,0.0,0.0012
LPJ-GUESS,HW,LAI,E_veg,12149,1.6868,1.0007,0.934,0.8724,0.0,0.0059
LPJ-GUESS,HD,LAI,E_veg,11139,2.1682,0.7383,0.9751,0.9508,0.0,0.0047
LPJ-GUESS,CW,LAI,E_veg,20663,1.7416,0.9229,0.974,0.9487,0.0,0.0028
LPJ-GUESS,CD,LAI,E_veg,7622,1.7762,0.6599,0.9682,0.9375,0.0,0.0053
LPJ-GUESS,HW,LAI,E_soil,12149,0.4001,1.8746,0.2639,0.0697,0.0,0.0133
LPJ-GUESS,HD,LAI,E_soil,11139,0.589,1.7709,0.7061,0.4986,0.0,0.0056
LPJ-GUESS,CW,LAI,E_soil,20732,-0.0771,1.7658,-0.1679,0.0282,0.0,0.0031
LPJ-GUESS,CD,LAI,E_soil,9666,-0.0392,1.593,-0.195,0.038,0.0,0.002
