model,zone,x,y,MIC,n
LPJ-GUESS,WW,P,ET,0.524860259519724,12149
LPJ-GUESS,WW,P,T,0.35702605505387885,12149
LPJ-GUESS,WW,P,E_veg,0.5967871985029641,12149
LPJ-GUESS,WW,P,E_soil,0.22120124227631133,12149
LPJ-GUESS,WW,LAI,ET,0.7257611554191682,12149
LPJ-GUESS,WW,LAI,T,0.6434643645936332,12149
LPJ-GUESS,WW,LAI,E_veg,0.7725684961444582,12149
LPJ-GUESS,WW,LAI,E_soil,0.15808945553953135,12149
LPJ-GUESS,WD,P,ET,0.841446140838066,11139
LPJ-GUESS,WD,P,T,0.7824196148234751,11139
LPJ-GUESS,WD,P,E_veg,0.795720051723776,11139
LPJ-GUESS,WD,P,E_soil,0.475514549173822,11139
LPJ-GUESS,WD,LAI,ET,0.8229574015886684,11139
LPJ-GUESS,WD,LAI,T,0.8686936899372056,11139
LPJ-GUESS,WD,LAI,E_veg,0.856081576525722,11139
LPJ-GUESS,WD,LAI,E_soil,0.3775344504276007,11139
LPJ-GUESS,CW,P,ET,0.34803477057029014,20732
LPJ-GUESS,CW,P,T,0.30734836349873185,20732
LPJ-GUESS,CW,P,E_veg,0.3273471631224713,20732
LPJ-GUESS,CW,P,E_soil,0.16122868467425674,20732
LPJ-GUESS,CW,LAI,ET,0.6507126072518532,20732
LPJ-GUESS,CW,LAI,T,0.6410035785643265,20732
LPJ-GUESS,CW,LAI,E_veg,0.750655530163952,20732
LPJ-GUESS,CW,LAI,E_soil,0.20387012825542536,20732
LPJ-GUESS,CD,P,ET,0.33406731339741774,9666
LPJ-GUESS,CD,P,T,0.3605915594206948,9666
LPJ-GUESS,CD,P,E_veg,0.36849724395110717,9666
LPJ-GUESS,CD,P,E_soil,0.24475762049234165,9666
LPJ-GUESS,CD,LAI,ET,0.8424887593854866,9666
LPJ-GUESS,CD,LAI,T,0.9057881853379286,9666
LPJ-GUESS,CD,LAI,E_veg,0.8968419986889025,9666
LPJ-GUESS,CD,LAI,E_soil,0.27813962465889325,9666
