model,zone,x,y,MIC,n
CLASSIC,WW,P,ET,0.40860296786590333,12047
CLASSIC,WW,P,T,0.2873477955961621,12047
CLASSIC,WW,P,E_veg,0.5512590068797782,12047
CLASSIC,WW,P,E_soil,0.2630878751221409,12047
CLASSIC,WW,LAI,ET,0.4987697160129851,12047
CLASSIC,WW,LAI,T,0.5426944076193946,12047
CLASSIC,WW,LAI,E_veg,0.672139282624133,12047
CLASSIC,WW,LAI,E_soil,0.5504363232706213,12047
CLASSIC,WD,P,ET,0.8608313008507463,11072
CLASSIC,WD,P,T,0.6917355843820896,11072
CLASSIC,WD,P,E_veg,0.792771526438182,11072
CLASSIC,WD,P,E_soil,0.7212488874626876,11072
CLASSIC,WD,LAI,ET,0.6823528748055321,11072
CLASSIC,WD,LAI,T,0.9419661231670368,11072
CLASSIC,WD,LAI,E_veg,0.8616620427955459,11072
CLASSIC,WD,LAI,E_soil,0.5805927678022903,11072
CLASSIC,CW,P,ET,0.35532531911775944,20608
CLASSIC,CW,P,T,0.31239685433270636,20608
CLASSIC,CW,P,E_veg,0.46329969683958977,20608
CLASSIC,CW,P,E_soil,0.1125584320402385,20608
CLASSIC,CW,LAI,ET,0.4026663245753147,20608
CLASSIC,CW,LAI,T,0.607643854675228,20608
CLASSIC,CW,LAI,E_veg,0.8079220591963239,20608
CLASSIC,CW,LAI,E_soil,0.21149632454319212,20608
CLASSIC,CD,P,ET,0.3683392615655892,10290
CLASSIC,CD,P,T,0.32328511887963574,10290
CLASSIC,CD,P,E_veg,0.39087684661596483,10290
CLASSIC,CD,P,E_soil,0.29540232408009565,10290
CLASSIC,CD,LAI,ET,0.5793771319891805,10290
CLASSIC,CD,LAI,T,0.7984139415980682,10290
CLASSIC,CD,LAI,E_veg,0.802187539296836,10290
CLASSIC,CD,LAI,E_soil,0.452306959184107,10290
LPJ-GUESS,WW,P,ET,0.524860259519724,12149
LPJ-GUESS,WW,P,T,0.35702605505387885,12149
LPJ-GUESS,WW,P,E_veg,0.5967871985029641,12149
LPJ-GUESS,WW,P,E_soil,0.22120124227631133,12149
LPJ-GUESS,WW,LAI,ET,0.7257611554191682,12149
LPJ-GUESS,WW,LAI,T,0.6434643645936332,12149
LPJ-GUESS,WW,LAI,E_veg,0.7725684961444582,12149
LPJ-GUESS,WW,LAI,E_soil,0.15808945553953135,12149
LPJ-GUESS,WD,P,ET,0.841446140838066,11139
LPJ-GUESS,WD,P,T,0.7824196148234751,11139
LPJ-GUESS,WD,P,E_veg,0.795720051723776,11139
LPJ-GUESS,WD,P,E_soil,0.475514549173822,11139
LPJ-GUESS,WD,LAI,ET,0.8229574015886684,11139
LPJ-GUESS,WD,LAI,T,0.8686936899372056,11139
LPJ-GUESS,WD,LAI,E_veg,0.856081576525722,11139
LPJ-GUESS,WD,LAI,E_soil,0.3775344504276007,11139
LPJ-GUESS,CW,P,ET,0.34803477057029014,20732
LPJ-GUESS,CW,P,T,0.30734836349873185,20732
LPJ-GUESS,CW,P,E_veg,0.3273471631224713,20732
LPJ-GUESS,CW,P,E_soil,0.16122868467425674,20732
LPJ-GUESS,CW,LAI,ET,0.6507126072518532,20732
LPJ-GUESS,CW,LAI,T,0.6410035785643265,20732
LPJ-GUESS,CW,LAI,E_veg,0.750655530163952,20732
LPJ-GUESS,CW,LAI,E_soil,0.20387012825542536,20732
LPJ-GUESS,CD,P,ET,0.33406731339741774,9666
LPJ-GUESS,CD,P,T,0.3605915594206948,9666
LPJ-GUESS,CD,P,E_veg,0.36849724395110717,9666
LPJ-GUESS,CD,P,E_soil,0.24475762049234165,9666
LPJ-GUESS,CD,LAI,ET,0.8424887593854866,9666
LPJ-GUESS,CD,LAI,T,0.9057881853379286,9666
LPJ-GUESS,CD,LAI,E_veg,0.8968419986889025,9666
LPJ-GUESS,CD,LAI,E_soil,0.27813962465889325,9666
