model,x,y,MIC,n
CLASSIC,P,ET,0.5660421807400898,54017
CLASSIC,P,T,0.5614768407001341,54017
CLASSIC,P,E_veg,0.6744980149299907,54017
CLASSIC,P,E_soil,0.21779623033122225,54017
CLASSIC,LAI,ET,0.5635405672058873,54017
CLASSIC,LAI,T,0.7762703754955724,54017
CLASSIC,LAI,E_veg,0.9120610026253267,54017
CLASSIC,LAI,E_soil,0.240898493332116,54017
LPJ-GUESS,P,ET,0.6084893203962727,53686
LPJ-GUESS,P,T,0.5498275097043374,53686
LPJ-GUESS,P,E_veg,0.618072877743319,53686
LPJ-GUESS,P,E_soil,0.3310927948607197,53686
LPJ-GUESS,LAI,ET,0.6894460067237452,53686
LPJ-GUESS,LAI,T,0.6715854326704873,53686
LPJ-GUESS,LAI,E_veg,0.8365281540472028,53686
LPJ-GUESS,LAI,E_soil,0.22358934676240197,53686
