target_output,model,x,y,method,amplitude_raw,amplitude_norm,amplitude_common_norm,amplitude_robust,amplitude_robust_norm,amplitude_robust_common_norm,y_obs_sd,common_y_sd
T,CLASSIC,P,T,Equal-width bins,242.0275,1.8452,0.9182,198.1774,1.5109,0.7519,131.1687,263.5772
T,CLASSIC,P,T,Equal-count bins,218.8262,1.6683,0.8302,194.0109,1.4791,0.7361,131.1687,263.5772
T,CLASSIC,P,T,LOWESS,274.5227,2.0929,1.0415,221.8521,1.6913,0.8417,131.1687,263.5772
T,CLASSIC,P,T,Polynomial degree 3,286.9012,2.1873,1.0885,231.6549,1.7661,0.8789,131.1687,263.5772
T,CLASSIC,P,T,GAM,341.3451,2.6023,1.295,241.464,1.8409,0.9161,131.1687,263.5772
T,CLASSIC,P,T,Piecewise linear,286.4804,2.1841,1.0869,245.5885,1.8723,0.9318,131.1687,263.5772
T,CLASSIC,P,T,Symbolic regression,364.1988,2.7766,1.3818,321.4029,2.4503,1.2194,131.1687,263.5772
T,LPJ-GUESS,P,T,Equal-width bins,473.2004,2.3084,1.7953,426.1777,2.079,1.6169,204.9943,263.5772
T,LPJ-GUESS,P,T,Equal-count bins,473.0129,2.3074,1.7946,432.7364,2.111,1.6418,204.9943,263.5772
T,LPJ-GUESS,P,T,LOWESS,527.8884,2.5751,2.0028,452.4902,2.2073,1.7167,204.9943,263.5772
T,LPJ-GUESS,P,T,Polynomial degree 3,509.3598,2.4848,1.9325,452.0092,2.205,1.7149,204.9943,263.5772
T,LPJ-GUESS,P,T,GAM,526.4558,2.5681,1.9973,450.2951,2.1966,1.7084,204.9943,263.5772
T,LPJ-GUESS,P,T,Piecewise linear,463.1859,2.2595,1.7573,416.371,2.0311,1.5797,204.9943,263.5772
T,LPJ-GUESS,P,T,Symbolic regression,861.2075,4.2011,3.2674,762.4356,3.7193,2.8926,204.9943,263.5772
T,CLASSIC,LAI,T,Equal-width bins,315.582,2.4059,1.1973,281.1219,2.1432,1.0666,131.1687,263.5772
T,CLASSIC,LAI,T,Equal-count bins,301.1254,2.2957,1.1425,260.1315,1.9832,0.9869,131.1687,263.5772
T,CLASSIC,LAI,T,LOWESS,463.9449,3.537,1.7602,298.9535,2.2792,1.1342,131.1687,263.5772
T,CLASSIC,LAI,T,Polynomial degree 3,419.6097,3.199,1.592,365.9115,2.7896,1.3883,131.1687,263.5772
T,CLASSIC,LAI,T,GAM,497.1005,3.7898,1.886,385.0075,2.9352,1.4607,131.1687,263.5772
T,CLASSIC,LAI,T,Piecewise linear,381.4545,2.9081,1.4472,343.8545,2.6215,1.3046,131.1687,263.5772
T,CLASSIC,LAI,T,Symbolic regression,786.2177,5.9939,2.9829,400.0131,3.0496,1.5176,131.1687,263.5772
T,LPJ-GUESS,LAI,T,Equal-width bins,724.8631,3.536,2.7501,639.8054,3.1211,2.4274,204.9943,263.5772
T,LPJ-GUESS,LAI,T,Equal-count bins,623.8072,3.043,2.3667,525.7268,2.5646,1.9946,204.9943,263.5772
T,LPJ-GUESS,LAI,T,LOWESS,849.1271,4.1422,3.2215,611.2468,2.9818,2.319,204.9943,263.5772
T,LPJ-GUESS,LAI,T,Polynomial degree 3,903.5221,4.4075,3.4279,770.6597,3.7594,2.9238,204.9943,263.5772
T,LPJ-GUESS,LAI,T,GAM,805.5009,3.9294,3.056,729.6228,3.5592,2.7682,204.9943,263.5772
T,LPJ-GUESS,LAI,T,Piecewise linear,819.6613,3.9985,3.1098,728.7304,3.5549,2.7648,204.9943,263.5772
T,LPJ-GUESS,LAI,T,Symbolic regression,809.2033,3.9474,3.0701,706.585,3.4469,2.6808,204.9943,263.5772
