target_output,model,x,y,method,amplitude_raw,amplitude_norm,amplitude_common_norm,y_obs_sd,common_y_sd
T,CLASSIC,P,T,Equal-width bins,242.0275,1.8452,0.9182,131.1687,263.5772
T,CLASSIC,P,T,Equal-count bins,218.8262,1.6683,0.8302,131.1687,263.5772
T,CLASSIC,P,T,LOWESS,274.5227,2.0929,1.0415,131.1687,263.5772
T,CLASSIC,P,T,Polynomial degree 3,286.9012,2.1873,1.0885,131.1687,263.5772
T,CLASSIC,P,T,GAM,341.3451,2.6023,1.295,131.1687,263.5772
T,CLASSIC,P,T,Piecewise linear,286.4804,2.1841,1.0869,131.1687,263.5772
T,CLASSIC,P,T,Symbolic regression,364.1988,2.7766,1.3818,131.1687,263.5772
T,LPJ-GUESS,P,T,Equal-width bins,473.2004,2.3084,1.7953,204.9943,263.5772
T,LPJ-GUESS,P,T,Equal-count bins,473.0129,2.3074,1.7946,204.9943,263.5772
T,LPJ-GUESS,P,T,LOWESS,527.8884,2.5751,2.0028,204.9943,263.5772
T,LPJ-GUESS,P,T,Polynomial degree 3,509.3598,2.4848,1.9325,204.9943,263.5772
T,LPJ-GUESS,P,T,GAM,526.4558,2.5681,1.9973,204.9943,263.5772
T,LPJ-GUESS,P,T,Piecewise linear,463.1859,2.2595,1.7573,204.9943,263.5772
T,LPJ-GUESS,P,T,Symbolic regression,861.2075,4.2011,3.2674,204.9943,263.5772
T,CLASSIC,LAI,T,Equal-width bins,315.582,2.4059,1.1973,131.1687,263.5772
T,CLASSIC,LAI,T,Equal-count bins,301.1254,2.2957,1.1425,131.1687,263.5772
T,CLASSIC,LAI,T,LOWESS,463.9449,3.537,1.7602,131.1687,263.5772
T,CLASSIC,LAI,T,Polynomial degree 3,419.6097,3.199,1.592,131.1687,263.5772
T,CLASSIC,LAI,T,GAM,497.1005,3.7898,1.886,131.1687,263.5772
T,CLASSIC,LAI,T,Piecewise linear,381.4545,2.9081,1.4472,131.1687,263.5772
T,CLASSIC,LAI,T,Symbolic regression,786.2177,5.9939,2.9829,131.1687,263.5772
T,LPJ-GUESS,LAI,T,Equal-width bins,724.8631,3.536,2.7501,204.9943,263.5772
T,LPJ-GUESS,LAI,T,Equal-count bins,623.8072,3.043,2.3667,204.9943,263.5772
T,LPJ-GUESS,LAI,T,LOWESS,849.1271,4.1422,3.2215,204.9943,263.5772
T,LPJ-GUESS,LAI,T,Polynomial degree 3,903.5221,4.4075,3.4279,204.9943,263.5772
T,LPJ-GUESS,LAI,T,GAM,805.5009,3.9294,3.056,204.9943,263.5772
T,LPJ-GUESS,LAI,T,Piecewise linear,819.6613,3.9985,3.1098,204.9943,263.5772
T,LPJ-GUESS,LAI,T,Symbolic regression,809.2033,3.9474,3.0701,204.9943,263.5772
