target_output,model,x,y,relationship,descriptor_group,descriptor_metric,n_methods,mean,median,sd,iqr,local_range,global_range,robustness_score,score_type,decision
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Overall direction,net_change_norm,7,0.6517571428571429,0.7068,0.1350156269615096,0.1612499999999999,0.3732,0.4345,0.2071563441094551,cv,keep
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Overall direction,mean_slope_norm,7,0.9660285714285715,1.0,0.052325319374267036,0.06119999999999992,0.11539999999999995,1.0663,0.05416539522934389,cv,keep
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Overall direction,pos_fraction,7,0.9592857142857143,0.9933,0.05208158435158657,0.08360000000000001,0.11109999999999998,0.505,0.05429204623396962,cv,keep
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Overall direction,neg_fraction,7,0.04008571428571429,0.0067,0.05189114980968748,0.0814,0.1111,0.3333,1.294504806371391,cv,remove-or-redefine
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Overall direction,flat_fraction,7,0.0006142857142857142,0.0,0.0016252472339396771,0.0,0.0043,0.505,2.6457513110645907,cv,remove-or-redefine
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Overall direction,direction_consistency,7,0.9192,0.9866,0.10395960754062125,0.16500000000000004,0.22219999999999995,0.7777000000000001,0.11309791943061494,cv,keep
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Dominant curvature,slope_trend,7,-1.151614285714286,-0.8146,0.7654941942487685,0.9952000000000001,2.0843,4.8495,0.6647140485705009,cv,remove-or-redefine
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Dominant curvature,linear_deviation,7,0.4004285714285714,0.3842,0.11298828426413236,0.15669999999999995,0.3024,2.0456000000000003,0.2821683873881293,cv,keep
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Dominant curvature,curvature_consistency,7,0.9875714285714287,1.0,0.02685676291524564,0.007500000000000062,0.07199999999999995,0.11539999999999995,0.02719475486861268,cv,keep
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Marginal-response pattern,early_slope_norm,7,1.5940285714285716,1.4676,0.41901023342429927,0.3255000000000001,1.2838,1.7539999999999998,0.26286243605331455,cv,keep
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Marginal-response pattern,middle_slope_norm,7,0.8431714285714287,0.877,0.19395361743026532,0.17930000000000001,0.5626,0.8452,0.23002868794887618,cv,keep
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Marginal-response pattern,late_slope_norm,7,0.6348714285714285,0.6791,0.2956890242258225,0.3953,0.795,2.0547,0.46574630849457876,cv,method-sensitive
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Marginal-response pattern,middle_to_early_ratio,7,0.5732428571428573,0.5995,0.21131573420786612,0.10460000000000003,0.7132,0.715,0.36863212785781707,cv,method-sensitive
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Marginal-response pattern,late_to_early_ratio,7,0.4356285714285714,0.4387,0.25138798509001786,0.40005,0.6552,1.2614,0.577069553233464,cv,remove-or-redefine
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Marginal-response pattern,marginal_variation,7,0.5311426454499956,0.3954459128629351,0.32805188985484063,0.4025685645336841,0.9295248284994995,1.4374309936044996,0.6176342507329796,cv,remove-or-redefine
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Terminal behavior,terminal_slope_norm,7,0.7182714285714286,0.8452,0.919792472452864,0.9235500000000001,2.6786000000000003,3.8123000000000005,1.2805639147894843,cv,remove-or-redefine
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Terminal behavior,terminal_to_early_ratio,7,0.5102,0.6659,0.6424892113231683,0.8207,1.7885,2.0132000000000003,1.2592889285048379,cv,remove-or-redefine
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Terminal behavior,terminal_to_mean_ratio,7,0.7338295280772246,0.8452,0.98132253653655,1.0270904966639733,2.774483076579594,4.375649741214929,1.3372622645858978,cv,remove-or-redefine
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Terminal behavior,terminal_y_range_norm,7,0.09565714285714286,0.082,0.06235323720927559,0.06119999999999998,0.1784,0.2228,0.6518408907779706,cv,remove-or-redefine
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Turning complexity,n_slope_sign_changes,7,20.571428571428573,1.0,52.66832426565688,1.5,140.0,140.0,2.560265762913876,cv,remove-or-redefine
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Turning complexity,n_internal_extrema,7,0.2857142857142857,0.0,0.48795003647426666,0.5,1.0,1.0,1.7078251276599334,cv,remove-or-redefine
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Turning complexity,turning_strength,7,0.01057142857142857,0.0,0.02608075371391161,0.0022,0.0696,0.2658,2.467098324288936,cv,remove-or-redefine
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Turning complexity,roughness_ratio,7,1.0283714285714285,1.0089,0.05439049286672914,0.020000000000000018,0.14969999999999994,0.724,0.05288992999570805,cv,keep
T,CLASSIC,P,T,CLASSIC | P→T,Overall direction,net_change_norm,7,0.6165714285714287,0.5976,0.09051942175183023,0.127,0.24100000000000005,0.4345,0.14681092499138357,cv,keep
T,CLASSIC,P,T,CLASSIC | P→T,Overall direction,mean_slope_norm,7,1.1653285714285715,1.0,0.3131361882327757,0.1907000000000001,0.8251,1.0663,0.26871064171103554,cv,keep
T,CLASSIC,P,T,CLASSIC | P→T,Overall direction,pos_fraction,7,0.8094428571428571,0.8437,0.17026486089954926,0.25550000000000006,0.4444,0.505,0.2103482159328012,cv,keep
T,CLASSIC,P,T,CLASSIC | P→T,Overall direction,neg_fraction,7,0.1449857142857143,0.1111,0.13068337599673788,0.19974999999999998,0.3333,0.3333,0.9013534653435462,cv,remove-or-redefine
T,CLASSIC,P,T,CLASSIC | P→T,Overall direction,flat_fraction,7,0.045585714285714285,0.0569,0.04563468814295505,0.07555,0.1111,0.505,1.0010743246652627,cv,remove-or-redefine
T,CLASSIC,P,T,CLASSIC | P→T,Overall direction,direction_consistency,7,0.6644571428571429,0.7582,0.3000906299611439,0.44245,0.7777000000000001,0.7777000000000001,0.4516327850292413,cv,method-sensitive
T,CLASSIC,P,T,CLASSIC | P→T,Dominant curvature,slope_trend,7,-2.944728571428571,-2.8519,1.3931273317184445,1.1624499999999998,4.4155,4.8495,0.4730919328984535,cv,method-sensitive
