target_output,model,x,y,method,climate_zone,n_points,net_change_norm,mean_slope_norm,pos_fraction,neg_fraction,flat_fraction,direction_consistency,slope_trend,curvature_score,linear_deviation,curvature_consistency,early_slope_norm,middle_slope_norm,late_slope_norm,middle_to_early_ratio,late_to_early_ratio,marginal_variation,terminal_slope_norm,terminal_to_early_ratio,terminal_to_mean_ratio,terminal_y_range_norm,terminal_flat_fraction,n_slope_sign_changes,n_internal_extrema,turning_strength,valley_depth,peak_height,roughness_ratio,PC1,PC2
T,CLASSIC,P,T,Equal-width bins,,,0.5976,1.0097,0.5556,0.3333,0.1111,0.2223,-2.5983,-2.5983,1.9306,0.9363,2.6272,0.4994,0.6678,0.1901,0.2542,1.1828736027150155,1.7397,0.6622,1.722987025849262,0.0,,2,0,0.0,0.0,0.0,1.1803,2.999647917329464,4.4482764102862875
T,CLASSIC,P,T,Equal-count bins,,,0.7333000000000001,1.3717,0.8889,0.1111,0.0,0.7778,-3.0669,-3.0669,1.3835,0.9907,2.181,0.9189,-0.0545,0.4213,-0.025,1.1208526679868918,,,,0.0,,1,1,0.015,0.0,0.015,1.0305,2.001555684563632,-0.30819611564258953
T,CLASSIC,P,T,LOWESS,,,0.549,1.8005,0.8437,0.0855,0.0708,0.7582,-5.2667,-5.2667,2.0428,1.0,2.7205,0.9326,-0.0152,0.3428,-0.0056,1.3891823578397955,-0.0122,-0.0045,-0.0067758955845598,0.0011,,15,1,0.0213,0.0,0.0213,1.0439,4.300851087635839,-0.11451737547317055
T,CLASSIC,P,T,Polynomial degree 3,,,0.5704,0.9754,0.6756,0.2676,0.0569,0.408,-3.9172,-3.9172,1.8475,1.0,2.8802,0.5349,-0.0544,0.1857,-0.0189,1.552395124745415,0.056,0.0195,0.0574123436538855,0.0064,,2,1,0.0246,0.0,0.0246,1.0636,5.339798227670321,1.8521550230455277
T,CLASSIC,P,T,GAM,,,0.4923,1.0,0.7023,0.2174,0.0803,0.4849,-2.0609,-2.0609,2.0265,1.0,2.358,0.4471,0.7405,0.1896,0.314,1.029071476299549,2.2562,0.9568,2.2562,0.2228,,2,0,0.0,0.0,0.0,1.1311,1.2497305349436514,5.791543671977024
T,CLASSIC,P,T,Piecewise linear,,,0.6467,1.0,1.0,0.0,0.0,1.0,-2.8519,-2.8519,2.229,1.0,2.5419,0.5697,0.3129,0.2241,0.1231,1.219560035422611,0.3129,0.1231,0.3129,0.0303,,0,0,0.0,0.0,0.0,1.0,1.5627192076858898,1.0585122442420092
T,CLASSIC,P,T,Symbolic regression,,,0.7267,1.0,1.0,0.0,0.0,1.0,-0.8512,-0.8512,0.3601,1.0,1.3846,0.9359,0.7428,0.6759,0.5364,0.3292735792619869,0.7168,0.5177,0.7168,0.0695,,0,0,0.0,0.0,0.0,1.0,-2.5063345092543,-0.7674640176907083
T,LPJ-GUESS,P,T,Equal-width bins,,,0.7585000000000001,1.0108,0.8889,0.1111,0.0,0.7778,-2.8326,-2.8326,1.3251,0.9999,2.2067,0.9292,0.0187,0.4211,0.0085,1.09911786598769,0.2882,0.1306,0.2851206964780372,0.0,,2,0,0.0,0.0,0.0,1.0558,1.6619362652418792,-0.5374736925236998
T,LPJ-GUESS,P,T,Equal-count bins,,,0.8346,1.2662,1.0,0.0,0.0,1.0,-1.645,-1.645,0.6894,0.9673,1.542,1.2483,0.2348,0.8095,0.1523,0.6858345014165832,,,,0.0,,0,0,0.0,0.0,0.0,1.0,-1.5017082776316932,-2.386453958666016
T,LPJ-GUESS,P,T,LOWESS,,,0.6643,1.6296,0.9376,0.0549,0.0076,0.8827,-3.2892,-3.2892,0.938,1.0,2.0625,1.2923,-0.0677,0.6266,-0.0328,1.078622584595743,-0.0803,-0.0389,-0.0492758959253804,0.008,,13,1,0.0231,0.0,0.0231,1.0476,2.02008301759763,-2.601494703113909
T,LPJ-GUESS,P,T,Polynomial degree 3,,,0.6336999999999999,0.7342,0.7057,0.2843,0.01,0.4214,-4.1611,-4.1611,2.0736,1.0,2.0756,0.953,-1.0418,0.4591,-0.5019,1.578904713189917,-1.5561,-0.7497,-2.119449741214928,0.1521,,1,1,0.2658,0.0,0.2658,1.724,8.611672013682854,-3.163211185277783
T,LPJ-GUESS,P,T,GAM,,,0.6348,0.9919,0.7826,0.2074,0.01,0.5751999999999999,-2.7791,-2.7791,1.4491,1.0,2.1053,0.8593,0.1421,0.4082,0.0675,0.9933987182060048,0.9577,0.4549,0.9655207178142958,0.0947,,2,1,0.0081,0.0,0.0081,1.2212,2.464068016026503,1.1603129572972741
T,LPJ-GUESS,P,T,Piecewise linear,,,0.7498,0.9998,0.495,0.0,0.505,0.495,-3.0318,-3.0318,2.0214,1.0,2.0211,0.9892,-0.0003,0.4894,-0.0002,1.0107741109334634,-0.0003,-0.0002,-0.0003000600120024,0.0,,0,1,0.0002,0.0,0.0002,1.0003,3.688225982631816,-0.56013608041043
T,LPJ-GUESS,P,T,Symbolic regression,,,0.7307,1.0,1.0,0.0,0.0,1.0,-0.7496,-0.7496,0.3208,1.0,1.3364,0.9458,0.7713,0.7077,0.5772,0.2893546324725653,0.7475,0.5593,0.7475,0.0724,,0,0,0.0,0.0,0.0,1.0,-2.729740824451225,-0.8081075380085573
T,CLASSIC,LAI,T,Equal-width bins,,,0.7733,0.9818,0.8889,0.1111,0.0,0.7778,-1.6305,-1.6305,0.5835,0.985,1.8325,0.9646,0.1744,0.5264,0.0952,0.829353368595076,-0.0618,-0.0337,-0.0629456101038908,0.0044,,1,1,0.0044,0.0,0.0044,1.0089,1.1006247256653003,-1.8843547364675461
T,CLASSIC,LAI,T,Equal-count bins,,,0.7463,0.8958,0.8889,0.1111,0.0,0.7778,-1.5287,-1.5287,0.3842,0.928,1.5702,0.9942,0.3151,0.6332,0.2007,0.6282553647469581,-0.8243,-0.525,-0.9201830765795936,0.0696,,1,1,0.0696,0.0,0.0696,1.1497,1.389500256318343,-3.3355281465278117
T,CLASSIC,LAI,T,LOWESS,,,0.5701,0.8846,0.9439,0.0517,0.0043,0.8922,-0.8146,-0.8146,0.505,1.0,1.3681,0.8202,0.6002,0.5995,0.4387,0.3954459128629351,1.5786,1.1538,1.784535383224056,0.1719,,140,0,0.0,0.0,0.0,1.0269,-2.667929465408468,2.4734088175195628
T,CLASSIC,LAI,T,Polynomial degree 3,,,0.7068,1.0,1.0,0.0,0.0,1.0,-0.6979,-0.6979,0.3269,1.0,1.3836,0.877,0.8607,0.6339,0.6221,0.2973027805677796,0.9213,0.6659,0.9213,0.0895,,0,0,0.0,0.0,0.0,1.0,-2.837468643644055,-0.13141629030879545
T,CLASSIC,LAI,T,GAM,,,0.6097,1.0,1.0,0.0,0.0,1.0,-0.4709,-0.4709,0.4288,1.0,1.4676,0.78,0.9694,0.5315,0.6605,0.3551688237068864,1.8543,1.2635,1.8543,0.1828,,0,0,0.0,0.0,0.0,1.0,-3.4680501396881445,2.157804114872132
T,CLASSIC,LAI,T,Piecewise linear,,,0.756,1.0,1.0,0.0,0.0,1.0,-0.4172,-0.4172,0.2811,1.0,1.1262,1.0144,0.8452,0.9007,0.7504,0.1414737195854175,0.8452,0.7504,0.8452,0.082,,0,0,0.0,0.0,0.0,1.0,-3.6349747942424906,-1.1730222446759293
T,CLASSIC,LAI,T,Symbolic regression,,,0.4001,1.0,0.9933,0.0067,0.0,0.9866,-2.5015,-2.5015,0.2935,1.0,2.41,0.4518,0.6791,0.1875,0.2818,1.070998548084917,0.7146,0.2965,0.7146,0.0694,,2,0,0.0,0.0,0.0,1.0131,0.28746174577938516,2.5234345633857913
T,LPJ-GUESS,LAI,T,Equal-width bins,,,0.7475,1.0154,1.0,0.0,0.0,1.0,-0.6398,-0.6398,0.3035,0.9176,1.3962,0.906,0.908,0.6489,0.6503,0.2824415219710681,0.8029,0.5751,0.7907228678353357,0.0,,0,0,0.0,0.0,0.0,1.0,-2.9094624277280743,-0.967903228258149
T,LPJ-GUESS,LAI,T,Equal-count bins,,,0.7615,1.0468,1.0,0.0,0.0,1.0,-0.6383,-0.6383,0.1834,0.8846,1.2942,0.8933,0.9829,0.6902,0.7595,0.2104188917374103,0.9942,0.7682,0.9497516239969432,0.0,,0,0,0.0,0.0,0.0,1.0,-3.4812214537199395,-0.8964726622754786
T,LPJ-GUESS,LAI,T,LOWESS,,,0.6302000000000001,1.0483,1.0,0.0,0.0,1.0,-0.7791,-0.7791,0.3399,1.0,1.3584,0.9472,0.885,0.6973,0.6515,0.2572488548727347,0.7997,0.5887,0.7628541448058761,0.0794,,0,0,0.0,0.0,0.0,1.0,-2.7798995244320746,-0.3150628676724564
T,LPJ-GUESS,LAI,T,Polynomial degree 3,,,0.6757,1.0,1.0,0.0,0.0,1.0,-0.514,-0.514,0.4113,1.0,1.398,0.7932,1.0129,0.5674,0.7245,0.3061462450093636,1.1645,0.833,1.1645,0.1133,,0,0,0.0,0.0,0.0,1.0,-3.11996985657999,0.7456375894924734
T,LPJ-GUESS,LAI,T,GAM,,,0.7456,1.0,1.0,0.0,0.0,1.0,-1.0421,-1.0421,0.5646,1.0,1.484,0.9284,0.6583,0.6256,0.4436,0.4209960134411409,0.3487,0.235,0.3487,0.033,,0,0,0.0,0.0,0.0,1.0,-1.748513373473399,-1.2970297243495472
