model,x,y,method,direction_descriptor,marginal_response_descriptor,terminal_descriptor,irregularity_descriptor,strength_descriptor,within_curve_description,mean_slope,mean_slope_sign,pos_fraction,neg_fraction,flat_fraction,n_slope_sign_changes,mean_abs_slope,mean_abs_slope,median_abs_slope,median_abs_slope,max_abs_slope,max_abs_slope,integrated_abs_slope,integrated_abs_slope,total_variation,total_variation,net_change,net_change,abs_net_change,abs_net_change,normalized_response_strength,slope_trend,slope_trend_p,early_slope,middle_slope,late_slope,terminal_slope,middle_to_early_ratio,late_to_early_ratio,terminal_to_early_ratio,early_y_value,late_y_value,terminal_y_value,early_y_range,late_y_range,terminal_y_range,roughness_ratio,slope_std,slope_iqr,slope_skew,internal_min,internal_max,valley_depth_min,peak_height_min,mean_elasticity,median_elasticity,max_abs_elasticity,slope_scale_note
CLASSIC,P,T,Equal-width bins,Directionally mixed,Weakening marginal response,Small terminal change,Locally variable,Strong response,Directionally mixed | Weakening marginal response | Small terminal change | Locally variable | Strong response,1.0097,1,0.5556,0.3333,0.1111,2,1.1916,1.3835250000000001,1.2105,1.2037499999999999,2.9053,2.6272,0.9264,1.3835250000000001,1.1803,0.7593,1.0,0.7208,1.0,0.7208,0.74005,-2.5983,0.0637,2.6272,0.4994,0.6678,1.7397,0.1901,0.2542,0.6622,0.2792,0.8768,1.0,0.5525,0.2068,0.0,1.1803,1.1736,1.9306,0.1714,False,False,0.0,0.0,,,,Slope-based metrics are interpreted as normalized response metrics if slopes were calculated from min-max normalized x and y.
CLASSIC,P,T,Equal-count bins,Mostly increasing,Weakening marginal response,Small terminal change,Internal peak,Strong response,Mostly increasing | Weakening marginal response | Small terminal change | Internal peak | Strong response,1.3717,1,0.8889,0.1111,0.0,1,1.3838,1.0514666666666665,1.3735,0.9189,2.9256,2.181,0.8971,1.0514666666666665,1.015,0.446,0.985,0.7333000000000001,0.985,0.7333000000000001,0.58965,-3.0669,0.0093,2.181,0.9189,-0.0545,,0.4213,-0.025,,0.2517,0.985,0.985,0.446,0.0,0.0,1.0305,0.9457,1.3835,0.0436,False,True,0.0,0.015,,,,Slope-based metrics are interpreted as normalized response metrics if slopes were calculated from min-max normalized x and y.
CLASSIC,P,T,LOWESS,Mostly increasing,Weakening marginal response,Terminal plateau,Internal peak,Strong response,Mostly increasing | Weakening marginal response | Terminal plateau | Internal peak | Strong response,1.8005,1,0.8437,0.0855,0.0708,15,1.817,0.920125,2.1924,0.4739,3.7291,2.7205,1.0217,0.920125,1.0216,0.7158,0.9787,0.5477,0.9787,0.5477,0.63175,-5.2667,0.0,2.7205,0.9326,-0.0152,-0.0122,0.3428,-0.0056,-0.0045,0.4314,0.9804,0.9791,0.7115,0.0032,0.0011,1.0439,1.1767,2.0428,-0.3774,False,True,0.0,0.0213,,,,Slope-based metrics are interpreted as normalized response metrics if slopes were calculated from min-max normalized x and y.
CLASSIC,P,T,Polynomial degree 3,Directionally mixed,Weakening marginal response,Small terminal change,Internal peak,Strong response,Directionally mixed | Weakening marginal response | Small terminal change | Internal peak | Strong response,0.9754,1,0.6756,0.2676,0.0569,2,1.0374,0.8813749999999999,0.3894,0.29545000000000005,4.0876,2.8802,1.0303,0.8813749999999999,1.0374,0.7423,0.9754,0.5660000000000001,0.9754,0.5660000000000001,0.65415,-3.9172,0.0,2.8802,0.5349,-0.0544,0.056,0.1857,-0.0189,0.0195,0.4046,0.975,0.9706,0.7164,0.0195,0.0064,1.0636,1.2463,1.8475,0.9763,False,True,0.0,0.0246,,,,Slope-based metrics are interpreted as normalized response metrics if slopes were calculated from min-max normalized x and y.
CLASSIC,P,T,GAM,Mostly increasing,Weakening marginal response,No clear terminal plateau,Locally variable,Very strong response,Mostly increasing | Weakening marginal response | No clear terminal plateau | Locally variable | Very strong response,1.0,1,0.7023,0.2174,0.0803,2,1.1311,1.45045,0.7646,1.49835,3.3666,2.358,1.1202,1.45045,1.1311,1.0517,1.0,0.5483,1.0,0.5483,0.8,-2.0609,0.0,2.358,0.4471,0.7405,2.2562,0.1896,0.314,0.9568,0.3243,0.8166,0.8726,0.5862,0.2427,0.2228,1.1311,1.1248,2.0265,0.3654,False,False,0.0,0.0,,,,Slope-based metrics are interpreted as normalized response metrics if slopes were calculated from min-max normalized x and y.
CLASSIC,P,T,Piecewise linear,Mostly increasing,Weakening marginal response,Small terminal change,Geometrically simple,Strong response,Mostly increasing | Weakening marginal response | Small terminal change | Geometrically simple | Strong response,1.0,1,1.0,0.0,0.0,0,1.0,0.93435,0.3129,0.4413,2.5419,2.5419,0.9952,0.93435,1.0,0.7368,1.0,0.6702,1.0,0.6702,0.7035,-2.8519,0.0,2.5419,0.5697,0.3129,0.3129,0.2241,0.1231,0.1231,0.3146,0.9613,0.9848,0.6291,0.0774,0.0303,1.0,1.0282,2.229,0.832,False,False,0.0,0.0,,,,Slope-based metrics are interpreted as normalized response metrics if slopes were calculated from min-max normalized x and y.
CLASSIC,P,T,Symbolic regression,Mostly increasing,Weakening marginal response,Small terminal change,Geometrically simple,Strong response,Mostly increasing | Weakening marginal response | Small terminal change | Geometrically simple | Strong response,1.0,1,1.0,0.0,0.0,0,1.0,0.945025,0.9201,0.83935,1.7336,1.3846,0.9959,0.945025,1.0,0.5967,1.0,0.7823,1.0,0.7823,0.6895,-0.8512,0.0,1.3846,0.9359,0.7428,0.7168,0.6759,0.5364,0.5177,0.1832,0.9099,0.9655,0.3435,0.1837,0.0695,1.0,0.2606,0.3601,0.9835,False,False,0.0,0.0,,,,Slope-based metrics are interpreted as normalized response metrics if slopes were calculated from min-max normalized x and y.
LPJ-GUESS,P,T,Equal-width bins,Mostly increasing,Weakening marginal response,Small terminal change,Locally variable,Strong response,Mostly increasing | Weakening marginal response | Small terminal change | Locally variable | Strong response,1.0108,1,0.8889,0.1111,0.0,2,1.0665,0.8607,1.1264,0.6087,2.2549,2.2067,0.93,0.8607,1.0558,0.5034,1.0,0.771,1.0,0.771,0.6372,-2.8326,0.0001,2.2067,0.9292,0.0187,0.2882,0.4211,0.0085,0.1306,0.229,0.9875,1.0,0.4708,0.0326,0.0,1.0558,0.8662,1.3251,0.062,False,False,0.0,0.0,,,,Slope-based metrics are interpreted as normalized response metrics if slopes were calculated from min-max normalized x and y.
LPJ-GUESS,P,T,Equal-count bins,Mostly increasing,Weakening marginal response,Small terminal change,Geometrically simple,Strong response,Mostly increasing | Weakening marginal response | Small terminal change | Geometrically simple | Strong response,1.2662,1,1.0,0.0,0.0,0,1.2662,1.0083666666666666,1.1397,1.2483,2.2298,1.542,0.9206,1.0083666666666666,1.0,0.3028,1.0,0.8346,1.0,0.8346,0.5687,-1.645,0.0327,1.542,1.2483,0.2348,,0.8095,0.1523,,0.1654,1.0,1.0,0.3028,0.0,0.0,1.0,0.5757,0.6894,-0.0065,False,False,0.0,0.0,,,,Slope-based metrics are interpreted as normalized response metrics if slopes were calculated from min-max normalized x and y.
LPJ-GUESS,P,T,LOWESS,Mostly increasing,Weakening marginal response,Small terminal change,Internal peak,Strong response,Mostly increasing | Weakening marginal response | Small terminal change | Internal peak | Strong response,1.6296,1,0.9376,0.0549,0.0076,13,1.6373,0.8756999999999999,1.79,0.6863,2.9623,2.0625,1.024,0.8756999999999999,1.0234,0.5596,0.9769,0.657,0.9769,0.657,0.6083000000000001,-3.2892,0.0,2.0625,1.2923,-0.0677,-0.0803,0.6266,-0.0328,-0.0389,0.3248,0.9891,0.9818,0.5337,0.0179,0.008,1.0476,0.7692,0.938,-0.727,False,True,0.0,0.0231,,,,Slope-based metrics are interpreted as normalized response metrics if slopes were calculated from min-max normalized x and y.
LPJ-GUESS,P,T,Polynomial degree 3,Mostly increasing,Weakening marginal response,No clear terminal plateau,Internal peak,Strong response,Mostly increasing | Weakening marginal response | No clear terminal plateau | Internal peak | Strong response,0.7342,1,0.7057,0.2843,0.01,1,1.2658,1.406625,1.3367,1.29895,2.2316,2.0756,1.2589,1.406625,1.2658,0.9269999999999999,0.7342,0.5509,0.7342,0.5509,0.73895,-4.1611,0.0,2.0756,0.953,-1.0418,-1.5561,0.4591,-0.5019,-0.7497,0.2649,0.8986,0.8158,0.5144,0.2605,0.1521,1.724,1.2291,2.0736,-0.5488,False,True,0.0,0.2658,,,,Slope-based metrics are interpreted as normalized response metrics if slopes were calculated from min-max normalized x and y.
