target_output,model,x,y,relationship,descriptor_metric,mean,median,sd,cv,iqr,n_methods
T,CLASSIC,LAI,T,CLASSIC | LAI→T,net_change_norm,0.6517571428571429,0.7068,0.1350156269615096,0.2071563441094551,0.1612499999999999,7
T,CLASSIC,LAI,T,CLASSIC | LAI→T,mean_slope_norm,0.9660285714285715,1.0,0.052325319374267036,0.05416539522934389,0.06119999999999992,7
T,CLASSIC,LAI,T,CLASSIC | LAI→T,pos_fraction,0.9592857142857143,0.9933,0.05208158435158657,0.05429204623396962,0.08360000000000001,7
T,CLASSIC,LAI,T,CLASSIC | LAI→T,neg_fraction,0.04008571428571429,0.0067,0.05189114980968748,1.294504806371391,0.0814,7
T,CLASSIC,LAI,T,CLASSIC | LAI→T,flat_fraction,0.0006142857142857142,0.0,0.0016252472339396771,2.6457513110645907,0.0,7
T,CLASSIC,LAI,T,CLASSIC | LAI→T,direction_consistency,0.9192,0.9866,0.10395960754062125,0.11309791943061494,0.16500000000000004,7
T,CLASSIC,LAI,T,CLASSIC | LAI→T,slope_trend,-1.151614285714286,-0.8146,0.7654941942487685,0.6647140485705009,0.9952000000000001,7
T,CLASSIC,LAI,T,CLASSIC | LAI→T,linear_deviation,0.4004285714285714,0.3842,0.11298828426413236,0.2821683873881293,0.15669999999999995,7
T,CLASSIC,LAI,T,CLASSIC | LAI→T,curvature_consistency,0.9875714285714287,1.0,0.02685676291524564,0.02719475486861268,0.007500000000000062,7
T,CLASSIC,LAI,T,CLASSIC | LAI→T,early_slope_norm,1.5940285714285716,1.4676,0.41901023342429927,0.26286243605331455,0.3255000000000001,7
T,CLASSIC,LAI,T,CLASSIC | LAI→T,middle_slope_norm,0.8431714285714287,0.877,0.19395361743026532,0.23002868794887618,0.17930000000000001,7
T,CLASSIC,LAI,T,CLASSIC | LAI→T,late_slope_norm,0.6348714285714285,0.6791,0.2956890242258225,0.46574630849457876,0.3953,7
