target_output,model,x,y,method,climate_zone,n_points,fit_rmse,fit_nrmse,fit_r2,spearman_rho,spearman_p,n_fit_points,amplitude_raw,amplitude_norm,net_change_raw,net_change_norm_by_sd,abs_net_change_norm_by_sd,monotonicity_strength,y_obs_sd,net_change_norm,abs_net_change_norm,mean_slope_norm,pos_fraction,neg_fraction,flat_fraction,direction_consistency,slope_trend,curvature_score,linear_deviation,curvature_consistency,early_slope_norm,middle_slope_norm,late_slope_norm,middle_to_early_ratio,late_to_early_ratio,marginal_variation,terminal_slope_norm,terminal_to_early_ratio,terminal_to_mean_ratio,terminal_y_range_norm,terminal_flat_fraction,n_slope_sign_changes,n_internal_extrema,turning_strength,valley_depth,peak_height,roughness_ratio
T,CLASSIC,P,T,Equal-width bins,,11178,111.7464,0.1807,0.2402,0.512,0.0,11178,242.0275,1.8452,242.0275,1.8452,1.8452,1.0,131.1687,1.0,1.0,1.0097,0.5556,0.3333,0.1111,0.2223,-2.5983,-2.5983,1.9306,0.9363,2.6272,0.4994,0.6678,0.1901,0.2542,1.1829,1.7397,0.6622,1.723,0.0,,2,0,0.0,0.0,0.0,1.1803
T,CLASSIC,P,T,Equal-count bins,,10843,110.228,0.1782,0.2527,0.5304,0.0,10843,218.8262,1.6683,215.5354,1.6432,1.6432,0.985,131.1687,0.985,0.985,1.3717,0.8889,0.1111,0.0,0.7778,-3.0669,-3.0669,1.3835,0.9907,2.181,0.9189,-0.0545,0.4213,-0.025,1.1209,,,,0.0,,1,1,0.015,0.0,0.015,1.0305
T,CLASSIC,P,T,LOWESS,,12047,108.6724,0.1757,0.3135,0.5715,0.0,12047,274.5227,2.0929,268.6667,2.0483,2.0483,0.9787,131.1687,0.9787,0.9787,1.8005,0.8437,0.0855,0.0708,0.7582,-5.2667,-5.2667,2.0428,1.0,2.7205,0.9326,-0.0152,0.3428,-0.0056,1.3892,-0.0122,-0.0045,-0.0068,0.0011,,15,1,0.0213,0.0,0.0213,1.0439
T,CLASSIC,P,T,Polynomial degree 3,,12047,108.545,0.1755,0.3152,0.5715,0.0,12047,286.9012,2.1873,279.8327,2.1334,2.1334,0.9754,131.1687,0.9754,0.9754,0.9754,0.6756,0.2676,0.0569,0.408,-3.9172,-3.9172,1.8475,1.0,2.8802,0.5349,-0.0544,0.1857,-0.0189,1.5524,0.056,0.0195,0.0574,0.0064,,2,1,0.0246,0.0,0.0246,1.0636
T,CLASSIC,P,T,GAM,,12047,108.4896,0.1754,0.3158,0.5715,0.0,12047,341.3451,2.6023,341.3451,2.6023,2.6023,1.0,131.1687,1.0,1.0,1.0,0.7023,0.2174,0.0803,0.4849,-2.0609,-2.0609,2.0265,1.0,2.358,0.4471,0.7405,0.1896,0.314,1.0291,2.2562,0.9568,2.2562,0.2228,,2,0,0.0,0.0,0.0,1.1311
T,CLASSIC,P,T,Piecewise linear,,12047,108.8077,0.1759,0.3118,0.5715,0.0,12047,286.4804,2.1841,286.4804,2.1841,2.1841,1.0,131.1687,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-2.8519,-2.8519,2.229,1.0,2.5419,0.5697,0.3129,0.2241,0.1231,1.2196,0.3129,0.1231,0.3129,0.0303,,0,0,0.0,0.0,0.0,1.0
T,CLASSIC,P,T,Symbolic regression,,12047,112.9315,0.1826,0.2587,0.5715,0.0,12047,364.1988,2.7766,364.1988,2.7766,2.7766,1.0,131.1687,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-0.8512,-0.8512,0.3601,1.0,1.3846,0.9359,0.7428,0.6759,0.5364,0.3293,0.7168,0.5177,0.7168,0.0695,,0,0,0.0,0.0,0.0,1.0
T,LPJ-GUESS,P,T,Equal-width bins,,11330,155.704,0.1565,0.3973,0.6393,0.0,11330,473.2004,2.3084,473.2004,2.3084,2.3084,1.0,204.9943,1.0,1.0,1.0108,0.8889,0.1111,0.0,0.7778,-2.8326,-2.8326,1.3251,0.9999,2.2067,0.9292,0.0187,0.4211,0.0085,1.0991,0.2882,0.1306,0.2851,0.0,,2,0,0.0,0.0,0.0,1.0558
T,LPJ-GUESS,P,T,Equal-count bins,,10935,153.4492,0.1543,0.3933,0.635,0.0,10935,473.0129,2.3074,473.0129,2.3074,2.3074,1.0,204.9943,1.0,1.0,1.2662,1.0,0.0,0.0,1.0,-1.645,-1.645,0.6894,0.9673,1.542,1.2483,0.2348,0.8095,0.1523,0.6858,,,,0.0,,0,0,0.0,0.0,0.0,1.0
T,LPJ-GUESS,P,T,LOWESS,,12149,152.3505,0.1532,0.4476,0.6715,0.0,12149,527.8884,2.5751,515.6817,2.5156,2.5156,0.9769,204.9943,0.9769,0.9769,1.6296,0.9376,0.0549,0.0076,0.8827,-3.2892,-3.2892,0.938,1.0,2.0625,1.2923,-0.0677,0.6266,-0.0328,1.0786,-0.0803,-0.0389,-0.0493,0.008,,13,1,0.0231,0.0,0.0231,1.0476
T,LPJ-GUESS,P,T,Polynomial degree 3,,12149,151.995,0.1528,0.4502,0.6715,0.0,12149,509.3598,2.4848,373.9735,1.8243,1.8243,0.7342,204.9943,0.7342,0.7342,0.7342,0.7057,0.2843,0.01,0.4214,-4.1611,-4.1611,2.0736,1.0,2.0756,0.953,-1.0418,0.4591,-0.5019,1.5789,-1.5561,-0.7497,-2.1194,0.1521,,1,1,0.2658,0.0,0.2658,1.724
T,LPJ-GUESS,P,T,GAM,,12149,151.7947,0.1526,0.4516,0.6715,0.0,12149,526.4558,2.5681,522.2142,2.5475,2.5475,0.9919,204.9943,0.9919,0.9919,0.9919,0.7826,0.2074,0.01,0.5752,-2.7791,-2.7791,1.4491,1.0,2.1053,0.8593,0.1421,0.4082,0.0675,0.9934,0.9577,0.4549,0.9655,0.0947,,2,1,0.0081,0.0,0.0081,1.2212
T,LPJ-GUESS,P,T,Piecewise linear,,12149,152.1091,0.1529,0.4494,0.6715,0.0,12149,463.1859,2.2595,463.108,2.2591,2.2591,0.9998,204.9943,0.9998,0.9998,0.9998,0.495,0.0,0.505,0.495,-3.0318,-3.0318,2.0214,1.0,2.0211,0.9892,-0.0003,0.4894,-0.0002,1.0108,-0.0003,-0.0002,-0.0003,0.0,,0,1,0.0002,0.0,0.0002,1.0003
T,LPJ-GUESS,P,T,Symbolic regression,,12149,161.0593,0.1619,0.3827,0.6715,0.0,12149,861.2075,4.2011,861.2075,4.2011,4.2011,1.0,204.9943,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-0.7496,-0.7496,0.3208,1.0,1.3364,0.9458,0.7713,0.7077,0.5772,0.2894,0.7475,0.5593,0.7475,0.0724,,0,0,0.0,0.0,0.0,1.0
T,CLASSIC,LAI,T,Equal-width bins,,11438,82.2711,0.1347,0.5619,0.7739,0.0,11438,315.582,2.4059,314.1889,2.3953,2.3953,0.9956,131.1687,0.9956,0.9956,0.9818,0.8889,0.1111,0.0,0.7778,-1.6305,-1.6305,0.5835,0.985,1.8325,0.9646,0.1744,0.5264,0.0952,0.8294,-0.0618,-0.0337,-0.0629,0.0044,,1,1,0.0044,0.0,0.0044,1.0089
T,CLASSIC,LAI,T,Equal-count bins,,10843,82.2586,0.1347,0.5386,0.7602,0.0,10843,301.1254,2.2957,280.1553,2.1358,2.1358,0.9304,131.1687,0.9304,0.9304,0.8958,0.8889,0.1111,0.0,0.7778,-1.5287,-1.5287,0.3842,0.928,1.5702,0.9942,0.3151,0.6332,0.2007,0.6283,-0.8243,-0.525,-0.9202,0.0696,,1,1,0.0696,0.0,0.0696,1.1497
