model,x,y,relationship_group,metric,n_methods,mean,median,sd,cv,iqr,min,max,range,cv_class
CLASSIC,LAI,T,CLASSIC | LAI→T,amplitude_norm,7,3.447057142857143,3.199,1.2499072990388032,0.36260127037023804,1.0064000000000002,2.2957,5.9939,3.6982,unstable
CLASSIC,LAI,T,CLASSIC | LAI→T,net_change_norm_by_sd,7,3.4227,3.199,1.2770678368825987,0.3731170820938437,1.0117000000000003,2.1358,5.9939,3.8581,unstable
CLASSIC,LAI,T,CLASSIC | LAI→T,peak_height,7,0.01057142857142857,0.0,0.02608075371391161,2.467098324288936,0.0022,0.0,0.0696,0.0696,unreliable
CLASSIC,LAI,T,CLASSIC | LAI→T,valley_depth,7,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,undefined
CLASSIC,P,T,CLASSIC | P→T,amplitude_norm,7,2.1938142857142853,2.1841,0.39040949624964916,0.1779592278124561,0.42574999999999985,1.6683,2.7766,1.1083000000000003,usable
CLASSIC,P,T,CLASSIC | P→T,net_change_norm_by_sd,7,2.1761571428571425,2.1334,0.3987363408617398,0.18322957152727803,0.44645000000000046,1.6432,2.7766,1.1334000000000002,usable
CLASSIC,P,T,CLASSIC | P→T,peak_height,7,0.0087,0.0,0.011210263154805958,1.2885359948052826,0.01815,0.0,0.0246,0.0246,unreliable
CLASSIC,P,T,CLASSIC | P→T,valley_depth,7,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,undefined
LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,amplitude_norm,7,3.857714285714285,3.9474,0.4441206458781645,0.11512533406706978,0.33764999999999956,3.043,4.4075,1.3644999999999996,usable
LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,net_change_norm_by_sd,7,3.857714285714285,3.9474,0.4441206458781645,0.11512533406706978,0.33764999999999956,3.043,4.4075,1.3644999999999996,usable
LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,peak_height,7,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,undefined
LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,valley_depth,7,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,undefined
LPJ-GUESS,P,T,LPJ-GUESS | P→T,amplitude_norm,7,2.6720571428571427,2.4848,0.6866185036276038,0.2569625075058931,0.26370000000000005,2.2595,4.2011,1.9416000000000002,usable
LPJ-GUESS,P,T,LPJ-GUESS | P→T,net_change_norm_by_sd,7,2.5662,2.3084,0.7587239682519593,0.295660497331447,0.2483000000000004,1.8243,4.2011,2.3768000000000002,usable
LPJ-GUESS,P,T,LPJ-GUESS | P→T,peak_height,7,0.04245714285714285,0.0002,0.0988522779562659,2.328283801123356,0.0156,0.0,0.2658,0.2658,unreliable
LPJ-GUESS,P,T,LPJ-GUESS | P→T,valley_depth,7,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,undefined
