model,variable,tables,members,start,stop,grids,n_tables,n_members,n_grids,n_datasets,n_with_dates
ACCESS-CM2,abs550aer,AERmon,"r4i1p1f1, r5i1p1f1",1950-01-16T12:00:00Z,,gn,1,2,1,2,0
ACCESS-CM2,agessc,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,1
ACCESS-CM2,areacella,fx,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",,,gn,1,10,1,10,0
ACCESS-CM2,areacello,Ofx,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",,,gn,1,10,1,10,0
ACCESS-CM2,baresoilFrac,"Eyr, Lmon","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,2,10,1,20,3
ACCESS-CM2,basin,Ofx,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",,,gn,1,10,1,10,0
ACCESS-CM2,bigthetao,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,2
ACCESS-CM2,bigthetaoga,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T12:00:00Z,,gn,1,10,1,10,0
ACCESS-CM2,c3PftFrac,Lmon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,1
ACCESS-CM2,c4PftFrac,Lmon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,,gn,1,10,1,10,0
ACCESS-CM2,ci,Amon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,,gn,1,10,1,10,0
ACCESS-CM2,cl,Amon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,2
ACCESS-CM2,cli,Amon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,,gn,1,10,1,10,0
