region,predictor,rho_marginal,rho_partial_P,n_cells
Global land,Precipitation,0.41629292402412926,,4172
Global land,Temperature,-0.714892403850869,-0.7584977290225311,4172
Global land,Net radiation,-0.40678899692659753,-0.7232203472619907,4172
Global land,Total soil moisture,0.2961991028089015,0.0030132889494464397,4172
Global land,Surface soil moisture,0.546519940505423,0.39326738685042983,4172
Global land,Snow water equivalent,0.7076664563111693,0.7624584777055354,4172
WW,Precipitation,0.6257194900503582,,662
WW,Temperature,-0.39960204999551796,-0.6222113998986345,662
WW,Net radiation,-0.17135584080801364,-0.6636983159628195,662
WW,Total soil moisture,0.5736590713683517,0.36096205217089483,662
WW,Surface soil moisture,0.4034545191737417,0.006249736704990168,662
WW,Snow water equivalent,0.2681844683546486,0.5109254496437601,662
WD,Precipitation,0.4515894349922863,,1243
WD,Temperature,-0.3280328636839519,-0.25844192039038905,1243
WD,Net radiation,0.2873318386597506,-0.23953313071467983,1243
WD,Total soil moisture,0.3218646794416921,-0.2268740708258198,1243
WD,Surface soil moisture,0.4851559332526266,0.20015164069973673,1243
WD,Snow water equivalent,0.2956311891755701,0.31700224682627665,1243
CW,Precipitation,0.11015983430395905,,1491
CW,Temperature,-0.5458887229249431,-0.75702798918885,1491
CW,Net radiation,-0.6220974687024441,-0.7804998358261945,1491
CW,Total soil moisture,-0.3009381024215834,-0.3553795377565496,1491
CW,Surface soil moisture,0.016970056776495684,0.02151622899084,1491
CW,Snow water equivalent,0.7100001378643067,0.7358267362231299,1491
CD,Precipitation,0.46940095619517364,,776
CD,Temperature,-0.5621368515381411,-0.43307639432326067,776
CD,Net radiation,-0.1667073062827426,-0.24535120208273492,776
CD,Total soil moisture,0.035086858118416366,-0.2299726068797078,776
CD,Surface soil moisture,0.4553054160636467,0.1531320220184651,776
CD,Snow water equivalent,0.5374551646351806,0.38475900707785804,776
