bin,n_grid_cells,land_area,P_median,P_q25,P_q75,ET_median,ET_q25,ET_q75,R_median,R_q25,R_q75,ET_fraction_climatology_median,ET_fraction_climatology_q25,ET_fraction_climatology_q75,R_fraction_climatology_median,R_fraction_climatology_q25,R_fraction_climatology_q75,WB_fraction_climatology_median,WB_fraction_climatology_q25,WB_fraction_climatology_q75
1,222,8769984500000.0,5.629355430603027,2.3460144996643066,10.918000221252441,5.5580034255981445,2.36430287361145,10.438042640686035,0.1775079071521759,0.037246957421302795,0.5445266962051392,0.9663870334625244,0.939971923828125,0.9909833073616028,0.0353914238512516,0.01328989677131176,0.06187954172492027,-0.004683776292949915,-0.015543648041784763,0.005083080846816301
2,232,8751148400000.0,59.2852668762207,31.165874481201172,81.44181823730469,53.494163513183594,29.034921646118164,73.6658935546875,2.811377763748169,1.5543557405471802,5.78125,0.9426660537719727,0.8978911638259888,0.9680335521697998,0.06273163855075836,0.03517044708132744,0.10415257513523102,-0.001489078626036644,-0.006547200959175825,0.0008194939000532031
3,243,8770336000000.0,163.00209045410156,136.2942657470703,191.3134002685547,154.23863220214844,127.96173858642578,176.37474060058594,8.582902908325195,4.061746597290039,17.576265335083008,0.9484620094299316,0.8933572173118591,0.9743071794509888,0.05162607505917549,0.024310510605573654,0.11004485934972763,-0.0006007506744936109,-0.0033771235030144453,0.0012022521113976836
4,321,8732008000000.0,287.9649658203125,258.27496337890625,315.7328186035156,251.29408264160156,210.5908203125,286.16522216796875,18.499332427978516,7.273879528045654,42.9192008972168,0.9285500645637512,0.8364164233207703,0.9742996096611023,0.07098947465419769,0.024135230109095573,0.1612882912158966,-4.4615916294787894e-07,-0.0019962794613093138,0.0016257793176919222
5,345,8755193300000.0,392.69659423828125,362.6240539550781,417.8690490722656,335.3730163574219,250.2162322998047,373.9736328125,45.63852310180664,17.569005966186523,145.2377166748047,0.883926272392273,0.6299754977226257,0.9574899077415466,0.11697734147310257,0.043616484850645065,0.36760663986206055,0.00022635611821897328,-0.0015044094761833549,0.0018326409626752138
6,340,8772654700000.0,492.0911560058594,467.42755126953125,512.674072265625,425.0440673828125,306.9158630371094,468.1178894042969,56.48591613769531,24.813051223754883,186.30335998535156,0.8831554055213928,0.6164615750312805,0.9470564126968384,0.11720521748065948,0.05029243603348732,0.38270869851112366,-7.016442395979539e-05,-0.0017803916707634926,0.0015338546363636851
7,327,8740317700000.0,581.4620971679688,559.0324096679688,602.6384887695312,496.01837158203125,389.1007385253906,541.4967651367188,79.56804656982422,32.802860260009766,185.73031616210938,0.8645146489143372,0.6869828104972839,0.9415713548660278,0.13811896741390228,0.05929600074887276,0.3168490529060364,-0.0001045419558067806,-0.0016414392739534378,0.0014276959700509906
8,337,8775837700000.0,671.0926513671875,647.4467163085938,693.4724731445312,545.9603271484375,408.7004089355469,616.452392578125,127.14381408691406,51.52848434448242,257.35284423828125,0.8153772354125977,0.6158187985420227,0.9261564612388611,0.1853761225938797,0.07562769204378128,0.3836921453475952,-0.000514172250404954,-0.002350872615352273,0.0009023240418173373
9,314,8762792000000.0,761.6636962890625,739.6134033203125,787.2896118164062,620.0493774414062,430.8827209472656,690.7382202148438,136.13162231445312,65.70358276367188,330.61083984375,0.8185424208641052,0.563244640827179,0.9129472970962524,0.17915762960910797,0.08626554161310196,0.43655282258987427,-0.00011046256986446679,-0.0020876573398709297,0.001502542058005929
10,300,8742411000000.0,862.9374389648438,835.490966796875,887.9193725585938,649.1348876953125,548.6461181640625,788.8104858398438,201.11944580078125,81.2534408569336,320.8962097167969,0.7607385516166687,0.634718120098114,0.9062164425849915,0.241260826587677,0.09380890429019928,0.36799827218055725,-6.627431866945699e-05,-0.0015830538468435407,0.001250863540917635
11,280,8754923300000.0,979.289306640625,947.748779296875,1024.0418701171875,814.2921142578125,576.9173583984375,883.8326416015625,171.93258666992188,90.30216979980469,410.4793701171875,0.8204432129859924,0.5775901079177856,0.9041834473609924,0.1780572086572647,0.09523975104093552,0.42383983731269836,-1.995963611989282e-05,-0.0015685948310419917,0.0012127263471484184
12,249,8753639300000.0,1154.8109130859375,1109.344482421875,1199.3541259765625,961.805908203125,729.5310668945312,1064.019775390625,173.0687713623047,89.66455078125,406.60931396484375,0.8498989343643188,0.6429451704025269,0.9217211008071899,0.14681319892406464,0.07807902991771698,0.3571208715438843,-6.600513734156266e-05,-0.0012364716967567801,0.0018272356828674674
13,228,8784393000000.0,1369.1453857421875,1293.6160888671875,1413.5667724609375,1131.224609375,975.0341796875,1261.2130126953125,205.08436584472656,104.35846710205078,373.5611572265625,0.8511443138122559,0.7249799966812134,0.9214155077934265,0.1481427699327469,0.07840495556592941,0.2749857008457184,0.0005135262035764754,-0.0008462467230856419,0.0026984286960214376
14,218,8713900400000.0,1617.3316650390625,1550.0545654296875,1710.9862060546875,1386.3609619140625,1170.530517578125,1481.5623779296875,255.21925354003906,144.0459747314453,448.4281311035156,0.8442957401275635,0.7345131039619446,0.9085171818733215,0.15443578362464905,0.08914045989513397,0.2634829878807068,0.0004424492653924972,-0.0007156605715863407,0.002675037132576108
15,216,8754795000000.0,2182.0810546875,2010.3568115234375,2517.67041015625,1585.9852294921875,1423.291259765625,1696.479248046875,693.168212890625,429.3595275878906,1043.193115234375,0.7064844965934753,0.593246579170227,0.7884023189544678,0.2931974232196808,0.20900659263134003,0.4057072103023529,7.983321120264009e-05,-0.00020734585996251553,0.0013039570767432451
