model,family,decision,recommended_member,n_common_members,core_period,core_grids,same_grid,context_count,missing_core,pr_Amon,evspsbl_Amon,mrro_Lmon,pr_start,pr_stop,evspsbl_start,evspsbl_stop,mrro_start,mrro_stop,tas_Amon,rsds_Amon,rsus_Amon,rlds_Amon,rlus_Amon,mrso_Lmon,lai_Lmon,snw_LImon,sftlf_fx,areacella_fx,period_rank,canonical,first_batch
ACCESS-CM2,ACCESS-CM2,Eligible,r1i1p1f1,10,Flag,gn,True,7,,True,True,True,1850-01-16 12:00:00+00:00,,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,,True,True,True,True,True,True,False,True,False,False,0,1,False
ACCESS-ESM1-5,ACCESS-ESM1-5,Eligible,r1i1p1f1,40,Flag,gn,True,8,,True,True,True,1850-01-16 12:00:00+00:00,,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,,True,True,True,True,True,True,True,True,False,False,0,1,False
AWI-ESM-1-1-LR,AWI-ESM-1-1-LR,Eligible,r1i1p1f1,1,Flag,gn,True,8,,True,True,True,1850-01-16 00:00:00+00:00,,1850-01-16 00:00:00+00:00,,1850-01-16 00:00:00+00:00,,True,True,True,True,True,True,True,True,False,False,0,1,False
BCC-CSM2-MR,BCC-CSM2-MR,Eligible,r1i1p1f1,3,Pass,gn,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False,1,1,False
BCC-ESM1,BCC-ESM1,Eligible,r1i1p1f1,3,Pass,gn,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False,1,1,False
CAMS-CSM1-0,CAMS-CSM1-0,Eligible,r1i1p1f2,2,Flag,gn,True,7,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,,True,True,True,True,True,True,True,False,False,False,0,1,False
CAS-ESM2-0,CAS-ESM2-0,Eligible,r1i1p1f1,4,Flag,gn,True,7,,True,True,True,1850-01-16 12:00:00+00:00,,1850-01-16 12:00:00+00:00,,1850-01-16 12:00:00+00:00,,True,True,True,True,True,True,True,False,False,False,0,1,False
CESM2,CESM2,Eligible,r1i1p1f1,10,Pass,gn,True,8,,True,True,True,1850-01-15 12:00:00+00:00,2014-12-15 12:00:00+00:00,1850-01-15 12:00:00+00:00,2014-12-15 12:00:00+00:00,1850-01-15 11:44:59+00:00,2014-12-15 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False,1,1,True
CMCC-CM2-SR5,CMCC-CM2,Eligible,r1i1p1f1,11,Flag,gn,True,7,,True,True,True,1850-01-16 12:00:00+00:00,,1850-01-16 12:00:00+00:00,,1850-01-16 12:00:00+00:00,,True,True,True,True,True,True,True,False,False,False,0,1,False
CMCC-ESM2,CMCC-ESM2,Eligible,r1i1p1f1,1,Flag,gn,True,7,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,,1850-01-16 12:00:00+00:00,,True,True,True,True,True,True,True,False,False,False,0,1,False
CNRM-CM6-1,CNRM-CM6-1,Eligible,r1i1p1f2,29,Pass,gr,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False,1,1,False
CNRM-ESM2-1,CNRM-ESM2-1,Eligible,r1i1p1f2,9,Flag,gr,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,,1850-01-16 12:00:00+00:00,,True,True,True,True,True,True,True,True,False,False,0,1,False
CanESM5,CanESM5,Eligible,r1i1p1f1,65,Pass,gn,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False,1,1,True
E3SM-2-0,E3SM,Eligible,r1i1p1f1,21,Flag,gr,True,8,,True,True,True,1850-01-16 00:00:00+00:00,,1850-01-16 00:00:00+00:00,,1850-01-16 00:00:00+00:00,,True,True,True,True,True,True,True,True,False,False,0,1,False
EC-Earth3-AerChem,EC-Earth3,Eligible,r1i1p1f1,3,Pass,gr,True,7,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,False,True,False,False,1,0,False
