property,case_a,case_b,metric,case_a_value,case_b_value,observed_difference,baseline_mean,baseline_sd,baseline_min,baseline_max,baseline_q025,baseline_q975,baseline_95_width,baseline_range,ratio_to_baseline_95_width,ratio_to_baseline_sd,larger_than_baseline_95_width,larger_than_baseline_range,observed_minus_baseline95
Convexity / Concavity,Convex,Concave,standardized early slope,0.3216726922545678,1.4535464673552274,1.1318737751006596,1.325916103705465,0.07427771818757467,1.0908611127842744,1.5236005166010373,1.1751884335717613,1.4679358516486194,0.2927474180768581,0.4327394038167629,3.866383459626266,15.238402615469706,True,True,0.8391263570238015
Convexity / Concavity,Convex,Concave,standardized late slope,1.5521136215097553,0.561764164289866,0.9903494572198893,0.5147083754327414,0.059987494511990466,0.34270287621379997,0.6989812701286203,0.3986895275554003,0.6309288138623212,0.23223928630692092,0.35627839391482036,4.264349382778723,16.509265227303928,True,True,0.7581101709129684
Convexity / Concavity,Convex,Concave,raw early slope,0.26695196990756204,1.1615722396913872,0.8946202697838253,1.0769697831455844,0.047011609294384256,0.925363373255489,1.2339380696011433,0.9869349111293388,1.1694942955620946,0.18255938443275577,0.30857469634565426,4.900434302862974,19.029773351976946,True,True,0.7120608853510695
Convexity / Concavity,Convex,Concave,raw late slope,1.2880788415029214,0.44892246181839524,0.8391563796845262,0.41819749602998446,0.047518665888009286,0.25449548816203627,0.5602766492778,0.32696926448065977,0.5097042414708927,0.1827349769902329,0.3057811611157637,4.592204478343403,17.659510510295625,True,True,0.6564214026942933
Convexity / Concavity,Convex,Concave,raw overall slope,0.754708629641541,0.6153698330639085,0.13933879657763248,0.6104612768718165,0.009124433180000807,0.579677543896004,0.6368006168029102,0.5921122315016922,0.6281075353684993,0.03599530386680705,0.057123072906906214,3.8710270954573964,15.270953694201983,True,True,0.10334349271082544
Convexity / Concavity,Convex,Concave,early buffer width,0.4905701344385054,0.9465052221840841,0.45593508774557867,1.0495383266757659,0.10174358119468026,0.7844345919368588,1.4015137816829943,0.8697836443181058,1.2646544292415518,0.39487078492344596,0.6170791897461355,1.1546437598161923,4.481217216771387,True,False,0.06106430282213271
Convexity / Concavity,Convex,Concave,amplitude,0.6878145136759962,0.6029612652058323,0.08485324847016396,0.5882208506154213,0.011528796025157257,0.5538344094478365,0.6327410647848064,0.5657925751331464,0.6109554259971234,0.04516285086397698,0.07890665533696994,1.8788284363564178,7.360113604664675,True,True,0.03969039760618698
Convexity / Concavity,Convex,Concave,standardized overall slope,0.9094113703248345,0.7700499516109889,0.13936141871384566,0.7517324194181954,0.032711810960455286,0.6368864498244006,0.8487149898377542,0.685431952413016,0.8118678618710445,0.12643590945802852,0.2118285400133536,1.1022297329233661,4.260278309944905,True,False,0.012925509255817147
Convexity / Concavity,Convex,Concave,raw middle slope,0.7286638100702786,0.5428740319947636,0.185789778075515,0.5418419047830245,0.04560322167410857,0.4023913423380892,0.6803824699530965,0.45692089582965023,0.6304083693696476,0.17348747353999738,0.27799112761500727,1.0709117741153877,4.074049403860385,True,False,0.012302304535517616
Convexity / Concavity,Convex,Concave,MCN,4.0,4.459431618637297,0.4594316186372973,4.386215643788482,0.17954595066619627,3.0,4.459431618637297,4.0,4.459431618637297,0.4594316186372973,1.4594316186372973,1.0,2.558852577474453,False,False,0.0
Convexity / Concavity,Convex,Concave,first derivative sign changes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,0.0
Convexity / Concavity,Convex,Concave,x bin count coefficient of variation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,0.0
