property,case_a,case_b,metric,case_a_value,case_b_value,observed_difference,baseline_mean,baseline_sd,baseline_min,baseline_max,baseline_q025,baseline_q975,baseline_95_width,baseline_range,ratio_to_baseline_95_width,ratio_to_baseline_sd,larger_than_baseline_95_width,larger_than_baseline_range,observed_minus_baseline95
Heteroscedasticity,Constant variance,Changing variance,late buffer width,0.7643878576034798,2.773305116183274,2.008917258579794,2.8255734639927415,0.2629604740217281,1.8096520949039676,3.5860008850342355,2.3221043708468385,3.3578767859998417,1.0357724151530032,1.776348790130268,1.9395353932871815,7.639616813338264,True,True,0.9731448434267906
Heteroscedasticity,Constant variance,Changing variance,buffer width mean,0.7259713929640897,1.8876064496402538,1.1616350566761642,1.9395598595522856,0.12909439894328378,1.5602552043825537,2.3274518955043253,1.6982879357526734,2.197525692172686,0.49923775642001256,0.7671966911217716,2.3268173164749015,8.998338163273186,True,True,0.6623973002561516
Heteroscedasticity,Constant variance,Changing variance,MCN,4.0,4.459431618637297,0.4594316186372973,4.4569627413050235,0.04912193549853129,3.0,4.459431618637297,4.459431618637297,4.459431618637297,0.0,1.4594316186372973,,9.35288102910835,True,False,0.4594316186372973
Heteroscedasticity,Constant variance,Changing variance,middle buffer width,0.6759433272204599,1.750735206708119,1.074791879487659,1.7797203492977614,0.21797985265647798,1.2376614377858415,2.664242687367561,1.395367477159564,2.2117470159927026,0.8163795388331385,1.4265812495817194,1.3165345631075864,4.930693669113818,True,False,0.25841234065452046
Heteroscedasticity,Constant variance,Changing variance,standardized overall slope,0.9172341403198011,0.5861952148369912,0.3310389254828099,0.6112996612449926,0.05550959439228927,0.39676961403266586,0.7971303351696245,0.49825918324548274,0.7133915884128745,0.2151324051673918,0.40036072113695864,1.5387683005042068,5.963634379010952,True,False,0.1159065203154181
Heteroscedasticity,Constant variance,Changing variance,r2,0.9700263953098166,0.7043764558136523,0.26564993949616433,0.67849974959105,0.03996369314453358,0.5559552501083116,0.8019591899046548,0.5967639957020427,0.7531262315860271,0.15636223588398435,0.24600393979634316,1.698939248305888,6.647282035106437,True,True,0.10928770361217999
Heteroscedasticity,Constant variance,Changing variance,eta squared,0.9575818364240949,0.7096902969264561,0.24789153949763876,0.6802810964102362,0.03848526980609381,0.5737713070952152,0.8082892240263141,0.6046490338699091,0.7538305434518353,0.14918150958192622,0.2345179169310989,1.6616773767227755,6.441205706667211,True,True,0.09871002991571254
Heteroscedasticity,Constant variance,Changing variance,MIC,1.0000000000000002,0.7352068976275208,0.26479310237247944,0.7135207119790009,0.051875223538561756,0.5755657129187856,0.8985296527417201,0.6187410018028805,0.8262201951018076,0.20747919329892706,0.3229639398229346,1.2762393094086162,5.104423351075179,True,False,0.05731390907355238
Heteroscedasticity,Constant variance,Changing variance,MEV,1.0000000000000002,0.7352068976275208,0.26479310237247944,0.7135207119790009,0.051875223538561756,0.5755657129187856,0.8985296527417201,0.6187410018028805,0.8262201951018076,0.20747919329892706,0.3229639398229346,1.2762393094086162,5.104423351075179,True,False,0.05731390907355238
Heteroscedasticity,Constant variance,Changing variance,distance correlation,0.9827607508094028,0.8351138815163432,0.1476468692930596,0.8182295922433086,0.023742866254132897,0.7350172186816887,0.8949204753868192,0.7687366873843982,0.8619663449632388,0.09322965757884061,0.1599032567051305,1.5836899236511783,6.218578149441365,True,False,0.05441721171421898
